{'descr': '环境优美，交通便利，服务周到', 'star': 5}
{'descr': '酒店非常好，上电梯还需要房卡很安全，房间虽然不大但很干净', 'star': 5}
{'descr': '临街很吵，房间很小，空气不是很好，不过随便住住还可以。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '临街很吵，房间很小，空气不是很好，不过随便住住还可以。', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '挺好的。就是稍有点贵。网速有点慢。不过总体不错。。', 'star': 5}
{'descr': '房间比较，设施没有新的那家好，住着挺舒服的，下次还是会再来。 \n', 'star': 5}
{'descr': '房门开关不好', 'star': 3}
{'descr': '床居然是粉色的，挺温馨的。交通也挺方便的~~', 'star': 5}
{'descr': '酒店房间很个性，房间虽小但五脏俱，自助的方式很多，这个价位、酒店形式适合年轻人', 'star': 5}
{'descr': '房间小点，但各种设施一应俱全（不包括牙膏，牙刷，香皂和拖鞋），而且房间很整洁;缺点是隔音有点不好，也许是我运气不好吧，正赶上七夕之夜，周边房间里情侣们的亲热声此起彼伏。', 'star': 5}
{'descr': '新开的酒店，非常干净，服务也比较标准,值得推荐。', 'star': 5}
{'descr': '我觉得这家店服务很周到而且入住登记的时候前台的收银员帮我把身份证装进免费送得卡套里。很窝心，而且房间也很干净，交通也方便~', 'star': 5}
{'descr': '房间干净，整洁！尤其是洗漱用具很周到！下回到呼市还会在这家住！', 'star': 5}
{'descr': '房间不大,但挺干净,不错,值了,', 'star': 3}
{'descr': '地点不错，离地铁还比较近，只是在胡同里，第一次去不怎么好找，附近小吃也有一些，很不错，房间很干净，服务也很好，以后还回来', 'star': 5}
{'descr': '感觉还是挺不错的，就是小了点…', 'star': 3}
{'descr': '服务态度非常好，退房后还可以把东西寄存在酒店；不过屋子的确很小，开门即是床', 'star': 5}
{'descr': '不好找，房间比较小，总体还可以吧', 'star': 3}
{'descr': '超级迷你的酒店，房间太小了，我胖点，在房间里面转个身有点困难。电视不大，只能收到中央台和北京台的十几套节目。更有趣的是不能刷预授权，需要在入住时一次交足房费，如果少住了，钱需要15天之后返回到卡中；我说能否先用现金交押金，待退房时刷卡结账，人家告诉我不行，意思是现金和刷卡互斥；最后只能每天去结一次帐。拿到刷卡回单看，POS机是XX物业管理公司的，难道是因为这样不能预授权的？……', 'star': 5}
{'descr': '特别温馨', 'star': 3}
{'descr': ' 环境不错，很整洁', 'star': 3}
{'descr': '设施齐全 隔音效果不错  服务态度也很好  就是酒店不太好找  希望增加一次性免费洁具   会向朋友推荐酒店的', 'star': 5}
{'descr': '单人房B是属于没有窗子的！房间很迷你！真的很小！没有多余伸展空间，但床足够大！话说是单人房但其实是大床了！很不错！前台服务也很好！只是没有窗子的房间隔音很不好！不过，旅游只是晚上去住还是可以作为首选！毕竟干净又安全！不过没有一次性用品，没有电话，沐浴液和洗发水是那种合二为一的！吹风机要到前台去借，押金100！房里面也没有饮用水，不过有壶可以自己烧！有宽带，不过速度只有512M那么快！', 'star': 5}
{'descr': '设施齐全 隔音效果不错 宽带稳定  就是酒店不是太好找 要问本地人', 'star': 5}
{'descr': '酒店空间太小了、服务倒是挺不错的．', 'star': 3}
{'descr': '尽管离地铁有15分钟的路程，比较难找，但是因为新修建的，整体比较新，所在的区域也算比较安静。希望在整理卫生间和床铺的时候，客服人员可以主动一点细心一点。', 'star': 5}
