{'短评内容': '不错早餐也很好', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '酒店不错，离皮革城近，就是交通不是很方便，总体来说还是不错', '短评打分': 3}
{'短评内容': '这家店的环境很好 要是去海宁皮革城的 话 真的很方便呢  很靠近的  反正是满意的', '短评打分': 5}
{'短评内容': '酒店房间很大，房间干净，唯一不足空调声音太嘈，深夜时感觉拖拉机开过。酒店没有晚餐', '短评打分': 5}
{'短评内容': '距离皮革城不远，房间很大，前台很热情，只是早餐很简单，而且餐厅有点冷', '短评打分': 5}
{'短评内容': '酒店挺好的，干净，服务态度也不错，性价比还是可以的', '短评打分': 5}
{'短评内容': '酒店很干净，服务也好。', '短评打分': 3}
{'短评内容': '赞温馨家庭房，40平米，非常宽敞，卫生也很棒，住的很舒心。', '短评打分': 5}
{'短评内容': '看了网上的推荐才选择这家酒店的，果然干净、舒适、环境好，洗澡水又大，最主要经济实惠~~总之能得到同行朋友的一致好评是不容易的~~下次来海宁还住这里，不过走至皮革城要有10分钟左右的路程的~~但是值了~~', '短评打分': 5}
{'短评内容': '宽敞+舒适+卫生。服务一流，推荐朋友们到海宁就住人间四月天', '短评打分': 5}
{'短评内容': '还是不错的，离皮革城很近，也很方便，下次去一定还会住的。', '短评打分': 5}
{'短评内容': ' 隔音不好 条件一般', '短评打分': 3}
{'短评内容': '酒店性价比高,比如家之类的快捷要好.就是房间里有小强,希望改进.', '短评打分': 5}
{'短评内容': '酒店位置不错，离皮革城步行10钟就到了，也可以出门右转十字路口坐公交一站到了，到市区繁华地带做人力车也很方便，8元钱到沃尔玛。10元到华联。转长途汽车也很方便，坐公交几站路就到客运中心了。', '短评打分': 5}
{'短评内容': '价格便宜 还有自助早餐 就是打车出行不方便 周围饭店少。', '短评打分': 5}
{'短评内容': '地段比较不错，就是房间价格稍微贵了点，而且很多虫子。', '短评打分': 5}
{'短评内容': '床很舒服，洗澡水又大又好，早餐还行，出行方便', '短评打分': 5}
{'短评内容': '帮朋友订的，一致反映不错。离皮革城很近，房间也好，总体就是不错。以后我自己回来住的！', '短评打分': 5}
{'短评内容': '环境不错，服务热情！值得一住！', '短评打分': 3}
{'短评内容': '酒店位置不错，离皮革城步行10钟就到了，也可以出门右转十字路口坐公交一站到了，到市区繁华地带做人力车也很方便，8元钱到沃尔玛。10元到华联。转长途汽车也很方便，坐公交几站路就到客运中心了。房间布局不错很干净，热水充足，唯一不方便的就是吃饭要去皮革城附近，也不算远，不过在房间点江南小厨的快餐也很好，好吃便宜又快捷。服务员的态度也很好，总之感觉不错。', '短评打分': 5}
{'短评内容': '这个酒店非常干净，房间很大，很舒服，非常好！', '短评打分': 3}
{'短评内容': '离火车站约3公里，打车表虽显7元，收10元。离皮革城1公里。条件也不错。三人家庭间很大，床也大，同时祝5人应该没有问题，大沙发就能住一个人。性价比高。', '短评打分': 5}
{'短评内容': '    房间舒适干净，宽敞，服务热情，有宽带，装修很有品味', '短评打分': 3}
{'短评内容': '很好 来了好几次了 很喜欢 很大 很干净 很good', '短评打分': 5}
{'短评内容': '很好   很大 很喜欢 太good了 很好很强大', '短评打分': 5}
{'短评内容': '＋酒店前台很热情，房间也还不错，虽然小但是五脏俱全，只是离皮革城比较远走路大概要十五到二十分钟，还有就是打车不好打。', '短评打分': 3}
{'短评内容': '人间四月天很干净，服务不错,下次来海宁还要住.', '短评打分': 5}
{'短评内容': '人间四月天很干净，下次来海宁还住', '短评打分': 3}
{'短评内容': '很不错  价廉物美 交通方便 以后还会住', '短评打分': 5}
{'短评内容': '哎，一晚上没睡好，其他的啥都不说了。。。。。。。', '短评打分': 1}
{'短评内容': '酒店离海宁皮革广场非常近，出宾馆向右拐再右拐，走路十分钟左右，看到一个大的加油站，旁边的小区里一家胖胖川菜，非常好吃。价格很公道，关健味道好，现在还回味中。过了加油站，就是袭皮广场，这里全是卖貂皮的。想买好的皮草就在这里逛好了。再往前有一个皮革广场，其实这里的租金高，价格也比隔壁贵一点。旁边的那幢总共四层，一层卖皮鞋，二三四楼全是卖皮衣，推荐四楼的是皮衣精品。穿过一个通道，就是卖獭兔皮的。逛了水貂', '短评打分': 5}
{'短评内容': '很干净，服务不错', '短评打分': 3}
{'短评内容': '住的是家庭房，一个1.8的大床和一个1.2的小床。\n除了房间太大所以空调打不上去，隔音的确不太好之外，都是有点了：\n房间超大，还有书桌、大沙发，够档次；\n床够大，睡得很舒服；\n卫浴不错，淋浴水很大；\n总之的确物有所值！\n', '短评打分': 5}
{'短评内容': '不错啊 上网挺快的 服务员也挺热情的 也挺干净的 对的起它的价格 物超所值啊！！', '短评打分': 5}
{'短评内容': '很好的选择，离交通要道、皮革服装城都很近，对于自驾车来海宁主要逛皮革城和到盐官看潮的人很合适。房间大尤其卫生间好是那种玻璃隔间洗澡很舒服，早上起晚了快九点还以为没早饭了，结果并不像其他酒店那样，我还是吃到了满意的早餐挺意外的。人间四月天的标志也很好，充满文化气息。总之物美价廉。', '短评打分': 5}
{'短评内容': '首先这家酒店的格调我很喜欢，一进门就很舒服，也很干净，最重要的就是离皮革城很近，但最大的缺点就是房间隔音效果太差，隔壁洗澡放水的声音听得一清二楚，搞得人睡不好，其他一切都很好，价格也适中，早饭也说得过去~~~', '短评打分': 5}
{'短评内容': '海宁人间四月天商务宾馆>住了好多天了，我很喜欢。', '短评打分': 5}
{'短评内容': '海宁人间四月天商务宾馆不错，安静舒适，干净舒心，方便快捷。', '短评打分': 5}
{'短评内容': '海宁人间四月天商务宾馆>设施还可以，房间也很安静，我和朋友都喜欢。', '短评打分': 5}
{'短评内容': '海宁人间四月天商务宾馆>很好，我和朋友都很喜欢。', '短评打分': 5}
{'短评内容': '非常好的主题酒店 有人文气质\n早餐简单了点', '短评打分': 5}
{'短评内容': ':258元的房间较好,比较安静,早餐品种少,但是能吃饱.', '短评打分': 3}
{'短评内容': '离市区远，一般般,去皮革城如果走大概20分钟。', '短评打分': 1}
{'短评内容': '位置比较好,去盐官很方便,服务态度比较好,性价比高', '短评打分': 5}
{'短评内容': '朋友推荐的这家酒店,网上的评价还是比较中肯的, 无论是环境、地段、价格、服务都还是可以的 ，下次去海宁皮革城还会住那里，也会给朋友介绍的。 \n', '短评打分': 5}
{'短评内容': '务宾馆酒店很干净，服务一航般，去皮革城很方便，就是隔间较差，，总的感觉值得推荐，下次来还会考虑。 \n', '短评打分': 5}
{'短评内容': '房间大，干净，就是隔音不好，能听到隔壁屋打鼾的声音~', '短评打分': 1}
{'短评内容': 'Good.hope we stay here next time', '短评打分': 5}
{'短评内容': '酒店很干净，服务也可以，去皮革城方便，步行15-20分钟，坐公汽一站路，就是公汽间隔时间有点长，20分钟左右，总的感觉不错，下次来还住这家酒店。', '短评打分': 5}
{'短评内容': '我刚住过 跟其他朋友在网上说的一样 无论是环境还是地段 价格多是可以的 下次去海宁皮革城还 住那里 ', '短评打分': 5}
{'短评内容': '服务还有待提高', '短评打分': 3}
{'短评内容': '去海宁皮革城就住这家酒店，真的个人感觉什么都好，很值。我住的是豪华标间，价格很实惠', '短评打分': 5}
{'短评内容': '住过很多快捷酒店，我这次住的是高级大床房，超出我的想象，这里的环境空间要比其它酒店大一些，还配置了电脑，床也很干净，并且很大；\n如果再有机会到海宁，我还会到此酒店入住；', '短评打分': 5}
{'短评内容': '比较便宜 距离海宁皮革城也很近 到火车站也很近 总之还不错 方便', '短评打分': 5}
{'短评内容': '比想象中要大很多，入住进去后发现很干净，打扫的很仔细。我住的房间时带电脑的房间，电脑有单独的使用位置，也是很宽阔的。床是标准的大床，两米乘以两米，仔细看看了，枕头配了四个，软硬度还是很好的，比较适合睡觉不安分的人的。供应的热水还是可以，唯一遗憾是喷头的水压不是很够。走路去中国皮革城时间为15-20分钟，还是很方便的。总体感觉很不错，也没有骚扰电话打进来，性价比还不错。我觉得适合喜欢安静的人来这里。', '短评打分': 5}
{'短评内容': '离皮革城近,步行十五分钟,房间大,毛巾旧。', '短评打分': 3}
{'短评内容': '酒店很干净，房间也够大，服务也可以，离皮革城很近，下次还会来住。就是打车不方便', '短评打分': 3}
{'短评内容': '入住四月天酒店的感觉十分不错，尤其是服务态度很好！就是早餐的种类较为单一.', '短评打分': 5}
{'短评内容': '酒店虽小,但设施齐全,性价比高,服务热情,下回去海宁还住', '短评打分': 5}
{'短评内容': '非常好十分.', '短评打分': 5}
{'短评内容': '酒店得位置离皮革城挺近，房间也挺干净，餐厅就一般了。洗澡得时候水是忽冷忽热，房间很大（豪标）总的来说不错，前台得服务不热情，但是这些都可以忽略。最大得问题是隔音，隔避洗澡，聊天，什么声音都能听到，从隔断也看得处这个地访本来也不是设计城酒店得，后来改得。但是就这个价格来说，也可以接受了。', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺大，卫生还行，就是没纱窗，不敢开窗。离皮革城很近。', '短评打分': 5}
{'短评内容': '不错的地段和房间,相对价位来说比较超值.窗外挂着的条幅太吵了,不过换了房间以后很好.希望条幅能拿掉或者固定好,不然影响入住率.', '短评打分': 3}
{'短评内容': '就在皮革城边上，非常方便。\r\n标房很大很干净。\r\n服务人员态度很好，可以刷卡很方便。', '短评打分': 5}
{'短评内容': '房间比较大，设施一般,离中国皮革城比较近，还算方便。', '短评打分': 1}
{'短评内容': '非常好，和皮革城很近，酒店很新很干净，性价比不错', '短评打分': 5}
{'短评内容': ' 很满意', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '酒店周边环境很安静，离市区、皮革城较近，价位可以！', '短评打分': 3}
{'短评内容': '酒店硬件软件都不错，下次到海宁还住这里。', '短评打分': 5}
{'短评内容': '房间比较大，也很干净，比之前想象要好；缺点：房间光线很差，窗户被广告牌遮住，前台服务员太少，入住退房等待时间长', '短评打分': 5}
{'短评内容': '确实不错的商务酒店，房间大，干净、服务不错，值得入住', '短评打分': 5}
{'短评内容': '环境较好', '短评打分': 5}
{'短评内容': '：酒店很干净，设施很好，很有些古典韵味，是一家非常值得推荐的主题酒店。', '短评打分': 5}
{'短评内容': '+酒店不错', '短评打分': 5}
{'短评内容': '对酒店的基本情况一栏中各项都满意!确实不错!', '短评打分': 5}
{'短评内容': '房间很大,近40平方,很安静舒适,到海宁皮革城很方便,步行只需10分钟.', '短评打分': 3}
{'短评内容': '房间很大,近40平方,很安静舒适,到海宁皮革城很方便,步行只需10分钟.', '短评打分': 5}
{'短评内容': '交通实在是不方便。\r\n其它的都还好。\r\n还算满意。', '短评打分': 1}
{'短评内容': '  房间有异味，必须大热天开窗户放，打车特别难，差点没赶上火车。吃饭非常不方便，其他还好。', '短评打分': 5}
{'短评内容': '服务态度一般，早餐很差。\r\n\r\n位置还不错，离皮革城很近，公交车一站地。', '短评打分': 1}
{'短评内容': '位置较偏，房型偏长！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店服务人员态度非常好，而且会尽力帮助客人查询客车等时刻~~酒店很干净，环境也不错', '短评打分': 5}
{'短评内容': '很好，就是车不好打！', '短评打分': 5}
{'短评内容': '一百多块，房间很大，性价比算不错的了，就是洗澡水不怎么样，时冷时热，第二天就全是沸水了。晕倒。', '短评打分': 5}
{'短评内容': '超大的房间，卫生清洁，离皮革城一站路，就是吃饭不太方便。', '短评打分': 3}
{'短评内容': '性价比还可以。就是交通不是很方便。由于比较偏僻，打出租车很难。请酒店给要出租车，等了近20分钟没有来车，无奈，我们拖着旅行箱走了50多米，到了大道又等了十几分钟，才勉强截到一个有客人的车，我们拼车才到火车站。', '短评打分': 1}
{'短评内容': '这家酒店还可以了，一百多块钱也就这样了，房间面积倒是蛮大，卫生打扫的也还可以，就是提供热水不是好，一会儿冷一会儿热的。酒店的位置还不错，出行比较方便的，价格方面还算比较合适的。', '短评打分': 5}
{'短评内容': '酒店卫生干静、设施较新，虽然有些偏僻市中心，但是选择休息入住最清净的地方，特别是房间的平米相比其它酒店的价格实在是太优越啦！', '短评打分': 5}
{'短评内容': '走廊很宽敞，房间大，很干净，就是洗澡的时候水温忽冷忽热，不过性价比还是可以的，推荐！', '短评打分': 5}
{'短评内容': '房间很大，非常干净，夜间周边比较安静，离皮革城很近，比较适合自驾车的游客入住。推荐入住！', '短评打分': 5}
{'短评内容': '宾馆位置比较偏离市区，不过还好门口交通还算方便。比较喜欢他们的早餐，品种很丰富。特别喜欢咸菜。酒店前台服务不错，有问题她们都很热情帮助解答。', '短评打分': 5}
{'短评内容': '早餐的粽子很好吃，比较简单，性价比很高。', '短评打分': 5}
{'短评内容': '超大的房间，整洁舒适入住环境非常好，就是水忽冷忽热，有待改进！', '短评打分': 5}
{'短评内容': '哇！一起入住的朋友对这个酒店都很满意！大家都一致要求我在网上评论时多赞几句！房间超大！舒适！卫生！强力推荐！', '短评打分': 3}
{'短评内容': '来海宁就是为了到海宁皮城！在网上预定该酒店，就是考虑这里离皮城近！真的让我非常满意！入住环境非常好！我向大家推荐！真的很不错!', '短评打分': 5}
{'短评内容': '超大的房间，整洁舒适，热水充足。不过隔音不太好，无所谓啦，我又不睡懒觉。', '短评打分': 5}
{'短评内容': '房间很大，就是水忽冷忽热，有待改进~~！！', '短评打分': 5}
{'短评内容': '距离皮革城很近，可步行，房间大，床舒适', '短评打分': 5}
{'短评内容': '位置稍微有点偏，距离皮革城比较近(走20分钟）。比较清净，早餐虽然简单但这个价位上已经不错了。', '短评打分': 5}
{'短评内容': '挺不错的！~', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '适宜于自驾游客，特别是有意去皮革城者。房间面积比想象的大，但在寒冬反而成了缺点。建议离房间时将开门用电磁卡留在插座上以便保持室内空调运转，回来时让服务员开门。', '短评打分': 5}
{'短评内容': '很高兴能在春节游玩海宁入住海宁“人间四月天商务宾馆”，宾馆很干净，设施俱全，非常舒适，性价比很高，老婆女儿都很满意。特在此向大家推荐！', '短评打分': 5}
{'短评内容': '很好的一家酒店，设施挺新，离皮革城很近，而且价钱便宜，服务也不错，推荐大家要去皮革城的话，就住这里啊', '短评打分': 5}
{'短评内容': '蛮喜欢的……不错的酒店……', '短评打分': 5}
{'短评内容': '若去海宁皮革城的话，可优先选择，第一感觉房间好大。不错', '短评打分': 5}
{'短评内容': '我感觉酒店的早餐不是很丰盛,其它方面还是不错的,价格还是蛮合适的.', '短评打分': 3}
{'短评内容': '出门打车不方便，每次都是让服务人员帮助打车，服务不错，内部的环境很好，整体感觉还可以，以后去还会选择的', '短评打分': 3}
{'短评内容': '房间比较大，比较满意，但是有些卫生小细节应该再增强，早饭应该品种多点，好像很供不应求！！！', '短评打分': 5}
{'短评内容': '是一家不错的商务酒店啊，就是早餐差些，可能我们北方人能吃吧~~', '短评打分': 5}
{'短评内容': '本人去住过几天这家宾馆，印象还不错。价位也还算适中。过不了几天我还要去海宁办事，呵呵--还会入住这家宾馆的。', '短评打分': 5}
{'短评内容': '房间卫生还可以，设施比较一般，而且酒店餐厅服务人员的服务有待提高，酒店在郊区，离新皮革城比较近，不过离市中心比较远，而且晚上要是出去的话有点不太方便，酒店到是提供叫车服务，不过要想出去的话最少要提前半个小时给他们打电话，价格到是挺实惠的', '短评打分': 3}
{'短评内容': '刚开始进去的时候觉得按这个价位来说这里还算比较有性价比的，后来才发现真叫一个差！我们办完入住就让酒店把行李拿进去了，等晚上在回来的时候竟然在房间的烟灰缸里有半支没抽完的香烟，而且被子上有劣质香水的味道，由于已经很晚了，我们也没问个究竟。再说所谓的早餐，明明定的家庭房三人居住就给两张早餐券，早餐简单的让人实在受不了，不到8点下来什么都没有了，只剩白米粥，咸菜和劣质面包，后面的人连咸菜都没有！真行！一', '短评打分': 1}
