{'descr': '还是可以的', 'star': 5}
{'descr': '店面很小的旅社，没有电梯，客房在3楼4楼，条件尚可，看上去比较整洁。\n可以接受，只是价格最好能再便宜点，就更好了。', 'star': 5}
{'descr': '条件非常一般，', 'star': 3}
{'descr': '交通比较方便,坐地铁很方便,价格还行,服务基本还行,', 'star': 5}
{'descr': '旺中带静，前台还让服务员帮我们拿行李。房够大，整体还不错。', 'star': 5}
{'descr': '地点靠近繁华路段，房间还可以，关键服务态度比较好，在细节方面乐于帮助旅客，如免费提供地图等。', 'star': 5}
{'descr': '酒店干净卫生，很不错，尤其服务态度很好，地理位置很好，离地铁很近', 'star': 5}
{'descr': '地理位置很方便，离地铁站很近，就是房子有点小', 'star': 5}
{'descr': '地理位置不错。 网线有但是速度太慢了才512KB左右= =希望这可以改进，还有楼下就是棋牌室 网吧 和台球室 下雨没地方去的时候很方便， 就是厕所里的洗头洗澡的那些东西很恶心= =-希望换掉。', 'star': 5}
{'descr': '宾馆环境还不错，价格也便宜，主要是离南京路非常近，火车站下车到新闸路站下，步行就到宾馆。', 'star': 5}
{'descr': '设施有点旧，不过地段很好，物有所值，特别是到南京路步行街很近。', 'star': 5}
{'descr': '非常好，很热情', 'star': 3}
{'descr': '一般，还行', 'star': 3}
{'descr': '、还行吧，卫生不错的，就是下面是网吧，感觉有点不舒服', 'star': 5}
{'descr': '价格与内容相符,总体不错', 'star': 3}
{'descr': '酒店气味不好，下面就是网吧，没有安全感，隔音效果不好。\n', 'star': 1}
{'descr': '价格便宜，交通方便，就是没有电脑。感觉不错啊', 'star': 5}
{'descr': '闹中取静,交通方便.以后还会经常住哦!', 'star': 3}
{'descr': '地点很好，性价比很好', 'star': 3}
{'descr': '离南京西路较远，但是人家价格摆在那里！就洗手间设计部合理！洗澡后洗手间全部都是水！', 'star': 5}
{'descr': '房间卫生条件还可以。服务也不错。 就是房间没有插坐。 有的也没电。 很不方便 ', 'star': 3}
