{'短评内容': '新楼行政房的房间还可以。', '短评打分': 5}
{'短评内容': '酒店地理位置不错旁边就是八百伴，老字号三凤酒家就在旁边，距离王兴记也非常近，但酒店房间实在太老了三星都不如，加之正在装修停车场可以用一塌糊涂来形容，建议装修期间房间价格降下来，不然性价比太低了，据说年底新装修房间可以全部启用，希望那时候可以好些，目前不值得推荐。', '短评打分': 1}
{'短评内容': '+酒店环境不错，物有所值。', '短评打分': 5}
{'短评内容': '行政套房比较陈旧，还有一股味道，需要经常开窗通风才好。', '短评打分': 5}
{'短评内容': '不错！硬件和服务都不错！现在新装修过了。', '短评打分': 3}
{'短评内容': '酒店尚可市中心出行方便', '短评打分': 5}
{'短评内容': '酒店设施比较老了， 现正在进行翻修改造，大堂还不错，就是房间里面看上去跟一般县城的三星酒店差不多。', '短评打分': 5}
{'短评内容': '早到了点时间，看见酒店在装修。本来订的大床房自动升级到商务房，很大的一个大床，听说是新装修的，但是跑去卫生间一看，怎么看怎么都不像新装修的，很陈旧的卫生设施，让我对这家4星酒店印象大打折扣，感觉和经济型酒店的卫生设施没啥大区别。莲蓬很小，没有可移动的。据说装修是为了升5星，我觉得这么着这卫生间都得重新装修，和上海、北京等一线城市的4星不能比。好在服务人员挺热情的，又拉回了点印象分。\r\n\r\n总之，服', '短评打分': 5}
{'短评内容': '酒店个方面杜很不错，可以考虑下次入住。向各位推荐。', '短评打分': 5}
{'短评内容': '无锡的比较老的中高档酒店。在市中心，原本以为会比较旧，这次才发现新装修了，房间很大，大厅也装修得很豪华。不错！', '短评打分': 3}
{'短评内容': '这是一家招牌老店，在市中心方便购物。原来以为会比较旧，这次进去一看，刚装修过，非常豪华，很气派很干净。服务也好！', '短评打分': 5}
{'短评内容': '房间与介绍的完成不符合，感觉很陈旧了，挺别客人说07年只是局部装修了，有些房间没装修，让我怀疑酒店信息的真实性。。', '短评打分': 1}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '总体来说还是很不错的，只是房间设施有些陈旧。', '短评打分': 3}
{'短评内容': '整体还不错，就是感觉有一点点陈旧，不过还算干净。', '短评打分': 5}
{'短评内容': '非常好，干净，安静是突出的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '太旧，不舒服', '短评打分': 3}
{'短评内容': '不是很理想', '短评打分': 1}
{'短评内容': '酒店太旧了，外面正在装修', '短评打分': 1}
{'短评内容': '1）房间里插座太少了，有两个人入住分别要充笔记本电脑和手机电的话都找不到插座', '短评打分': 5}
{'短评内容': 'my friend had a very good stay. will support next time.', '短评打分': 5}
{'短评内容': '设施老旧', '短评打分': 3}
{'短评内容': '房间的设施一般，空间很小', '短评打分': 5}
{'短评内容': '非常老的一家宾馆，与杭州的宾馆比，只能算二星了。就是位置还不错。', '短评打分': 1}
{'短评内容': '位置很好，购物、逛街等都很方便。房间卫生不错，但设施稍微旧了点。不过总体感觉还好。', '短评打分': 3}
{'短评内容': '感觉还不错，要能提供早餐就更好了！', '短评打分': 5}
{'短评内容': '硬件一般...软件不错 \r\n饭店的设施旧了点...服务不错...员工态度很自然...\r\n饭店地段很好 但是受到无锡地铁施工的影响 当前交通不太方便了', '短评打分': 5}
{'短评内容': '交通位置便利.', '短评打分': 3}
{'短评内容': '地理位置不错，只是当时在修路', '短评打分': 5}
{'短评内容': '客人27号晚上就入住了，可我28号下午5点却收到ELONG的短信说酒店没有查到我客人的入住记录。我马上打电话问酒店，酒店却告诉我客人已经按预定的入住了。\r\n\r\n我不知道是ELONG的系统出问题了，还是酒店和你们的联网通讯出问题了。我29号打电话给ELONG你们的服务人员说会去查，查好了会通知我，可到今天了也没人打电话告诉我这个问题处理地怎么样了', '短评打分': 5}
{'短评内容': '地处市中心,出行方便.', '短评打分': 5}
{'短评内容': '设施有点旧，住着还可以', '短评打分': 5}
{'短评内容': '房間有些舊', '短评打分': 5}
{'短评内容': ' bucuo', '短评打分': 5}
{'短评内容': '酒店外到处修路，中规中矩的星级酒店，没有特色', '短评打分': 1}
{'短评内容': '硬件一般...软件不错  饭店的设施旧了点...服务不错...员工态度很自然...饭店地段很好 ', '短评打分': 5}
{'短评内容': '地处市中心,交通便利.', '短评打分': 5}
{'短评内容': '老四星了,位置好,还算行了.', '短评打分': 5}
{'短评内容': '酒店位置好，但目前门口修路，进出不方便，短期内不会推荐朋友入住。房间服务员态度不够好。酒店设施偏老，总体上酒店在同级别酒店中马马虎虎。', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店太老，位置很好。', '短评打分': 1}
{'短评内容': '位置优越，交通便利，设施旧了些，旁有三凤桥酒家，总体可以。', '短评打分': 3}
{'短评内容': '性价比还行  地段很好 出行比较方便', '短评打分': 5}
{'短评内容': '4个人一起入住，感觉还可以。最主要的是地点很好，市中心的中心，出门左可以去南禅寺（热闹），右可以去崇安寺步行街，出门就是中心，如果第一次带客人或自己来无锡想知道无锡市街的特点，建议住这里。早餐也很好。就是设施感觉稍微旧了点，不过比国际饭店好。另外好打车，门童也满好的，帮助叫车。散步时路过不远的鸿运酒店，感觉鸿运酒店很旧（曾经想住那里）。如过有外宾还是建议住锦江。', '短评打分': 5}
{'短评内容': '地點很好,其他乏善可陳.旋轉餐廳尤其難吃,服務怠慢,菜也不乾淨,沒有四星的水準.', '短评打分': 1}
{'短评内容': '说实话，这个价格非常不值！早上很早就开始装修，而且事先没告之，觉得这很不好，房间的电视点播很黑，主要是界面不清楚，随便一点播，100元！下次去无锡100%不会再住了。', '短评打分': 1}
{'短评内容': '酒店整体比较老旧了,跟不上现代社会的需求了,卫生服务这些还说的过去,不推荐的酒店.', '短评打分': 3}
{'短评内容': '唯一不好的是酒店在接收客人的快件的时候太死板造成客人不便。这个客人广州有家工厂寄快件给客人，白天已经到了酒店总台，但酒店因为客人还未入住就不予签收，接受客人晚上入住第二天离店也未能收到该快件，造成了很大的不便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没完没了的施工', '短评打分': 3}
{'短评内容': '装修开始的时间太早了，一大早就吵醒了，餐厅关的时间太早了，9点以后就没东西吃了。', '短评打分': 5}
{'短评内容': '位置很好，就是设施差了点。这次去在装修升级5星，早上8点就开始开工了，晚上还好没有施工', '短评打分': 1}
{'短评内容': '还好吧。但不能再差了。', '短评打分': 5}
{'短评内容': '位置很好,酒店里面也很干净,就是设施有些旧了,相对同等条件的酒店,这家有些贵了.', '短评打分': 3}
{'短评内容': '设施比较老旧\r\n', '短评打分': 1}
{'短评内容': '位置很好，设施陈旧，停车困难，服务一般', '短评打分': 1}
{'短评内容': '房间比较干净，服务也不错，就是设施比较一般，要是价格在低点性价比就更好了 ', '短评打分': 3}
{'短评内容': '酒店卫生很好，很干净，就是位置偏了些，服务也很热情周到，我当时预定的大床房，感觉床的尺寸较小。总体来说性价比比较合适。', '短评打分': 3}
{'短评内容': '环境还好，价格偏高', '短评打分': 5}
{'短评内容': '只住了一晚，感觉还不错。', '短评打分': 5}
{'短评内容': '酒店很差，很不干净，而且达不到四星级标准，也没享受到什么服务，整体感觉很不好，下次在也不会去住了\n', '短评打分': 3}
{'短评内容': '酒店很差，很不干净，而且达不到四星级标准，也没享受到什么服务，整体来说挺好的', '短评打分': 3}
{'短评内容': '酒店的服务卫生都很好的，设施有点陈旧的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店还是挺好的,是家四星级的,所以各方面的条件还是比较不错的,不过就是价格有些偏贵,所以要看情况选择.', '短评打分': 5}
{'短评内容': '酒店的位置非常好,在市中心,交通很方便的,酒店有些老了,但是服务卫生以及房间的设施都还可以的,性价比还可以的酒店', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '每年来这边都会选择这家酒店,感觉一直都很不错,性价比比较高,但是今年的价格好像比以往稍高一些', '短评打分': 5}
{'短评内容': '价格贵了点。', '短评打分': 5}
{'短评内容': '酒店挺好的,干净舒适,还是比较符合我的要求的;位置也不错;', '短评打分': 5}
{'短评内容': '房间装修很差，达不到4星的标准，地理位置很好，服务也不错，也很干净', '短评打分': 1}
{'短评内容': '上次是比较匆忙的预定的，觉得酒店太老了，设施太旧，别的还可以，交通也比较便利，出行方便', '短评打分': 1}
{'短评内容': '酒店的位置很好出行很方便,服务卫生都非常好,设施环境也还不错,就是觉得价格有些偏高.', '短评打分': 5}
{'短评内容': '酒店的地点非常好，市中心方便的很，但是就是房间老了点东西旧了点，其他尚好，下次出差还会住着方便！', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '位置还好.就是性价比不高,早餐能改善一点.&lt;br /&gt;\n&lt;br /&gt;\n上网改成免费.', '短评打分': 3}
{'短评内容': '有点旧,什么时候重新装修啊?', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;相对价格有点贵，不过地理位置不错，处于市中心，而且旁边无锡烤鸭点也有，K歌和打保龄球的地方也有。商务出行比较便利&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我上星期入住的，总体感觉一般，和四星级有差距，大堂人杂，卫生间旧了一点，我也不知道为什么吹发器按那么高，供水冷热也不正常，前台的服务还不错！&lt;br /&gt;\n交通是绝对方便的，周围就是商业中心。', '短评打分': 3}
{'短评内容': '刚刚去住过，感觉还不错，不过酒店的大门口走动的人太多，有的时候出租车都不好进去，还有，从火车站方向到酒店，看到楼很高，但底层有很多烤鸭馆之类的地方。总体感觉还不错', '短评打分': 3}
{'短评内容': '房间不错,早餐不好', '短评打分': 3}
{'短评内容': '去年我有去过这家酒店，服务还不错，虽说房间设施老套点不过卫生条件还不错，大家知足吧，这样的酒店让你花五六百还可以，你要是去了北京的越秀大饭店，相信你会非常怀念无锡锦江大酒店的！！！', '短评打分': 3}
{'短评内容': '标准的二星级酒店，硬件设施距4星级相差太远，唯一只有酒店外观...,比喜来登差至少3个级别。', '短评打分': 3}
{'短评内容': '服务生喜欢在背后议论服务的对象，态度一般，比较的僵硬，自助早餐越来越差，再下去就要变猪食了。', '短评打分': 3}
{'短评内容': '有宽带上网,不过标房没有.&lt;br /&gt;\n有HBO没有凤凰电影.&lt;br /&gt;\n市中心,唯一的必胜客在旁边.&lt;br /&gt;\n服务不错.', '短评打分': 3}
