{'短评内容': '周围都是老胡同，可以到处逛逛，老板也很热情。', '短评打分': 5}
{'短评内容': '驴友的驿站，不错。有北京的特色。就是院子太小了，一家人坐下来，其他房间的人只能在房间里待着了', '短评打分': 5}
{'短评内容': '才有时间上来点评，不好意思。\n这是我网上订酒店最满意的一次！四合院非常精美，房间（大床间）够大，布置的也很不错，冬天除暖气外还有一部暖气空调，非常舒服。带着来自西班牙的家人来住，都对四合院赞不绝口！掌柜的小伙子们也很热情，服务很周到！谢谢了！', '短评打分': 5}
{'短评内容': '周围工地漫天的扬尘，出门迎接你的便是公共厕所，如果你想体验老北京四合院的感觉的话，一定不是这么一个袖珍的，简易的，仅仅带一个类似于小天井的小房子。老板惜字如金，要求入住前必须交完所有的房费，然后在他漠然淡定的目光注视中入住一个“豪华”双床间，居然发现没有洗脸毛巾，电视是那种超出想象的袖珍型，房间一股异味挥之不去。。。。。，出门前为了锁那个破门，耗费了20分钟的时间，就这么个伪四合院，这么个条件，居', '短评打分': 1}
{'短评内容': '今天入住酒店，也不像别人说的太难找，我们很快就找到了，主要是老板告诉了我们详细的走法，我告诉的士大哥，就把我们送到了。环境挺好，一进门我们就一个劲地拍照，东南西北方向都拍遍了，我们终于住到了北京最地道的胡同四合院房子了，很漂亮！客店的老板服务态度也很好，我们玩得很开心！', '短评打分': 5}
{'短评内容': '如果对四合院感兴趣去住一晚体验一下还可以，其它都不好。', '短评打分': 1}
{'短评内容': '还好, 房间有点小, 热水不行......', '短评打分': 3}
{'短评内容': '小小的，房间古色古香，离有名的南锣鼓巷只有几步路，离后海也只有10分钟以内的步行距离，不过有点不好找。在鼓楼东大街的齐天楼烤鸭店对面的小巷里，掌柜出来接的，不然真找不到，不过闹中取静，不错！ \n', '短评打分': 5}
{'短评内容': '小小的，房间古色古香，离有名的南锣鼓巷只有几步路，离后海也只有10分钟以内的步行距离，不过有点不好找。在鼓楼东大街的齐天楼烤鸭店对面的小巷里，掌柜出来接的，不然真找不到，不过闹中取静，不错！', '短评打分': 5}
{'短评内容': '酒店装修很有特色，但洗手间设备很简陋，与这么高的房费不符。', '短评打分': 3}
{'短评内容': '合家立四合院不错，位置也不错到哪儿都方便', '短评打分': 5}
{'短评内容': '地理位置不错，出去是热闹的鼓楼东街和南锣鼓巷，服务也很好。就是有点难找。', '短评打分': 5}
{'短评内容': '还可以，距离后海、南锣鼓巷等很近。旁边有家地道的北京风味餐厅不错，名字是“鼓楼缘”。建议去尝尝。这家酒店很有老北京的感觉，服务不错，建议三两对朋友或小型家庭旅游团可以选择。', '短评打分': 5}
{'短评内容': '服务很好，让长期定居国外的我们有了回家的感觉。', '短评打分': 5}
{'短评内容': '对这家四合院环境非常满意，酒店的配置硬件设施也都非常不错，很有老北京的感觉。', '短评打分': 5}
{'短评内容': '非常不错的四合院酒店。地理位置优越，环境也很不错，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店比较人性化，家庭式的酒店环境不错.虽然房间比较小一些不过很舒适.距离鼓楼比较近，很有老北京的文化.', '短评打分': 5}
{'短评内容': '总的来说还满意，住的是380价格的那个房间，挺安静的。也很舒适，离南锣鼓巷很近，还有鼓楼，后海等都可以走着去。去的时候住的人不是很多，就看到一老外住我们隔壁，如果人多点在那里住住，喝喝酒，聊聊天也挺好的。房间给我们的那个不止16方，应该在20多方，不过我看了其他的房间确实挺小的。推荐住这家。', '短评打分': 5}
{'短评内容': '服务员不错，帮我们挑路线定景点，服务的很周到。', '短评打分': 5}
{'短评内容': '之前还怕房间小呢，到了之后很满意，房间宽敞明亮，还收拾的很干净，老婆觉得很性价比很高。', '短评打分': 5}
{'短评内容': '胡同、四合院，旅馆很有老北京风味，很喜欢。', '短评打分': 5}
{'短评内容': '是个四合院，一点都不喧闹，很宁静，非常喜欢。', '短评打分': 5}
{'短评内容': '离后海、钟鼓楼、什刹海都很近，出去溜达很方便，比较满意。', '短评打分': 5}
{'短评内容': '小旅店周围的交通还是很方便的，距离鼓楼，后海都很近，距离地铁也是很近的，很是方便出行', '短评打分': 5}
{'短评内容': '旅店的服务很好，而且房间也很棒，古色古香的，即具有老北京四合院的特色又有家的味道，感觉很好', '短评打分': 5}
{'短评内容': '老板为人很好，很是热情，服务很是周到，在院子里还有一些植物，装饰的很不错，是整个四合院显得很有生气，并且早餐在院子里吃的时候很有意思', '短评打分': 5}
{'短评内容': '总的来说很棒但是，唯一感觉不足的就是浴室不是十分干净，并且浴室不大，可能是房屋局限性到这的吧，我们住的是大床房，床很大，可能这导致了浴室很小的原因', '短评打分': 5}
