{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '单人间再一次升级豪华间啦\n\n吃了早点，样数太少', '短评打分': 5}
{'短评内容': '单人间免费升级豪华间，比较爽哦。餐厅早点不值', '短评打分': 5}
{'短评内容': '地段好，环境也不错。去和平里附近办事的可以去住住。', '短评打分': 5}
{'短评内容': '酒店设施和服务都令人满意，但价格稍高。希望酒店在保持优点的同时，多提供优惠服务。', '短评打分': 5}
{'短评内容': '酒店前台服务要改进，好像业务不熟悉', '短评打分': 3}
{'短评内容': '酒店位置丶设施及服务都不错，就是价格稍高。', '短评打分': 3}
{'短评内容': '免费升级到豪华大房间的感觉很好', '短评打分': 3}
{'短评内容': '房间空间大但临街的噪音大', '短评打分': 3}
{'短评内容': '这个酒店还行吧，下次可以入住。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺不错的~ 就是伙食不好  房间还是很舒服的', '短评打分': 5}
{'短评内容': '哪都好，餐厅不怎么样。华而不实、价高。\n\n即便按四星标准，也不要如此。', '短评打分': 5}
{'短评内容': '基本还行。就是饭菜不行。。。\n交通也不是很便利。', '短评打分': 5}
{'短评内容': '酒店交通方便，硬件不错，服务也好，适合商务人士入住。', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '酒店条件不错，交通方便；山西人开的，饭菜也可口，只是晋味楼的饭菜价格较高。', '短评打分': 5}
{'短评内容': '酒店条件不错，位置较方便，价格较合适，大家可以入住', '短评打分': 5}
{'短评内容': '不错，开会的人很多，服务还可以，价格再低点就好了。', '短评打分': 5}
{'短评内容': '非常好非常干净，交通非常方便，适合商业人士入住。', '短评打分': 5}
{'短评内容': '免早为什么不送呢？据说山西老板很赚钱哦。小处见大，勿以善小而不为哦', '短评打分': 5}
{'短评内容': '商务气息较浓的酒店，除餐厅性价比较差外，其他还好', '短评打分': 5}
{'短评内容': '出行方便，条件很好，位置好-对于出行办事很方便.硬件条件和卫生也不错,美中不足不带早餐 !\n', '短评打分': 5}
{'短评内容': '为什么平时价格比周末价格高？推荐，感觉还可以。', '短评打分': 5}
{'短评内容': '这个酒店性价比很高，服务很好，环境，设施都很到位。只不过暖气不好，希望改进。 \n', '短评打分': 5}
{'短评内容': '这个酒店性价比很高，服务很好，环境，设施都很到位。', '短评打分': 5}
{'短评内容': '房间里没有暖气，是为了节能？退房时间太长了。和以前比没有达到4星的标准。', '短评打分': 1}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '凤展酒店交通便利，设施齐全，性价比高。', '短评打分': 3}
{'短评内容': '房间大，交通方便，不错。以后来北京还要住这里。', '短评打分': 5}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '酒店不错，遇接待会议车位紧张（停车服务人员年令偏大、无服务意识），希望客房价格更贴近实际些', '短评打分': 5}
{'短评内容': '438的标房，其实还有一个外间的会客室，只是客房就显得小了些，如果做商务旅行的话比较值得', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '地理位置不错，周末免费升级上一档次的房间，面积挺大，就是酒店设施比较旧。', '短评打分': 3}
{'短评内容': '酒店位置不错，就是设施有点旧，餐厅太一般。', '短评打分': 5}
{'短评内容': '房间有些小，感觉跟有些4星级的酒店差点。', '短评打分': 1}
{'短评内容': '因为公司培训地点的位置，临时在这儿住了一次，感觉比较中规中矩吧，没有什么给人留下很深印象的地方。', '短评打分': 1}
{'短评内容': '房间很干净，设施很齐全，服务很好，很舒服，不错，性价比高', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '不错的宾馆', '短评打分': 5}
{'短评内容': '出行方便，条件很好，美中不足不带早餐', '短评打分': 5}
{'短评内容': '单人间免费升豪标周末版还可以，优惠再多一些更好', '短评打分': 5}
{'短评内容': '酒店位置是在地坛公园的西门附近，离国家人事部很近～', '短评打分': 5}
{'短评内容': '单人间免费升级豪华标准间，比较爽哦。前台人手忙的时候等待的时间略长，希望改进！', '短评打分': 5}
{'短评内容': '+酒店可以', '短评打分': 5}
{'短评内容': '位置还是挺好的，去景点很方便，酒店价格不便宜，因为没有早餐劵，也没在酒店用餐，总体感觉一般，因为一个朋友在附近住才选这的。', '短评打分': 5}
{'短评内容': '常来这里，楼下“晋味楼”菜肴尚可，价格过高', '短评打分': 5}
{'短评内容': '都挺好的~蚊子有点多~', '短评打分': 5}
{'短评内容': '酒店性价比还是蛮高的，而且位置非常好对于我出行办事很方便.硬件条件和卫生也不错.', '短评打分': 5}
{'短评内容': '酒店位置好，服务不错', '短评打分': 5}
{'短评内容': '停车位紧张，只能停车在路边。将浴巾挂在门后，结账时说找不到浴巾，耽误了很长时间，虽然升级了房间，可是朝路边，很吵', '短评打分': 1}
{'短评内容': '帮同事预订的，反映还不错', '短评打分': 5}
{'短评内容': '酒店位置好、房间舒适，就是早餐不太好。', '短评打分': 5}
{'短评内容': '除了位置好，其他一般般。价格还算实惠', '短评打分': 1}
{'短评内容': '这家酒店还不错，大床舒服。价格偏高。', '短评打分': 3}
{'短评内容': '还好，价格偏高。', '短评打分': 3}
{'短评内容': '总体不错的一间酒店，价格偏高。', '短评打分': 5}
{'短评内容': '酒店新，服务还不错。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，服务感觉与四星不服，前台办理速度过慢。酒店价格相对较高。', '短评打分': 5}
{'短评内容': '整体来说差点，就这样价位的房间配置和空间有点不足。另外前台给人的感觉冷冰冰，屋里太紧凑了，难以回转两人。', '短评打分': 1}
{'短评内容': '酒店的硬件条件还算不错的，位置也挺方便的，服务很不错，房间干净舒适，比较满意。', '短评打分': 3}
{'短评内容': '客人提意见，服务员可能报复', '短评打分': 1}
{'短评内容': '我对酒店相当满意,觉得下次再过去还是会入住的.', '短评打分': 5}
{'短评内容': '酒店很整洁，内部设施可以和4星的相比，服务质量优秀！遗憾的是房间里暖气开得太足了，脱光了衣服还嫌过热呢！！不过总得来说是可以的了！！！我下次去北京还这！！！！', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '房间内的条件应该说是三星或更高。大堂和外观可以感觉是三星的。至于其它，房间的隔音效果一般，门外的说话声音很清晰；交通一般，如果你想坐地铁要多考虑；', '短评打分': 3}
{'短评内容': '的确有骚扰电话，但不是酒店内部的，是外面据点里打进的，只要在房间电话上按照说明设置好“免打扰”的功能就可以了。', '短评打分': 3}
{'短评内容': '不错的酒店房间给我的感觉很舒服推荐所有朋友入住', '短评打分': 5}
{'短评内容': '不好,晚上有小姐骚扰~~', '短评打分': 3}
{'短评内容': '十一我想和女朋友住这里，可以男女同住吗', '短评打分': 3}
{'短评内容': '可以一男一女同住吗?需要的押金多少?', '短评打分': 3}
{'短评内容': '这里商务间和标准间有什么区别；&lt;br /&gt;\n对了这里能上网吗，如何收费', '短评打分': 3}
{'短评内容': '硬件设施不错，离安定门地铁很近，在地坛体育馆对面，服务也好。', '短评打分': 3}
{'短评内容': '这家酒店还可以，方便，也还有些情趣。', '短评打分': 3}
