{'descr': '条件不错，如家还是值得信赖', 'star': 5}
{'descr': '酒店的位置特别好，4号线大连路3号出口到酒店走路几分钟就到了，非常方便。我们订的特惠房，价格还挺好的，房间挺大的，也很干净，不过没有窗户，短住几天应该没问题。不过房间不隔音，隔壁说话的声音就好像直接在耳边说话一样。前台的服务也还可以的。', 'star': 5}
{'descr': '空气不是很好，但是这个价格也就这样了。附近很方便，离地铁四号线大连站很近。', 'star': 4}
{'descr': '第一印象还行，套房就是两个小房间，还算整洁，房间有点味道', 'star': 3}
{'descr': '为了离医院近选择的这家酒店，一般了，空间太小了，订的大床房给了家庭房，房间空间很小，饮水机还坏了，最讨厌的是有虫子。服务态度还行。', 'star': 1}
{'descr': '服务态度不错，结账后仍然可以免费寄存行李，交通方便，外滩，城隍庙都很近，唯一不足的地方是房间的隔音效果不是很好，而且没有窗户。', 'star': 5}
{'descr': '我想应该是白天逛得太累，晚上睡得特别舒服...环境卫生都不错....下次一定再次入住！', 'star': 5}
{'descr': '整体上还比较实惠，不过窗户太小了，隔音效果太差了，半夜听隔壁的声音，简直是现场直播。', 'star': 3}
{'descr': '整体还可以  离外滩较近，一出去就可以看到东方明珠  房间较大，舒适、温馨感是固有的好', 'star': 5}
{'descr': '100多的宾馆，大致还算可以，住了5天，一天没热水，一天没空调，希望以后加以改进', 'star': 5}
{'descr': '还可以吧 不过没有窗户的房间感觉总是怪怪的', 'star': 5}
{'descr': '房间有点小，不过还算干净，要求不高得话，还算实惠', 'star': 5}
{'descr': '还不错，屋子挺宽敞，不过就是没有窗户，感觉有点闷', 'star': 5}
{'descr': '离地铁站很近,去外滩城隍庙也很方便,房间有点小,不过总体还可以…', 'star': 3}
{'descr': '价格比较适中~~交通较为便利~~旁边200米就是4号线大连路站的3号出口~~\n不过这两天过年正好赶上海伦路施工，四号线变成了区间运行~~\n\n不过早餐的确种类太少~~不太像如家的风格啊~~\n房间内有宽带，但是无线上网只能在大堂里~~有点儿小缺憾~~\n冬天的晚上在大堂上网还是有点儿冷的啊~~', 'star': 5}
{'descr': '还不错，房间宽敞', 'star': 3}
{'descr': '酒店不错，环境挺好的，服务态度也很好，下次还会来', 'star': 5}
{'descr': '干净，搭车方便，就是卫生间太小，转不过身，隔音太差，一大早工作人员不停在走廊大声聊天打扫，没法睡', 'star': 3}
{'descr': '位置超方便，毛巾有点旧，每种房型实际都有没有窗户的房间，即使跟你说有窗户的房间，要不就是卧室没有窗户，要不就是客厅没有窗户。所以，一定要确认好：卧室和客厅都要有窗户', 'star': 5}
{'descr': '位置便利,出行方便,酒店隔音差,价格实惠', 'star': 3}
{'descr': '酒店位置不错，价格还算可以，但是 服务态度有待提高，早餐有点单调！房间空调不管用。', 'star': 3}
{'descr': ' 很幸运的换成了套房，还不错，交通方便', 'star': 3}
{'descr': '这家还不错，房间挺多，交便利', 'star': 3}
{'descr': '离地铁4号线大连路站3号出口非常近，附近超市，水果摊，吃饭的地都有', 'star': 5}
{'descr': '交通方便，去外滩也可以走的去，打车去外滩也方便。', 'star': 5}
{'descr': '非常不错  靠近地铁  我住的标准间  还可以从窗户看到东方明珠', 'star': 3}
{'descr': '交通方便，去外滩也可以走的去，打车去外滩也方便。', 'star': 5}
{'descr': '＋住宿条件较好', 'star': 3}
{'descr': '价廉物美，在上海算是不错的了，还有就是比较方便，靠近地铁，出行两分中就到地铁口，房间虽小，但是也就晚上睡觉，电视比较小', 'star': 5}
{'descr': '这次给朋友预订，朋友也说不错，性价比很高！房间虽然有点小但是五脏俱全，服务也相当周到，想要借电吹风，前台很快就送上来了！旁边就是地铁口，公交车站也很多，挺方便的！', 'star': 5}
{'descr': '服务很好，房间很干净，挺舒服的，关键是房价很给力，还在地铁旁边，真是相当方便啊，下次来上海还是会选择这家。', 'star': 5}
{'descr': '酒店服务很好,地理位置也很好', 'star': 3}
{'descr': '1、完全没有如家的品质，还是如家的水准现在下降到这个地步。\n2、大床房，没有窗？\n3、房间密布。很压抑。\n4、到处都是旅行团。\n5、早餐外包，15元自助，只有几个馒头与玉米粥，还贴大广告，忽悠人去吃。\n\n我想我以后不会再住这家店了，比旅馆还不如。\n\n', 'star': 1}
{'descr': '房间布置很温馨，唯一就是没有窗户，便宜啊...', 'star': 5}
{'descr': '总体来说这家还是不错的，价格也好，下次还会入住的！', 'star': 5}
{'descr': '位置不错，地铁边上，去外滩什么的玩也挺方便', 'star': 5}
{'descr': '各方面都还可以，位置也挺不错，周围环境较好，值得推荐', 'star': 5}
{'descr': '交通很方便，紧邻4号线大连路出口。房间挺大，很干净，住的挺舒。连住了两晚，下次首选。', 'star': 5}
{'descr': '1、坐地铁比较方便，离地铁站很近，\n2、定的特惠房，房间隔音很不好，。。。。。。声声入耳\n3、浴室的水压太小，水不好调，\n4、一分钱一分货，', 'star': 5}
{'descr': '房间很闷，没有窗户，这个时节只有热空调，又闷又不通风，一股怪味道，电视很小，隔音很差，门外来来往往的脚步声和说话声不绝于耳，装修完全不是如家一贯的风格，感觉很山寨，硬件差也就算了，更让人不满意的是，房间打扫人员的服务态度，当要求更换干净的毛巾时得到的却是一句冷冷的回答加白眼：“酒店规定，第一天入住的住客不给更换”，全国的如家的都有这个规定还是只有你这一家呢？确实，在欧美一些经济型酒店，因为劳动力成', 'star': 1}
{'descr': '世博期间房价偏高，不过交通很方便。设备有点旧', 'star': 5}
{'descr': '为什么强制评论，一个借壳上市的公司，就靠这个吸引用户吗？承诺的优惠都不能兑现', 'star': 1}
{'descr': '你要是住了这家店，你就后悔了，我当时订的是大床房，但床却是单人床，很小，而且空调是中央空调，开到最大也象没开一样，过道很窄很窄，是那种老公楼改建的，很阴森，象停尸房.房间里的设备很老很差，早上被过道里其他房间的开门声吵醒好几回.环境应该是如家里最差的吧.别看地理位置好，那边在装修，也很乱的.', 'star': 1}
{'descr': '性价比高、交通便利，出门2分钟就是地铁4号线', 'star': 5}
{'descr': '特价房实在是很差。没有窗户是肯定的。但是最让人受不了的是供暖不好。晚上睡觉不盖被子一定是不行的，就是在房间待着看电视，也要穿着衣服。中央空调根本不管用。热水也很是问题，一共住了三天，头两天还勉强。第三天干脆就坏掉了，没有热水。第一次询问前台，说正在维修，三十分钟之后可以用。第二次直接就说不知道什么时候能好了，结果第二天早上退房的时候也没有好。在前台退房的时候，听见客人打电话询问，值班经理一个上海女', 'star': 1}
{'descr': '地理位置极佳，距离地铁4号线大连路站咫尺之遥。酒店房间偏小，不过还算干净。', 'star': 5}
{'descr': '条件还可以，就是卫生间太小了，让人感觉不舒服。其他都还可以。', 'star': 3}
{'descr': '还不错，服务和环境都可以，就是早餐单调了一点', 'star': 5}
{'descr': '大床很舒服。洗澡热水很好。但房间小了点。缺少一床头柜', 'star': 5}
{'descr': '我住的是标准间,不是特惠的那种,房型较差,比较吵,洗浴水管是坏的,上午和前台说了,晚上没修好.\n晚上又换了一个房间,门是坏的,上下跑了无数,才派个服务员来开门.\n设施一般,卫生间较差.\n和我住其它的如家简直是质的区别.\n如果不贴如家,可以算是个一般小旅馆.\n只不过交通方便些,在四号线大连路的出口.\n', 'star': 1}
{'descr': '还不错 比较方便 适合办事下榻 总的来说条件还可以吧', 'star': 5}
{'descr': '常来吉林出差，第一次入住如家上海路店。感觉不错！地理位置在市中心，商务房很宽敞，上网也方便。价格适中，服务人员态度好。今后来吉林还要入住这家饭店。', 'star': 5}
{'descr': '简单舒适，价格适中，地理位置也不错。值得推荐。', 'star': 5}
{'descr': '还是很凑合的，随便住住还可以，不要期待很多', 'star': 3}
{'descr': '位置看似有些偏，但是在地铁四号线大连路站，长阳路出口出来只几十米就可以到了，还是很方便的', 'star': 5}
{'descr': '还行，没有吹风机，设施还凑合，总体还不错', 'star': 5}
{'descr': '酒店挺干净的，环境也不错，希望以后还有机会入驻！', 'star': 5}
{'descr': '除了地点交通极其方便，出门不久就有地铁外，其他的都好一般了，性价比不高，不过考虑到上海地区的价格，还凑合。没有窗户，隔音效果不太理想', 'star': 5}
{'descr': '靠近地铁4号线，到世博园和火车站都非常方便，房间不大，但干净整洁，性价比比较高。', 'star': 5}
{'descr': '不错，我每次都住哪，推荐！！！！！！！！！！！！！！！！1', 'star': 3}
{'descr': '很好，我一直住这里，条件好，有活动，推荐！！！！！！！！！！！！！', 'star': 5}
{'descr': '服务太差了,然后房间就象在大街上,隔壁和对面的游客做爱的声音就象在旁边偷窥', 'star': 1}
{'descr': '隔音差，房间小，空气混浊。电梯经常坏。还停电！', 'star': 1}
{'descr': '还不错，标准间还不错，特价无窗的有点闷，不过考虑到世博期间价格还不错，关键是到秦皇岛水门只有一站地铁，很方便。', 'star': 3}
{'descr': '不错，我很喜欢，我会经常关顾，！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '马马虎虎，房间太小，而且没有热水壶等等设备', 'star': 3}
{'descr': '干净，安静。交通方便。周围的饭店也比较多。', 'star': 5}
{'descr': '不错,很好，我很喜欢，下次还去！！！！！！！！！！！！！', 'star': 5}
{'descr': '马马虎虎', 'star': 5}
{'descr': '房屋的空间比长春的大点，其它就是如家一惯作风差不多了', 'star': 5}
{'descr': '交通不错,购物比较方便。服务一般，设施一般。', 'star': 5}
{'descr': '如家快捷总体来说还好，但一条致命的缺点就是不讲信用。我在网上预约如家快捷上海大连路店确定后两次打电话至店确定有房（因为我担心世博会期间房间比较紧张），但我8月25日到店后被告知房间坏了，把我们转移到另一家小店里住，但我始终就是不明白房间怎么坏了呢？后来通过他们的职工了解到，可能是被领导做人情让其他旅客住了。为了人情连诚信都不要了！无语！!!', 'star': 1}
{'descr': '除了离地铁近没什么优点，酒店设施完全不是如家标准配置。服务和卫生都不是如家水平。', 'star': 1}
{'descr': '干净，整洁，交通极为便利。', 'star': 5}
{'descr': '酒店还不错，现在这个时间能有房间住就可以了，卫生条件还可以，床也挺舒服', 'star': 3}
{'descr': '酒店很干净，我定的标准间还帮我升级到三人间，正好我们三个人通行，住起来更舒服，离地铁4号线很近很近，就是隔音不好，旁边房间的水声都听得见', 'star': 5}
{'descr': '再也不住这里了!房间小的连转身的地方都没,而且房间是改装的,隔音很差,卫生间小,门还很容易装到淋浴房.感觉都很陈旧,而且床居然有一个是坏的!毛巾都用了不知道多少年了,感觉白色里发黑,还好自己带了毛巾!服务员就那么两个,感觉是老板为了节约开支精简了人员,在前台办事都要等.电话响了很长时间都没人接.有的时候热水跟冷水一样,有时候又烫的很.以后再也不住这里了!', 'star': 1}
{'descr': '当初预订时就想选择交通方便的，这家如家离4号线大连路出口自己有200米左右，非常的方便！值得称赞的是，特价双标房没想到床型竟然是一张双人床，一张单人床，我和老婆带着孩子，三个人正正好！我比较满意的也只有这两点了，其他方面，都是因为世博，导致订房也困难，价格也高得离谱！预定的特价标间，平时应该只有180元，现在世博期间竟然要到360元，没办法，就这也很难订到！酒店门口就有一家便利店，看世博，我感觉离', 'star': 1}
{'descr': '位置不错，早餐还可以，整体结账速度偏慢，希望提高。', 'star': 5}
{'descr': '很一般,与传闻中的差很远.入住后进到房间居然还没打扫卫生.房间小,毛巾等用品都很差.', 'star': 5}
{'descr': '+位置很多.靠近地铁站.但房间隔因不好.', 'star': 5}
{'descr': '最大的感受是方便，位置好，交通非常方便，地铁、公交就在旁边，一楼的便利店真的带给了便利，我们很晚才回到酒店，但仍然可以吃到可口的快餐饭及新鲜的蔬菜沙拉，附近又有水果店，而卫生、服务、设施等都算OK，只是房间隔音差点，个别房间空调有点问题，但总的来说，性价比高，比较满意。', 'star': 5}
{'descr': '洒店最值得选择的地方是离地铁站较近，走路只需几分钟。床睡得挺舒服的，一楼的餐厅吃得还算可以，不过二楼茶餐厅的早餐就超不值，十五元没有什么好吃的。我们订的是标间，感觉好挤、好小。房间靠着马路边，白天晚上的车的声音都挺大的。卫生还不错，不过浴室的毛巾颜色旧旧的。', 'star': 1}
{'descr': '酒店还不错，离地铁也很近，蛮方便的。下次去还住那', 'star': 5}
{'descr': '挺长时间了，忘记点评了，感觉非常好，特别是服务，酒店的前台赵健经理服务非常好，我们提前到了，帮我们临时安排了附近的如家酒店入住，非常感谢！', 'star': 5}
{'descr': '太陈旧了，前台的工作效率低，态度差，不会再入住或推荐', 'star': 1}
{'descr': '条件很好，离地铁很近…', 'star': 5}
{'descr': '上午已办理入住手续，感觉交通很方便，环境还行，房间也干净简洁。不错，推荐。', 'star': 5}
{'descr': '酒店地理位置不错，住的数码大床房，卫生条件还不错，也比较安静，但窗子太小，酒店服务非常一般，态度不怎么样。也许是因为地理位置不错，且是世博期间，颇有些皇帝的女儿不愁嫁的感觉，较之前的杭州和苏州的如家在服务上差距明显，整体感觉非常一般。', 'star': 1}
{'descr': '地点好，服务好，房间大', 'star': 5}
{'descr': '位置不错。里面设施也不错', 'star': 5}
{'descr': '标准间没有窗户，最后一天没有冷水。', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '商务大床房的房间很大，位置也很方便。', 'star': 5}
{'descr': '交通便利', 'star': 5}
{'descr': '交通方便，地铁和公交站都很近，价格因为世博确实高了，买东西楼下就有便利店还行', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店设施旧，与其他餐厅混合一起，感觉非常不好，且房间浴巾有消毒的异味。', 'star': 1}
{'descr': '离地铁4号线出口200米，交通便捷；单人房不大10平米左右，但很干净，卫生较好；能上网，网速挺快，空调效果也很好，总的来说性价比较高。', 'star': 5}
{'descr': '比较干净，但是饮食和服务一般，且餐饮价格较贵。地点比较方便，室内比较大，但是太空了，最好能增加沙发。浴室没有浴缸。', 'star': 3}
{'descr': '会客非常麻烦，需要客人出示身份证才能上楼。否则就只能在楼下大厅。楼下大厅没有会客的地方；餐厅食物太贵，不好吃；房间很大，就是太空，没有沙发。', 'star': 1}
{'descr': '前台服务员服务态度不好，没有人情；整天说什么警察回来检查，不让朋友上楼做客，但是我住了3天都没有看到有警察来过；吃的东西食物超级贵。', 'star': 1}
{'descr': '总体来说还可以，但是特价大床房是一般，标间尚可。酒店位置方便，交通方便，装修有点旧。', 'star': 1}
{'descr': '酒店优势在于：位置好、比较安静，服务一般般。附近的环境都方便，旁边有超市、水果店等等，价格也都便宜。交通方便，地铁站三分钟。\r\n劣势在于：酒店配置不好，设施不多，特价大床房不推荐，没有窗太闷。', 'star': 3}
{'descr': '特价大床房不推荐，其他房间还可以，标间还是蛮好的，比较安静，位置也不错。', 'star': 1}
{'descr': '希望如家能提供电脑租赁服务', 'star': 5}
{'descr': '千万不要住特价房!\r\n宁愿多花点钱!', 'star': 3}
{'descr': '不错 位置非常好  设施有时会有故障 不过服务挺好', 'star': 5}
{'descr': '还不错，性价比比较高', 'star': 5}
{'descr': '卫生干净、交通便利、购物方便。', 'star': 5}
{'descr': '别信特惠房！\r\n多花点钱吧！呜呜&#183;', 'star': 5}
{'descr': '总体来说不错。住的商务大床，就是设施少了点，房间大 只有一张床和一个电视桌台，显得有点空。。。', 'star': 5}
{'descr': '酒店的餐厅不能送餐，因为只有一个服务员。但是态度很好。', 'star': 5}
{'descr': '拖鞋太差，更甚的是带有浓烈的有害气味，对人体肯定有害！', 'star': 3}
{'descr': '地段属于上海老城区可以看看的', 'star': 3}
{'descr': '位置比较好。', 'star': 5}
{'descr': '地段属于上海老城区，步行过去一点就是犹太人纪念馆，可以看看的', 'star': 3}
{'descr': '交通方便，环境还可以', 'star': 3}
{'descr': '环境还是比较干净，服务态度还可以，停车不方便', 'star': 5}
{'descr': '特价房没窗子的    空调也是坏的。。。很冷    ', 'star': 3}
{'descr': '服务人员很热情，但房间不隔音', 'star': 3}
{'descr': '房间挺大的，就是不隔音，餐厅的菜做的不好吃', 'star': 5}
{'descr': '相比不远处的莫泰168，这家店不怎样', 'star': 1}
{'descr': '房间难绕了一点，其他感觉很好', 'star': 5}
{'descr': '酒店的位置不错，临近东市步行街。房间有点冷，淋浴的水不是太热。', 'star': 5}
{'descr': '地理位置很不错的一家酒店，出门就是上海路，还有重庆路步行街，适合旅游购物。', 'star': 5}
{'descr': '已经是第三次入住了~交通超级方便~很好~', 'star': 3}
{'descr': '已经是第三次入住了~感觉不错~交通方便~', 'star': 5}
{'descr': '1、房内设施格局：设计不合理、不人性化——写字台与床距离太窄，以至于行动不便，而床与侧面墙之间还有很宽空间没被很好利用。\r\n2、拖鞋的塑料气味很重，感觉到是对人体有害的气味，严重影响旅客身体健康，并有损酒店形象。', 'star': 5}
{'descr': '周围银行 水果店, 地理位置好.  服务很好', 'star': 5}
{'descr': '虽然离车站近但商店很少。房间窗户不是朝外的，性价比差。', 'star': 1}
{'descr': '环境设施位置都超级赞哈哈，特别推荐', 'star': 5}
{'descr': '交通一流,去上海站几乎是无缝衔接。附近吃饭、网吧都很方便。缺点是房间小，电视小，部分房间没有窗', 'star': 5}
{'descr': '价格是挺便宜的,但是房间的隔音效果不是很好,而且里面窗户都不很大房间也不是太透风,服务态度还不错,挺一般的酒店的.性价比也不是太高.', 'star': 3}
{'descr': '房间不错，还蛮大的，就是洗澡。去的时候碰巧他们的锅炉坏了。热水不是很稳定', 'star': 5}
{'descr': '房间倒是不小，就是没有窗，而且空调坏了，差点没冷死，交通倒是蛮方便的', 'star': 1}
{'descr': '酒店位置很好，房间也够大，但是感觉不够温馨，和其他城市的如家有区别，对于我这样的出差者不喜欢大，喜欢温暖精致。总之如家的品质还是不错。\r\n', 'star': 5}
{'descr': '连锁酒店感觉不错，挺干净的，交通很便利，出地铁2分钟就到', 'star': 3}
{'descr': '房间面积很小，早餐太难吃了，房间的卫生和设施还不错，位置也还可以，出行是很方便的，性价比不是很高', 'star': 3}
{'descr': '酒店里是挺干净的，服务也还不错，位置也方便的，但是他周边在拆迁，比较乱，而且他有的房间没有窗户，不是特别好。', 'star': 3}
{'descr': '我很喜欢住这种连锁酒店,感觉很温馨,住着比较舒适,而且这家酒店服务人员也很热情,是一家性价比很高的酒店,下次再来我还会选择这家酒店.', 'star': 3}
{'descr': '酒店周围环境比较吵,内部条件挺好的,蛮干净整洁的,价格适中,整体条件都还是可以的', 'star': 3}
{'descr': '酒店价格挺便宜的,地理位置也很方便,离地铁挺近的,基本上还是比较满意的!', 'star': 3}
{'descr': '临行当天定下的商务大床房，房间十分的宽敞，很多细节也很贴心。\r\n只是淋浴间不是封闭的，是浴帘的，加上天气凉所以觉得有点冷，不过卫生状况很好。\r\n\r\n床很舒服，棉被也很厚，是不错的一次入住经历。', 'star': 5}
{'descr': '就是不能刷卡，下雨天打算在酒店买点饮料，竟然说所有饮料都是过期的。', 'star': 1}
{'descr': '周边环境一般，交通还是挺方便的，属于闹中取静的类型。\r\n服务员很热情周到。房间设施较新。', 'star': 5}
{'descr': '9月21号,住的是3楼大床房,挺干净.离地铁100米左右 不足:厕所太小,大堂装修是如家之中比较差的,好在上去房间装修还挺新.\n附近在拆迁和修路,不过没什么影响.楼下是便利店,宵夜、早餐都可以解决。 附近没什么餐饮，只有楼下有餐厅。\n地点有些偏远，但适合我去浦东展览馆和火车站。', 'star': 5}
{'descr': '床单不干净，很一般', 'star': 1}
{'descr': 'bu xing', 'star': 1}
{'descr': '地处地铁口，交通很方便，很好', 'star': 5}
{'descr': '酒店的服务卫生条件很不错，设施我觉得也挺好的，而且这个位置交通还方便，所以还是挺满意的。', 'star': 3}
{'descr': '我住的是148块的特惠双人房，除了沒有窗子（有一假窗），房间较小以外，我觉得其他都挺好的，吃饭、交通都很方便，上网速度也很快，性价比比较高。', 'star': 5}
{'descr': '酒店比较简洁,不过价格方面还是比较合适的.', 'star': 3}
{'descr': '很好的 我住 优惠 148块 双人房，我跟同事两个人住的很好，旁边就是地铁，非常方便', 'star': 5}
{'descr': '酒店的空间小，房费里只有一份早餐，不管是标准间还是大床都只有一份，除此之外，我觉得都不错，服务周到，房间干净。', 'star': 5}
{'descr': '整体都还可以，就是我入住的当天因为隔壁的噪音影响了我的睡眠。', 'star': 5}
{'descr': '酒店的价格比较适中，位置挺好的，而且他的环境服务，配套的设施和装修都很温馨，有家的感觉。', 'star': 5}
{'descr': '应该是新开的吧,我住的是142包早餐的大床商务房,干净整齐,安静，步行5~10分钟就可以到吉林的商业区重庆路和北奇广场,离火车站也不远，打车5块不跳表，没有传说中的装修味道。服务人员很有礼貌，每个人见了你都要说你好，还有些不自在了。不足处就是暖气不是24小时，还要开空调取暖。', 'star': 5}
{'descr': '酒店的环境设施比较一般,应该是酒店的建成时间比较久了,环境设施比较陈旧了.位置位于市中心地带,但是附近的交通也不是非常方便.价格还算是比较优惠的.', 'star': 5}
{'descr': '这个地方不错，说是新店，有些装修的气味，不过总体不错。但目前还不能刷卡。', 'star': 5}
{'descr': '太吵了，上下左右都吵', 'star': 3}
