{'短评内容': 'wifi连不上，房间隔音差，吵', '短评打分': 4}
{'短评内容': '交通比较便捷，前台服务也还不错，不过宾馆有点小脏，还有关于宾馆报价没有包括要上交的税嘛？订的时候是138，最后结账和着是144！当然如果你不建议可以考虑小，表示房间真的好小。 \n', '短评打分': 1}
{'短评内容': '交通比较便捷，前台服务也还不错，不过宾馆有点小脏，还有关于宾馆报价没有包括要上交的税嘛？订的时候是138，最后结账和着是144！当然如果你不建议可以考虑小，表示房间真的好小。', '短评打分': 1}
{'短评内容': '交通比较便捷，前台服务也还不错，不过宾馆有点小脏，还有关于宾馆报价没有包括要上交的税嘛？订的时候是138，最后结账和着是144！还是厦门其他宾馆都这样，我就不知道了。', '短评打分': 1}
{'短评内容': '很干净，价位合理，如再去厦门还会选择入住。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还OK', '短评打分': 3}
{'短评内容': '交通方便的，离火车站一站路，酒店环境不怎么样，设施简陋，卫生间的门都是关不上的，网上定房间真的要斟酌再三。', '短评打分': 1}
{'短评内容': '好没入住，期待', '短评打分': 3}
{'短评内容': '酒店超级烂啊！设施烂空气糟糕，居然还有蚊子！绝对不会再去了，一点都对不起这个价格！', '短评打分': 3}
{'短评内容': '都很好。。。I LIKE....................', '短评打分': 5}
{'短评内容': '比较不错，服务好，房间很干净！是个不错的选择。', '短评打分': 5}
{'短评内容': '房间太小，卫生也不怎么样，粉刷脱落，地点还算不错，有点吵，服务还算热情。', '短评打分': 1}
{'短评内容': '我已入住宾馆还不错', '短评打分': 3}
{'短评内容': '环境还可以，但细节不到位。卫生间灯不亮，晚上不出热水。均打电话才修好', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '环境吵，交通方便，出行方便，卫生间的卫生要加强', '短评打分': 5}
{'短评内容': '、*您会向您的朋友推荐这家酒店吗？ \n会 不会 \n2、*您的点评(20至2000字以内，请勿发表违反国家法律的言论。) \n为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 3}
