{'短评内容': '酒店不错，收拾干净，晚上很安静', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '房间有点小，有些还没窗。', '短评打分': 2}
{'短评内容': '房间有点小，有些还没窗。', '短评打分': 2}
{'短评内容': '房间有点小，有些还没窗。', '短评打分': 2}
{'短评内容': '房间是蛮小的，但香港这地方就这样，呵呵，戴小姐人很好，行李还可以寄存~~', '短评打分': 5}
{'短评内容': '虽然房间挺小的，里面的一些设备也算陈旧，不过还能应付得过去，在香港能住上这样价廉的旅馆还是值的，卫生还好，房间也不吵，交通也很方便，对于购物、逛街的人来说特别方便，坐地铁也就走十分钟之内的路程，总体来说还是挺满意的。对了，还要说句，老板娘挺热情的，有什么需要都会尽量满意。', '短评打分': 5}
{'短评内容': '住宿的地点很方便也很好找，价格便宜，老板娘给安排了一个带窗户的房间，可是窗外不知道是什么排水管，有声音还潮湿，只因为在香港玩的太累没有影响到睡眠。呵呵', '短评打分': 5}
{'短评内容': '地方虽小 但是还算整洁 香港这弹丸之地 又是市中心 这样就可以了\n而且也算比较安静的 戴小姐人很好 很热心 随叫随到的\n也挺忙的 还让我们寄放箱子 让我们整理完了 再安心地去机场', '短评打分': 5}
{'短评内容': '地点在旺角，吃住、购物都很方便。房间虽小，但是有独立卫生间和热水器。房间里有电视机，风筒是公用的，拖鞋、牙刷等也是有的。戴小姐帮我们把两张小床拼合起来，一家三口睡觉也不觉得拥挤。我们问了很多交通路线、坐车等问题，戴小姐都能为我们解答，真是好好人！下次去我还是会选择这间。', '短评打分': 5}
{'短评内容': 'ok!两位戴小姐好热情，被单干净。...', '短评打分': 5}
{'短评内容': '房间很小，但是真的很有香港特色。老板人太好了。在如此陌生的一个城市里面遇见这样一个老板真的很开心。', '短评打分': 5}
{'短评内容': '房间很干净整洁，就是外面的下水道声音很吵，影响睡眠，所处的地理位置非常好，几乎所有的东西都可以买到，老板娘人不错，下次去还是住这家。', '短评打分': 3}
{'短评内容': '交通特方便，干净，性价比很高，老板人很好', '短评打分': 5}
{'短评内容': '  很好我比想像要好 很干净戴小姐很热情 谢谢 天津华', '短评打分': 3}
{'短评内容': '房间很精致，非常的干净整洁，虽然小但住着很舒服，戴小姐态度很好，下次去肯定会再住这里的。', '短评打分': 5}
{'短评内容': '地理位置好，干净，服务态度好！价格也合理。', '短评打分': 5}
{'短评内容': '房间很小，特别是卫生间，估计只有两张办公桌大小，只容得下一个人在里面打转，但很整洁，不提供一次性用品，但有电吹风和转换插头。所处位置不错，出行都还方便，老板娘态度也很好', '短评打分': 5}
{'短评内容': '地段好，房间也非常干净，新装修过的，床也很大，值得推荐                                                                            ', '短评打分': 5}
{'短评内容': '物有所值，且位置不错，购物非常方便，卫生状况还可以。', '短评打分': 5}
{'短评内容': '国庆节,夫妻两携家婆及小儿4人入住四人房,房间很小,预料之中,不过卫生挺干净,楼层18楼,挺安静,戴小姐很热情,价格便宜,在尺土寸金的香港,还是不错的选择.', '短评打分': 5}
{'短评内容': '我住的那一间卫生差了点 感觉不太好 四人房  我看到三人房和双人房还是不错的', '短评打分': 1}
{'短评内容': '交通很方便，屋子虽小但是很干净，下楼不远就是女人街、朗豪坊。', '短评打分': 5}
{'短评内容': '老板人很热情，还帮我们照看行李，下次一定再来。房子孩子挺干净的。', '短评打分': 5}
{'短评内容': '交通非常方便，戴小姐人很好，给了我们很多好的建议，还热心地借电话给我们联系家人，行李可以寄存。不过在香港，房间都显得比较小，我妈妈胖一些，就有些不太适应。', '短评打分': 5}
{'短评内容': '价格不贵，还挺舒适的，我住的是四人房间，里面的卫生间房间都挺好的', '短评打分': 5}
