{'descr': '设施比较陈旧，2月份住有些冷！', 'star': 4}
{'descr': '位置还可以，虽然那条路正在修轻轨，但是旁边有不错的步行街，好像要走一段距离，而且旁边新开的一家新开的大型商场挺不错，我住的房间空调不是很好，虽然是中央空调但是很不给力，其他的还好。', 'star': 5}
{'descr': '房间还行 就是周围在搞建设 不过住13楼感觉不到吵，屋子里面配的电脑显示器居然不好用。。。', 'star': 5}
{'descr': ' 很好,满意.服务也不错.推一下', 'star': 3}
{'descr': '属于苏州性价比不错的酒店！下次去苏州旅游，还是会选择这酒店！', 'star': 5}
{'descr': '不错，下次还会入住。就是旁边有工地，有些吵哦。', 'star': 5}
{'descr': '总体不错，房间较大，设施较新。下次还会入住。', 'star': 5}
{'descr': ' 成功入住，我一直住这边', 'star': 3}
{'descr': '位置比较方便，去市区大部分景点都算近，稍有不足就是旁边在施工', 'star': 5}
{'descr': '酒店服务很好，管理也很严格，就是家庭三人房只给两套浴巾，附近有工地，有点小吵，对于睡眠好的人，没什么影响', 'star': 5}
{'descr': '豪华大床房房间比较大，比较舒适，酒店位置也不错，就是旁边在施工，有些灰尘', 'star': 5}
{'descr': '服务态度和卫生都挺好,交通也比较便利，就是停车场小了点', 'star': 5}
{'descr': '这个酒店整体来说不错，离闹市区很近，就在石路，逛街买东西比较方便的', 'star': 5}
{'descr': '为朋友订的，反映不错。地理位置不错，在闹市边上，吃饭也方便。', 'star': 5}
{'descr': '床单很脏，电视机没机顶盒，服务很好，地理位置不错。', 'star': 1}
{'descr': '苏州本来就不大，所以这里还算比较方便，附近有留园。\r\n\r\n就是最近周围除了个幼儿园都是公司，白天打桩声音比较吵，晚上不会。\r\n\r\n不包含早餐，周围也没有地方吃早饭，只能在酒店解决，10块的早餐一般般。', 'star': 3}
{'descr': '酒店后面有工地晚上施工，前台要求换房，一眼镜妹妹只抬头说了一句我们客房都订满了，就不再抬头了（早上九点）。\r\n房间有潮味，热水不错', 'star': 3}
{'descr': '不错，干净，门口就有订票处方便', 'star': 5}
{'descr': '房间还不错，就是酒店不远处在修路有点不好打车。', 'star': 5}
{'descr': '位置不错，环境也可以，房间设施也完好，就是蚊子比较多，而且没提供蚊香', 'star': 3}
{'descr': '定的家庭房，很好，房间很大很干净，位置也很好找，离步行街很近，很方便。美中不足就是旁边在施工，环境有些脏乱。', 'star': 5}
{'descr': '可以，蛮好的。就是旁边有施工工地，有点吵。', 'star': 5}
{'descr': '住宿条件还不错，隔音不好，交通条件一般', 'star': 5}
{'descr': '房间还算可以，但是地毯上全都是小虫子，房间蚊子太多，晚上空调打的很低都没有用，还有我定的是大床房，居然没经过我同意给我换成了家庭房，酒店整体素质不高，以后不会再住了。。。', 'star': 3}
{'descr': '地处苏州市石路商圈附近，交通较为便利，走出去不远就是购物的地方，走不了多远能够直接坐到公交车去拙政园狮子林观前街等地方，还是不错的。就是最近这儿在修地铁，施工对入住体验影响很大，比较不爽，等将来完全建好后，能更加方便。', 'star': 5}
{'descr': '酒店设施很好,很干净,服务态度也好!唯一缺点附近有工地,早上有点噪音', 'star': 5}
{'descr': '房间还可以，蚊子太多', 'star': 5}
{'descr': '+不错，就是附近施工有点吵', 'star': 5}
{'descr': '还不错的，酒店。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间里面很不错，服务也不错。就是旁边工地有点吵～', 'star': 5}
{'descr': '还行，比较安静', 'star': 5}
{'descr': '+太贵，服务员不会笑，浴缸塞子坏且修不好。没有正餐。', 'star': 5}
{'descr': ' 酒店不错，就是不应该不经过同意把我的大床房换成家庭房…', 'star': 5}
{'descr': '环境很好，交通方便，吃饭和逛街也比较近～', 'star': 3}
{'descr': '格林豪泰的环境很好，服务也比较周到，地理位置不错，靠近石路步行街', 'star': 5}
{'descr': '房间小有霉味,能听到下水的声音,后面工地晚上施工不安静,明天要求调房间。', 'star': 5}
{'descr': '蛮好', 'star': 5}
{'descr': '位置很好，出行方便，前台服务较好，性价比还可以，没有中餐与晚餐供应。', 'star': 5}
{'descr': '酒店还不错，比较干净，服务也到位，周边的交通也方便', 'star': 3}
{'descr': '标间宽敞、环境和设施都比较满意，服务也好。', 'star': 5}
{'descr': '+房間很大,很好.', 'star': 5}
{'descr': '服务相当好，房间不大不小，比较干净，位置也算可以。遗憾的是刚刚经过装修，味道比较大。还有卫生间的换气扇噪音也比较大。', 'star': 5}
{'descr': '服务态度很好，地理位置也不错，交通方便，值得推荐！', 'star': 5}
{'descr': '住得很舒適，只是打車難打！', 'star': 3}
{'descr': '位置很好，很方便，火車站打車去只需12元！', 'star': 5}
{'descr': '+', 'star': 5}
{'descr': '不错，各方面都不错的一家店，位置好，楼层高（住12楼，大床房B），隔音好，设施也算到位，房间大，装修风格不错。就是毛巾不算新了。\r\n一点建议：只有一套厚被子，空调不打得底点就太热没法睡。在夏天感觉很不节能环保。如果有空调被的话，空调就不用打得太低，能省不少电呢。', 'star': 5}
{'descr': '环境非常舒适，卫生也不错，交通方便，就是网络不咋地，老掉线。。。', 'star': 5}
{'descr': '我是帮朋友订的，他回来后说入住非常好，下次还可以住 这个地方', 'star': 5}
{'descr': '整体感觉挺舒适。', 'star': 5}
{'descr': '非常好的一家酒店，可能是比较新的缘故吧，房间设施齐备，干净卫生。\r\n酒店的位置也很好，离石路步行街、山塘街很近，吃完饭散步就可以逛到这些景点，交通也非常方便。值得称赞的是这个酒店的服务人员，尤其是楼层服务人员服务态度很好，接触了三位楼层服务人员，都是笑容可掬，服务非常迅速。', 'star': 5}
{'descr': '酒店新，设施、服务都不错，有早餐会更好\r\n', 'star': 5}
{'descr': '\n房间还不锴, 只是宽带网线装在床头柜位置, 而不是装在长桌的位置, 很不方便!', 'star': 5}
{'descr': '性价比非常好， 唯一的缺点是新装修不久， 稍微有点味道。', 'star': 5}
{'descr': '非常好!值得一住!', 'star': 5}
{'descr': '各方面都还是很不错的！', 'star': 5}
{'descr': '不错的酒店~~', 'star': 5}
{'descr': '酒店是去年开业的，房间里个方面都很好，希望把管理做好，一直保持下去。下次还去住。', 'star': 5}
{'descr': '各方面条件都还可以，只是临近的建筑正在装修，有点儿吵。过了这段时间就好了！', 'star': 5}
{'descr': '靠近火车站，不太好打车，其他都很不错，如果能延迟退房就更好了。', 'star': 5}
{'descr': '这家算是苏州最好的格林豪泰了。每次来，都住这里。', 'star': 5}
{'descr': '这家酒店，在同类快捷酒店里，房间比较大，浴室也很干净，酒店地理位置极优，离石路几分钟路程，并且闹中取静！唯一缺点是，门的隔音不太好，晚上其他客人入店比较吵闹，还有就是早餐比较马虎了。', 'star': 5}
{'descr': '环境不错，离石路很近，室外的隔音效果蛮好，但室内卫生间的落水管声音较大，室内环境比较整洁，性价比较高。', 'star': 3}
{'descr': '因为是新装修的，整体比较干净，但是卫生间的水管落水声大，离石路步行街较近。晚上比较安静', 'star': 5}
{'descr': '新开的酒店，位置不太好找，前台服务员态度很好', 'star': 5}
{'descr': '我有之前住过家庭房和大床房.总体感觉还好.就是洗手间的卫生纸太小太少,就是微缩迷你版的.不够用!!!窗户打不成直角,有小孩子的来住很安全让人放心.卫生间不像如家还有晾衣钩,可以晾些小内裤什么的.......没地方晾啊....墙隔音不是太好呀.....但有个较大停车场很方便!', 'star': 5}
{'descr': '客房很舒适，设施齐全，收拾的很干净，服务也比较周到。', 'star': 5}
{'descr': '酒店环境还不错哦，去石路步行街也很方便，价格适中。', 'star': 5}
{'descr': '酒店的服务人员很热情，看着也很专业，感觉还行。', 'star': 5}
{'descr': '性价比很高的酒店。订的大床房因为没房，免费升了套房。套房卧室的空调不是太足，应该是面积覆盖不到的原因。套房客厅的电视没有接信号线，可能是漏了。浴室不知道是不是漏，用了浴帘，而且还特别注意了，但每次都是一地水。\r\n除去这些小问题，个人认为这是苏州格林豪泰中性价比最高的一家。', 'star': 5}
