{'短评内容': '基本没啥好点评的  环境一般 是 商住结合的 ', '短评打分': 2}
{'短评内容': '酒店临三亚河，环境好，设备也好，露天餐厅，300米即可到达解放路，出行去到机场，各个景点都挺方便的。大年夜入住的，价格相对也较合理，下次来的话会考虑继续入住。', '短评打分': 5}
{'短评内容': '适合预算不多的家庭多人选择的酒店， 房间很大， 一般每套都有2个睡房还有厨房。 但设施很cheap。 装修有点傻。整个房间设置整个酒店都有一股鱼味， 可能和一些客人在做饭有关。 我在掉了一串手链， 打了几次电话去前台小姐都一口咬定没有看到。 我因为100%肯定是落在酒店了， 因此最后一次打电话我比较来火（当然没有发火）。最后才说找到了。感觉不可信任。', '短评打分': 1}
{'短评内容': '房间环境非常不错！地理位置也好，只是早餐比较差！', '短评打分': 5}
{'短评内容': '不错的，作为市区是不错的选择。这次住的还是跃层的，280多。', '短评打分': 5}
{'短评内容': '地点好，里三亚河近，离海近，均可以不行；复式房间，适合家庭旅游。性价比好。就是早餐太差了。', '短评打分': 5}
{'短评内容': '酒店楼下了有个ktv晚上太吵了，没办法睡觉，环境不是很好，当时酒店装修的很不错，硬件很好，卫生也不错，环境比较一般', '短评打分': 3}
{'短评内容': '12月来的 真是太值了！！非常好！！适合一家人人来住', '短评打分': 5}
{'短评内容': '酒店设施还行，住的也蛮舒服，就是服务差了点', '短评打分': 5}
{'短评内容': '酒店隔音不是很好.其它各方面都挺不错的.硬件和软件条件都很好.性价比超高.', '短评打分': 5}
{'短评内容': '在市区中心，到各个地方打车很快就到，综合来讲还行！', '短评打分': 5}
{'短评内容': '室内的硬件设施很好,而且服务也不错,位置略微点偏不过不影响出行,综合性价比超高.', '短评打分': 5}
{'短评内容': '酒店房间不错。只是前台服务比较差。办理入住和退房手续很慢。\n我住两晚，一天晚上酒店房间没水。真的很差。', '短评打分': 5}
{'短评内容': '地理位置很好，适合家庭居住。挺不错的！', '短评打分': 5}
{'短评内容': '地理位置不错，靠近闹市区 ，房间结构不太好，分体空调，性价比不错，卫生条件，服务态度一般，如果商务出行可以考虑入住，度假，旅游不考虑。', '短评打分': 5}
{'短评内容': '酒店周边环境挺好的，睡觉特别的安静，不会吵吵闹闹的，从酒店穿过一个七八十米的胡同就到闹市区了，买东西吃饭都特方便，这家酒店属于LOFT这种结构的房型，下面是客厅二层是卧室，住起来蛮舒服的。', '短评打分': 5}
