{'短评内容': '挺不错的，性价比很高！', '短评打分': 5}
{'短评内容': '很干净，下回还去住，就是屋内原有物品没有齐全，赖客人。这点不好', '短评打分': 5}
{'短评内容': '酒店房间很干净，服务也好，地理位置很好，美中不足的是空调冷气不够。', '短评打分': 3}
{'短评内容': '地理位置不错，房间新装修。但卫生间靠窗有点雷人，且一低头就撞玻璃墙上了', '短评打分': 3}
{'短评内容': '很舒服很干凈,服务也很好,有机会到沈阳还去住', '短评打分': 5}
{'短评内容': '来沈阳一直住这家酒店的，但是这次入住并不愉快，豪华大床房，居然没有电熨斗，这也就算了，让前台送一个，催了4,5次等了半个小时才送来，而且是晚上11点哦，都大半夜了。送来之后居然只有熨斗，没有熨板，说是可以在桌上熨，我晕倒，真想让她示范下在哪个桌子上熨。\n后来送熨板倒是很快。\n然后发现不是送的人不快，不带熨板，是前台没有通知到。\n所以这个前台的素质。。。有待提高。', '短评打分': 5}
{'短评内容': '每次去沈阳都住在天丰酒店，感觉比较舒服，价格还可以，环境也不错，地点也方便，现在坊间感觉很静，温馨，房间很大', '短评打分': 5}
{'短评内容': '坏境不错，价格有点贵哦，总体来说还不错，推荐下。', '短评打分': 5}
{'短评内容': '还不错， 服务挺好，下次还住这里~~~~', '短评打分': 5}
{'短评内容': '相当好的酒店，装修很新，房间也很大。不过的确如其他人所说，床靠近走道，但是浴室在里面，这个比较雷', '短评打分': 5}
{'短评内容': '这个酒店性价比很高，设施很现代，结构也很时尚，我已经是第二次入住了，是一个会留住你的酒店！', '短评打分': 3}
{'短评内容': '位置很好，交通很方便，房间很新，早餐一般', '短评打分': 5}
{'短评内容': '比较新的酒店,住起来比较舒服,酒店的服务中规中矩,正合适.酒店在铁百和大商新马特之间,所以附近吃饭购物也很方便,沈阳的出租车也很多.不足的地方,床在门口,洗手间在靠窗的方向,导致房间光线有点暗.', '短评打分': 5}
{'短评内容': '离车站比较近的一个酒店，房间的造型比较奇特，就是电梯不给力，退房时就把我晾在12层了，当然服务还是不错', '短评打分': 5}
{'短评内容': '房间很大，交通方便，附近吃饭的地方也不少，酒店设施比较陈旧了，服务还算满意\n\n', '短评打分': 5}
{'短评内容': '地处闹市 晚上噪声比较大 房屋结构有些怪异  性价比不高', '短评打分': 1}
{'短评内容': '房间很干净', '短评打分': 3}
{'短评内容': '酒店不错。下次还来。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，房型很新颖，基本是个大开间，但是感觉不错。', '短评打分': 5}
{'短评内容': '这个酒店很好！', '短评打分': 3}
{'短评内容': '环境还不错，就是有些不隔音。但楼下交通非常方便。', '短评打分': 5}
{'短评内容': '很好的一家酒店，房间宽敞，装修较新，地铁站就在附加，自驾车也很方便，有地下停车场。', '短评打分': 5}
{'短评内容': '早上起来竟然没有热水了，一问前台说是水泵坏了，正在维修，什么时候有热水还不好说，额的个神，这可是沈阳的冬天啊，4星级的酒店竟然没有备用的设备，郁闷ing!!!!', '短评打分': 1}
{'短评内容': '性价比还不错，交通方便，总体感觉还可以。会向同事推荐！~~', '短评打分': 5}
{'短评内容': '＋酒店空调不错，冬天很暖和，其他，还行吧', '短评打分': 3}
{'短评内容': '服务态度蛮好，酒店设施比较新，需要改进插卡控电的接触不良问题', '短评打分': 5}
{'短评内容': '单人大床房设计欠佳，浴室靠里面，床靠近房门，睡觉时有人经过会有点吵，隔音不好', '短评打分': 1}
{'短评内容': '环境好，竞价比高，下次还入住，装修有品位', '短评打分': 5}
{'短评内容': '高级双床房的房间比高级大床房的房间要好。', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '很好的一家酒店，有地下停车场，住酒店免费。房间也很干净舒适。位置差了一点，铁西这里稍微偏了一点。', '短评打分': 5}
{'短评内容': '酒店性价比很高，地理位置不错，去的那两天正好沈阳大雪，还好附近吃饭的地方很多\n，房间很舒适，下次还会住', '短评打分': 5}
{'短评内容': '大厅给你的感觉很好，房间也不错，就是洗澡的花酒没有手拿的哪种，有的女士如果不想洗头，会很不方便，价格再便宜些就会更好了！', '短评打分': 5}
{'短评内容': '这是最近一段时间去沈阳住的最好的酒店了，因为酒店比较新，并且比较干净，并且早餐也是很丰富，感到满意，尤为重要的是大堂服务的经理，在结账时主动询问是否需要出租车，干净服务很到位。', '短评打分': 5}
{'短评内容': '铁西不错的酒店，硬件配置很好！自助餐简单了点，性价比不高！酒店车库装修，油漆味道比较重！', '短评打分': 5}
{'短评内容': '酒店装修不错，挺干净的，周围环境也不错，是家值得推荐的酒店', '短评打分': 5}
{'短评内容': '性价比不错\n房间很舒服\n附近交通与购物都很方便\n\n值得推荐！', '短评打分': 5}
{'短评内容': '很好的酒店：服务热情，设施舒适，周围有商场，地段不错，值得推荐！', '短评打分': 5}
{'短评内容': '每次到铁西都入住此酒店', '短评打分': 3}
{'短评内容': '位置好，交通便利，环境还行，就是车库正在装修大堂味道很重', '短评打分': 5}
{'短评内容': '最近油漆味道实在让人很难受，，\n希望尽早改善', '短评打分': 5}
{'短评内容': '此酒店服务态度周到，环境优雅，住着舒适，价格合理，是选择酒店的最佳首选。住过几次，期望还有机会回去。', '短评打分': 5}
{'短评内容': '酒店不错，性价比比较高，多次入住，多次评价。呵呵', '短评打分': 5}
{'短评内容': '酒店不错，我已经入住很多次了。性价比很高', '短评打分': 5}
{'短评内容': '酒店服务很好，服务员的服务态度也非常好，住的非常舒服', '短评打分': 5}
{'短评内容': '酒店总体还是不错的，装修比较新潮！而且时间也不长，比较新。酒店所在区域也比较繁华，商业、居住氛围比较浓厚。适合购物、外出。', '短评打分': 5}
{'短评内容': '很好的酒店，硬件设施很好，房间很大。但前台服务态度很差，需要好好改进一下，没有服务意识。', '短评打分': 5}
{'短评内容': '酒店不错，每次到铁西都住此酒店。', '短评打分': 3}
{'短评内容': '还行吧\n新酒店，但里面设计不是很合理，位置较好', '短评打分': 5}
{'短评内容': '还不错\n新酒店，里面设施比较新，但设计的不是很合理', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '这房间是替朋友定的，一直没点评，还是那句话因为前台的素质就是不推荐。', '短评打分': 1}
{'短评内容': '就因为前台人员极低的素质绝不推荐.没想到一个星级酒店竟然雇佣了这般的人员。住的条件可以也很干净，打扫卫生的MM很热情。可就是那几条鱼惹了一锅的腥。', '短评打分': 1}
{'短评内容': '绝对不推荐，前台工作人员素质低的一塌糊涂，说的是两点入住，到达前台和她对话几分钟显示时间是2点零2分，告诉我过了时间，和她争辩了几句开始百般刁难，不就是当时有旅行团入住的多了一些，至于吗？此酒店硬件不错软件上不是一般的差。前台工作人员嘴里能说出东北口音的不好使三个字，真是恶心之至。', '短评打分': 1}
{'短评内容': 'very good', '短评打分': 3}
{'短评内容': '酒店还不错，房间挺大。早餐也还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这个酒店床非常舒服。房间很干净。就是前台的服务员服务态度一般。都不会微笑。说话很生硬。还有第二天早上退房座电梯时一度电梯失灵。上下好几次不停。弄的电梯所有人要窒息了。好半天才停。好惊慌呀。 \n', '短评打分': 5}
{'短评内容': '这个酒店床非常舒服。房间很干净。就是前台的服务员服务态度一般。都不会微笑。说话很生硬。还有第二天早上退房座电梯时一度电梯失灵。上下好几次不停。弄的电梯所有人要窒息了。好半天才停。好惊慌呀。', '短评打分': 5}
{'短评内容': '酒店设施较新，服务不错，属于周边较有档次的，下回还住这儿。', '短评打分': 3}
{'短评内容': '确实很不错，每次来都住，\n\n前台很漂亮，早餐有点单调！', '短评打分': 5}
{'短评内容': '价格还不算贵，服务也还可以，卫生还行，淋浴间比较小，不太适用。', '短评打分': 5}
{'短评内容': '酒店服务不错，设施可以，就是卫生间设计成透明门，表示不便', '短评打分': 5}
{'短评内容': '环境比较好，已经评价过了，就是没有停车位。性价比高', '短评打分': 5}
{'短评内容': '环境很好，性价比比较高，但没有停车位，交通比较便利', '短评打分': 5}
{'短评内容': '早餐贵，服务费贵，就是房间还可以。下次会考虑的\n。。。。。。。。。。。。。。。。。。。。。。。\n。。。。。。。。。。。。。。。。。。。。。\n。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不錯的酒店，交通也比較方便，離火車站不遠。我的一個同學推薦的這裡。\n缺點是早餐上菜有點慢，去晚了葷菜都沒有了。不過用餐環境還是很好，品種也可以', '短评打分': 5}
{'短评内容': ' 房间很大，很干净。', '短评打分': 3}
{'短评内容': '这个价格在上海能住不错的，价格有点偏高了，服务一般的                                                                                                          ', '短评打分': 5}
{'短评内容': '很不错的酒店，服务很好。', '短评打分': 3}
{'短评内容': '不错的酒店！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '个人觉得绝对可以试试，\n赞一下，出现了很多问题，类似发票啊什么的，前台都耐心的帮忙一一解决，\n却是可以！', '短评打分': 5}
{'短评内容': '还不错,冲凉水比较小,喷头不是很好..其他的都不错\n下次去还可以住这家,基本上是很不错的,干净..\n服务员说因为楼层比较高的原因所以水比较小,楼层低的应该还好..只是内种喷头不好呢', '短评打分': 5}
{'短评内容': '装修风格样式都不错，性价比不错，但房间的衣柜门有坏的，没有及时修理，同时材质可能也有点差。打客房中心的电话有段时间没人接。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间卫生还可以，就是洗手间偏小。', '短评打分': 5}
{'短评内容': '房间卫生不错，周边环境不错，就是房间有点小。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也可以，我一共订了三间，其中我住的一间那个卫生间的二个隔断都坏了，没有修，因为他的卫生间是开放式的，没有中间的拉门来客人上洗手间很不雅，很不方便。建议酒店应该修好后再给客人住。', '短评打分': 5}
{'短评内容': '酒店设施不错，早餐也不错，但是第一天入住发现床单上有2个脚印，不知是怎么洗的。联系前台后，更换。', '短评打分': 5}
{'短评内容': '酒店比较新，但是新装修味道比较大，淋浴的花洒是固定在头顶上的天花板上的，洗起来不太方便。周边环境比较方便，旁边就是新玛特和铁西百货。', '短评打分': 5}
{'短评内容': '酒店的整体环境不错，豪华房面积很大，较舒适，设施较新，淋浴房、厕位、浴缸分别布置很好，不足的是淋浴的水流太小，冲洗不爽', '短评打分': 5}
{'短评内容': '不隔音，房间的布局也不方便，但大厅还是比较好的', '短评打分': 1}
{'短评内容': '酒店设施还行，房间挺大还挺干净，隔音不好', '短评打分': 5}
{'短评内容': '酒店环境好 房间比较宽敞干净 设施比较完善 ', '短评打分': 5}
{'短评内容': '总体来说不错，价格也适中，周边比较繁华。', '短评打分': 5}
{'短评内容': '酒店的房间比较大，设施比较新，性价比不错。', '短评打分': 5}
{'短评内容': '酒店设施还不错，位置也挺好的。\n下次还过来。', '短评打分': 5}
{'短评内容': '酒店设施还不错，位置也挺好的。\n下次还来住。', '短评打分': 5}
{'短评内容': '酒店的房间比较大，设施比较新，性价比不错，就是洗澡时水量不是很大。', '短评打分': 5}
{'短评内容': '新酒店，设施很新，就是这么大的酒店就2部电梯。服务也很好', '短评打分': 5}
{'短评内容': '地处沈阳铁西中心区，左右是新玛特和铁百，离宜家也非常近', '短评打分': 5}
{'短评内容': '总体来说不错，价格也适中，周边比较繁华，就是电梯有点慢', '短评打分': 5}
{'短评内容': '太差了，房间空调坏了找人来修，等了半个多小时，还一点歉意也没有；服务态度也不好别说四星，连经济型酒店的服务都没有。一个个全都哭丧着脸，和欠他们酒店钱似地。', '短评打分': 1}
{'短评内容': '真的很不错，去了，房间没了，还给免费升级，物有所值，很好', '短评打分': 5}
{'短评内容': '服务不错，为客人保留至凌晨，地理位置也好，从机场下去哪里也方便，已经多次入住。', '短评打分': 5}
{'短评内容': '环境还算可以，但400多的价位，在沈阳明显偏高。', '短评打分': 5}
{'短评内容': '酒店环境不错，但近期价格涨了不少，性价比不高。', '短评打分': 5}
{'短评内容': '不错，符合四星酒店标准，但是服务态度不是很好有待提高', '短评打分': 1}
{'短评内容': '很不错的酒店，真的很值得推荐，就是价格有点偏高。', '短评打分': 5}
{'短评内容': '房间内设计很合理，分干、湿两个区域，大床很舒适。', '短评打分': 5}
{'短评内容': '酒店给人感觉很温馨，新开业的酒店，总体不错。', '短评打分': 5}
{'短评内容': '地处铁西繁华地段，装修很精致，设施很完善，设计也较合理。', '短评打分': 5}
{'短评内容': '地理位置不错，大楼很新，房间设施比较满意。', '短评打分': 5}
{'短评内容': '很好,满意', '短评打分': 3}
{'短评内容': '酒店新装修很不错，服务态度也很好，附近有肯德基还有大超市都很方便。只是空气干燥，从南方来的朋友记得带一些保湿的东西哦。', '短评打分': 3}
{'短评内容': '酒店位置很好，周边很热闹。Check-in很快，服务态度也很好；房间布局有点儿与众不同，设施很好，但电视节目较少', '短评打分': 5}
{'短评内容': '酒店很舒适，，房间也大，下次还入住，服务人员也很亲切啊', '短评打分': 5}
{'短评内容': '房间很干净，各种毛巾浴巾也很洁净，开放式设计，带有大浴缸，真是不错', '短评打分': 5}
{'短评内容': '挺好！！新酒店服务，设备各方面都不错！价格也挺好！！', '短评打分': 5}
{'短评内容': '这家酒店新开的，环境很好，早餐很丰盛“自费”。下次还住这。', '短评打分': 5}
{'短评内容': '很好的一家酒店，干净，温馨，安静，很值得~', '短评打分': 5}
{'短评内容': ' ＋ 酒店卫生较为理想。', '短评打分': 3}
{'短评内容': '房间设施不错，感觉很有档次，下次来还住她。', '短评打分': 5}
{'短评内容': '环境不错，酒店设施很好。房间很大，只是早餐有些贵，总体还是不错的。', '短评打分': 5}
{'短评内容': '新开业试运营，房间很不错，环境优，房间一切都很新，地毯很有感觉\n人员不够专业，大厅比较冷', '短评打分': 5}
{'短评内容': '酒店还是挺不错的，出行也非常方便就在市中心，价格还是非常合适的，', '短评打分': 5}
{'短评内容': '酒店还是比较好，位置还是挺方便，价格还是比较合适。地理位置还算是比较好的。', '短评打分': 5}
{'短评内容': '酒店很新，呆着非常舒服。房间比较宽敞，推荐。', '短评打分': 5}
{'短评内容': '新酒店性价比不错.位置很好很方便出行.室内设施也还不错，整体来讲还好.', '短评打分': 5}
{'短评内容': '酒店客流量比较少，没有人气.酒店距离沈阳市中心稍有点偏不过距离我办事的地方还是蛮近的，整体来讲还可以.', '短评打分': 5}
{'短评内容': '房间的卫生设施还是不错，位置还行，酒店的条件还行，但是价格不是很低应该可以再便宜些。', '短评打分': 5}
{'短评内容': '条件挺不错的，主要还是住着感觉挺舒服的，而且性价比也高，蛮不错的酒店.', '短评打分': 5}
{'短评内容': '   现在坐在天丰酒店里写下这篇简评，用一句话评论“噩梦式的体验”\n    第一天入住，被套上很大的一个污渍，肉眼看的很明显，竟然没有发现，大浴巾也只有一个，这还算是前奏！\n   晚上睡梦中空调坏掉了，现在沈阳温度是-25度，空调坏了意味着什么？因为我穿的很少，是被冻醒的！房间里的空调回水声音非常大，很难入睡！\n   早上吃早餐，没人给你收盘子，没人问你好，西餐厅的经理，你怎么那么冷呢？（已经确认', '短评打分': 1}
{'短评内容': '新开业的酒店还有一些不太完善的地方.主要还是硬件配置不够齐备.服务还不错，位置好临街方便出行，不过没有停车场.', '短评打分': 3}
{'短评内容': '  这次入住天丰，是看到大家在网上的评价才去的，虽然从公司出发地铁都要坐七站，但是还是禁不住去了！但是到了酒店以后，大跌眼镜……\n   1、前台体验：当时是13日中午吧，一个男接待和一个女接待，完全搞不懂在办理什么入住！没有确定房价（甚至登记单我都没签字），没问是否要无烟房间，没有告诉我是不是含早餐，早餐的地点和时间，电梯方向等！就是两句话“您定了一个高级大床间”“刷您七百的预售”！！！！！这是四', '短评打分': 1}
{'短评内容': '房间特别特别好床单比我家的还干净，唯一不好的就是卫生间就是玻璃门老是往外溢水，而且房间也比较安静住着特别舒服，服务态度还行，价格也是很合适，位置也是很方便的。', '短评打分': 5}
{'短评内容': '一共住了2夜第二天卫生间的下水出了点问题。而且拖鞋也没有了 希望下次注意把', '短评打分': 5}
{'短评内容': '比较喜欢这家酒店，很肃静 。酒店员工素质很高，缺点是花洒太不好用了 但对于这价格已经性价比比较高了 下次还会去的 ，', '短评打分': 5}
{'短评内容': '酒店整体条件不错,室内的卫生及设施各方面都做得比较好,并且位置也不错,挺方便出行的.', '短评打分': 5}
{'短评内容': '酒店整体条件很好,卫生和设施两方面做得很好,住着感觉比较舒服一些,而且位置也不错出行挺方便的.', '短评打分': 5}
{'短评内容': '酒店位置很好闹市区，酒店也是新装修的但是可能还是有些设施方面跟不上价格的话还可以，服务也没怎么接触应该还行吧。', '短评打分': 5}
{'短评内容': '早餐不太好，四星级价格不贵，设施一般。', '短评打分': 3}
{'短评内容': '酒店卫生还可以，但是淋浴间的笼头不好，水流量很小。门离地有5公分吧，故而噪音很大。', '短评打分': 3}
{'短评内容': '不错的酒店，装修很新，美中不足之处 （有一点新装修的气味）', '短评打分': 5}
{'短评内容': '房间一进门感觉挺舒服的，设施也很全，毕竟是新开的酒店，但是房间的淋浴水流太小了，除了这点别的都还可以。', '短评打分': 5}
{'短评内容': '酒店环境很好下次还会选择这个酒店', '短评打分': 3}
{'短评内容': '很新的酒店啊，位置什么都 不错，因为是会议期间，能这样就很满意了还会继续入住', '短评打分': 5}
{'短评内容': '很新的酒店，专修设计很潮，所处位置非常方便，个人非常喜欢，推荐！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '用这个价格入住四星酒店很划算。酒店新开业，一切都很新，地理位置很方便，旁边就是大商场和超市。除了酒店浴室花洒出水量不够强劲外，还没有发现其他的缺点。', '短评打分': 5}
{'短评内容': '装潢豪华，环境优越，非常满意，推荐入住！', '短评打分': 5}
{'短评内容': '位置不错，帮朋友定的，就在单位附近，朋友入住后去看他，尽管是挨着马路，但房间还是挺安静的，挺适合出差入住。推荐！', '短评打分': 5}
