{'descr': '很不错，第二次住，感觉很好', 'star': 5}
{'descr': '恶心，周末涨价。呸呸呸。。。。。。。。。。。。。。', 'star': 5}
{'descr': '非常好，到珠江路办事情什么的，挺车呀什么的，都是很方便，房间很干净！！', 'star': 5}
{'descr': '这是我住了最差一次锦江了！酒店里隔音效果很差。\n', 'star': 1}
{'descr': '不吵  环境不错  交通方便  出入方便  ', 'star': 5}
{'descr': '酒店位置比较难找，特别前台职业素质不高，我入住搞混手续，离店还忘记退还押金，害我重新折腾到酒店我提出才知道。', 'star': 3}
{'descr': '房间干净，交通方便，还算不错', 'star': 3}
{'descr': '干净卫生、比较安静。建议服务员要能熟悉交通情况，让客人到店、出行更方便。', 'star': 5}
{'descr': '楼下有饭店、超市，挺方便。但房间空间太小，压抑。', 'star': 1}
{'descr': '酒店不错，位置有点难找，早餐人挺多，其他都好', 'star': 3}
{'descr': '还不错 就是房间有点小 \n\n\n但是很干净    还是很可以的\n\n\n我喜欢    还不错 就是房间有点小 \n\n\n但是很干净    还是很可以的\n\n\n我喜  ', 'star': 5}
{'descr': '环境还好，就是第一次来这个地方时不太好找，打车时有的师傅也不知道这个地方，周围环境还算安静                                           ', 'star': 5}
{'descr': '很好，房间大而且交通方便，关键是周边有很多美食很好，房间大而且交通方便，关键是周边有很多美食很好，房间大而且交通方便，关键是周边有很多美食很好，房间大而且交通方便，关键是周边有很多美食', 'star': 5}
{'descr': '位置距城市主干道百余米，出行便利但并不喧闹。停车比较方便并且管理有序。作为快捷类旅馆，房间内设施完备整洁，值得一住。', 'star': 3}
{'descr': '还可以，快捷酒店里算不错的..........', 'star': 5}
{'descr': '位置不错，出了九华山隧道右拐即到。门口有停车位', 'star': 5}
{'descr': '干净、卫生、舒适。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '都还不错。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '各方面都还不错。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，干净卫生性价比好。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很方便，好停车，房间大，舒适干净\n很方便，好停车，房间大，舒适干净', 'star': 5}
{'descr': '总体还不错，蛮安静的，就是厕所门坏了。。。而且有点不人性化。', 'star': 5}
{'descr': '  标志不明显    第一次来不好找     服务热情', 'star': 3}
{'descr': '卫生条件还算不错。但卫生间空间太小。性价比一般。', 'star': 1}
{'descr': '服务不错，楼下几个餐馆有特色，交通方便。不在正街不是很好找。', 'star': 5}
{'descr': '这个店是我住过的最差的锦江之星，卫生间设施很差，台盆积水，花洒只有五个孔出水', 'star': 1}
{'descr': '酒店环境还可以，就是位置有点偏,早餐有点贵', 'star': 5}
{'descr': '房间整洁服务较好地方不好找', 'star': 3}
{'descr': '酒店就是有点小，电视频道少，不过客服还不错。还有用电梯不用刷电梯卡。', 'star': 5}
{'descr': '还不错。房间小了点，布置很实用，位置还算方便。卫浴设施很节约，但也挺好用。\n适合经济条件有限的商旅人士', 'star': 5}
{'descr': '酒店条件不错 信价比高', 'star': 3}
{'descr': '有免费停车场，前台周到，保安热情，房间整洁干净，很不错', 'star': 5}
{'descr': '交通和环境还都可以。就是当时空调有些怪味，换了房间还是有。但因为只是晚上才住，白天也不在，就算了。', 'star': 5}
{'descr': '环境整洁干净，给人比较舒服的感觉，服务比较到位，值得再去住宿！', 'star': 5}
{'descr': '很好。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '这家店服务周到，环境很好。我住的是单人房，比一般地方的单人房宽敞明亮，而且细节处很到位。值得推荐', 'star': 5}
{'descr': '有些服务员的态度比较差，看你能不能遇到了，其实去南京玩了2天 感觉那边人普遍都这样。。 还比较干净的，房间隔音也不错', 'star': 1}
{'descr': '经济型，地段位置还可以，但卫生服务都一般。', 'star': 5}
{'descr': '经济型酒店，想省钱的朋友可以入住。地段还不错，离地铁站比较近。卫生一般。', 'star': 5}
{'descr': '周围交通还比较方便。房间还比较干净，就是小了点。', 'star': 5}
{'descr': '干净整洁，服务态度不错，就是房间有点小，隔音效果不大好~', 'star': 5}
{'descr': '符合其价格的普通连锁酒店，自驾不错，公交不方便，离新街口还有一段距离', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '闹中取静，交通方便。\n保洁大婶的服务态度比前台接待好的多。', 'star': 5}
{'descr': '还行还行，还行，还行，还行还行还行还行还行，还行，还行，还行还行还行', 'star': 5}
{'descr': '地理位置一般，不好找，而且当天去到，房间的窗户开的好大，桌面上有一层灰尘，应该下次去不会住那家了', 'star': 1}
{'descr': '干净而且安静，出租车师傅们貌似都知道位置的，十分方便~~', 'star': 5}
{'descr': '床非常的舒服,就是靠枕少了点,停车很方便', 'star': 5}
{'descr': '干净，出乎意料的干净，打车不太方便，床很舒服，服务很好', 'star': 5}
{'descr': '房间设施虽然比较简单，但还是比较干净。工作人员的服务态度也比较好。', 'star': 5}
{'descr': '酒店服务很好 比较卫生 但是位置有点偏 不太好找', 'star': 5}
{'descr': '不错.不错.不错.不错.不错不错..不错.不错.不错.不错.', 'star': 3}
{'descr': '其他都挺好的，就是位置偏了点，找了半天。', 'star': 5}
{'descr': '+满意', 'star': 5}
{'descr': '很干净，设施都很新，由于没有在主干道边上，要稍微拐进去200米，打车的时候最好说详细点，不过倒也更清净，推荐一个。', 'star': 5}
{'descr': '我们已经于下午七点入住“锦江之星”南京北京东路店，非常顺利！感觉很好！非常感谢！:-)杨展澜', 'star': 5}
{'descr': '性价比还是比较高的，房间打扫的很干净。', 'star': 5}
{'descr': '不错的酒店', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '价格挺优惠的，位置出行还算是方便，找的时候有些难找，不在主干道上。', 'star': 5}
{'descr': '总体来说很不错。', 'star': 5}
{'descr': '入住时床上有毛发，但是整体卫生还不错的，很安静，距离会展中心很近！', 'star': 5}
{'descr': '一切都不错，除了椅子不够舒适。', 'star': 5}
{'descr': '北京东路店的锦江设施还不错，配置硬件都比较新。', 'star': 5}
{'descr': '房间有刚刚装修过，环境还不错，配置也很全。', 'star': 5}
{'descr': '    酒店比较新，据说是09年开业的，设施也比较好。这是我第一次入住锦江之星，感觉还不错，尤其是房间里配备了一个不断电的插座（一般的酒店如果你外出的时候拔出了房卡，房间里就会自动断电），感觉考虑得很周到。\r\n\r\n    另外，这个店所处的地理位置也比较方便，从火车站打的过来只需要十分钟左右，穿过九华山隧道就到了，价格在16块钱左右。虽说并不在市中心，但是坐公交车或打的到市中心商业区还是很方便的。', 'star': 5}
{'descr': '酒店比较新，各种设施较全，干净。酒店位置比较好，到各个景点都不太远，出行很方便。往南三站地左右就有机场大巴乘坐点。', 'star': 5}
{'descr': '网速慢.餐厅提供的餐饮种类比较少.位置不是很方便出行,其它各方面都比较达标.总体感觉还是不错的.', 'star': 5}
{'descr': '酒店位置还算不错，旅游还是非常方便的，且比较干净，对于自费住店的朋友来说，是一个不错的选择。就是前台及餐厅的服务有时缺点人手，等的时间稍长了些。', 'star': 5}
{'descr': '性价比高，服务周到，环境很好，还会再光顾。', 'star': 5}
{'descr': '新开业的酒店，很干净、舒适、简单明快，位置还可以，推荐', 'star': 5}
{'descr': '对这家锦江很满意，物品齐全达标，卫生很好，房间打扫的很彻底，位置出行交通方便。', 'star': 5}
{'descr': '不错，安静，便捷，舒适', 'star': 3}
{'descr': '商务便捷还是锦江之星，服务也不错，推荐……', 'star': 5}
{'descr': '总体比较不错！下次还会考虑。', 'star': 3}
{'descr': '如果早餐含在房费中，那就更好了！', 'star': 5}
