{'短评内容': '位置好，服务超好。 物有所值， 下次还来', '短评打分': 5}
{'短评内容': '我对北京护国寺宾馆评价，仅供参考。我是看到顾客推荐满意度89﹪才入住护国寺宾馆，此前入住过家的家快捷酒店（以下简称家的家），离护国寺宾馆一步之遥，现比较如下：首先同等价位（护国寺标间230元，家的家238元）家的家窗户朝阳，比较安静，空气也比较新鲜;而护国寺宾馆就差多了，窗户朝阴面，窗外五六米远有一栋高楼，有不少大排气扇和空调室外机，空气很不好，而且噪音很大，因为楼距很近有很大的压抑感:其次因为朝', '短评打分': 1}
{'短评内容': ' 有特色，不错', '短评打分': 3}
{'短评内容': '嗯，环境不错，离地铁出口近。下次到北京一定还到这.护国寺小吃什么的只需要走个10来米，你就可以在胡同里体会正宗的京味文化了', '短评打分': 5}
{'短评内容': '位置很棒，胡同文化干净宜人，服务不错，整体环境很舒服。想要在西单范围内活动的友友们住这里是不错的选择，价位也合适，推荐！', '短评打分': 5}
{'短评内容': '交通十分方便，卫生也不错，房间虽然不大但一应俱全，就是卫生间里有异味。出门左手边小店里的卤煮火烧味道不错。', '短评打分': 5}
{'短评内容': '地段好，离地铁很近，房间还可以', '短评打分': 3}
{'短评内容': '我觉得挺好的，经济实惠，关键是离地铁很近，特别的方便，周围的小吃也多，完全可以满足旅游的需要了。下次来到北京还是去那家酒店', '短评打分': 5}
{'短评内容': '交通方便,旁有地铁站4号线和公交站。但房间较旧，但五脏具全，服务员态度一般。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常接近地鐵，交通方便，附近食店多的是，很多選擇，小吃店也很多。房間也可以，面積不多，但足夠，洗手間則是舊款，沒有浴缸，淋浴後全浴室地方濕透，用洗手間便不方便。', '短评打分': 5}
{'短评内容': '亲子自由行最方便的酒店，离地铁口2分钟，早餐和晚饭都可以在附近解决，超赞！！', '短评打分': 5}
{'短评内容': '宾馆紧凑干净，门很有中国味道，很好。', '短评打分': 3}
{'短评内容': '  地理位置绝对好，公交站、地铁、便利店2分钟路，房间是双标B，房间不大但利用的很紧凑，房间装饰古典中国风，设施居然还有咖啡机，周边还有各式口味的小饭店，护国寺小吃店我去了3次，把想吃的东西才吃了个8成，推荐。', '短评打分': 5}
{'短评内容': '离地铁平安里站很近，很方便，周边小吃也多。', '短评打分': 5}
{'短评内容': '房间太小，中间一天厕所还漏水，不过交通还方便！', '短评打分': 1}
{'短评内容': '已经向朋友推荐这酒店了 很不错 就是床太小了。。总的来说还是很好的。。干净 安静 小吃一条街 地铁站都在附近。。很多老外也在这酒店晃悠 看来都喜欢啊', '短评打分': 5}
{'短评内容': '这家酒店位置超赞！出门就是地铁4号线，交通十分方便。周围的小吃也非常棒！酒店卫生状况不错，前台小伙子服务态度很好。就是楼下的旅行社不要相信，全是购物团体，很宰人的！', '短评打分': 5}
{'短评内容': '酒店就在地铁4号线平安里站B口出来右拐大约50米的地方，非常方便。门口有护国寺小吃一条街，护国寺小吃店有白岩松、倪萍、张国荣等当年光顾过；还有山西刀削面等地方小吃，很好！更好的是交通，街口除了地铁方便外，公交车也很方便。到长城可坐83路到德胜门西换919直接起点到长城；还可直接到水立方等奥运场馆。坐409可直接到动物园、天安门西等地方。北京的交通很便宜，办好一卡通是要四折。到庆王府、恭王府、梅兰芳', '短评打分': 5}
{'短评内容': '还算不错，就是刚进屋时有点味，建议打扫时通通风，整体还算不错', '短评打分': 5}
{'短评内容': '交通很方便，周围饭馆也多，选择广，还不错。', '短评打分': 5}
{'短评内容': 'VERY NICE , NICE AREA , LOTS OF FOOD DOWNSTAIRS , LOVING IT ', '短评打分': 5}
{'短评内容': '交通很方便，服务态度很好，房间干净舒适，隔音也挺好的，晚上很安静，总的来说很满意。', '短评打分': 5}
{'短评内容': '交通方便，服务态度好，用餐方便，房间干净。下次有机会去北京再住这里', '短评打分': 5}
{'短评内容': '很有特色的宾馆 ，地方也好。里面的设施有点老北京的特色，在胡同里，出门就是地铁四号线', '短评打分': 5}
{'短评内容': '交通便捷地段好，干净卫生，买点水果什么都很方便', '短评打分': 5}
{'短评内容': '交通非常便捷，很有北京特色。但房间小了点。', '短评打分': 5}
{'短评内容': '第三次住了，房间一样的小，呵呵，但是设施齐全，出门方便，并且很有老北京特色。 推荐！', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便。宽带上网速度不错。但房间有些偏小，卫生间太紧凑。', '短评打分': 5}
{'短评内容': '各方面都很好，比周围的酒店都好。很满意，就是房间小了点，不过就是晚上回来睡个觉，也能接受', '短评打分': 5}
{'短评内容': '地理位置方便，出门就是地铁站，就是房间太小，卫生间的水总是不干，开窗透气时有点吵，其它的都很好，也还算干净。', '短评打分': 5}
{'短评内容': '很好的酒店，到地铁也很方便，周边小吃也很多。下次还会住这里', '短评打分': 5}
{'短评内容': '挺好。酒店里面的装修是京腔京味的，就是房间不是很大，总体还可以。黄金地段。出去就是地铁站，方便。', '短评打分': 5}
{'短评内容': '我们入住的房间是标准间B,比较整洁安静，但由于在北侧不朝阳和通风总有股味道。房间有点小只有一把椅子，没有挂衣服的橱柜，服务态度很好。', '短评打分': 3}
{'短评内容': '非常满意护国寺宾馆的服务。谢谢！', '短评打分': 3}
{'短评内容': '很有北京特色的酒店，地理位置非常优越，1分钟就到地铁4号线平安里站，门口的护国寺小吃街有很多特色小吃，我们在酒店租了自行车游胡同，酒店服务都还可以。下次有机会去北京还会来住这里。', '短评打分': 5}
{'短评内容': '环境不错~有古典特色~服务人员态度也行，以后去还会再去的~', '短评打分': 5}
{'短评内容': '神马都好 唯独网速略微有些慢 .......................', '短评打分': 5}
{'短评内容': '交通便利，房间清洁整齐，小吃一条街不错，是个好住处。', '短评打分': 5}
{'短评内容': '已入住。不错的酒店，交通方便地铁就在门前，服务态度好。有老北京的特色。', '短评打分': 5}
{'短评内容': '，还可以！服务很好！', '短评打分': 3}
{'短评内容': '位置挺好，靠近后海、恭王府，吃饭也听方便的，卫生总的来说还可以吧，不错。', '短评打分': 5}
{'短评内容': '除了房间有点稍小外，其他都很好，卫生、隔音都很好，宾馆还提供免费存行李，我们中午结帐后，把行李寄存在宾馆，到下午6点多走的时候才去取的。', '短评打分': 5}
{'短评内容': '十环境较好但房间太小。', '短评打分': 3}
{'短评内容': '住的230的大床房，真小，比7天168这些快捷店都小但也算干净就是，出门就有好吃的，位置优越方便', '短评打分': 3}
{'短评内容': '位置还好…条件可以！', '短评打分': 3}
{'短评内容': '房间小,二楼光线很暗,房间有异味。房间还比较干净,周围有特色小吃。', '短评打分': 3}
{'短评内容': '古香古色，位置也很不错，酒店人员素质也很好！', '短评打分': 5}
{'短评内容': '因为爱上一个人，爱上这个城市，爱上护国寺\n', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '还不错，位置很好，', '短评打分': 3}
{'短评内容': '位置很好 去哪都方便 酒店服务也不错 就是房间有点小 ', '短评打分': 5}
{'短评内容': '房间太小，隔音差。', '短评打分': 3}
{'短评内容': '有京味特色，环境尚可，周边交通便利，适合短途旅行休息。', '短评打分': 5}
{'短评内容': '房间比较小，两张床之间的距离也就50-60cm，卫生间也是比较挤，但还算比较干净的。宾馆出门就是小吃街，交通也方便，离地铁、公交车站很近，步行也就3分钟吧。', '短评打分': 5}
{'短评内容': '交通便利，服务便捷，环境整洁，价格适中！', '短评打分': 5}
{'短评内容': '每间房的门上都是诗句，透着文化味儿。房间太小，要小心挪动。双床房几乎没法睡，床太窄，不能翻身。内部条件足够差了，但是地理位置极佳，旁边就是护国寺小吃店，那可是北京小吃最后一块净土了。推荐到北京品味小吃的人下榻。对于其他人，免了吧。尤其是对于宾馆服务业人士。', '短评打分': 5}
{'短评内容': '装修 中式的  挺个性 门口是对联 楼道里小装饰 跟老房子的 还是楼道吵点', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
