{'短评内容': '服务到位屋内设施齐全卫生良好，床很舒适，景色很美', '短评打分': 5}
{'短评内容': '房间的空气确实不错，卫生打扫的不彻底，中餐厅饭菜一般，当然价格不过份，服务一般，对小孩态度不好。早餐还可以，样少，但口味还可以吃，只是几天都没有变，全是一样的。西餐厅少有人吃，试了一下实在上当的感觉，也许是点的不好。宝宝的烤肠套餐实在一般。在西餐厅吃水饺，中餐厅做的，但一份量少，价高。入住时几个韩国人在谈价，说上次住海景房280元，这次人少，320元。我住园景标间，一晚470元。', '短评打分': 5}
{'短评内容': '酒店的位置不错，就在海边，硬件设施非常好，服务细心到位。有的海景标准间观海的效果不佳，和前台联系后，给我们降低了房间价格，按园景房收费，感觉真的不错', '短评打分': 5}
{'短评内容': '很干净，不错', '短评打分': 3}
{'短评内容': '就三个字：非常好，哈哈', '短评打分': 5}
{'短评内容': '总体来说,该酒店非常值得推荐,不足的地方是低点有点偏,早餐品种少.', '短评打分': 5}
{'短评内容': '位置有点偏 打车不容易 周围餐馆少 ', '短评打分': 5}
{'短评内容': '住了特价房，还有双早。不错！酒店各方面都不错，唯一不足是位置，虽然就在海边，但是由于酒店在路的第一家，所以要找出租车需要等待。运气不好要多等一会。呵呵。\r\n总体来说特价房非常超值！很干净，也很安静。服务也不错的！\r\n值得推荐。尤其是如果夏季海滨度假，真的不错。', '短评打分': 5}
{'短评内容': '酒店很棒！服务 设施都很好，北方天气干燥酒店还给房间里配置了加湿器，很人性化！最值得一提的是酒店舒适的床品和无敌的海景，呵呵，慵懒的躺在舒适无比的大床上看着落地窗外那开阔无边的大海，雄浑而苍茫，把城市的狭窄、拥挤、嘈杂全都抛至脑后。。。。', '短评打分': 5}
{'短评内容': '房间暖风开着，温度却上不去，冷。\r\n淋浴室和房间隔着玻璃窗漏水，弄得我皮靴湿了。\r\n早上的饭菜还算可以。服务态度还好。\r\n硬件设施比较差。', '短评打分': 1}
{'短评内容': '非常棒！理由如下：地理位置得天独厚，不是简单的临海酒店，而是整个酒店置身海中！令人意想不到的还有其绿色环保理念，酒店安装太阳能发电装置，被国家环保部、建设部命名为全国新能源建设示范基地，据说在全国酒店行业是第一家，在烟台能有如此新潮的环保装置，难能可贵！谢谢，下次去烟台还住华安大酒店！', '短评打分': 5}
{'短评内容': '新开的酒店，设施非常棒， 房间很大，就在海边，海景也很棒， 服务也很上档次，性价比很高。 下次去烟台还住那里。', '短评打分': 5}
