{'短评内容': '还行，房间设施一般', '短评打分': 4}
{'短评内容': '都市里的绿洲，清幽，怀旧．周末阖家好去处．试试吧．', '短评打分': 5}
{'短评内容': '位置比较偏，房间比较旧，前台服务非常差！', '短评打分': 1}
{'短评内容': '住的复式房，楼上空间特别让人满意，但楼下的装修和卫生条件就比较一般，园区环境还是不错的', '短评打分': 3}
{'短评内容': '环境一流！虽然酒店已经不新了，幸亏保养得不错没有味道。酒店跟景区混为一体，每天接待大批大批的小朋友，感觉完全就是住在幼儿园里面，虽然吵但也蛮新鲜的。', '短评打分': 5}
{'短评内容': '环境很好，特别喜欢在大堂的平台上看蛇口的城景，可惜天气不太好，雾蒙蒙的，否则可以看到海了。房间的设施有点旧，不过还是挺干净的，自助早餐也不差。有点奇怪的是，在酒店的田园餐厅就餐不能入房帐。清明假期，人有点多。', '短评打分': 5}
{'短评内容': '8環境很好。木屋夠詩意。交通也方便。房價包括遊園及早餐。早餐很豐富。工作人員均很好笑容。適合一家3-4口去短暫渡假。', '短评打分': 5}
{'短评内容': '空气好，安静，硬件一般。', '短评打分': 3}
{'短评内容': '帮老板开会用，环境不错，旁边有一个青青世界，空气很好', '短评打分': 5}
{'短评内容': '非常不错的地方，适合小住一两天。树屋挺有特色的。其它的房间也挺中意的。', '短评打分': 3}
{'短评内容': ' 帮老板订的，他们每次开会都选择这里，环境不错。', '短评打分': 5}
{'短评内容': '酒店属于风景区酒店，都是小木屋，很幽静，适合大家休假期间入住。早餐很丰富，早点小吃很多', '短评打分': 5}
{'短评内容': '酒店有特色，不错！特别是木屋，空气好！心旷神怡！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店地理位置不错，交通很方便，酒店给我们安排的房间也很舒服，也很安静，整体来说性价比很不错。', '短评打分': 5}
{'短评内容': '房间太旧，位置一般', '短评打分': 3}
{'短评内容': '第一次住进青青世界，感觉很好，酒店在景区内，空气清新，可惜房间装修很旧              \n', '短评打分': 5}
{'短评内容': 'Nice and quiet hotel. A very relaxing place. Good for family holidays.', '短评打分': 5}
{'短评内容': '标准房很大阳台外风景不错', '短评打分': 3}
{'短评内容': '环境不错！幽静～', '短评打分': 3}
{'短评内容': '此酒店风格独特，喜欢清静自然的朋友可选择；\n\n离开酒店较为不便，要等很久出租车！木屋房间小而简陋，无网络特不方便！\n\n性价比偏低。', '短评打分': 1}
{'短评内容': 'Nice and quiet hotel', '短评打分': 5}
{'短评内容': '出行较为方便！树屋很小且无法上网！其它房间可上网但价格较高！但是外面景色很好，空气新鲜！可谓优缺点明显，根据喜好自己选择。', '短评打分': 1}
{'短评内容': '环境不错。安静。旁边青青世界环境不错。下次还去入住。', '短评打分': 5}
{'短评内容': '帮老板订的，听说还可以，环境不错。青青世界的空气很好。', '短评打分': 5}
{'短评内容': '环境安静，服务度度还可以，还可以去青青世界。', '短评打分': 5}
{'短评内容': '，环境不错，青山环绕，和餐厅相连，食品美味。但房间一般，离四星还是有很大差距。', '短评打分': 3}
{'短评内容': '酒店环境很好，安静，适合休息。下次继续选择该酒店！', '短评打分': 5}
{'短评内容': '环境很好！服务员速度很快，态度也很好！下次还选择此酒店', '短评打分': 5}
{'短评内容': '树屋基本设备尚可，木屋则较豪华，园内景点适合小童，彩虹桥真的可看到彩虹啊！酒店餐饮水准一般，价格还可接受。喜欢大自然的朋友应不会失望的，但一定要带防蚊用品！', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '树屋里面，环境很温馨，园区风景不错，值得一去', '短评打分': 5}
{'短评内容': '感觉住宿和玩的环境很不错，自助餐也种类很多选择', '短评打分': 5}
{'短评内容': '加半日房居然要加60%的房租，还理直气壮的说是物价局订的', '短评打分': 1}
{'短评内容': '風景很好', '短评打分': 5}
{'短评内容': '很棒非常适合度假', '短评打分': 5}
{'短评内容': '酒店的主题公园比较有意思，空气和环境比较好，所以每次去香港我都会住这里。', '短评打分': 5}
{'短评内容': '周围环境很好,清新自然青青世界比较适合度假的酒店.', '短评打分': 5}
{'短评内容': '很多年的酒店了，设施陈旧.唯一好处可以多次入园', '短评打分': 1}
{'短评内容': '依山傍水环境舒适,服务很好态度友善.房间比较整洁卫生也很好.', '短评打分': 5}
{'短评内容': '安静舒适，餐饮很有特点，配套设施完善，很不错', '短评打分': 5}
{'短评内容': '很好, 比想像舒適, 服務人員有禮貌', '短评打分': 3}
{'短评内容': '大自然生活', '短评打分': 5}
{'短评内容': '卫生设施挺不错的，位置很好找，设施就比较简陋，服务态度管理上面也很好 价格还是偏贵了要是酒店的价格再稍微便宜一些就更好了。', '短评打分': 5}
{'短评内容': '客房的设施很齐全，用着的效果也很OK，窗外的风景很不错呦！！！', '短评打分': 5}
{'短评内容': '酒店周围的环境很美，有种回归大自然的感觉，使人身心都很放松。', '短评打分': 5}
{'短评内容': '客房的服务很棒，工作人员很有责任心，住的很舒心。', '短评打分': 5}
{'短评内容': '很特别的一家酒店，周边绿树环绕的，空气很清新，服务、卫生方便做的也很到位。', '短评打分': 5}
{'短评内容': '适合周末休闲度假居住，有种逃离大都市的喧嚣，体会大自然的美好感觉。', '短评打分': 5}
