{'descr': '环境非常好，推荐', 'star': 5}
{'descr': '朋友过来一般定这家，交通比较便利，也还很干净', 'star': 5}
{'descr': '酒店位置不错，7号线新村路出口，很方便。连锁酒店的设施大都没区别，该酒店服务人员态度和蔼，只是酒店房间不时会被人塞进很多黄色小广告，安全性方面需要改进啦', 'star': 5}
{'descr': '这价还行，卫生还好，但因是暗间，通风不是很好，墙角竟发现有只小虫在爬', 'star': 3}
{'descr': '地理位置比较方便，离地铁7号线站台比较近，出行很方便，环境也还将就，毕竟价位在200以内。出差可以推荐。', 'star': 5}
{'descr': '酒店卫生很不错！下次还会住,就是行李寄存处地方太小，退房后没法寄存物品，如果能够改善，就更好了。还有靠近马路的房间比较多，晚上会有点吵，不过总的还算可以，这个价格还说得过去', 'star': 5}
{'descr': '已入住很方便满意谢谢', 'star': 3}
{'descr': '还不错，因为靠马路的缘故就稍微有点吵···········', 'star': 5}
{'descr': '给朋友订的，朋友说还不错。\n汉庭住过许多家，都能达到一贯的标准。', 'star': 5}
{'descr': '出行比较方便，周围比较安静,不过早餐不咋地。呵呵', 'star': 5}
{'descr': '环境卫生都还可以！', 'star': 3}
{'descr': '环境卫生都还可以！', 'star': 3}
{'descr': '整体不错，噪音也不大，房间干净，就是空调不好', 'star': 5}
{'descr': '整体不错，噪音也不大，房间干净，就是空调不好', 'star': 5}
{'descr': '位置比较方便，距离地铁7号线很近。建议在地铁口那个十字路口放一块指示牌。', 'star': 5}
{'descr': '位置比较方便，距离地铁7号线很近。建议在地铁口那个十字路口放一块指示牌。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '房间还算很干净 就是比较吵 因为离马路和花鸟市场!服务也不错 前台很专业', 'star': 5}
{'descr': '房间还算很干净 就是比较吵 因为离马路和花鸟市场!服务也不错 前台很专业', 'star': 5}
{'descr': '酒店太偏僻，交通不方便，很旧，周边配套差。', 'star': 1}
{'descr': '酒店太偏僻，交通不方便，很旧，周边配套差。', 'star': 1}
{'descr': '房间很吵，离马路很近。但是离地铁7号线很近走路5分钟', 'star': 1}
{'descr': '房间很吵，离马路很近。但是离地铁7号线很近走路5分钟', 'star': 1}
{'descr': '汉庭的这个酒店离虹桥机场大概有半小时的车程，订这里是由于含有早餐，虽然很简单但是方便就好。', 'star': 5}
{'descr': '汉庭的这个酒店离虹桥机场大概有半小时的车程，订这里是由于含有早餐，虽然很简单但是方便就好。', 'star': 5}
{'descr': '给朋友订的房间，自己没去过，朋友说房间比较小，其它的都一般！', 'star': 5}
{'descr': '给朋友订的房间，自己没去过，朋友说房间比较小，其它的都一般！', 'star': 5}
{'descr': '汉庭的性价比一直不错，这次的特价房很小，是小床，但是有窗，很亮堂，室内布局都不错，设施还可以。', 'star': 5}
{'descr': '汉庭的性价比一直不错，这次的特价房很小，是小床，但是有窗，很亮堂，室内布局都不错，设施还可以。', 'star': 5}
{'descr': '+服务差 洗澡中途没热水 12点退房 超过5分钟就唧唧歪歪', 'star': 5}
{'descr': '+服务差 洗澡中途没热水 12点退房 超过5分钟就唧唧歪歪', 'star': 5}
{'descr': '步行300米就能到7号地铁新村站,家庭房性价比不错,上楼要刷房卡,安全性非常高。', 'star': 5}
{'descr': '步行300米就能到7号地铁新村站,家庭房性价比不错,上楼要刷房卡,安全性非常高。', 'star': 5}
{'descr': '离地铁还算近。各方面都不错。楼下就是喝鸡粥的地方。', 'star': 5}
{'descr': '离地铁还算近。各方面都不错。楼下就是喝鸡粥的地方。', 'star': 5}
{'descr': '酒店隔音不是很好，挨着马路睡觉轻的人会睡不好，但服务很好，人员很热情', 'star': 5}
{'descr': '酒店隔音不是很好，挨着马路睡觉轻的人会睡不好，但服务很好，人员很热情', 'star': 5}
{'descr': '蛮不错的，价格也不错。', 'star': 5}
{'descr': '蛮不错的，价格也不错。', 'star': 5}
{'descr': '交通很便利，卫生状况也很好，就是有点小。', 'star': 3}
{'descr': '交通很便利，卫生状况也很好，就是有点小。', 'star': 3}
{'descr': '基本比较好。交通很方便，卫生状况很好，就是有点小。', 'star': 5}
{'descr': '基本比较好。交通很方便，卫生状况很好，就是有点小。', 'star': 5}
{'descr': '交通的确方便，但房间有点小，不透气', 'star': 5}
{'descr': '交通的确方便，但房间有点小，不透气', 'star': 5}
{'descr': '不错的酒店，交通便利！', 'star': 5}
{'descr': '不错的酒店，交通便利！', 'star': 5}
{'descr': '看世博比较方便', 'star': 5}
{'descr': '看世博比较方便', 'star': 5}
{'descr': '距离7号线地铁站非常近，不用转车去世博很方便。一部公交就能到上海最繁华的人民广场淮海路，赞', 'star': 5}
{'descr': '总的来说还行吧', 'star': 5}
{'descr': '靠近七号线，挺不错', 'star': 5}
{'descr': '太贵', 'star': 5}
{'descr': '房间不隔音，吵！\r\n但到世博去玩，可直接做7号线，走一下就到了，还不错。不是世博的话，不会住这家店，当时在网上搜旅馆时也是看了到世博的路线才选的。', 'star': 1}
{'descr': '服务环境还行，就是床太硬，另外就是最好还能在酒店内放置一个便携式电脑卓，方便躺在床上的时候使用', 'star': 3}
{'descr': '我觉得酒店的非常舒适，就是床有点硬，睡不惯。而且房间内椅子只有一个，不适宜办公以及聊天', 'star': 5}
{'descr': '酒店一般般，房间还不错，价格因为在世博期间还算比较便宜位置还算不错去世博园还是很方便。服务还行吧，整体看起来还不错。', 'star': 5}
{'descr': '房间卫生还算干净，就是每天的打扫比较马虎。最大的问题是隔音不好，门外有一点声音都能听得清清楚楚，早上很吵。而且我住的房间没有窗户，很闷，通风也成问题。\r\n不过最重要的是交通很方便，走不了几步就有地铁，总的来说还是挺不错的。', 'star': 5}
{'descr': '世博期间住比较方便，离7号地铁约300m（可直达世博园），服务还好与许多品牌酒店差不多，双人房都是1.2m床，比较舒适；还有家庭房1.5m 1.2m适合带一个孩子家庭入住，我本来是订的双人房，后换成家庭房。只是世博期间房价较高。', 'star': 5}
{'descr': '离地铁很近，楼下的饭店味道也不错。 但隔音效果不理想', 'star': 5}
{'descr': '看世博还行。距离地铁口比较近，步行5分钟就可以到了。要吃饭，需要往北边走1个十字路口才行，附近没吃的。酒店楼下有2个店，吃的不咋滴。价格400多，不便宜哦！', 'star': 5}
{'descr': '朋友来看世博会，帮他们定了这间酒店，他们赞不绝口，就是价位有点小贵啦，不过世博会也没办法，总比还ok啦', 'star': 5}
{'descr': '总体感觉不错', 'star': 5}
{'descr': '总体上还满意，离地铁近，但吃饭的地方少，超市也没有。', 'star': 3}
{'descr': '离七号线200多米吧，满方便的。周边的环境一般化，吃饭的地方很少，大超市更是没有。不过住住还是满不错的。', 'star': 5}
{'descr': '酒店很一般，没什么特殊，就是价格方面还比较实惠。', 'star': 5}
{'descr': '这次来看世博，住在这里离7号线地铁的新村路站很近，每天往返世博园都是从这里乘坐7号地铁，非常方便。而且离上海火车站也很近，地铁7号线换3、4号线也格外方便。就是每天服务人员总忘记清扫浴室地漏处的头发，退房前已告诉前台服务人员，希望改进。再有就是前台的服务还有待提高，不是未预留房间，就是找不到预授权的信用卡单，有待加强管理秩序。', 'star': 5}
{'descr': '唯一的不足，就是这个酒店所谓的店总竟然业务知识一塌糊涂，有两点可以证明：1、办入住手续，却不给我办理入住登记，还要我提醒；2、进入电梯需要刷房卡，可这个总经理竟然由于没给我办入住，导致我无法进入电梯，当时是她帮我刷卡进入，等到了房间门口，却无法进入，好在服务员不错，帮我刷卡进入，还帮我把卡拿到服务台上磁，真不知道汉庭为啥将这样的人提拨起来做总经理，不懂！其实她在我进不了电梯时就应该可以发现并及时做', 'star': 5}
{'descr': '房间空气非常差，性价比不合理。', 'star': 1}
{'descr': '房间空气非常差，性价比不合理。', 'star': 1}
{'descr': '除了隔音稍微差点，其余一切很好', 'star': 5}
{'descr': '除了隔音稍微差点，其余一切很好', 'star': 5}
{'descr': '蛮干净，服务也不错，感觉蛮好，就是没有吃饭地方可惜', 'star': 5}
{'descr': '蛮干净，服务也不错，感觉蛮好，就是没有吃饭地方可惜', 'star': 5}
{'descr': '环境还可以   就是特价房有点小', 'star': 5}
{'descr': '环境还可以   就是特价房有点小', 'star': 5}
