{'短评内容': '订不上就订不上，打电话酒店有房你们订不上', '短评打分': 1}
{'短评内容': '舒服，环境好', '短评打分': 5}
{'短评内容': '威斯汀非常棒，而且送了3200京豆', '短评打分': 5}
{'短评内容': '酒店房间很大，但是地毯有污渍，床太小。', '短评打分': 4}
{'短评内容': '酒店房间很大，但是地毯有污渍，床太小。', '短评打分': 4}
{'短评内容': '酒店还算干净，但是价格贵了。', '短评打分': 3}
{'短评内容': '很棒的一家五星级酒店，交通很方便，附近有地铁、公交车、机场大巴，周边饮食店林立多种，近天河城。早餐丰富多样，酒店本身餐厅酒吧有几间很方便。服务热情周到。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间大，服务好', '短评打分': 5}
{'短评内容': '交通方便！设施非常好！你值得推介！', '短评打分': 5}
{'短评内容': '朋友反馈很不错，国际品质', '短评打分': 5}
{'短评内容': '老牌酒店，虽然酒店时间有点长了、但质量还是杠杠的！ ', '短评打分': 5}
{'短评内容': '酒店位置很好，交通购物很方便，房间隔音效果也好，装修大气，出行首选，大堂服务也很周到，有回家的感觉！', '短评打分': 5}
{'短评内容': '一般般吧一般般吧', '短评打分': 4}
{'短评内容': '房型有几款，有一款浴室好像外面能看到，很刺激', '短评打分': 5}
{'短评内容': '离太古汇很近，不错', '短评打分': 5}
{'短评内容': '酒店位置及硬件设施都很不错。房间空调没有暖气有点小小意外，不过服务员提供了油汀取暖器还行。卫生间淋浴房共用一扇玻璃移门确实不方便。', '短评打分': 5}
{'短评内容': '帮同事预定的，很满意，服务很周到，环境不错，而且提前咨询很到位。位置也不错，出行方便，适合商务出行。总体满意', '短评打分': 5}
{'短评内容': 'good hotel close to the east railway station. room are big and nice. lunch buffet was good as well. good value and will likely stay there again.', '短评打分': 5}
{'短评内容': 'It is a great Hotel and I had a uncomplicated stay. I will come back.', '短评打分': 4}
{'短评内容': '非常不错的酒店!', '短评打分': 5}
{'短评内容': '很棒的酒店，大堂经理处理不够人性化，总体还是很棒', '短评打分': 5}
{'短评内容': '非常好的五星级酒店，地理位置绝佳，豪华气派，舒适服务好。', '短评打分': 5}
{'短评内容': '位置很好，周围环境有点香港的味道，价格太高。', '短评打分': 5}
{'短评内容': '位置太好了，周围办事情很方便，就是价格高点了。', '短评打分': 5}
{'短评内容': '环境不错，大堂富丽堂皇 ，服务员的服务态度也挺好的，房间很大 床也很大很舒服，卫生间很漂亮，设施挺新的。', '短评打分': 5}
{'短评内容': ' 各方面服务都不错！继续住。', '短评打分': 3}
{'短评内容': '非常优惠的酒店，老板去常住，每次都是商务大床间。', '短评打分': 5}
{'短评内容': '酒店很好没有问题，预订时就在酒店前台，还是要求必须信用卡担保。', '短评打分': 5}
{'短评内容': '酒店非常好，虽然已经开业好几年，设施维护还是挺好，服务一流', '短评打分': 5}
{'短评内容': '比较安静 只能凭卡进入指定楼层 房间可以 电视有点小 ... 总之 OK', '短评打分': 5}
{'短评内容': '交通便利，设施和服务都算上档次。应该会再次入住', '短评打分': 5}
{'短评内容': '性价比可以，，位置可以，服务可以，餐饮可以', '短评打分': 5}
{'短评内容': '干净，房间大，漂亮，服务态度还是不错的。', '短评打分': 5}
{'短评内容': '为来广州的朋友订的房间，反应非常满意。房间够档次，交通和购物及其方便，且景观很好。朋友满意而归！', '短评打分': 5}
{'短评内容': '新派装修，设施比较新，服务还不错，交通也比较便利，周围打车20元以内能涵盖几乎所有的吃喝玩乐的需求！', '短评打分': 5}
{'短评内容': '环境不错  服务也可以 床是最舒服的 下次一定还去住', '短评打分': 5}
{'短评内容': '房间很大，其他的就一般，书桌电源插座非常不方便，还不如sheraton。', '短评打分': 5}
{'短评内容': '酒店房间大，床不错。但灯光中控差，停车场空间小，不太方便。4•3\n', '短评打分': 1}
{'短评内容': '不错，真得不错。。。就是价位稍微贵了点，以后能便宜点就最好了。。。', '短评打分': 5}
{'短评内容': '酒店非常漂亮 但是 服务和价格 星级 和品牌不相称\n', '短评打分': 1}
{'短评内容': '酒店位置不错，行政酒廊的风景很漂亮，广交会期间人也不会太拥挤。感觉比中酒，花园好多了。', '短评打分': 5}
{'短评内容': '酒店不错，帮老外订的，他每次都说酒店价格贵，可每次都要住这家酒店，呵呵', '短评打分': 5}
{'短评内容': '很好的高端酒店，但是广交会期间价格超贵，帮客人订的，客人很满意', '短评打分': 5}
{'短评内容': '离火车站比较近 周边就有地铁和购物中心 出行也很方便 酒店设施完备 房间也很好', '短评打分': 5}
{'短评内容': '肯定是可以的 没有什么可以抱怨的 装修现代 房间舒适 ', '短评打分': 5}
{'短评内容': '很好很强大，觉得不错。像个样..........', '短评打分': 5}
{'短评内容': '非常好！硬件软件都非常好！下次来还会住的。如果还有下次！', '短评打分': 5}
{'短评内容': '房间有点潮湿味道。', '短评打分': 3}
{'短评内容': '女友最满意的就是早餐很好吃。地点比较便利', '短评打分': 5}
{'短评内容': '估计4点到达', '短评打分': 3}
{'短评内容': '酒店设施很新,环境优美,交通和购物都很方便。', '短评打分': 3}
{'短评内容': '房间够大，卫生很好，交通便利，周围环境不错，值得再住', '短评打分': 5}
{'短评内容': '洒店很好，很新，位置比较中心，就是大堂有点简单，早餐也贵。。。', '短评打分': 5}
{'短评内容': '位置很好，酒店很高级，很舒适，但不是特殊情况（周边较好的酒店没房），一般都不会选择，一晚期3370元，太贵了。', '短评打分': 1}
{'短评内容': '酒店硬件设置很好，地理位置方便，整体感觉还不错！', '短评打分': 5}
{'短评内容': '酒店各项设施和服务都很到位，尤其值得称赞的是他家的健身房，很不错。早餐没试过，不知怎样', '短评打分': 5}
{'短评内容': '就是贵，特别是广交会期间，不是一般的贵，也没有什么特别好的地方', '短评打分': 1}
{'短评内容': '房间很大，很舒适。地点便利。离到深圳和香港的火车站步行5分钟。', '短评打分': 5}
{'短评内容': 'gooooooooooooooooooooooooooooooooooooooooooooooooooooooood', '短评打分': 5}
{'短评内容': '，酒店还行', '短评打分': 3}
{'短评内容': '很漂亮很豪华的酒店，只是房价偏高，不是因为当时酒店客户紧张，一般都不敢选择。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺好的，独立的卫生间，还有免费的矿泉水，一切都挺舒心的 \n', '短评打分': 5}
{'短评内容': '还好，位置方便，性价比还好 。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置不错，美国面签很方便，还不错吧，。。。', '短评打分': 5}
{'短评内容': ', 房间非常大也新，就是上网要付费', '短评打分': 3}
{'短评内容': '这家酒店位于广州火车东站 便于往返深圳 东莞和香港 房间可以看到珠江和广州全景 建议入住楼层的房间 景致好', '短评打分': 5}
{'短评内容': '这家酒店位于火车东站门口 往来深圳 东莞和香港都很方便 房间可以看到珠江和广州夜景 建议入住高楼层的房间', '短评打分': 5}
{'短评内容': '＋不错', '短评打分': 3}
{'短评内容': '一如继往的好, 就是总感觉LOBBY有点不够大气', '短评打分': 5}
{'短评内容': '硬件设施真的很差，就是因为生意太好了服务态度就下来，位置出行倒是很方便的很中心的位置，价格感觉和酒店硬件软件方面还是感觉不合适。', '短评打分': 1}
{'短评内容': '酒店房间很大，床很舒服，交通便利，就餐、购物都很方便。', '短评打分': 5}
{'短评内容': '不错，不错，很不错！！\n住的2416房间。床很大，很舒服', '短评打分': 5}
{'短评内容': '位置好，去车站和白云机场较方便。客房也不错', '短评打分': 5}
{'短评内容': '酒店服务态度很好。床铺也很干净，不错，不错', '短评打分': 5}
{'短评内容': '还不错啦~周末特惠，呵呵，，如果1000+就不太划算了、、、', '短评打分': 5}
{'短评内容': '总体来说不错，订的豪华房，免费升级到行政豪华房；房间设施不错，但是灯光开关没有标识，只有一个一个挨着试才找到想要控制的开关。顶层意大利餐厅俯瞰广州夜景很棒，当然价格也不菲；早餐每人180元也偏贵', '短评打分': 5}
{'短评内容': '适合高端商务客人,满意~', '短评打分': 3}
{'短评内容': '从HK返回时，再次入住威斯汀，女儿尚小，对7楼的游泳、桑拿和房内的咖啡机非常有兴趣，玩的很开心，BOSE音响效果很不错；酒店很贴心，次日退房为我们延迟到2点，值得称赞！\n', '短评打分': 5}
{'短评内容': '水准非常高的超5星级酒店，携程评价6星不为过，好过绝大多数的5星，当然价钱也贵过；区位非常好，去HK和白云机场，对房价不敏感的话，这里是最佳选择。', '短评打分': 5}
{'短评内容': '房间宽敞舒适，服务态度和酒店设施都很好。五星级酒店就是不一样。', '短评打分': 5}
{'短评内容': '住得很舒服，服务很好很贴心', '短评打分': 3}
{'短评内容': '住得很舒服，服务很好', '短评打分': 3}
{'短评内容': '还可以，各个方面都不错，就是价格有点小贵.....', '短评打分': 5}
{'短评内容': '代定的：）不错的酒店．代定的：）不错的酒店．', '短评打分': 5}
{'短评内容': '中信广场旁边，交通方便，走路到广州东站几分钟，而且周围环境安静，买东西很方便，酒店服务特别好，房间很大。   starwood旗下的酒店   值得入住！！！！！！！！！', '短评打分': 5}
{'短评内容': '绝对5星标准，5星价格。都还不错，就是价格贵：）', '短评打分': 5}
{'短评内容': '住的什么都很好，就是打的士太不方便了，去附近的饭店吃完饭想打的回来，结果因为路程太短被拒！', '短评打分': 5}
{'短评内容': '地理位置，服务都不错，早餐的品质也很好！', '短评打分': 5}
{'短评内容': '地理位置好，酒店的内部服务好。酒店的早餐也不错', '短评打分': 5}
{'短评内容': '我喜欢这家酒店的设计风格，简约而且商务，地处繁华市中心，能够方便自己的衣食住行。', '短评打分': 5}
{'短评内容': '酒店的配套很完善，碰到特价的话，挺划算的~~~~', '短评打分': 5}
{'短评内容': '各个方面都不错，主要是交通都很方便！!!!!!!', '短评打分': 5}
{'短评内容': '很不错的酒店,服务很好,而且设施也很新!', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店很新， 离美国领事馆很近， 走路只要5分钟', '短评打分': 5}
{'短评内容': '房间很好，服务也好，BOSE音响也很好，哈哈！', '短评打分': 3}
{'短评内容': '位置好，服务到位！', '短评打分': 5}
{'短评内容': '服务不错,酒店较新,但价钱较高,性价比一般.', '短评打分': 3}
{'短评内容': '卫生打扫不干净， 入住时刚到房间卫生间，就看见卫生间地上都是尿迹。剃胡刀明明被人用过了，刀片上能看见胡子末，但是还是装在盒子里再次给客户使用， 对于这个一个知名品牌的酒店是很不应该的。希望改进，在你们收取高额酒店费时更需要保证提供一个合理的卫生环境给客人。', '短评打分': 1}
{'短评内容': '各方面都很不错的一家酒店，就是价格偏高点~~', '短评打分': 5}
{'短评内容': '+房间视野不错，电视频道不错，装潢也不错，只是原价有些贵！对我来说！', '短评打分': 5}
{'短评内容': '酒店位置不错,服务不错,设施较新.但价钱也较高.', '短评打分': 5}
{'短评内容': '性价比感觉不是很高,前台服务太一般了，没有五星的素质。窗外夜景不错，面对广场，眩晕感。', '短评打分': 3}
{'短评内容': '帮朋友订的威斯行政房豪华单人房两间，1100/晚/间房费，165/晚/间的服务费，房间是很宽敞，且设施也相对齐全高档，除此之外，没有特别感受，配了一张早餐票，朋友们都没去吃，纯属浪费。朋友说相对喜来登来说，感觉差了很多。', '短评打分': 1}
{'短评内容': '房间不错，办理入住时间较长。', '短评打分': 5}
{'短评内容': '第一次住这个酒店，感觉还不错，环境也挺好的，就是自己开车去，停车有点不方便，而且在广州这个地方，没早餐，宽带也是收费的，感觉有点抠门！！', '短评打分': 5}
{'短评内容': '房間很好寛敞, 服務周到, 地埋位置十分方便.', '短评打分': 3}
{'短评内容': 'It is too warm in the Gym. Price is too cozy in restuarant. But it is a nice hotel in hardware side. It is recommanded for sure', '短评打分': 5}
{'短评内容': '装修气味确实不好闻.淋浴空间好小,而且会漏水到房间\r\n顶楼的意大利餐厅,厨师太年轻,味道一般', '短评打分': 3}
{'短评内容': '价位中等，服务一流,设施很新，下次还会入住', '短评打分': 5}
{'短评内容': '+房間寬敞,整潔,服務很好', '短评打分': 5}
{'短评内容': '都很好啊～可能刚军训回来，在酒店里住得让我感觉像在天堂一样。哈哈', '短评打分': 5}
{'短评内容': '+房间装修味道果真很浓', '短评打分': 5}
{'短评内容': '酒店服务不敢恭维，要了两个纸袋花了半小时', '短评打分': 5}
{'短评内容': '房间内设施简单 比如无针线包，电视很小。优点是房间大卫生好床品好。周末入住尚可，平时入住不值。', '短评打分': 5}
{'短评内容': '不错，挺舒服的', '短评打分': 5}
{'短评内容': '这个是天河北好位置的酒店，房间内设施用品很好用', '短评打分': 3}
{'短评内容': '房间宽敞、设施齐全，床非常舒服。房间里还有小咖啡机^^ 惊喜。\r\n唯一美中不足，跟房间大小相比电视小了一点，在沙发上遥控器控制不了电视。', '短评打分': 5}
{'短评内容': '酒店内的洗漱用品质量很好，没有用完的都带走了，其他地方住还能用：-）', '短评打分': 3}
{'短评内容': '广州市中心位置，出行挺方便的，服务也不错', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好，价格还赶上特价，很爽。', '短评打分': 5}
{'短评内容': 'Westin品牌，服务一流，迅速敏捷；\r\n位置交通方便，视野开阔，房间看天河体育中心全景。\r\n大床很舒服，一躺下就睡着；泳池服务很好，如果忘记带泳裤，你可以去柜子拿干净的泳裤，干净的浴巾随处都可以拿到。还有泡泡浴可以享受。\r\n如果有需要改善的地方，房间卫生间的冲凉房防水做的还不够细腻，容易漏水渗到梳妆的地方，希望可以改善；\r\n总之，周末如果入住，性价比挺高的，再来广州，还会选择Westin。', '短评打分': 5}
{'短评内容': 'nice hotel', '短评打分': 3}
{'短评内容': '几次入住都恰好遇上酒店的促销活动，绝对一流的酒店。', '短评打分': 5}
{'短评内容': '酒店房间和位置没的说，硬件很好！但是床感觉不舒服，几天都没睡好，不知是个人问题还是床问题，价格有点偏高。服务上感觉一般，开夜床服务几乎没有，客房的人来了也只是简单收拾一下，没有像香格里拉酒店一样恢复如初。', '短评打分': 5}
{'短评内容': '酒店的服务与设施都挺好。地理位置对到天河办事的商务客也挺好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '位置很好，服务更是没的说，我认识的外国人都喜欢住在这里。', '短评打分': 5}
{'短评内容': '很好!', '短评打分': 5}
{'短评内容': '我入住的价格不错，房间设施也满意，位置也满意，以后要还是这价格，来广州肯定住那了！', '短评打分': 3}
{'短评内容': '环境及卫生都不错，以后还会住！值得推荐！', '短评打分': 3}
{'短评内容': '位置和价格都不错，住了几回都很好，价格也合理！', '短评打分': 3}
{'短评内容': '环境卫生都不错，值得推荐！', '短评打分': 5}
{'短评内容': '房间很大很舒服，价格也合适！我定的是特价800的房间。', '短评打分': 3}
{'短评内容': '酒店奢华舒适，位置很好。就是价格偏贵。', '短评打分': 5}
{'短评内容': '我定的是特价房，就几天，完事就又贵了，房间真的很大很舒服，对得起五星级的标准，真的超值。下回有这价还住那！', '短评打分': 5}
{'短评内容': '有周未促销的订房,很不错.', '短评打分': 5}
{'短评内容': '威斯汀是一家很有名气的连锁酒店，广州这家开业以来一直想去试住一次，生日之前终于一偿所愿，专门选了它去住一晚，但是说实话，感觉很一般。原因如下：\r\n1，大堂的服务感觉很冰冷。从前台接待到入住到退房，我们感觉到的都不是国际五星酒店应该有的人性化服务，相反，一个“冷”字从头到尾。没有问候，没有解释，没有微笑。太过职业的语气让人很难有亲切感；\r\n2，床上用品很零乱。老公一直抱怨说被子盖着不舒服。因为前段时', '短评打分': 1}
{'短评内容': '性价比差些.', '短评打分': 5}
{'短评内容': '一切都完美，从进门开始就有很好感受，硬件很好，很满意，唯一要改进的地方就是电视比较小，32寸的液晶，看起来不爽', '短评打分': 5}
{'短评内容': '所在地交通便利，前厅服务特别好，房间卫生不是很理想（被心露出的部分有污迹，不知是不是个别的），驾车需下到地库四层，差点转晕了，交易会期间入住，感觉不是很值那个价格。', '短评打分': 5}
{'短评内容': '我在4月10日入住1606房间，睡觉前我将多余的一个枕头放在靠近浴缸的那侧的地上了。第二天我发现这个枕头湿了。请你们检查一下是否那里在慢慢地漏水。谢谢！ 我对酒店的服务非常满意。', '短评打分': 5}
{'短评内容': '干净舒适，位置也不错~', '短评打分': 5}
{'短评内容': '是一家很期待再入住的酒店', '短评打分': 3}
{'短评内容': '令人满意的酒店', '短评打分': 5}
{'短评内容': '一如既往的威斯汀品质，房间比较舒适也比较大，可以比较好的放松。\r\n\r\n浴室的设计不太合理，淋雨和浴缸在两端，不方便。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服务非常好，服务生都认识我，每天早上一下到大堂就来一杯咖啡。酒店到处都洋溢着一种很独特的香水的气味，非常喜欢。 ', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '维持了westin一贯的标准，房间尺度比较大，总体来说比较舒服，偶尔有人谈事情也算方便。可惜枕头实在不是太适合我。\r\n中餐厅一般，上菜的次序和时间都有待改善，不推荐。', '短评打分': 5}
{'短评内容': '我认为广州威斯汀酒店广州最好的豪华五星酒店之一，地理位置绝佳----在天河商业区中心地带，紧邻中信广场，走到火车天河东站不到5分钟，让我办事出行都非常方便。我住的酒店行政套房绝对的宽敞，足有100平方米，设计布局非常合理，落地大窗正对广州新的电视塔。酒店最高层有个意大利餐厅，用餐环境非常富有情调。', '短评打分': 5}
{'短评内容': '不错，值得推荐和感谢酒店的管理，服务。\r\n从小事可以看出服务员的认真，热诚，敬业精神。', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店', '短评打分': 5}
{'短评内容': '非常好的一家酒店！喜欢这里的味道！', '短评打分': 5}
{'短评内容': '非常高档的酒店.非常喜欢这里的味道, 早餐也是我吃过的最好的.相比其他城市的Westin,价格简直是超值. ', '短评打分': 5}
{'短评内容': '地理位置很好,出行很方便,卫生服务方面也都不错,打扫的很干净,住着很舒适,而且很符合酒店的价位.', '短评打分': 3}
{'短评内容': '不错的酒店, 就是服务生的水平还有待提高.\r\n', '短评打分': 5}
{'短评内容': '房间太小，服务员也不够。', '短评打分': 3}
{'短评内容': '服务好。', '短评打分': 5}
{'短评内容': '非常宽敞舒服，下次还住', '短评打分': 5}
{'短评内容': '由于地处广州的CBD地带，对于商务人士来说，这家酒店是不错的选择！', '短评打分': 5}
{'短评内容': '感觉不错.各方面都很好..下次还会去', '短评打分': 5}
{'短评内容': '酒店的服务员既漂亮服务态度又好，但是大堂略欠气派。房间也没有想象中的大，但卫生确实很不错，安静、舒适。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，卫生服务也很好，价格算是比较合理的，出行交通也很方便，值得推荐入住。', '短评打分': 3}
{'短评内容': '豪华，干净，价格合理', '短评打分': 5}
{'短评内容': '酒店环境和舒适都不错，比较喜欢这个酒店', '短评打分': 5}
{'短评内容': '房间电视感觉很小，应该换大点的，环境不错的，作为5星酒店的房间价格不贵，但早餐的价格有点贵，要180多一份', '短评打分': 3}
{'短评内容': '酒店的硬件条件设施非常不错，服务还可以，位置算是比较不错的，但是价格太高了。', '短评打分': 3}
{'短评内容': '房间很大，床很舒适，他们的沐浴系列的香味我很喜欢，我还把他们的润肤露带在了身上，有位置的优势，从房间窗外的景色很好', '短评打分': 5}
{'短评内容': '正好赶上周末促销价格,782,这个价格性价比真的不错了!酒店很新,设施也不错!下次还会选择这个酒店', '短评打分': 5}
{'短评内容': '酒店很新，房间很大很舒适。性价比还算高', '短评打分': 5}
{'短评内容': '这么贵的酒店感觉做啥都要收费，有点不可思议，打市内电话和上网居然都要另外收取费用，有点离谱，现在普通三星都送地图、上网、市话免费~~', '短评打分': 5}
{'短评内容': '我应该是促销价入住的，每晚782元，但就没有了早餐，不过无所谓本来也想到广州的酒楼里去喝早茶的，酒店后面就有个海港大酒楼，早茶不错的。不愧是国际大品牌酒店，从设施到环境真的是没有什么可以挑剔的，如果价格合适，以后我还会常来的。', '短评打分': 5}
{'短评内容': '一道广州就会选择这家酒店入住,各方面性价比比较高,设施舒适度也非常满意,以后还会再次选择这家酒店', '短评打分': 5}
{'短评内容': '最近这几年出差总住这家酒店，环境服务一直没什么改变还不错，但价格最近涨的太快了从800多一直到现在1700多，希望酒店在能便宜点', '短评打分': 5}
{'短评内容': '这家酒店是我在广州住过条件最好的酒店，设施舒适，环境也不错，如果价格能在优惠些，会更好', '短评打分': 5}
{'短评内容': '酒店的位置和价格都挺合适，整体都不错，就是大堂稍微暗点，亮点就更好了。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我在7月28日住进这酒店，总的感觉还不错，但令我最不满意的是房间装修味还很浓，我不明白以Westin的品牌，不能把这味道处理掉，希望酒店的负责人看到这条信息，能尽快改善，其它服务和餐厅水平很好。', '短评打分': 5}
