{'短评内容': '就那样吧', '短评打分': 5}
{'短评内容': 'LIJ DJ KID M IFJI MN NKLSA KJF DAKM FKM AIJF KMADF OAKF KAMFK AKF ALJFKL', '短评打分': 5}
{'短评内容': '服务很周到  特价房两晚才308元  而且空间足够  采光通风很好 床铺也很干净 总之就是超值啦  唯一的问题就是酒店的停车场是借用后面小区的车位  车位量不是很足够  来之前要确定好  不然附近都没有停车场  ', '短评打分': 5}
{'短评内容': '＋酒店不错很干净，就是停车场太袖珍了。', '短评打分': 3}
{'短评内容': '干净卫生,服务态度好,就是靠路边有点吵', '短评打分': 3}
{'短评内容': '干净不错哦 以后还是可以再光顾的。。。。。。。', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 3}
{'短评内容': '只是方便', '短评打分': 3}
{'短评内容': '第3次住该酒店。这次只有一个建议：卫生间里建议准备一双塑料拖鞋，方便洗澡时穿，穿那种一次性拖鞋洗澡，很久以后拖鞋才能晾干，不舒服。', '短评打分': 5}
{'短评内容': '入住比较顺利，酒店内的物品非常齐全，特别是一些设施非常人性化，使用起来很方便。由于是特价房，位于餐厅与服务员办公室之间，可能声音环境有些受到影响。不过总体还是性价比较高的酒店。', '短评打分': 5}
{'短评内容': '感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。感觉还蛮好，安静。', '短评打分': 5}
{'短评内容': '前台服务态度不好，是竞争不够激烈，所以对顾客就这种态度\n', '短评打分': 1}
{'短评内容': '个人觉得是很不错的。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住的特价房隔音效果还是不错的，非常性价比哦哈哈', '短评打分': 5}
{'短评内容': '嘿嘿！住的是特价房，总体来说很不错的，出行方便，市中心进', '短评打分': 5}
{'短评内容': '酒店就这么回事，但服务不错。免费升级了一个房间，也没说任何闲话。挺好', '短评打分': 5}
{'短评内容': '非常不错，很值得入住，离国购广场非常近，非常方便', '短评打分': 5}
{'短评内容': '房间很干净，住起来很舒服', '短评打分': 3}
{'短评内容': '整体感觉很好！很干净！但是~早上的时候有点吵！应该注意~', '短评打分': 5}
{'短评内容': '环境非常好啊  很干净、、、、强烈推荐啊', '短评打分': 5}
{'短评内容': '房间很干净，服务也很好，工作人员很热情。', '短评打分': 5}
{'短评内容': '酒店硬件设施还好，节日房大概有20平米，室内布局紧凑，倒是不显得小。服务很热情，周边是国购，农大，比较热闹。交通便利。', '短评打分': 5}
{'短评内容': '这家酒店还是不错了，位置也很好，就在国购对面，周围餐饮店也蛮多，交通也很好，出门推荐坐公交，合肥打的是个悲剧，不经难度大，而且车内环境很一般', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '房间很干净，舒适。服务热情，周到。喜欢前台的小茶包。', '短评打分': 5}
{'短评内容': '温馨舒适的房间，服务态度也很好，赞一个！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '内部新装修的，所以很新的，环境很好，推荐！', '短评打分': 5}
{'短评内容': '位于热闹的三里庵，对面是国购广场、家乐福，旁边旺城大厦旁小巷子，美食应有尽有，十分方便。就是前台接待时，希望态度好一些。', '短评打分': 5}
{'短评内容': '酒店比较新，还不错吧。\n尤其是在床头柜也有网线，很好，希望全国的汉庭都可以这样', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '沿街的房间有些吵，建议在窗户的密封条上下些功夫；两条浴巾、毛巾建议分别用两种不同的颜色，以防不小心混用。', '短评打分': 5}
{'短评内容': '很喜欢房间的布局 也很干净 以后住的话还会选择这里', '短评打分': 5}
{'短评内容': '本来订的是特大床房~比大床房贵10块钱,可是去前台怎么一口咬定我订的就是大床~~这个有点纠结,不过房间还是不错的,新酒店设施也蛮不错,就是电视有点小,看起来很不舒服啊~本来想去尝试一下早餐,可惜睡懒觉错过了~~总体评价如果同一阶段五颗星的话,我可以给四颗', '短评打分': 5}
{'短评内容': '新开的，装修都是新的，住着比较舒服。只是可能新开的前台操作也不熟练开始预订的被取消，处理了一段时间才入住上。', '短评打分': 5}
