{'descr': '还可以吧', 'star': 4}
{'descr': '不错，就是网上的房型太少了', 'star': 5}
{'descr': '早餐15元还算公道，比较丰富了，不用牙具减10元挺好的，环保又省钱！', 'star': 3}
{'descr': '房间一个大床，一个小床，特别适合带孩子出去玩的，房间很干净', 'star': 5}
{'descr': '从房间能看到惠山和运河,挺不错.', 'star': 5}
{'descr': '一般吧，还可以，就这样了。', 'star': 1}
{'descr': '很不错的经济型酒店，如果预支不错，绝对可以选择这家酒店', 'star': 5}
{'descr': '靠运河位置好，早餐丰富。', 'star': 5}
{'descr': '服务态度很好，环境也不错，饭菜很可口', 'star': 5}
{'descr': '挺好的，卫生也蛮干净的！', 'star': 5}
{'descr': '挺不错的酒店', 'star': 5}
{'descr': '出差选择锦江还是很不错的，这家锦江在我住过的几家锦江里面是服务态度最好的，房间的电视可以看免费电影哦，超赞！', 'star': 3}
{'descr': '房间很干净，就是双人标准间稍微小了一些，但服务态度非常好！', 'star': 3}
{'descr': '服务非常好！', 'star': 5}
{'descr': '我以前也住过这个酒店，感觉他们的环境设施和服务都还可以，而且这个位置很好，交通便利，价格算是还可以。', 'star': 5}
{'descr': '酒店性价比感觉还是蛮高,房间住着很舒服,而且交通位置也蛮方便的', 'star': 5}
{'descr': '总体不错，服务也很好。\r\n房间感觉蛮干净，就是房间偏小了些。\r\n早饭比较差，去的晚了些，鸡蛋都没有了。', 'star': 5}
{'descr': '总体感觉不错，蛮整洁的。&lt;br /&gt;\n就是房间稍微小了点，隔音一般，早餐去的稍微晚了点连鸡蛋都没有了，到最后也没有等到。&lt;br /&gt;\n房费可以刷卡，如果是锦江之星的会员还有小泥人赠送。', 'star': 3}
{'descr': '酒店有自助洗衣服务和餐厅，非常的好。酒店设施完备，干净，网络也比较快捷，员工态度和蔼。有停车场，方便带车出行。', 'star': 5}
