{'短评内容': '服务到位', '短评打分': 5}
{'短评内容': '房间条件还可以，就算达不到三星，也是准三星了，因为没去别人家比条件，所以对于条件我是可以接受的，不过定价过高，在西塘转了好几圈，没有这个价位的住宿，都很低，建议去了再找宾馆就足够了，另外，问路怎么走，也没人来接啊，电话指挥怎么走，其他宾馆去汽车站接住宿客人的很多，就连三轮司机都说定宾馆了，让宾馆人来接吧，他们不拉客了。', '短评打分': 1}
{'短评内容': '我们到嘉善后，是乘的公家车到的西塘景区，打电话问旅店住处的时候，漂亮前台姐姐很热情地给我们讲路线，后来干脆找个车来接我们的。（当然，是收费的）说到旅店，就位于景区内哦，很放便，而且环境很优雅，别致精巧，浴室和卫生间还是分开的，这样两个人就很方便。还有无线网络哦，真的是很棒的一家旅店。', '短评打分': 5}
{'短评内容': '在当地环境中比较可以，略显简陋，开发票要加钱', '短评打分': 5}
{'短评内容': '很温馨舒服！干净！很新，房间明亮。位置中心，安静。下次还会住。值得推荐！', '短评打分': 5}
{'短评内容': '，酒店照片是真实的，但也是唯一的亮点，事实没有想象中好，性价比远不如如家，我是不会再去了。', '短评打分': 3}
{'短评内容': '第一次在网上订，怕到时候订不到房间。后来发现去了有很多房间可以定的。额，总的来说这家旅店还是不错的。我们定的是法式田园，环境确实很温馨，就是和我想象中的小了些，旅店有无线覆盖，虽然也很周到，但我希望房间里要是有台式机就更好了，因为自己带笔记本毕竟不是很多哈，我个人意见，店里的人都是很年轻漂亮的女孩，服务态度也不错的，还有就是秘密花园果然秘密很难找哈，而且晚上不开灯的话那条小巷有点小害怕的，不过开了', '短评打分': 5}
{'短评内容': '酒店名位置如其名，很秘密，在一个狭小的过道的最里边，没有三轮车师傅的带路还是真找不到。可以称为精品，楼外有天的感觉，越过不足一米宽的弄堂，酒店的入口豁然开朗，还有一个雅致的迷你园哦，很喜欢。有机会还会入住！', '短评打分': 5}
{'短评内容': '位置很隐秘，入口狭小，但是酒店很时尚，令人惊喜！', '短评打分': 5}
{'短评内容': '酒店避开了闹区，很安静，里面不大，可能一共几间房间而已，但是很干净很舒服呢～真的比普通民宅放心安全太多了～大力推荐一下～～', '短评打分': 5}
{'短评内容': '推荐！店主的后期跟踪服务也很好！值得推崇！希望他们做的越来越好！', '短评打分': 5}
{'短评内容': '由于到店时间很晚了，车子七拐八拐来到秘密花园，老板娘人很nice，提早帮空调打开，房间不错的', '短评打分': 5}
{'短评内容': '服务挺好，也挺好找的，房间很干净，不像有些家里改出来的一样，喜欢东情西韵的小阳台，一张桌子，两把椅子，喝喝茶聊聊天感觉很好！推荐入住！', '短评打分': 5}
{'短评内容': '家庭式的旅馆，最大的优点是有停车场，很适合自驾。入住的客房小了一些，适合小资情调的朋友选择。', '短评打分': 5}
{'短评内容': '雕花大床房，在二层半，楼梯比较陡，很有年头的家具，镜子也是朦朦胧胧，卫生间和洗澡间分别是2个小小的房间，大概是老房子改建的缘故，床也比较古代，坐上去会吱吱呀呀地响，中间还有点塌陷了，因为是冬天，卫生间里显得冷冰冰的。尽管如此，挤在这个小小的雕花大床上（宽度似乎不足1.5米），我们一家三口仍然非常喜欢，一人占据一头，笑称就像塞在鞋盒子里，享受着雨点打落在窗户上的滴滴答答的声音......想找的似乎就', '短评打分': 5}
{'短评内容': '江南记忆，在一层，总台旁边，安全，我父母住。对比了景区内的其他客栈，条件算不错的。总台接待我们的女孩非常热情，态度很好。总体感觉不错，温馨！\n', '短评打分': 5}
{'短评内容': '服务员态度相当好，不仅提前为我们打开空调，还非常耐心地电话指导我们如何找到酒店。客房也相当的整洁温馨。', '短评打分': 5}
{'短评内容': '秘密花园绝对是非常小资的地方，很适合情侣。老板很热情，服务员也非常有礼貌，客房干净整洁安静，赞一个', '短评打分': 3}
{'短评内容': '小巷弄里的精致小旅馆，总体还不错！干净舒适，服务也挺好的，就是价格有点偏高。', '短评打分': 5}
{'短评内容': '房间很小，卫生间也很小，没有独立洗澡的地方，就是洗脸池上面接着的莲蓬头。房间装修的不错，法式田园。后院有停车场，挺方便的。空调外机声音比较大。其他还可以吧', '短评打分': 5}
{'短评内容': '茶鸡蛋好吃,服务员热情,去各景点很方便', '短评打分': 3}
{'短评内容': '西唐的淡季,其实最适合旅游。酒店还好,房间漂亮', '短评打分': 3}
{'短评内容': '应着西塘特色，选了这家雕花大床房，感觉还行，也较卫生，开车进去不太好找，有指示图就好了，价格小贵。', '短评打分': 5}
{'短评内容': '服务很好啊，房间也很舒服，最最最让我满意的是，我有一条很重要的围巾忘在了酒店里，然后他们给我邮寄回来了！！还是他们给我付得邮费呢~~~~  超级感谢！！！！', '短评打分': 5}
{'短评内容': '设施那些还不错，主要有大浴缸，但是就是位置不是太热闹！晚上女生自己回去会有点怕黑！1', '短评打分': 5}
{'短评内容': '入住很失望，屋子放衣服的地方都没有啊！价格398元和设施太不匹配', '短评打分': 3}
{'短评内容': '很干净很干净的旅店~装修也很喜欢~就是住在一楼， 早上被游客谈话声吵醒了= =,\n一开始很担心卫生间不干净，去了之后完全打消了这个念头，就是马桶抽了2次坏掉了= =\n下次来西塘还会来住的，只是西塘除了吃就没有什么特色了T T', '短评打分': 5}
{'短评内容': ' 酒店環境不錯\r\n房间也很舒適', '短评打分': 3}
{'短评内容': '环境很不错,服务员MM都很热情,儿子特喜欢,呵呵!', '短评打分': 5}
{'短评内容': '挺干净的一家客栈，服务员的态度也很赞，wifi覆盖得比一些大酒店都好，感觉不太好的就是上二楼的那个楼梯比较陡，提着很大的箱子上下就比较麻烦。。。', '短评打分': 5}
{'短评内容': '订的奥斯卡之夜，风格我很喜欢，房间很大很干净，比起沿河那些客栈好太多了。下次来还继续选择秘密花园。', '短评打分': 3}
{'短评内容': '很小资的地方,比起西塘其他酒店也干净很多.老板人很好.', '短评打分': 3}
{'短评内容': '秘密花园后院有停车场，和店里MM电话沟通之后找到。把车停好，秘密花园真的挺隐秘的，不过很安静，也很干净。以后如果去西塘还会选这家。', '短评打分': 5}
{'短评内容': '订的奥斯卡之夜非常满意，房间很大，也很干净，通过官网提供的路线过去的，挺好找的，店家姐姐态度很好呢，虽然西塘到处都是临河的大床房，但是住宿条件都不怎么样，看着脏脏的而且很吵的样子，秘密花园就在西塘进口那边，所以很安静，真的很不错，就是周末房价小贵了点，以后住西塘都住秘密花园了', '短评打分': 5}
{'短评内容': '当时订这家就是看了网上别人的推荐。住下来感觉还是不错的，跟周围破破烂烂的民居相比，干净，也很新，床很舒服。每个房间一个主题。我这间是“东情西韵”，带一个阳台，有桌有椅，下午在暖洋洋的阳光下，喝两杯清茶，惬意~~~\n不过，没有一次性梳子，去住的要记得自己带好。我们没带只好去街上买了。还有就是没有挂衣服的地方，有点不太方便。', '短评打分': 5}
{'短评内容': '酒店很好，干净整洁，环境很美，前台的小妹也很美，热情好客，下次还会住这里。', '短评打分': 5}
{'短评内容': '非常不错的一个酒店。相对于西塘其他的家庭式客栈，无论酒店的装修，设施还是服务都是相当不错的。虽然不临水，但是环境不错。', '短评打分': 5}
{'短评内容': '服务很好，位置像他们说的还是蛮难找的。不过可以打电话问。唯一不满意的是拖鞋等于没有。。。。。', '短评打分': 5}
{'短评内容': '不错，挺干净的，就是房间小点，离镇中心稍偏一些，当然，它是今年新开业的，地理位置肯定会不及年头长的客栈地理位置好，小姑娘们的服务真的非常好！', '短评打分': 5}
{'短评内容': '住的还算舒服，觉得是西塘级别较高的一家店了，前台很热情，服务很好，下次还会选择入住。', '短评打分': 5}
{'短评内容': '很安静，很温馨，很舒适，东情西韵的小阳台很雅致~', '短评打分': 5}
{'短评内容': '地点的确和酒店的名字很像，走进去之后，拐了几个弯才找到，总体感觉还行，比较干净，价格有点小贵，一楼的房间有些吵，入住时发现有点小问题，前台很快给解决了。', '短评打分': 5}
{'短评内容': '还行吧,其实也比较好找的,就在喝咖啡的LILLY对面的小弄堂向里走.房间里面的陈设十分简单,放衣服的地方也没有,我定了两间,水乡风情和祥云瑞气.水乡的性价比比较高,有纱窗,有挂衣服的,两个1.5米的床,房间超级大,是西塘宾馆里面不太有的大房型.服务非常好,回去要去长途汽车站,店主还帮忙定了车,价格很公道', '短评打分': 5}
{'短评内容': '好地方，推荐！富含小资情怀！', '短评打分': 3}
{'短评内容': '很新很干净，小妹很热情，老板很随和，推荐(适合喜欢安静的朋友）', '短评打分': 5}
{'短评内容': '抱歉，点评太晚了！中秋节入住的，很好，干净整洁，上海老板也很亲切与体贴。性价比非常好，尤其与国庆期间在其他城市的体会相比较而言！', '短评打分': 5}
{'短评内容': '闹中取静的地儿，服务热情，好评。', '短评打分': 3}
{'短评内容': '酒店有点难找，但穿过小巷就别有洞天了', '短评打分': 3}
{'短评内容': '位置就是比較深入至可找出來,但環境不錯,員工很有禮貌,在西塘,秘密花园精品旅店是一個好選擇,下次再去西塘,都會選擇秘密花园精品旅店', '短评打分': 5}
{'短评内容': '很有风格的一家客栈，虽然不是很好找，但是您给客栈电话，会有美女来接您哦o(∩_∩)o ~~客栈服务超好的，房间也非常干净，应该算古镇中比较不错的规格了。不管怎样，是非常值得推荐的。绝对值得一住。！', '短评打分': 5}
{'短评内容': '就再西湖边上，再火车站城站坐Y2就可以直接到！\n\n老板人不错，环境也很诗意，早晨早餐也很好！可以借自行车，前2个小时免费，过2个小时1小时5块钱。\n\n就是1楼觉得少少有点潮湿，不过还可以接受！价格再便宜点点就更好了！！如果稀罕小资的同事，很推荐那！', '短评打分': 5}
{'短评内容': '今年四月刚开张的新店，条件比较好，设施齐全，比有些临河老店条件好得多。位置在烟雨长廊的西边，在胡同里边。有点小贵的说。不过逛烟雨长廊很方便，附近有餐馆和冷饮蛋糕店还有桌游吧，离醉园也超近。晚上很安静的，相较于酒吧一条街附近的旅馆更适合入住。', '短评打分': 5}
{'短评内容': '烟雨西塘，浪漫小屋，秘密花园是我和太太来西塘住的酒店，服务非常好，小妹人很好的，位置烟雨长廊里，坐船很方便，下次还会再来。希望来西塘的朋友们可以来小店光顾，应该是你的也是我们的最佳选择。', '短评打分': 5}
{'短评内容': '真的是秘密花园，开着车经过服务员的导航在村子后面秘密的进入了酒店，后面有个小院子可以免费停车，晚上卷帘门会关闭，很安全，从西塘古镇的长廊一个很不起眼的小巷可以进入酒店的前门，房间还算干净，床也很舒服，就是有一股膻味儿，可能是装修的缘故。', '短评打分': 5}
{'短评内容': '很好干净', '短评打分': 3}
{'短评内容': '那边的美女人多哦，嘿嘿！人美地方也舒服', '短评打分': 3}
{'短评内容': '西塘秘密花园比较靠里间，没有水乡那种临水而居的惬意，但是，因为酒店在巷子里，有种曲径通幽的感觉，客服人员也不错。还是推荐一下吧。', '短评打分': 5}
{'短评内容': '这家小旅店不算太难找，离卖哈根达斯的小店很近。在一条狭长的小弄里。哈哈哈哈，就地理位置来说比较秘密。绝对是西塘我见过最干净的旅店！因为是装修比较好，店也很新，管理得很好！和那些临河的什么雕花床的旅店完全不能比，那些民宅真心得脏啊！如果对住宿有些要求的人，我强烈推荐这家店！！！当然提前预订是必须的，生意太好了～～～我一朋友下次要来，也向他推荐了这家店。\n\n我们好朋友一行8个人，也算一个小小的团了吧！', '短评打分': 5}
{'短评内容': '该酒店不知道算不算民宿，床上用品很干净，水乡风情面积较大，2张1.5米的大床，适合一家人住宿；下楼右拐，经过一个大约10米的走道，就到达长廊，总体不错。', '短评打分': 5}
{'短评内容': '酒店的三个妹妹都很热情,而且是那种恰到好处的热情!\n大赞三个妹妹!\n\n秘密花园,留下美丽回忆的地方!', '短评打分': 5}
{'短评内容': '酒店很干净、方便，老板斯文、温和，热情恰到好处，有家的温馨感觉，值得再来！', '短评打分': 5}
{'短评内容': '店里服务，设施都很好很好，到西塘住宿的最好选择', '短评打分': 5}
{'短评内容': '房间很干净 也很舒适，服务很周到，所有人都很热情。以后再来西塘还会选择这里。建立、、建议来的人看一下，很好的住处~最后推房间的时候，我们的钥匙还弄不见了，但是店主很大度，说是没事，很开心的一次旅行，谢谢他们', '短评打分': 5}
{'短评内容': '非常好，有回家的感觉，西塘的妹妹很热情，像自家人哈哈。。。。', '短评打分': 5}
{'短评内容': '能免费停车，比较方便，且省停车费；房间比较干净设施比较全；出门就是“烟雨长廊”，位置也不错，值得入住。\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '服务人员非常周道，很热情；有自己的停车位，能免费停车，比较方便且省下了不少停车费；房间比较干净且设施比较全；出门不久就是“烟雨长廊”；一大家子出游，感觉挺亲切的。', '短评打分': 5}
{'短评内容': '和几个朋友一起去的，所以没机会体验大床房，不过双标也不错，价格比起其它酒店虽然稍微贵一点，但干净卫生，走的是小精品路线，希望能保持酒店的优点，加油。', '短评打分': 5}
{'短评内容': '闹中取静，前台两个小妹都很不错，房间布置也蛮温馨的，值得推荐，希望继续努力！', '短评打分': 5}
{'短评内容': '都不错，很有感觉，如果下次有机会去还是会住那的，虽然不是临河，但已经不重要了', '短评打分': 5}
{'短评内容': '（房间挺不错，就是有点小遗憾旅店没电了）说到晚上才来电！', '短评打分': 3}
{'短评内容': '很干净，很卫生，室内布置的也很好，很别致！', '短评打分': 5}
{'短评内容': '不错的酒店，和西塘其他家不太一样。很干净，很时尚，听说是上海老板，怪不得。。。', '短评打分': 5}
{'短评内容': '很不错的宾馆，干净整洁，位置也不错，相比民宿式旅店好很多。觉得可能是西塘性价比最高，最值得入住的了', '短评打分': 5}
{'短评内容': '东南亚风情比较干净就是不临河,隔音较差', '短评打分': 3}
{'短评内容': '西塘最好的酒店，环境、卫生、设施都不错，超级推荐！！！', '短评打分': 5}
{'短评内容': '环境,设备都挺好的.酒店很新,有一点装修的味道~', '短评打分': 5}
{'短评内容': '环境不错……很舒服……就是刚开始找的时候不是那么好找……要进入一条很小的小道……不过进去以后……你会发现蛮值的……', '短评打分': 3}
{'短评内容': ' 酒店环境很好，到底是新开不久，很干净 下次去还住秘密花园', '短评打分': 3}
{'短评内容': '很漂亮的房间还有淡淡的香味，很干净，拐进古旧小巷后让我发现另一片天地，有机会还会去', '短评打分': 5}
{'短评内容': '位置好，西塘设施最好，性价比相当高的酒店\n\n位置绝佳，在景区中心，烟雨长廊旁边。到每个景点都在5-10分钟步行以内。\n旅店是高端度假风格，新的，8种风格房型好像都不一样，风格的挑选余地挺大的。我们这次住的二个房间，东南亚风情和雕花大床，二个房间都是非常干净，个人感觉床上用品有5星级的水平，洁白，干净，舒适，枕头很舒服，有4个。房间隔音好，很安静，睡觉很安稳！东南亚风情的，四柱床纱幔很喜欢，超爱！雕', '短评打分': 5}
{'短评内容': '很有爱商务一家旅店 来西塘要住这里哦 会有不一样的感觉', '短评打分': 5}
{'短评内容': '预订的时候已经没有其他大床房了，只有定了雕花大床房，入住后有点失望，房间很小，正对床的窗半透明状，卫生间超小，性价比不高，其他房间应该要好很多，建议大家定其他房间，应该还可以！', '短评打分': 5}
{'短评内容': '酒店位于烟雨长廊的头里，逛街非常方便。酒店的标识非常可爱，适合年轻的朋友。酒店设施很齐全，房间很舒服。就是没有临河。。。', '短评打分': 5}
{'短评内容': '是个新开的酒店，帮朋友订的，他们回来说很不错，可以停车在院子里。', '短评打分': 5}
{'短评内容': '西塘最好的旅店\n\n环境很好，很干净。服务也很不错，很热情。房间装潢别致，各具特色房间选择比较多，设施很新，既有数字液晶电视，还有独立卫生间，设计全面。可以说是西塘最好的旅店了。名气挺大的，强烈推荐！\n\n真的是好喜欢哦。。。我觉得这家旅馆很有特色，非常适合情侣，自驾游，家庭和自助旅行者。感觉上非常棒，环境很小资喔。位置很好，就在烟雨长廊旁，去哪里玩都很方便。环境很好，很干净，小小院门和庭院带着怀旧的', '短评打分': 5}
{'短评内容': '属于西塘里面比较专业的一家旅店，干净，被子被单是白色的，提供洗漱用品，房间多种风格。', '短评打分': 5}
