{'短评内容': '酒店位置不错，有点小', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位于繁华的小南路上，购物出行就餐等都很方便。房间也比较宽敞洁净。', '短评打分': 5}
{'短评内容': '环境和价格都不错，还很安静。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '空调声音大', '短评打分': 3}
{'短评内容': '房间比较少，有点差，我不会向朋友推荐这家', '短评打分': 1}
{'短评内容': '根本就没有格林豪爱的感觉，设施陈旧！最可气的是退完房连个厕所都没有地方去上，下次再也不来了', '短评打分': 1}
{'短评内容': '地段很好，交通方便，空调很好，下次还住这里', '短评打分': 5}
{'短评内容': '还不错，就是还有小卡片不太好。不过在这个地段有这样的性价比算不错了', '短评打分': 5}
{'短评内容': '位置不错挺安静', '短评打分': 3}
{'短评内容': '马马虎虎。就是每天得刷一下卡，否则进不了门，有点麻烦，其他都不错', '短评打分': 5}
{'短评内容': '地理位置算优越。。交通方便。。。不过房间太小', '短评打分': 5}
{'短评内容': '环境好，房间空气清新，晚上也很安静，设施干净，服务态度好', '短评打分': 5}
{'短评内容': '温州连锁旅店不是太多，条件都一般般，还行', '短评打分': 5}
{'短评内容': '酒店服务人员态度都是不错，只是房间设施有待提高，做保洁的阿姨说话有点不中听。。。。。。。。', '短评打分': 1}
{'短评内容': '地方小了点，环境不是太好，但占据地利优势，出行方便，', '短评打分': 5}
{'短评内容': '虽然在市中心，但很难找，房子陈旧，有味道，网速慢的跟蜗牛一样。', '短评打分': 1}
{'短评内容': '酒店比较难找，停车位也比较少，还有就是房间好小啊，性价比不高。', '短评打分': 1}
{'短评内容': '地理位置很好，但房子显得有些陈旧，服务一般', '短评打分': 5}
{'短评内容': '酒店周边的环境不错，只是房间的隔音差了点儿。', '短评打分': 5}
{'短评内容': '定两个房间，一个房间浴室门坏了，一个房间没登记', '短评打分': 1}
{'短评内容': '格林豪泰（温州小南门酒店）位置中心，交通便利，服务也不错，但性价比不高，尤其是卫生、设施有待提高。', '短评打分': 5}
{'短评内容': '环境很一般，停车场拥挤，停车不方面', '短评打分': 5}
{'短评内容': '比较难找，开车兜了一圈才找到，停车位比较少，服务一般，性价比还可以的', '短评打分': 5}
{'短评内容': '空调声音有点吵\n厕所的地漏有点堵！\n床头没有插头很不方便\n性价比不错', '短评打分': 5}
{'短评内容': '温州酒店价格比较高，在市区能找到这样性价比的酒店非常不错了，房间很大的，比之前住的锦江大一倍！淋浴头的切换器是坏的，酒店位置稍微有点偏，我觉得不错。以后还会继续住，推荐大家来看看。还有一点，酒店很安静，特别安静，这点对我很重要', '短评打分': 5}
{'短评内容': '服务还可以，但是房间竟然有蚂蚁和蟑螂，受不了', '短评打分': 1}
{'短评内容': '地方有些偏，虽然在市中心，但是窝在小巷子里，周边环境较差。设施有些老旧，好在价格还算便宜。如果是出差公司有报销的话，不推荐这家。自己来玩的话倒是可以住，省钱', '短评打分': 1}
{'短评内容': '+环境不错 条件也不错 也很安全', '短评打分': 5}
{'短评内容': '虽然旁边的环境不是太好，但是里面还不错，服务态度也可以，格林豪泰还是可以信任的一家连锁酒店', '短评打分': 5}
{'短评内容': '+房间设施一般，对得起价格，到了比较晚，住的是一楼。', '短评打分': 5}
{'短评内容': '空调不制冷，太热', '短评打分': 5}
{'短评内容': '在一个小院子里，门口是饭店的后厨，风机声音太吵，房间隔音比较差，服务还行', '短评打分': 1}
{'短评内容': '地段原因，需要做三轮车过去。周围还是很安静的，没靠马路边', '短评打分': 1}
{'短评内容': '性价比高，各方面都很好，就是办理入住和离店手续有些慢下次出行还会住的。', '短评打分': 5}
{'短评内容': '马桶坏了叫人来修 说好在回来时修好的 回来后问柜台说修好了 回房间马桶还是一样没修过', '短评打分': 1}
{'短评内容': '藏的比较深 ', '短评打分': 1}
{'短评内容': '都还不错，就是衣服挂掉颜色，把我的白色衣服染黄了，洗不下去，建议酒店更换衣挂', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '房间比较大，不足在于房内设施太少了~', '短评打分': 5}
{'短评内容': '挺方便的，价格便宜啊', '短评打分': 5}
{'短评内容': '床上发现了蜘蛛', '短评打分': 5}
{'短评内容': '没有浴室拖鞋   走廊里有味道 其它方面还可以 出了一点小差错  但是前台人员及时解决  服务态度还可以', '短评打分': 5}
{'短评内容': '附加一句,淋浴房里居然没有放置洗浴用品的隔板,严重使用不方便.拿洗浴物品要把淋浴房打开拿,,,居然,,,,,严重不方便.', '短评打分': 3}
{'短评内容': '酒店的位置好,但一楼卫生间地漏严重不畅,澡没洗完水就要漫出浴池边了.换了二楼卫生间装修不同,感觉还好.', '短评打分': 5}
{'短评内容': '这是我至今住过的所有格林豪泰里面最差的一家，而且是最贵的一家。首先，位置比较难找，其实，房间的隔局真的是很差，床跟洗手台就一小块玻璃隔着，让人感觉很舒服，其实价格也是最贵的一家。总之，以后去温州不会再住这家了，温州的锦江之星也比这家好。', '短评打分': 1}
{'短评内容': '床有点硬，没睡好，另外因为没餐厅，所以房间都不含早，比较遗憾。位置倒是蛮幽静的，不会吵，的士司机居然不知道有这么一家酒店，可能是因为要拐进巷子吧！', '短评打分': 5}
{'短评内容': '那就酒店挺好，比较的安静，而且那边住的话还可以去温州比较著名的商业区转一下，那边打车什么也比较方便', '短评打分': 1}
{'短评内容': '这个季节一楼不能住，太潮湿，有霉味。还有就是靠变电所的不能住，晚上温温的很吵，不好睡。\r\n其他房间都还好，热别是183的单人房，性价比很高。', '短评打分': 5}
{'短评内容': '屋内昆虫太多了。', '短评打分': 1}
{'短评内容': '在巷子里,总体还行', '短评打分': 5}
{'短评内容': '房间隔音效果差', '短评打分': 1}
{'短评内容': '基本可以。', '短评打分': 5}
{'短评内容': '总体还可以，地理位置不错，附近超市，快餐都比较齐全。就是网络不稳定，时快时慢，没有洗衣服务，前台态度还是不错的，房间也很安静。', '短评打分': 5}
{'短评内容': '在內院中 交通方便 就是下午有点吵 ', '短评打分': 5}
{'短评内容': '还不错 还会入住', '短评打分': 5}
{'短评内容': '不错，位置不错', '短评打分': 5}
{'短评内容': '酒店设施还可以', '短评打分': 5}
{'短评内容': '酒店房间的门不太好,让人感觉很劣质没安全感!', '短评打分': 5}
{'短评内容': '都还可以就是卫生间有烟头', '短评打分': 1}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '总的来说这家酒店性价比不是很好~虽说是经济酒店，但是价钱没有那么公道，而且设施略有陈旧，不过地理位置还是不错的~离五马街比较近~', '短评打分': 1}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面也都不错,住着很舒适,但就是隔音效果不太好,其它的都可以,交通很方便.', '短评打分': 3}
{'短评内容': '环境价位和服务都还不错，就是门脸不好找。不见朋友就无所谓。', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '隔音效果不是很好，外面也有点吵，但是离市中心很近，附近很多购物点', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '就是隔音效果太差啦，晚上有空调外机的嗡嗡声，和其他的吵杂声。其他都还不错', '短评打分': 5}
{'短评内容': '比较吵，全是空调室外机的噪音，我数了数，旁边的居民住宅楼的墙壁上挂了17台室外机，\r\n环境一般，相对比房价，比较不平衡，停车位少，晚去的话估计停车就不方便，服务态度还不错，起码知道微笑说你好，酒店隔壁就是做足疗，桑拿，貌似看起来有点猫腻，不熟悉环境不敢去，呵呵，门口就是便利和网吧，比较方便，用餐也很方便，门口很多餐馆，推荐斜对面的叫什么食街，还不错的，对面有家鱼丸面店也不错，', '短评打分': 1}
{'短评内容': '这家店有些老了酒店味道很浓,服务还可以,位置离五马街很近逛街很方便,酒店在一个拐角里面不是很好找,安全感不是很好.', '短评打分': 3}
{'短评内容': '很不错，很喜欢里面的环境，周边出行也方便，价格也便宜', '短评打分': 3}
{'短评内容': '酒店各方面感觉都还可以,没有特别的地方,与一般的酒店条件都差不多.', '短评打分': 3}
{'短评内容': '酒店服务一般,卫生条件还可以,比较干净,设施陈旧,看起来很简陋,服务一般,地理位置有些偏.下次不会选择入住了', '短评打分': 3}
{'短评内容': '酒店在小南路，从酒店到五马街步行5分钟，一路上商店林立，购物和吃饭都很方便。酒店新造没多久，里面设施也不错，就是枕头比较高，睡得不太舒服。总体来说还是挺满意的', '短评打分': 5}
{'短评内容': '酒店的地点还不错，虽然藏在巷子里，但是离繁华的小南路不远，吃饭购物都很方便。因为酒店新开，房间设施很新，但是不能刷卡结帐。', '短评打分': 5}
{'短评内容': '在巷子里面，旁边又是酒店，龙蛇混杂，没有安全感，', '短评打分': 1}
{'短评内容': '新开业不久的酒店，房间还不错。也比较安静', '短评打分': 5}
