{'descr': '环境优美，老板人不错，很有创意的设计！下次一定还要来！', 'star': 5}
{'descr': '房间整体条件不错。中午出去吃饭回来时，发现保洁已经把卫生搞好了，很诧异！！当我不在你要做卫生时，应询问我下吧！周围出行很方便，不是很好玩，真心的。老板人挺热情的。', 'star': 5}
{'descr': '就在夫子庙北门很近，房间很宽敞，就是周围超市不够多，买东西不方便', 'star': 5}
{'descr': '位置绝佳，有家的感觉', 'star': 3}
{'descr': '酒店不错。哈哈', 'star': 3}
{'descr': '南京游之前提前了近半个月在网上找寻酒店，因为一家三代五口人出行，所以对酒店的要求会比较多。最后锁定酒店式的公寓比较适合。于是就在南京比较繁华的地段找寻，终于让我找到了，酒店的特点特别适合我们，从图片上看也非常不错，就是这家了。到店后，店主人也特别热情，之前在网上已经沟通好了，所以到店后就安排入住。酒店和图片一样，设备都非常新，全家人入住都非常满意，觉得就象在自己家里一样，豪华家庭房空间也大，适合小', 'star': 5}
{'descr': '环境好，出行方便，但厨房形同虚设，没有电磁炉和碗筷。价格偏高，接待的人员素质高，很热情、退房速度快。', 'star': 5}
{'descr': '酒店的设施和服务很好，特别是很人性化，本来订的是标准间，但到达后店家发现我们带个孩子就临时给我们改到温馨家庭房，让我们有种宾至如归的感觉，以后选酒店还会选尚好。价位合理服务好', 'star': 5}
{'descr': '酒店有点不太好找，环境还不错，就是服务有些欠缺不够完善，总的来说还不错', 'star': 5}
{'descr': '价格合理，卫生干净，店主很有信用，待客热情耐心，', 'star': 5}
{'descr': '地理位置好，近夫子庙，出行方便\n服务人员也很热情\n房间设施一般，热水器容量小\n无线网络很给力\n停车不方便，要收费20元', 'star': 5}
{'descr': '酒店比我想象的干净，设施也不是一般快捷酒店所能比的，都是三星的电器，第一次入住这种酒店式的公寓，感觉挺好的。不足的是，不知道是不是生意好的原因，服务员的反应还是有点慢，总之这种价位入住，对得起这个价钱，以后有需要，会再来的。', 'star': 5}
{'descr': '住的单人间，很明亮宽敞，公寓式酒店比普通酒店的感觉好，以后还会住，交通业很方便，附近吃喝玩乐的地方都多，呵呵。离夫子庙很近。离总统府等都不远。有一个游2路公交车可以直达南京的几个主要景点。是旅游度假的好住处。', 'star': 5}
{'descr': '刚刚住过这家公寓式的酒店，房间很好，宽敞明亮，是那种住宅公寓改装的。我住的套件更适合一家三口来住。不错，以后如果带家人来南京，会住这家酒店。', 'star': 5}
{'descr': '.  隔音不错。 设备挺齐的', 'star': 3}
{'descr': '第一次住酒店公寓，没法和同类型的比较。但感觉不太好，住了几晚，没人来打扫卫生，垃圾带都是我们去前台要来自己换。下次不会再选酒店公寓。', 'star': 3}
{'descr': '酒店地址不错，套房房间也蛮干净，性价比高，以后有需要还会愿意住这里', 'star': 3}
{'descr': '酒店的地理位置很好，與景點夫子廟只是步行5-10分鐘的距離，而住的房間隔音設施良好，縱然近著馬路都不是很嘈。房間都十分清潔，推介推介', 'star': 5}
{'descr': '这家酒店位置很好，夫子庙北门就是。安全方面不错 上下电梯都需要刷卡 这是我住过的公寓酒店最特别的 。客房面积很大 卫生做的不错 很有温馨感 设施也比较齐全。前台桂小姐很是热情，酒店门口建康路是单行线。自驾车的驴友其实到深圳发展银行进来就是了。有机会去南京还会住的 ', 'star': 5}
{'descr': '没有热水壶，没有电话机，卫生间排气扇不能使用。。。抓狂呢！！！', 'star': 1}
{'descr': '1，地段好，就在夫子庙的对面。\n2，交通方便，门口有近10部公交车，南京的公交车间隔时间较短。\n3，酒店新，2010年落成的。我住的那间，业主交给酒店只有4个月。\n4，房间面积大，实际面积约有25平方米，相当于一般酒店的一间半。\n5，很安静，晚上听不到噪音，隔音也还可以。\n6，很安全，进出大门、房间门、上下电梯全用磁卡。\n7，设施齐全，有冰箱、微波炉和冷热净水器。\n8，电热水器是60升的，热度可烧', 'star': 5}
{'descr': '酒店位置 设施 绝对一流。其它价位的连锁酒店根本不是一个档次的。很好 下次有机会肯定住这里。\n缺点么 停车不方便 还要另交费，另外由于大楼紧邻主马路，早上较吵', 'star': 5}
{'descr': '对于家庭式出游，而且是自由行的话非常好，像住在家里一样，设备很齐全，家庭房还有微波炉，洗衣机，床也多一张，很好', 'star': 5}
{'descr': '很有家的感觉，交通也很方便', 'star': 3}
{'descr': '这家酒店给人家的感觉，布局温馨，是很好的旅游奔波后的休息场所哦，推荐！', 'star': 5}
{'descr': '酒店式公寓设施还过得去，就是找起来非常不方便，还要刷卡，不过地理位置很不错，交通很方便', 'star': 5}
{'descr': ' 服务蛮热情的…配备齐全，挺不错的…', 'star': 3}
{'descr': '位置很好，到夫子庙很近。房间比较大，微波炉和冰箱，洗衣机都齐全，房间也蛮干净。但可能是第一次住酒店公寓的关系吧，总感觉不是很正规，有点别扭。', 'star': 1}
{'descr': '酒店就在夫子庙边上， 环境真是不错， 9楼前台小姐比较有耐心， 卫生做的相当干净， 总体说这价格很值 。', 'star': 5}
{'descr': '位置离夫子庙很近。入住时必须打电话让人下来接，很不方便。房间装修挺新。半夜觉得腿痒，开灯一看居然有虫子爬过，吓死了！不知是不是偶然现象。总之总体来看，还可以！', 'star': 5}
{'descr': '这家酒店就在夫子庙北门 地段很好 预定了套特惠房 前台免费给升级了套豪华大床房 客房里面冰箱 洗衣机 全是新的 比普通快捷酒店空间大了很多 尤其那个大沙发跟我家里的一样 就是开始找到酒店的话 必须要先电话前台 2分钟左右就有人来接我们上楼 最好有个大牌子就好了', 'star': 5}
{'descr': '9月3号预定的11号晚上住268元的豪华大床房，11号晚上我去住啦，干净，漂亮，也很好找。嘿嘿。怎么这几天同样的房子变成228元啦。通货膨胀的好快啊。', 'star': 5}
{'descr': '地理位置很好，交通也方便，附近有地铁，公交车也多，打车很方便。房间也还可以，不过我卫生间总有臭味。公寓该有的一些基本餐具却没有，有点失望。', 'star': 5}
{'descr': '房间面积够大，服务员态度也可以，如果是家庭出游可以，商务可能不太适合。', 'star': 5}
{'descr': '距离夫子庙、水游城等逛街的地方非常近，从机场出来和出租车司机就说南京中医院旁就行。路两边也有不少小吃、KFC、麦当劳等。就是入住时有点麻烦，该酒店是刷门卡进去的，总服务台在310房间，要从一单元进去，我入住时正好碰到有住户上楼跟着一块进去的，要不只能让酒店服务人员下来接了。\n房间整体设施较新，毕竟是去年才刚交付使用的新楼，就是入住的住户少，电梯还用着电梯保护。办好入住手续后会给门卡，进出酒店都要刷', 'star': 5}
{'descr': '客服太差。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '位置较好。离观前街很近。较老化。嗯嗯。。推荐一下。下次还会入住。', 'star': 3}
{'descr': '地理位置还行不过门口是单行道不是太方便，设施现在应该还没有全部到位停车很麻烦', 'star': 5}
{'descr': '房间很大,厨卫设备也很齐全,很舒适,很喜欢,有家的感觉.\n\n就是没有总台服务,感觉有点不可靠...', 'star': 5}
{'descr': '地点离夫子庙很近,方便.房间比较舒服.我喜欢......', 'star': 5}
