{'短评内容': '服务态度很好，订酒店方便。', '短评打分': 5}
{'短评内容': '我入住的为海景单人房，该房间较大，景观不错，且较安静。', '短评打分': 5}
{'短评内容': '环境不错，早上早餐也很丰富。希望安静点可以要求住高点。', '短评打分': 5}
{'短评内容': '價格便宜，老闆指定住宿，還不錯！值得推薦。', '短评打分': 5}
{'短评内容': '酒店很好又干净,价格合理.属商务酒店,附近吃饭也很方便.', '短评打分': 5}
{'短评内容': '这个酒店感觉一般，还是属于商务酒店，前台在16楼，房间比较安静，早餐一般。', '短评打分': 5}
{'短评内容': '非常好 ，又干净，周围地理位置很好。', '短评打分': 3}
{'短评内容': '2008年住过，很不错，这次是在高楼层，更加视线好，远处多了不少房子。另外还有积分换礼品活动，我换了个水壶，软的，很方便。', '短评打分': 5}
{'短评内容': '干净整洁，装修也还不错，只是临街的噪音稍大，其他方面都还不错。', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，非常干净整洁！', '短评打分': 3}
{'短评内容': '酒店离地铁站很近,周围也很热闹, 但酒店内部设施简单, 典型的商务酒店.', '短评打分': 5}
{'短评内容': '在酒店并不能看到海，不知为何还叫海景房，设施一般，好在打车方便', '短评打分': 5}
{'短评内容': '很不错，干净，整洁，我喜欢住得高一点，所以入住房间在19楼很喜欢，视野开阔，我觉得不用上传照片啦，和图片基本一样了', '短评打分': 5}
{'短评内容': '服务水平有所提高，还有积分活动，不错。继续提高。。。。', '短评打分': 5}
{'短评内容': '酒店卫生还好，服务态度很好，就是厕所里有些味道，不过都还是不错的', '短评打分': 5}
{'短评内容': '位置好，去机场方便。但早餐太单一，总是那些东西，不好吃。', '短评打分': 5}
{'短评内容': '，四星的价位，五星的感受，各方面都满意。推荐。', '短评打分': 3}
{'短评内容': '位置很好，去机场挺方便，周围吃饭地方挺多。房间也挺干净，就是早餐品种太少。', '短评打分': 5}
{'短评内容': '房间设施不错，位置也很好，可惜房间临马路有些吵，另外早高峰门口不容易打到车', '短评打分': 5}
{'短评内容': '酒店比较旧，另外在这边落下东西了，也没有通知我。', '短评打分': 1}
{'短评内容': '酒店服务人员积极帮助我们在马路上打车赶往机场，很感动。', '短评打分': 5}
{'短评内容': '酒店大堂在16层，很安静。但是酒店设施不算新，而且空调没有暖气。', '短评打分': 5}
{'短评内容': '环境还可以，海景房由于前海填了很多，只能看到一点。\n早餐还需要改进。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，位于前海路，楼下各种餐厅咖啡厅很多，方便出差人士。酒店特意给客人准备了电暖器，不错。就是前台服务人员较少等待时间稍长。', '短评打分': 5}
{'短评内容': '点评太晚了，是我疏忽了。不好意思啊。极力推荐！下次旅行还会首选！', '短评打分': 5}
{'短评内容': '不错的酒店，周边吃的不少。房间、被单、毛巾等都很干净，服务态度不错。就是价格再低点就很好。', '短评打分': 5}
{'短评内容': '这家酒店首先宣传就不应该给自己定位是准五星，绝对不是五星的。这家酒店是在住宅楼里面的酒店。床很硬，垫得薄，没空调，比较冷。卫生间里面也很简陋，不过房间里面还是该有的都有了。交通嘛，离地铁站不远，走十来分钟吧。但去哪里都得坐地铁，离中心还是得坐好几站路的。', '短评打分': 1}
{'短评内容': '交通便利，卫生状况较好，噪音有点大', '短评打分': 3}
{'短评内容': '几年前住过一次，感觉还可以，位置不错，就是房间设施陈旧了些。好像旁边的富邦性价比更高些。', '短评打分': 5}
{'短评内容': '酒店位于深圳南山中心区，地段不错，周边有人人乐超市，厨子餐厅，咖啡厅，ktv，是商务人士居住的不错选择。', '短评打分': 5}
{'短评内容': '房间还挺舒适的，挺大的。就是看不到海景，那海都被填掉了，有点小小的遗憾。', '短评打分': 5}
{'短评内容': '订的房间没有了给免费升级了房间，很不错，设施设备都较新客房服务也都不错，以后还会选择这家酒店', '短评打分': 5}
{'短评内容': '住的舒适大床房，床有点硬，早上的时候不知道是什么声音一直响，好吵。其他的都还行。', '短评打分': 5}
{'短评内容': '不錯88888888888888888888888888', '短评打分': 5}
{'短评内容': '性价比还不错，提个小意见，就是早餐不够丰盛，希望改善。', '短评打分': 5}
{'短评内容': '酒店环境不错，物有所值，最主要的就是很方便，以后还会入住。', '短评打分': 3}
{'短评内容': '感觉还是可以，定的是标准房，去的时候因为已经住满了，所以帮我升级到海景房，房间的面积还挺大的。', '短评打分': 5}
{'短评内容': '图片很漂亮 现实有点残忍 也不是很差 凑合吧                                ', '短评打分': 1}
{'短评内容': '房间还可以，空调不错，就是礼宾的服务不是很热情，总是在礼宾台那边和售票员小姐聊天，可能因为酒店总台在16楼的缘故，天高皇帝远，礼宾员较疏于管理', '短评打分': 5}
{'短评内容': '打环保牌，环境确实挺不错的。酒店很新，房间很干净。阳台还有榻榻米，挺有情调。唯一不足就是订的海景房，结果看不到海。', '短评打分': 5}
{'短评内容': '还不错~~住过很多次了~~~~~凑字数很麻烦啊 很麻烦~~', '短评打分': 5}
{'短评内容': '海景房挺不错的，餐厅味道也挺合我口味，赞一个', '短评打分': 5}
{'短评内容': '酒店环境不错，房间大，空间也不错，干净，早餐还行。', '短评打分': 5}
{'短评内容': 'a little noisy and not a seperate building for hotel', '短评打分': 1}
{'短评内容': '还可以，房间有点小。还算干净，价格再优惠就好了。', '短评打分': 5}
{'短评内容': '酒店不错性价比高', '短评打分': 3}
{'短评内容': '挺不错', '短评打分': 3}
{'短评内容': '电梯慢，房间还可以，早餐差，位置不错，门童不错！！！！！！！！！', '短评打分': 1}
{'短评内容': '还可以，每次都住，性价比不错。还可以，每次都住，性价比不错。还可以，每次都住，性价比不错。还可以，每次都住，性价比不错。', '短评打分': 5}
{'短评内容': '还可以，每次都住，性价比不错。还可以，每次都住，性价比不错。', '短评打分': 5}
{'短评内容': '有装修的味道，还需要再改进，新装修的，别的都还好，有些偏', '短评打分': 5}
{'短评内容': '房间好大，挺喜欢的，设施稍微陈旧了一点，早餐种类可以提高一下', '短评打分': 5}
{'短评内容': '还可以房间比较大，早餐一般，不好打车.....', '短评打分': 5}
{'短评内容': '我1号住了一个晚上，然后3号晚上继续入住中南海悦大酒店。简直就有宾至如归的感觉，由于带小孩的缘故，想找一个能拼在一起的床，服务员为我们调了3次房才满足到需求，十分感动。总之，下次到深圳，中南海悦一定是必选！', '短评打分': 5}
{'短评内容': '很不错,环境优雅，周围购物、吃饭很方便，在南山区，离欢乐谷和世界之窗较近，酒店内部环境也不错，很干净，很温馨。适合度假和情侣居住。价格也不太贵。', '短评打分': 5}
{'短评内容': '位置鄰近地鐵站, 容易找到, 交通方便。\n房間舒適潔淨, 空間大, 和廣告相片中的符合。', '短评打分': 5}
{'短评内容': '酒店房间很不错，就是门的隔音稍微不尽人意，过道上说话都能听到。但是这个价位，能住到这么大的房间，确实很有性价比', '短评打分': 5}
{'短评内容': '酒店干净整洁，19楼视野很开阔，酒店餐厅菜品很少，但味正量足，只是早餐的确不咋样，但服务超好。走出酒店100—200米就有超市和诸多特色餐馆，带小孩的还可以去商场的游戏室玩。美中不足的是没有水果送，退房的时候随便问了句，得知是通过网上订的特价房（298元），所以水果不送，有点小郁闷。', '短评打分': 5}
{'短评内容': '好，性价比高！', '短评打分': 3}
{'短评内容': '酒店环境很不错,性价比很高，非常满意!周边吃饭也方便。\n同行的同事表示喜欢这里，下次再来深圳还会选择这边住。', '短评打分': 5}
{'短评内容': '离地铁口较近，楼层较高，安静，干静，前台态度不错，就是走廊有股酸味，总体可以，但相对房价便高了。', '短评打分': 3}
{'短评内容': '1828', '短评打分': 3}
{'短评内容': '房间空间大，住得还是挺舒服的，但是不知道为什么空调的噪音这么大，希望酒店能注意一下！还有就是那个电梯上下速度太慢了，影响了效率！', '短评打分': 5}
{'短评内容': '酒店位置很方便，设施也很新，总体印象不错，酒店位置很方便，设施也很新，总体印象不错，酒店位置很方便，设施也很新，总体印象不错，酒店位置很方便，设施也很新，总体印象不错，', '短评打分': 5}
{'短评内容': '酒店环境不错，而且现在离新造的地铁口也非常近，总体来说还是不错的。如果以后房费里可以含早餐就好了。房间内的布置还是非常家庭化的，住得比较习惯。', '短评打分': 5}
{'短评内容': '酒店不错, 旁边商场和食店挺多, 有免费停车, 房间在17楼以上, 感觉更安静. 前台处理入住,离店手续也快, 房间算是大的, 洗手间也蛮舒服.就是空调处有水印.', '短评打分': 5}
{'短评内容': '酒店不错，早餐较简单，隔音效果一般，房间干净住的还算舒服，周边算是热闹，整体评价给个好吧\n酒店不错，早餐较简单，隔音效果一般，房间干净住的还算舒服，周边算是热闹，整体评价给个好吧', '短评打分': 5}
{'短评内容': 'NOT BAD.......PRICE REASONABLE..........ROOM VERY BIG...FACILITY OK.....................................................', '短评打分': 5}
{'短评内容': '房间不错，很大，日式的，有榻榻米，但大堂很差劲，不舍得开灯，不舍得开空调，早餐也是比不上麦当劳一个套餐，电梯私密性比较高，要IC卡，人员服务态度不错。', '短评打分': 5}
{'短评内容': '推荐是因为价位和所处位置。不过海景房的海景比较一般，太远了。早饭的品种不多，还好为数不多的还能挑出我喜欢的。', '短评打分': 5}
{'短评内容': '不错的酒店，每次出差都一直住，早餐也挺好的。离地铁站也很近', '短评打分': 5}
{'短评内容': '价格偏贵，且总体感觉不太好，是在一栋办公楼里面的几层楼。', '短评打分': 1}
{'短评内容': '不错哦，每次出差都会入住，不过可以问客户经理要张名片，听说可以给个更优惠的价格。', '短评打分': 5}
{'短评内容': '酒店房间时可以的，只是大堂位于16楼不是很方便。看到的海还是有些失望啊。', '短评打分': 5}
{'短评内容': '设备太旧,早餐内容差收费高,服务可,交通方便,装修不如商务酒店但收费高出很多,四星酒店打完折也差不多如此.', '短评打分': 1}
{'短评内容': 'hao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': ' 还可以啦 一般吧~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '意外被升级到套房，房间很大。但是酒店门口不好打车。', '短评打分': 5}
{'短评内容': '酒店房间很大，环境不错，下次出差还住这里', '短评打分': 5}
{'短评内容': '早餐不错，也很安静。就是大堂在16楼不太方便。周边很热闹，吃的、玩的地方很多。', '短评打分': 5}
{'短评内容': '酒店位置便利，服务人员热情。总体还可以。', '短评打分': 5}
{'短评内容': '酒店在写字楼里，不太方便。房间很一般，我认为性价比不好。', '短评打分': 1}
{'短评内容': '房间比较安静,环境也不错,周围出门交通也很方便.', '短评打分': 5}
{'短评内容': '酒店卫生很好，床单毛巾都很干净，下次出差还住这里', '短评打分': 3}
{'短评内容': ' 酒店环境不错，细节做的很到位', '短评打分': 3}
{'短评内容': '酒店还是很不错的。但是没有前几年好了，还有就是大堂在16楼，下面是写字楼，非常不爽。', '短评打分': 5}
{'短评内容': '1729', '短评打分': 3}
{'短评内容': ' 中南海悅酒店公寓房確是不錯，價錢也非常合理', '短评打分': 3}
{'短评内容': '该酒店特别适合商务差旅人士，性价比高。但是对于旅游人士略有欠缺。', '短评打分': 3}
{'短评内容': '住的是海景大床房，房间很满意，但那个”数字电视？“看深圳台还可以（应该说很多台都可以）但中央一二套没法看，凤凰卫视也信号不好，不知是深圳市统一的问题还是酒店内线路或设置的问题', '短评打分': 5}
{'短评内容': '交通方便，房间很大，布局也不错。自助早餐很丰盛。遗憾的是发票是那种定额票，凑齐房费金额要大约十张票，报销比较麻烦：）希望能改进', '短评打分': 5}
{'短评内容': '酒店位置很好，离深大很近，交通也方便，就是前台比较奇怪在16楼，实际上性价比还是不错的酒店，酒店也有些小特色。', '短评打分': 5}
{'短评内容': '总体还不错了，就是大堂在16楼有点麻烦。', '短评打分': 5}
{'短评内容': '交通方便，房间比较大，其他情况一般。。。', '短评打分': 5}
{'短评内容': '住了很多次了，，，服务和位置都不错。。硬件一般般，可能我要求高吧', '短评打分': 5}
{'短评内容': '住了好几次了。怎么说呢。服务和价格还行。。。但有点旧了。。。。。', '短评打分': 5}
{'短评内容': '各方面都中规中矩的酒店吧。。。        周边挺方便的                                        ', '短评打分': 5}
{'短评内容': '环境不错，酒店大堂在16楼，应该是公寓酒店。', '短评打分': 5}
{'短评内容': '来深圳出差，在这里住过几次，总体觉得很好的。这次来出差，想了想还是住这里。', '短评打分': 5}
{'短评内容': '酒店挺好的，地方交通方面，房间很宽敞，安静。服务也挺好的。', '短评打分': 5}
{'短评内容': '太差了，卫生间和房间都很脏，周边很吵，房间的隔音很差', '短评打分': 1}
{'短评内容': '房间够大，竟发现虫子。又是一个高层大堂...........', '短评打分': 1}
{'短评内容': '还不错，会再住~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '南山区不错的酒店，每次来深圳南山区基本都住在这', '短评打分': 5}
{'短评内容': '房间很大，交通蛮便利的，在南山区不错的选择', '短评打分': 5}
{'短评内容': '还行儿！印象最深刻就是每天有送水果。还试过写留言给收拾房间的人，说希望第二天送香蕉，结果客服还真的送了还回复了留言！哈哈', '短评打分': 1}
{'短评内容': '房间很大，风景不错，周边消费方便。但交通过于不便，早上基本没办法打车。', '短评打分': 5}
{'短评内容': '酒店服务员态度还可以 但是房间太旧 地毯很脏', '短评打分': 1}
{'短评内容': '酒店挺好的，房间大，宽敞，安静，关键是床好，很结实的感觉，很容易入睡。酒店的位置也很方便，斜对面就有一个很大的购物超市：人人乐。', '短评打分': 5}
{'短评内容': '酒店位置不错，硬件设施都不错，隔音也不错，只是前台不在一层，稍微有点麻烦。南山区比较好的选择。', '短评打分': 5}
{'短评内容': '此酒店干净，简洁， 空间较大， 楼层高， 可以看见深圳的前海新区。\n\n交通不是很方便， 早晨打车难。 希望增加如何换乘公交的指示图，如怎样去深圳湾口岸，罗湖， 南山汽车站（天桥）', '短评打分': 5}
{'短评内容': '地点还是挺方便的。坏境还可以。早餐感觉挺一般的。', '短评打分': 5}
{'短评内容': '地点方便。。。。地铁站就在楼下。吃饭也很方便。。。', '短评打分': 5}
{'短评内容': '不错哦,不贵.干净,舒适.前台服务超好,.还可以下午2.00才退房.不加收费用哦,这是我第二次去了,.真不错.', '短评打分': 5}
{'短评内容': '酒店设施，周边环境都挺好，服务也很不错，比较搞笑的是接待大厅在16楼。', '短评打分': 5}
{'短评内容': '总体上还是不错的，房间配套也齐全，价格也不高，适合平时出差，不适合商务，档次不够。', '短评打分': 5}
{'短评内容': '不错，前台也很热心帮忙。而且酒店大堂餐厅味道也很好，价格也不贵。', '短评打分': 5}
{'短评内容': '酒店不錯, 前台部分很禮貌, 房間大且舒適, 可惜到最後一天, 結帳最氣憤, 擦錯卡, 要求退回及更正, 服務台就說退不了, 要求打電話去銀行問一問是否可以退回及更正, 又只說退不了,  還說他說了就是, 最後驚動了他們的財務或經理(其實不知道她是什麼崗位), 她很幫忙, 親自打電話去問, 最後還是更正了, 很感謝, 但對於前台如此服務態度, 錯了還是不認, 亂來, 對於此酒店實在是扣了分', '短评打分': 1}
{'短评内容': '住了两个晚上，还是令人满意的。房间大，整洁。交通方便。对面就是前海购物中心。', '短评打分': 5}
{'短评内容': '干净整洁明亮。交通不是很方便。下次还会选择这家：）', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也很大很干净\n早餐的皮蛋粥很好，每个人都是现做的\n其他的品种略少些\n下次，还会住', '短评打分': 5}
{'短评内容': '无论从地理位置，还是性价比上来看，在前海附近地区，是家不错的酒店．', '短评打分': 5}
{'短评内容': '感觉一般般吧，反正半夜才到，一早就走了，没太深印象', '短评打分': 5}
{'短评内容': '很干净舒适,性价比很高!', '短评打分': 3}
{'短评内容': '旁边大超市和购物中心开起来了，热闹多了，不过酒店好像没有热空调，遥控器上选了晚上还有点冷', '短评打分': 5}
{'短评内容': '位置不错,离的客户比较近,并且餐饮比较实惠.\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '海景大床房居然没有浴缸。一次性用品也只有一套。\n4星级酒店这样的设施有点差哦。', '短评打分': 5}
{'短评内容': '这个价位在深圳属性价比高酒店了，房间设计不错，窗外风景一流，同事很是喜欢。但是交通有的麻烦，周围塞车较严重', '短评打分': 5}
{'短评内容': '房间够大也干净性价比还不错。楼下没人服务感觉不好。\n', '短评打分': 5}
{'短评内容': '房间宽敞，床很舒服，就是这两天深圳天气也很冷，空调不能加热。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '感觉挺好，房间够大，还送水果。房间很安静，睡眠好。', '短评打分': 5}
{'短评内容': '不错，下次还会去,就是不带早餐，挺麻烦的。', '短评打分': 5}
{'短评内容': '房间较大，卫生尚可，环境比较安静，位置有些偏僻，不易找到出租车，周围餐饮不够丰富，价格适中', '短评打分': 1}
{'短评内容': '装修不是很新，一般吧。应该不会再入住了。', '短评打分': 5}
{'短评内容': '酒店位置不错,早餐也可以,下次还入住.感觉很温馨.', '短评打分': 5}
{'短评内容': '酒店不错，性价比较合适，房间也挺大，靠近科技园', '短评打分': 5}
{'短评内容': '酒店不错，周围有超市很方便，服务也不错有送水果，就是半夜太吵，被别的房间的喊声吵醒', '短评打分': 5}
{'短评内容': '+第二次住，不错。', '短评打分': 5}
{'短评内容': '+干净整洁，不错。', '短评打分': 5}
{'短评内容': '房间布置很有风格，还有内阳台和景观。只是很难叫到出租车。', '短评打分': 5}
{'短评内容': '+空间挺大的，干净，但隔音效果不太好，晚上别的房间开门关门都能听得很清楚', '短评打分': 5}
{'短评内容': '入住的时候已经是凌晨了，态度相当的好，住了三天，每天都有温馨提示，不错，以后去还会住。', '短评打分': 5}
{'短评内容': '地理位子好，硬件设施也不错，装修也可以，住着还是很舒服的', '短评打分': 5}
{'短评内容': '总体不错。性价比较高，服务、卫生都不错，推荐入住。', '短评打分': 5}
{'短评内容': '还不错。房间比较大，但海景房看不到海景。。。。', '短评打分': 1}
{'短评内容': '大堂在10几楼，前台服务不错但是底楼进来没人服务这点还需改进，不然真以为走错地方。房间设施普通，性价比还不错。', '短评打分': 1}
{'短评内容': '酒店不错环境，服务都很好，不过海景房看得都是码头了，这个不能怪酒店', '短评打分': 3}
{'短评内容': '环境不错，服务也好                   ', '短评打分': 5}
{'短评内容': '前台在16楼，楼下都是办公室写字楼，没有酒店的感觉，像社会酒店。\n早餐让人大跌眼镜，住了一周之后甚至所有东西都吃腻了，还不如自己去外面买面包吃。感觉是三星的设施，四星的价格，不过服务倒是让人惊喜，可以算是五星服务。', '短评打分': 1}
{'短评内容': '不错的酒店,各项措施都比较到位,下次还去住这家酒店.', '短评打分': 5}
{'短评内容': '酒店服务很好，离公司很近，以后还会给同事订。', '短评打分': 5}
{'短评内容': '很好，服务态度好，卫生也很干净,位置也很好，靠近火车站', '短评打分': 3}
{'短评内容': '挺好的都，还送了水果。恩。就是空调不太给力，不知道是不是太旧了', '短评打分': 5}
{'短评内容': '酒店各方面都不错。只是知名度不高，从世界之窗打的，司机竟然不知道。还有就是酒店大堂设在16楼，有点不好理解。', '短评打分': 5}
{'短评内容': '不错 相当不错 以后还会继续入住 希望隔音处理下', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'good ', '短评打分': 5}
{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '不错的酒店，但是网速不够快', '短评打分': 5}
{'短评内容': '房间很大，干净，整体感觉很好。但唯一有个缺点就是前台在16楼，但和下面的写字楼共用电梯。希望有酒店自己的电梯会比较好', '短评打分': 5}
{'短评内容': '酒店和办公楼共用电梯，不很方便。', '短评打分': 3}
{'短评内容': '由于不包早餐，性价比不是太好', '短评打分': 3}
{'短评内容': '酒店性价比还可以。“海景房”是概念性的而已。就看到海的一点点', '短评打分': 5}
{'短评内容': '自助早餐要48元，不是值得。可满足一般出差要求。', '短评打分': 5}
{'短评内容': '卫生条件不错。海景单人间（看不见海了）每天还送两个水果。环境安静，但是叫出租车不方便。如果去飞机场或者接客人可以预订酒店礼宾部的车，价格比出租车稍微高一点，但是合理的。', '短评打分': 5}
{'短评内容': '还蛮不错的，下次还会入住，性价比较高。满意', '短评打分': 5}
{'短评内容': '各方面都不错，餐厅的菜式不太多', '短评打分': 3}
{'短评内容': '各方面都不错，不过海景房的海景没看头', '短评打分': 5}
{'短评内容': '酒店条件一般，也就勉强4星，定的海景房，结果前台说海被填了，请酒店以后不要再用海景房来骗人。服务还可以，有个值班经理很热心，帮我拿行李，又叫出租车的。', '短评打分': 1}
{'短评内容': '总体感觉这是一个值得去住的酒店，唯一的小遗憾就是海景房看不见海了已经，这不能怨酒店该怨gv，推荐了！！！', '短评打分': 5}
{'短评内容': '酒店服务挺好的。唯一不好的是上下班高峰电梯较慢，因为楼下是办公区。', '短评打分': 3}
{'短评内容': '商务旅行，不错的选择', '短评打分': 5}
{'短评内容': '位置还可以，服务挺好的。下次还会来住的。', '短评打分': 5}
{'短评内容': '还不错的酒店，我喜欢', '短评打分': 3}
{'短评内容': '网速太慢了，其它还好', '短评打分': 5}
{'短评内容': '早餐要是更丰富些就好了', '短评打分': 3}
{'短评内容': '不错,去蛇口的很好选择', '短评打分': 5}
{'短评内容': '位置有点偏，服务不是太好，价钱还可以', '短评打分': 5}
{'短评内容': '感觉不错，非常温馨。下次有机会，还住这家。', '短评打分': 5}
{'短评内容': '这个酒店的性价比非常好，缺点就是在办公楼内，而且比较偏。', '短评打分': 5}
{'短评内容': '位置好,海景房能看到海. 周边商业环境不错,且成熟. 唯一不足是大堂在16楼,不方便.', '短评打分': 5}
{'短评内容': '海景房涨价了约10%', '短评打分': 3}
{'短评内容': '房间很大,价格一般', '短评打分': 5}
{'短评内容': '房间的门板很薄，离地面有一两指宽的封，对面房间洗澡、说话的声音都很清晰。前台服务还可以，客房服务很不好，两个床的房间配两双拖鞋，两个人入住，没有洗澡拖鞋，所以搞湿了，不能穿湿拖鞋在屋里跑脚不舒服。多要一对，客房服务不给，说没有了就给配两个。打前台，很久送来了，第二天多要一个信封装票据，说没有。又前台，给了。总的来说，需要的东西都是不打紧的小东西，最后也还是都给了，很勉强，也消耗住客口水，结果住的很', '短评打分': 5}
{'短评内容': '总体来说还是不错的。但是豪华海景房没有你想的那样。', '短评打分': 1}
{'短评内容': '在深圳性价比还算不错', '短评打分': 5}
{'短评内容': '住着不是很舒适', '短评打分': 1}
{'短评内容': '上网太困难了', '短评打分': 3}
{'短评内容': '网速呀怎么一直不行！！！', '短评打分': 5}
{'短评内容': '酒店还是离开蛇口很远的。打车要20多块。坐汽车也不是很方便的。大厅是在16楼的。要先坐电梯到16楼。而且电梯是很慢的。这个是我最受不了的。', '短评打分': 1}
{'短评内容': '商旅出行的选择', '短评打分': 5}
{'短评内容': '可能是新装修的原因，房间气味太大，受不了；其它的都还可以', '短评打分': 5}
{'短评内容': '还可以!', '短评打分': 5}
{'短评内容': '交通方便，服务很好', '短评打分': 5}
{'短评内容': '房间很大，床也很大，就是前台在16层不是很方便，位置还算容易找！！性价比高~~', '短评打分': 5}
{'短评内容': '酒店的前台在16楼,住在19楼,如果一个人下来买早点回去的时候还要先到16楼,请服务人员刷卡才能到19楼不是很方便.服务不错,还送水果.但是房间隔音极差,我一个晚上都听见楼上的吵闹声,非常吵.像是下水道的声音.\r\n', '短评打分': 1}
{'短评内容': '本人是第二次入住这家酒店了，原因是在第一次入住后留下了很好的印象：清洁、安静，很舒适。希望他们继续努力，吸引更多的客人享受现代气息。', '短评打分': 5}
{'短评内容': '酒店房间很大，布置也很整洁，下次还会优先考虑入住。', '短评打分': 3}
{'短评内容': '房间很大，风格很清爽，马桶是坏的，总体不错。', '短评打分': 5}
{'短评内容': '这家酒店综合条件都还是蛮不错的,就是房间的床感觉比较硬,不是很舒服,不过价格还是比较优惠的,所以值得推荐.', '短评打分': 3}
{'短评内容': '周六周日原价128的远望牛扒68元', '短评打分': 5}
{'短评内容': '餐厅的菜做的好,价格合适,服务也不错.', '短评打分': 5}
