{'短评内容': '位置出了车站就在眼前', '短评打分': 5}
{'短评内容': '位置方便，但是一个楼里几家酒店，乘电梯麻烦', '短评打分': 5}
{'短评内容': ' 在如接家樓上，拐弯抹脚，不好走，房间设施象普通大床房', '短评打分': 3}
{'短评内容': '房间很大，理火车站近。。出行很方便。。。就是外面的地毯有味道。。', '短评打分': 5}
{'短评内容': '挺好的，在火车站对面，汽车站旁边，并且还有无线网络，并且我还赶上周日特价房，才100元标间，宽敞，干净。', '短评打分': 5}
{'短评内容': '非常好，房间大，楼梯麻烦点，不过无所谓，ELONG真给力！！', '短评打分': 5}
{'短评内容': '不错~经常光顾~火车站对面出行很方便~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间还可以，中央空调太冷，得让总台送个空调遥控器，小气。。不含早餐。退房可以推迟到下午两点。水也很热很大很好。网速也不错。还有无线。就是上九楼还得从八楼转电梯，底下是如家。。', '短评打分': 5}
{'短评内容': '挺好哦！整个 环境还不错 ，关键是价格合理，还有宽带，我觉得抵用券能用上 就更好了！', '短评打分': 5}
{'短评内容': '当时定的是特价房无窗的，但是到的时候给安排的是有窗的，很不错。离火车站非常近，而且没有噪音，休息的很好。网上预订的价格和现场的价格一样！希望能给出更多优惠。', '短评打分': 5}
{'短评内容': '好 干净 整洁 下次还来  如果一直有百元房就好了  会一直住的 ', '短评打分': 5}
{'短评内容': '地点很方便，就在火车站对面。房间很干净，办理住宿也很快。总之很不错，下次还来住。', '短评打分': 5}
{'短评内容': '总体来说不错\u3000交通也便利', '短评打分': 3}
{'短评内容': '100元房很值，火车站很近，大床也不错。只是窗户碎了点还好得到及时维修', '短评打分': 5}
{'短评内容': '，还不错，暖气很足噢', '短评打分': 3}
{'短评内容': '不错 很好!电视的话能再稍微大一点就好了', '短评打分': 5}
{'短评内容': '一直喜欢这家汉庭 每次都住这里 价格合适 巧的是两次居然同一个房间 加上前台热情的服务态度 特别是退房效率相当高 就是房间依旧没有衣架 不方便挂衣服 无窗房的温度较高 不好调控 ', '短评打分': 5}
{'短评内容': '酒店很好，很方便', '短评打分': 3}
{'短评内容': '酒店位置非常好，火车站对面即是，前台服务很热情，卫生也比较不错，推荐入住。', '短评打分': 5}
{'短评内容': '房间很干净 有家的味道 位置很好 一出火车站就能看到  前台的服务员服务态度很热情 特别是房间提供宝洁公司的洗发水 沐浴露 玉兰油的面霜 还有男士的护肤品等一切试用装 相当方便了住客 唯一需要改善的是房间没有衣架 无法挂衣服 屋里温度有些高 ', '短评打分': 5}
{'短评内容': '位置很好，房间不错，隔音效果也好，虽然临街，而且是火车站，但晚上听不到吵闹声，对赶火车的来说，非常的方便。', '短评打分': 5}
{'短评内容': '很好，物超所值！', '短评打分': 3}
{'短评内容': '和刚才的评价一样,就不再这里重复了啊!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '还不错,每次遇到服务人员在楼道里都会热情的问你好,感觉非常舒服.', '短评打分': 5}
{'短评内容': '酒店不错，挺干净的，也很安静', '短评打分': 3}
{'短评内容': '地理位置不错，房间很大，很干净！\n不过周围没什么好吃的饭店，都是快餐。。', '短评打分': 5}
{'短评内容': '就在火车站，如果坐火车还是很方便。酒店的设施还是有点简陋。', '短评打分': 5}
{'短评内容': '前台的服务态度非常好，我很喜欢。。。。。。', '短评打分': 5}
{'短评内容': '很晚才到，服务态度很好。。不错', '短评打分': 3}
{'短评内容': '房间很大，位置很好！前台很热情！以后朋友到济南一定会推荐这家的！', '短评打分': 5}
{'短评内容': '虽然是没窗的房间，但是通风不错，房间也很大！推荐！', '短评打分': 5}
{'短评内容': '总体来说还不错,就是房间与房间之间的隔音不太好,其它的很ok', '短评打分': 5}
{'短评内容': '不错，性价比较高，卫生间很干净，房间舒适，够安静，服务员态度好，下次还要住。', '短评打分': 5}
{'短评内容': '就在火车站对面旁边就是汽车站很是方便，环境很不错，房间条件也很好，服务人员很热情，对济南的环境很熟悉，打听路或者什么的都很了解，去济南住这里很方便舒服的', '短评打分': 5}
{'短评内容': '住宿 条件还可以！', '短评打分': 3}
{'短评内容': '还不错，住得比较舒服，就是窗户把手是没有了，关不严，离火车站太近有点吵', '短评打分': 5}
{'短评内容': '很不错，，虽然在火车站路口，但是晚上隔音的效果真好，就是上下电梯还得刷卡，有点麻烦', '短评打分': 5}
{'短评内容': '就在火车站里面，交通非常方便。晚上也不会吵', '短评打分': 5}
{'短评内容': '总体来说还是蛮好的！！！房间蛮大蛮舒适的！！！', '短评打分': 5}
{'短评内容': '窗户很小，房间灯光很暗，水挺好，虽然在火车站但是一点也不吵', '短评打分': 3}
{'短评内容': '到了前台主动给升级了房间。设施、环境不错。位置也好，标准5星级酒店。酒店内的云南菜口味很好。下次有机会还去。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '比较干净，尤其是方便，就在车站对面，提前半个月预定的，便宜很多，只得推荐！不足 的地方是电梯不方便，需要打卡，转电梯。', '短评打分': 5}
{'短评内容': '相对方便，房间挺大，就是上下楼麻烦，得换乘不同电梯，周边吃饭相对方便，济南不咋样。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '你错 坏境挺好  就是房间弄得有点太大了  空旷   上楼时需要倒两次电梯 有点麻烦  不过总体还是不错的 我会常去的', '短评打分': 5}
{'短评内容': '虽然是无窗的大床房，但是没有空气不流通产生怪味，房间很宽敞，床很大，设施齐全，也很干净，很喜欢，以后有机会还会来的', '短评打分': 3}
{'短评内容': '还不错，无论价格还是房间，因为之前在网上订过一次的房间让我太失望了，所以这样次订的比我想象中的要好很多。离泰山也蛮近的。', '短评打分': 5}
{'短评内容': '火车站附近很方便，酒店一如既往的好服务，房间简单干净，温馨', '短评打分': 5}
{'短评内容': '不咋的', '短评打分': 3}
{'短评内容': '干净、位置就在火车站对面，出行很方便。下次有机会去济南还住火车站店。', '短评打分': 5}
{'短评内容': '定的是套房，床够大，但是地板不干净，感觉像没拖过的，其他一般般。电梯要转，不方便。', '短评打分': 1}
{'短评内容': '离火车站很近！房屋面积挺大，卫生比较干净，前台服务态度挺好！', '短评打分': 5}
{'短评内容': '位置好，方便旅客出行，房间干净，服务态度好。', '短评打分': 5}
{'短评内容': '就在火车站边上，比较方便，作为一晚中转还是挺不错的，就是构造比较复杂', '短评打分': 5}
{'短评内容': '房间很大，感觉挺舒适，周边配套设施晚完善。唯一的缺点就会感觉空调不给力！', '短评打分': 5}
{'短评内容': '条件不错，在火车站对面，需转一次电梯，刷卡不及时就会被楼下的直接拉到一楼。', '短评打分': 5}
{'短评内容': '还不错。\n信用卡只是担保，入住后还需要再交钱。', '短评打分': 5}
{'短评内容': '地理位置不错，距离火车站特别近，步行不到五分钟，服务态度也很好。值得入住', '短评打分': 5}
{'短评内容': '位置好，在火车站对面。环境不好，房间到处是蟑螂', '短评打分': 1}
{'短评内容': '酒店比我想象得要好得多。室内非常整洁干净，尤其是卫生间，清洁工作做得很好，让人很安心，给人很舒适的感觉。我尤其喜欢那个床头柜……很温馨的感觉。房间里的设施也都令人满意。最主要的是非常实惠啊，一百块能住到这样的酒店真的是很好。下次去火车站的话还会选择汉庭的。', '短评打分': 5}
{'短评内容': '环境、服务都不错，位置方便。是夜里的火车，到店很晚，提前和总台说了声就OK了。', '短评打分': 5}
{'短评内容': '酒店不错，干净卫生，价位合适。交通方便，性价比很高。', '短评打分': 3}
{'短评内容': '方便、环境还算好，火车站附近乘车方便，用餐方便，交通便利。', '短评打分': 5}
{'短评内容': '设施干净，若含早餐就好了，需信用卡担保不方便', '短评打分': 5}
{'短评内容': '整体感觉很好 房间设施非常完善 房间也很大 ', '短评打分': 5}
{'短评内容': '房间的面积没有广告的大。大床间的面积说有32，其实也就此20多。', '短评打分': 5}
{'短评内容': '环境不错，很安静，下次还住！', '短评打分': 3}
{'短评内容': 'amazing冲凉效果，淋浴非常给力。特价房超值的，无窗不成问题。正常价格要比特价高一点，商旅人士还是可以接受的。就在火车站对面，赶汽车赶火车一流选择。还有免费咖啡/奶茶/五谷茶，出门前小憩几分钟享受一下咖啡非常非常有爱！', '短评打分': 5}
{'短评内容': '住汉庭要走如家的电梯，稀奇。汉庭的电梯安全系统如何保障。', '短评打分': 1}
{'短评内容': '酒店干净，但是隔音效果太差，从晚上22点到早上5点，不知道哪个屋子放歌，听的清清楚楚，严重影响休息', '短评打分': 1}
{'短评内容': '服务态度不错，', '短评打分': 3}
{'短评内容': '离火车站较近，比较乱，但房间内不吵。楼下肯德基，麦当劳，真功夫，加州牛肉面，还有超市。', '短评打分': 1}
{'短评内容': ' 舒适，大气，房间宽敞干净', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺好，最大的优势就是离车站近，也不感觉多嘈杂，服务挺好的，总体上住得舒心', '短评打分': 5}
{'短评内容': '前台挂牌价159 网上定的169  不是10块钱的事 心理不舒服', '短评打分': 1}
{'短评内容': '房间比较大，在连锁酒店里还是不错的。地理位置就在济南火车站对面，等火车很方便的', '短评打分': 5}
{'短评内容': '出差中转出差中转出差中转出差中转.................', '短评打分': 1}
{'短评内容': '抵达时没有预定的房型了，自动给升级了房间，八错八错！', '短评打分': 3}
{'短评内容': '也就靠火车站近，其他都一般，房间也很破旧，没有其他快捷酒店的温馨感觉。200的房间一般拉！', '短评打分': 5}
{'短评内容': '酒店房间宽敞，明亮。位置好而不乱。是比较理想的下榻酒店。', '短评打分': 5}
{'短评内容': '汉庭快捷连锁酒店感觉安全舒适，不错。', '短评打分': 3}
{'短评内容': '住的是高级大床房，房间很宽敞电视很大，正对火车站，很热闹，交通很方便...', '短评打分': 3}
{'短评内容': '挺不错的地方，不过靠近火车站和汽车站，和其他地方的酒店比起来会比较吵一些。', '短评打分': 5}
{'短评内容': '确实是不错，里面很新，除了转梯麻烦点，其他都很好', '短评打分': 5}
{'短评内容': '就在火车站出口对面，买票很方便。就是周围没什么消遣去处.', '短评打分': 5}
{'短评内容': '就在火车站对面。很方便。就是10层以上要换电梯。', '短评打分': 5}
{'短评内容': '火车站对面，很方便房间也很整洁。不过到8楼要转梯。', '短评打分': 5}
{'短评内容': '空间很大~~~楼层蛮高的~~可以看到整个火车站的样子~~突然发现济南的火车站也是灯火辉煌的~~~~~喜欢啦~~~', '短评打分': 5}
{'短评内容': '环境很好就是上下楼不方便', '短评打分': 3}
{'短评内容': '房间很大、很整洁，服务比较满意，值这个价格。', '短评打分': 5}
{'短评内容': '火车站出门即是，入住的是新春百元，很值，室内应有尽有，吹风机什么的，热水也不错', '短评打分': 5}
{'短评内容': '离车站很近,没想到会很安静,卫生不错房间很大.值得推荐', '短评打分': 5}
{'短评内容': '非常满意，房间大，还很干净，服务员服务态度也好，交通也便利，下\r\n吴丹次还订这', '短评打分': 3}
{'短评内容': '到房间要转电梯，很费劲，环境很一般，服务态度也一般。', '短评打分': 1}
{'短评内容': '不错，感觉挺好。而且当时参加的是春节特惠房，价钱也很优惠', '短评打分': 5}
{'短评内容': '汉庭在火车站对面 非常的方便。服务很好，很干净，设施也齐全。免费的宽带也非常的方便。', '短评打分': 5}
{'短评内容': '订的百元新春房，所以价格相比之下很便宜啦~觉得汉庭比七天要好很多，什么东西都有，也很人性化，枕头也很舒服。网速也快，火车站店太方便了，就在济南火车站对面，离进站口只有1/200米的距离。方便！\n总之很棒就是了！', '短评打分': 5}
{'短评内容': '酒店不错，房间给免费升级了。', '短评打分': 3}
{'短评内容': '无延时退房很方便，进电梯要刷卡很安全。位置好，不过附近的如家七天位置也很好', '短评打分': 5}
{'短评内容': '汉庭环境不错，价格也很合理，每次过年都会举办活动，很划算，服务也比较周到，很适合出差旅游者入住！', '短评打分': 5}
{'短评内容': '房间很不错啊。比较宽敞，就是火车站附近还是有点小吵，其他都很好。', '短评打分': 5}
{'短评内容': '酒店环境非常好，服务也非常好，下次还会来', '短评打分': 3}
{'短评内容': '给朋友预定的，反馈说还不错，设施还可以，环境也还可以', '短评打分': 5}
{'短评内容': ' 高级大床房不错,价格虽高条件也挺好的。', '短评打分': 3}
{'短评内容': '家庭房，房间挺大，卫生也不错。稍嫌不足的是毛巾比较旧，和最近住过的7天、如家相比有点逊色。济南火车站店最不理想之处是没有停车位。只能用路上的停车位或火车站的停车场，1小时4元！比北京还贵。幸好我们只是南下途径休息一夜，和人家商量后20元停一夜，不要票。自驾游不推荐这家店。', '短评打分': 5}
{'短评内容': '宽敞、温馨、能想客人之所想。预定时说带一九岁孩子，酒店安排标间时有一张床超大。入住很舒适。', '短评打分': 3}
{'短评内容': '酒店位置很好，交通方便，火车站就在对面，旁边就是一个汽车站。酒店凭住宿卡才能上电梯，比较安全。房间简单干净，卫生间很不错', '短评打分': 5}
{'短评内容': '还不错.很干净.挺舒服的.', '短评打分': 3}
{'短评内容': '很好，很方便就是房间没窗户', '短评打分': 3}
{'短评内容': '第二次住这个酒店了,交通很方便,靠近火车站,但是房间里除了水没有任何其他食物.有点郁闷', '短评打分': 5}
{'短评内容': '服务员都不错,地理位置也可以,从机场过来很方便.', '短评打分': 5}
{'短评内容': '交通很方便，就在火车站对门，房间很干净服务人员很热情，下次还住！', '短评打分': 5}
{'短评内容': '很好，满意！', '短评打分': 3}
{'短评内容': '很好，床比较舒服，服务态度也很好，期待再来', '短评打分': 5}
{'短评内容': '地理位置不错，很方便，房间设施不错，比较满意!\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '地理位置不错，很方便，房间设施不错，采光也很好，比较满意!', '短评打分': 5}
{'短评内容': '房间很大，采光也很好，最重要的是交通方便！', '短评打分': 3}
{'短评内容': '很干净服务也不错', '短评打分': 3}
{'短评内容': '这个酒店太好了，房间很大很新！虽然住店时服务员态度不太好！', '短评打分': 5}
{'短评内容': '性价比不错，设施比较新，服务也不错。就是早餐单调了些，还不是免费', '短评打分': 5}
{'短评内容': '位置不错，就在济南火车站对面，房间很大，里边的设施不错，周日100元超值。', '短评打分': 5}
{'短评内容': '运气好，遇上周日特价房，简直超值，我只住过两次汉庭，都是特价房，感觉很好！', '短评打分': 5}
{'短评内容': '服务很好，环境很好，交通方便，安全可靠，卫生间热水很好！', '短评打分': 3}
{'短评内容': '汉庭济南火车站店位于济南火车站出站口对面，大约仅有100米，非常醒目。周围肯德基、麦当劳、永和豆浆、康师傅等快餐馆林立，就餐方便。市内空间宽敞、被褥整洁干净。', '短评打分': 5}
{'短评内容': '连续住了5天，饭店的地理位置和性价比都比较高。', '短评打分': 3}
{'短评内容': '非常不错，出火车站就是，房间的环境比较不错，而且价格也不贵。', '短评打分': 5}
{'短评内容': '性价比很高呀，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈很好', '短评打分': 3}
{'短评内容': '百元房超值。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈很好', '短评打分': 5}
{'短评内容': '總體來說，不錯！酒店把房間保留的也是比較晚，值得再次入住！', '短评打分': 5}
{'短评内容': '挺好......................', '短评打分': 3}
{'短评内容': '还可以，比较安静，早餐也可以，就是床太硬了。', '短评打分': 3}
{'短评内容': '很方便，也比较干净。床头也有网线，很人性化。就是隔音比较差了。', '短评打分': 5}
{'短评内容': ' 饭店较干净，离车站很近，边上快餐店也多', '短评打分': 5}
{'短评内容': '非常好,非常方便,免费网络.而且距离济南各个景点地理位置特别好.', '短评打分': 3}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '比较便捷，经常出差，汉庭也经常住的，下次如果再去济南还会住在这里', '短评打分': 5}
{'短评内容': '卫生很好，电梯是带刷卡的，比较先进，比较安静。', '短评打分': 5}
{'短评内容': '+房间舒适，条件非常好，如果洗澡的地方再打点就更完美啦', '短评打分': 5}
{'短评内容': '第三次入住该酒店，要是他的金卡免费就方便了，总体还不错，比如家要好', '短评打分': 5}
{'短评内容': '还不错，虽然入住除了点问题，环境很好，房间很大！', '短评打分': 3}
{'短评内容': '虽然入住时遇到些麻烦，但是房间还是比较满意', '短评打分': 5}
{'短评内容': '房间面积非常大，室内设施给人感觉温馨舒适，色调搭配也很好，卫生条件也很好，以后还会入住', '短评打分': 3}
{'短评内容': '除了上九楼以上不太方便外，其他都还好！房子很舒适，虽然面对车站广场，但因为是双层窗户，一点也不吵！下次还住！', '短评打分': 5}
{'短评内容': '就在火车站对面，下火车后住非常方便。不足在于酒店有点迷宫的感觉，比较绕', '短评打分': 5}
{'短评内容': '房间大，干净卫生，服务好，室内安静，室内色调很舒服，朋友入住后很满意，就是唯一一点不足之处是酒店内无停车场', '短评打分': 5}
{'短评内容': '火车站对面，方便。服务员态度好，回答旅客问题热情，上电梯要刷卡虽安全但不方便，两人入住一人要休息一人要外出，只有一张卡就上不了电梯也回不到所住的楼层。', '短评打分': 5}
{'短评内容': '对于坐火车旅行而言,这个酒店的位置非常方便.而且公交车多.房间比较大.我选了家庭房,一张大床,一张小床.就是床,有点硬.最重要的是在火车站这么嘈杂的地方,还能找到这么安静的地方.', '短评打分': 5}
{'短评内容': '性价比高，干净卫生，房间比同位置同类型的其他酒店要大很多，很舒适', '短评打分': 5}
{'短评内容': '酒店性价比很好，位置也很不错，就在火车站对面。床很大，适合一家人住。整体干净，设施比较新，总体很好。\r\n唯一可以提高的是卫生间洗澡的玻璃门隔水不是很好。', '短评打分': 5}
{'短评内容': '卫生和服务都很好,就是坐电梯有点烦,不过也是为我们的安全着想', '短评打分': 5}
{'短评内容': ' 条件不错，服务良好！', '短评打分': 5}
{'短评内容': '真的是火车站正对面.交通也挺方便,周围吃的东西不错阿,就是我朋友忘记带身份证了,明明可以用传真的复印件,那个服务员非让我们去派出所试试,问她还有什么方法解决,她说不能住,还是我自己想起来问传真复印件行不行,才说行,不然就不让我们住,一点服务意识都没有!', '短评打分': 5}
{'短评内容': '还不错，真的离火车站很近、很方便。有双层窗，空调室外机的声音还是能听到一点。有一点不太明白，明明有中央空调，为什么制冷还要靠独立空调呢？至于到8楼电梯要转车，无非是多走点路。估计住旁边“如家”的话应该就没这个麻烦了。', '短评打分': 5}
{'短评内容': '还行吧,就在火车站对面,赶火车不用那么着急了,方便.', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '建议自己设置电梯，让客户更清楚明了。进入酒店的感觉给进入迷宫似的', '短评打分': 5}
{'短评内容': '酒店位置很方便，就在火车站对面，不错。', '短评打分': 5}
{'短评内容': '感觉不错,房间比较大，也不吵闹，出行也方便。', '短评打分': 3}
{'短评内容': '离火车站非常近，交通很方便，相较有些吵，但整体还算不错', '短评打分': 5}
{'短评内容': '不错，感觉很方便', '短评打分': 5}
{'短评内容': '卫生间有点味道', '短评打分': 1}
{'短评内容': '还是第一次入住汉庭，感觉不错，估计以后会在经济性酒店行列中重新考虑如家、锦江之星和汉庭之间的选择了', '短评打分': 5}
{'短评内容': '地理位置不错，就在火车站对面；原来房间厕所有异味，经多次协调，终于给换了个房间，服务态度很好；床很大，也很干净；总体感觉不错~~', '短评打分': 5}
{'短评内容': '房间超级大,设施也蛮新的.性价比超高的,下次去还会住的.就在火车站对面,很好找,旁边就是长途汽车站,出行特方便.', '短评打分': 5}
{'短评内容': '地址优越。环境也非常好！！！！！', '短评打分': 5}
{'短评内容': '总体不错，汉庭比如家七天性价比要高一点', '短评打分': 5}
{'短评内容': '简直太棒了，到济南站都凌晨一点了，又有老又有小的，真怕酒店不好找。结果，真的一出站就看到汉庭的招牌，那时的感觉只有两字——亲切。进去以后，也如网友介绍的，很安全，要刷房卡才可以乘电梯上楼。到达房间，室内布置简洁明快，没有任何多余的缀饰，非常舒服，房间很大，淋浴区干湿分开，连妈妈都赞不绝口。', '短评打分': 5}
{'短评内容': '因为第二天赶火车,所以住这里。机场大巴直接可以到，楼下吃饭很方便。', '短评打分': 5}
{'短评内容': '要是能便宜点就完美了', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '很卫生，价格有点高', '短评打分': 3}
{'短评内容': '方便，闹中取静。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '9楼以上（含9楼）需通过长廊转电梯，比较麻烦，其它都还不错', '短评打分': 5}
{'短评内容': '交通方便，隔壁就是长途车站，对面火车站。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '房间很不错，给人感觉很干净，窗外景色欠佳。值得一提的是，总台服务人员的工作十分令人赞赏，真正体现了微笑服务。', '短评打分': 5}
{'短评内容': '不错。卫生、火车站对过-便捷、住宿环境还好。出门左右都是卫生快餐-牛肉面、各式盖饭、KFC都有。性价比良好。', '短评打分': 3}
{'短评内容': '不错。火车站对过乘车方便，住宿环境良好。用餐非常方便出门左右KFC、牛肉面、各式盖饭，卫生良好。', '短评打分': 5}
{'短评内容': '感觉不错，干净宽敞，地理位置好，服务态度好', '短评打分': 3}
{'短评内容': '非常好，住的很舒服，服务也很好，下次还订这里', '短评打分': 5}
{'短评内容': '房间很干净，很方便\r\n', '短评打分': 5}
{'短评内容': '最大好处，离火车站近！！！', '短评打分': 5}
{'短评内容': '这是第一次接触汉庭快捷，感觉房间面积还是比较大的，比七天连锁要好不少。性价比很高，非常值得推荐，特别是周日的特惠房。', '短评打分': 5}
{'短评内容': '對耍轉乘火車及長途汽車的我交通方便\r\n房間還算舒適\r\n服務員也很熱情有禮\r\n我住的大床房\r\n感覺設計有點奇怪\r\n進門一個很大的更衣間（我想是吧）\r\n卻只有一面饒子及電插座\r\n浪費空間、也不知用來干什么\r\n倒不如把衣櫃移到那邊\r\n\r\n另外沐浴間下水道味道很大\r\n中央暖氣太暖了\r\n窗户只能開一小角通風不太好', '短评打分': 5}
{'短评内容': '出了火车站就是，方便极了', '短评打分': 5}
{'短评内容': '比天津的差一点，但还是很不错的，', '短评打分': 5}
{'短评内容': '不错，床很大', '短评打分': 5}
{'短评内容': '房间挺大，卫生和位置都很好，就是价格有点儿高，O(∩_∩)O~', '短评打分': 5}
{'短评内容': '房间竟然连瓶矿泉水都没有。除了网络什么也没', '短评打分': 1}
