{'短评内容': '房间不错，卫生条件好！', '短评打分': 5}
{'短评内容': '和好几个朋友都说了今天确实不错，并且下星期还要再来住。房间干净，卫生，床也大。服务态度蛮好的，不过不太喜欢该酒店配置的拖鞋，是那种按摩型的，穿着脚疼，不太适应。当然各有各的爱好。。后来找客服要了一次性的软底拖鞋，马上就给了。', '短评打分': 5}
{'短评内容': '价格实惠，但是没有早餐供应。应和楼下的老字号24小时营业的饭店订立协议，吃饭可以记账。房间较大。门口没有停车位。房间设施和其他商务酒店稍好，房间较大。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '舒服', '短评打分': 3}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！很好！', '短评打分': 5}
{'短评内容': '环境较好，房间简洁卫生，很适合作为旅游出行的酒店选择', '短评打分': 5}
{'短评内容': '楼下有台球，闲暇之余可以考虑。还有店家已经可以刷卡结账了。', '短评打分': 5}
{'短评内容': '饭店门口停车注意，经常会有被交警锁轮胎的状况。后面小区可以想办法停车', '短评打分': 5}
{'短评内容': '没有早餐供应。但是楼下隔壁有家24小时营业的老字号供应各种快餐，粉、面、炒饭、馄饨。味道不错价格实惠。美中不足就是不能挂房账。', '短评打分': 5}
{'短评内容': '房间比较大，还算干净。第一次入住的房间卫生间水龙头的下水漏水。淋浴还不错。', '短评打分': 5}
{'短评内容': '很干净舒适 也很方便 楼下的吃的味道也挺好 面很好吃 盖浇饭不好吃', '短评打分': 5}
{'短评内容': '卫生还行。。。只是洗涑用具，包括茶叶都要收钱。。太吝啬了', '短评打分': 5}
{'短评内容': '干净，舒适，性价比高，个人觉得比某些连锁酒店好很多', '短评打分': 3}
{'短评内容': '此酒店性价比高。就是楼下环境有点乱,吃饭的地方有点远，其他的都还好。', '短评打分': 5}
{'短评内容': '今天连锁比较简洁，感觉很不错', '短评打分': 3}
{'短评内容': '客房设施一般，房间很大床也大，环境一般般吧！', '短评打分': 5}
{'短评内容': '大床间对着马路，一个晚上车声不断，睡觉根本睡不好。', '短评打分': 5}
{'短评内容': '房间宽敞  也很素雅干净  设施比较新哦  大床房床的确很大 电视也是平板的 很清楚 台也很多 空调效果也好 反正很满意的啊', '短评打分': 5}
{'短评内容': '房间很大，而且条件也挺不错的，配置也很好，液晶电视上网也方便，适合商务出差.', '短评打分': 5}
{'短评内容': '住宿条件很好，而且卫生也做得不错，舒适干净.', '短评打分': 5}
{'短评内容': '房间装修卫生还可以，位置倒是挺好找的，价格还是比较合理，整体环境感觉还不错。', '短评打分': 3}
{'短评内容': '环境舒适,挺好的,就是会听到马路上车的杂音', '短评打分': 5}
{'短评内容': '  很满意,简洁而有新意,值得一住', '短评打分': 3}
{'短评内容': '住了好几天，感觉服务还不错，缺点是不能刷卡支付。', '短评打分': 5}
{'短评内容': '房间蛮干净，很大，是适合居住的环境，不错！', '短评打分': 5}
{'短评内容': '房间很大，液晶电视，上网速度快，本土连锁快捷酒店，不错！', '短评打分': 5}
