{'短评内容': 'gro 高东昌 杜大庭 服务态度好 不喜欢复式房 立即调房 可兼得酒店管理到位', '短评打分': 5}
{'短评内容': '设施很新，环境一流2面环湖，就是服务人员有点反应迟钝，我双手提着行李进店没有见到行李员，我老婆提着大包小包我喊了才帮忙拿，真是无语。徐州的服务还得努力，光有硬件不行啊，房间内设施齐全，住的还是很舒服的，早餐也还可以。就是服务员一直在用方言高兴的聊天，声音也不小，服务还是服务.........', '短评打分': 5}
{'短评内容': '硬件和服务都不错，值得推荐，房间面积很大，前台DAIVE ZHANG 同学笑容很灿烂啊，强烈表扬。只是最为一家五星级酒店还有以下不足，第一房间液晶电视上有灰尘；第二，中央空调不给力，有点热；第三窗子玻璃外侧没有擦干净，有蜘蛛，蜘蛛啊；第四，洗浴设施出热水速度有点慢，第6秒才有热水。但总的来说还是很好的，如果解决以上4点在我眼里堪称完美。', '短评打分': 5}
{'短评内容': '环境优美，早晨散步到云龙湖，还有游泳的，但是酒店较小', '短评打分': 5}
{'短评内容': '靠近景区，环境很好，饭店设施不错，就是泳池一般，', '短评打分': 5}
{'短评内容': '酒店靠云龙湖风景区，晚上吃过饭和家人吃饭后出来散步，感觉很好！酒店的装修和服务也很不错的！就是打车有点难打！！哈哈哈，很好的酒店！推荐！！', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。阿越', '短评打分': 5}
{'短评内容': '非常好的酒店，住的单人房，窗外就是游泳池，晚上很安静。送的早餐也不错，还有徐州的辣汤和煎包。', '短评打分': 5}
{'短评内容': '除了小，其他的都还不错。推荐外地朋友来徐州一定要住这家，环境是徐州最好的', '短评打分': 5}
{'短评内容': '环境很幽静，没想到徐州会有这么美的地方。\n设施和服务很好，而且西餐厅的菜做得很好吃。', '短评打分': 5}
{'短评内容': '环境很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '自从住过青岛的gloria后，一直对凯莱有着特殊的情愫，这家选址在徐州最美地儿的度假酒店，无论软硬件都无可挑剔，房间虽然不大（我住的mini房），但精致整洁，床很舒适，酒店本身就像一个花园，移步即景，服务也算到位，非常不错！', '短评打分': 5}
{'短评内容': '酒店总的来说外面的环境还是可圈可点的。适合“休闲”但是也存在许多的不足。里面的服务员缺少礼貌，见到我们路过，就如同空气。就连点头的招呼的礼节都没有。让我感觉非常差。再次，里面的空调非常不给力。可以说，夏天很热。第三，里面的百叶窗帘要及时的去保养。有的都坏了。', '短评打分': 5}
{'短评内容': '周边环境很好，酒店内部细节略显粗糙，还是推荐吧', '短评打分': 5}
{'短评内容': '是当地最好的酒店，服务，管理，餐饮，等细节都无可挑剔，本人已数次入住，强烈推荐。', '短评打分': 5}
{'短评内容': '强烈推荐，软件、硬件都是一流的，价格也很合适，徐州最好的住处，其它的酒店建议不要去了，以免后悔。', '短评打分': 5}
{'短评内容': '徐州最好的酒店，旁边也有一家五星酒店，但那家酒店管理上值得思考，有涉黄场所在那边，建议住凯莱，正规，服务也非常好，尤其前台服务一流。', '短评打分': 5}
{'短评内容': '每次到徐州都想住的酒店，环境，服务各方面都很好，可惜房间数量不多，有几次都没能订到房间', '短评打分': 5}
{'短评内容': '每次到徐州都想住的酒店，环境，服务各方面都很好，可惜房间数量不多，有几次都没能订到房间。', '短评打分': 5}
{'短评内容': '是徐州最好的酒店，位置非常好，周围环境很美，服务一流，早餐也很好，极力推荐。', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '算是徐州最好的酒店了吧，房间蛮大的，就是设施还不够五星标准。挨着湖，翻过阳台就可以站在湖边，很强大的湖边酒店。', '短评打分': 5}
{'短评内容': '坐落在云龙湖风景区内，自然环境好，周边设施齐全，不足是外地人去稍显不便。', '短评打分': 5}
{'短评内容': '应该说是徐州环境最好的酒店了，不错！周边的饭店也很多，环境优美啊！', '短评打分': 5}
{'短评内容': '非常不错的酒店~尤其是在徐州 风景如画 房间也很舒服 安静的惬意的', '短评打分': 5}
{'短评内容': '特价单人间能住两个人，但稍微小点，哈哈，吹毛求疵啦，总之，酒店不错，但餐饮消费高得离谱，只适合某些“特殊群体”，这点不好，太入乡随俗了！', '短评打分': 5}
{'短评内容': '太差.里面有装修味道.餐厅不适合住酒店的去.应该是官员宴请的地方', '短评打分': 1}
{'短评内容': '酒店环境超好，很安静，周围有几块小湖泊，适合散心的时候居住，房间设施完善，卫生服务都非常棒，推荐！', '短评打分': 5}
{'短评内容': '住过很多次了 性价比还是不错的 服务理念需要继续提升 细节也要提升', '短评打分': 5}
{'短评内容': '适合度假的酒店，环境不错，部分房间有点小，另外吃饭非常贵，在徐州基本上算天价', '短评打分': 5}
{'短评内容': '酒店新了点，一切还算可以，只是在人员的训练方面还需要加强。', '短评打分': 5}
{'短评内容': '物超所值,我下一次还是会入住的，干净安静和舒适。', '短评打分': 5}
{'短评内容': '内部的装修很不错的，环境特别优雅。就是很难找，要事先定好出租车，否则出来很难', '短评打分': 5}
{'短评内容': '酒店地理位置独特，环境优雅，房间设施也不错，值得住宿。', '短评打分': 3}
{'短评内容': '位置和环境都非常好，有机会再去徐州一定还住在这里', '短评打分': 5}
{'短评内容': '徐州市区少有的风景如画酒店，晚间的湖光山色映出幽静的恬美，天井泳池旁的一杯咖啡，能尽享静界！', '短评打分': 5}
{'短评内容': '邮件多次带客户入住了 特价房性价比还是不错的 吧台啤酒业不错', '短评打分': 3}
{'短评内容': '环境不错，就是房间小点。', '短评打分': 5}
{'短评内容': '环境优雅 安静 特价房性价比很好 周边也有特色酒吧 安静的那种', '短评打分': 5}
{'短评内容': '酒店外部条件很好，外面是湖面，夜景非常好。而且酒店设施很好。房间时日本风格。', '短评打分': 5}
{'短评内容': '房间小了些但是卫生设施还不错，位置的话不是很好找因为也是新的酒店好多当地的人都不是太熟悉，服务还不错挺规矩，但是价格有些偏贵。', '短评打分': 5}
{'短评内容': '环境相当好，四面换水，云龙湖逐渐， 晚上很安静', '短评打分': 5}
{'短评内容': '入住这个酒店，是相中了它的位置，虽然对它的内部设施及服务也有期望（毕竟价格在这儿呢），但更重要的还是因为在湖堤上开车转了一圈的原因。\r\n房间的设施明显是用过心的，但不知道为什么，虽然是豪华间，但带不来豪华的感觉。房间外边窗外阳台外则明显有些乱，堆放的建筑材料阻挡了视线，严重影响了观感和心情。\r\n', '短评打分': 5}
{'短评内容': '环境非常好，是个休闲度假的好地方', '短评打分': 3}
{'短评内容': 'henhao', '短评打分': 5}
{'短评内容': '性价比不错；环境很好。', '短评打分': 5}
