{'短评内容': '早餐蛮好的，种类繁多，客房也很干净，暖气足！', '短评打分': 5}
{'短评内容': '镇江是一个小城市，离车站4公里处就是鸟不拉撕的地方，出入都得打的，还得提前20分钟预订，旁边也没有娱乐场所。还是找近的地方。', '短评打分': 1}
{'短评内容': '酒店不错，晚上很安静。位置有点偏。\n早餐较简单。', '短评打分': 5}
{'短评内容': '很好！环境很好！硬件设施很过硬，服务态度好！~~', '短评打分': 5}
{'短评内容': '房间很大舒服~~但因为周边有施工，灰~~被子一拍一层灰雾···\n房间里没有点餐的菜单~~只能打送餐电话一个个菜的问~~希望以后改进~\n原以为大房会有泡澡的浴缸~~没有，只有淋浴~\n房间杯子少~啤酒杯，红酒杯可以放上几组~\n其他都还挺好的~~~有些改进的空间而已~', '短评打分': 5}
{'短评内容': '房间很不错,很值,但是房间里面没有提供电脑上网,早餐也比较一般,如果真正住的话,和同级别的酒店比较,还是比较值得的', '短评打分': 5}
{'短评内容': '各方面都挺好，推荐。各方面都挺好，推荐。', '短评打分': 5}
{'短评内容': '房间环境好, 前台服务也不错, 唯交通不方便, 但前台可以帮忙叫车!', '短评打分': 5}
{'短评内容': '新酒店，房间设施很好，早餐也不错，品种虽不多，但品味还过的去，咖啡味道很好。', '短评打分': 5}
{'短评内容': '很好的酒店，很大气，房间也非常不错，就是有点偏，不知道第二天打车是否会有困难', '短评打分': 5}
{'短评内容': '硬件条件相当好，就是位置太偏，早餐太简单。', '短评打分': 5}
{'短评内容': '，早餐太简单，其它都还行。', '短评打分': 3}
{'短评内容': '像所有人说的一样，酒店肯定是比较偏的，特别是对于镇江这样的城市来说！所以如果你不是自驾游的话，可千万别住这里，车是基本打不到的。\n酒店的条件还是可以的，虽然装修的东西其实也不是什么好货，但至少看上去还算可以，房间也比较大。', '短评打分': 5}
{'短评内容': '果然如大家点评的一样，偏是偏了点，不过如果自驾行的话，还是很推荐的，因为开车到市中心也不过10分钟。酒店是按照4星标准建的，房间也很干净漂亮。早餐看过点评后就想象的只有包子馒头之类的，结果比想象中要好的多，有西瓜 哈密瓜两种水果，还有咖啡机煮的咖啡，还有面包类的，炒面挺好吃，还有蛋炒饭啊，炒青菜之类... ', '短评打分': 5}
{'短评内容': '房间很干净 服务也不错 自驾的话很方便就找到了。', '短评打分': 5}
{'短评内容': '不错的酒店....早餐的话好像稍微简单了些...希望下次能丰富一些....', '短评打分': 5}
{'短评内容': '很好的酒店，服务也到位，很满意~~~~~~！！。', '短评打分': 5}
{'短评内容': '房间很大，很安静，有车去很方便。服务也不错，下次还会入住。', '短评打分': 5}
{'短评内容': '果然如大家点评的一样，偏是偏了点，不过如果自驾行的话，还是很推荐的，因为开车到市中心也不过10分钟。酒店是按照4星标准建的，房间也很干净漂亮。早餐看过点评后就想象的只有包子馒头之类的，结果比想象中要好的多，有西瓜 哈密瓜两种水果，还有咖啡机煮的咖啡，还有面包类的，炒面挺好吃，还有蛋炒饭啊，炒青菜之类的。。。当然如果按照四星的标准，这样的早餐的确还是差了很多。。。', '短评打分': 5}
{'短评内容': '酒店装修很好但很偏', '短评打分': 3}
{'短评内容': '虽然很偏 除了服务人员比较少硬件还是非常不错的 \n酒店大楼很新打着润扬大厦（好像 对不起记忆力突然短路） 但是 酒店自己的招牌很小很不起眼 我们开过后 跟路人询问后 又返回才找到', '短评打分': 5}
{'短评内容': '这个酒店除了硬件设施令人感到满意外，各个部门的服务态度也非常好。无论是前台或是餐饮部门，无论是经理或是一般年轻的工作人员都是微笑服务，尽量满足或帮助旅客解决实际问题，大有宾至如归的感觉。', '短评打分': 5}
{'短评内容': '酒店很新，位置属于新区优点偏，服务有点欠缺!', '短评打分': 5}
{'短评内容': '服务细节和员工专业性有待提高', '短评打分': 3}
{'短评内容': '硬件设施不错，性价比好。就是早餐一般，太简单了。', '短评打分': 5}
{'短评内容': '房间干净舒适，前台结账速度较慢，需要提高', '短评打分': 3}
{'短评内容': '帮同事预定的，至于环境怎么样。无法亲身感受。不过看网上的好评，猜想应该不错吧。...........', '短评打分': 5}
{'短评内容': '很好的酒店，就是稍微偏僻了点。。。。。。。。。。', '短评打分': 5}
{'短评内容': '从房间设施看，快够五星了。服务也不错。夜里3点钟，服务员还在打扫房间。只是偏了一些，坐车不方便，早餐差了一点儿。', '短评打分': 5}
{'短评内容': '地理位置稍微偏了一些，离高铁站很近。房间设施相当的不错。早餐差了点儿，跟酒店的设施有点儿不匹配。', '短评打分': 5}
{'短评内容': '不错，装修很好，舒适干净，晚上窗外蛙声阵阵，很久没有这样的体验了，很好。', '短评打分': 5}
{'短评内容': '如果，你喜欢安静，这个酒店非常好。空间也很大。', '短评打分': 5}
{'短评内容': '很好的酒店，环境、设施、服务都很不错。', '短评打分': 3}
{'短评内容': '酒店挺新,但卫生间有味道.早餐不太丰富.', '短评打分': 5}
{'短评内容': '房间很干净，设施也很好，餐厅服务员服务热情周到，已多次入住。', '短评打分': 5}
{'短评内容': '酒店装修不错 房间设施也可以 就是真的好偏 无法打出租 还有服务一般 ', '短评打分': 1}
{'短评内容': '酒店蛮新的，但周边环境就不咋滴，较偏僻，打车不方便', '短评打分': 5}
{'短评内容': '设备不错，早餐还行。离市区太远，打车极不便。', '短评打分': 5}
{'短评内容': '房间还行，地点确实偏了点。不过离金山寺只有6Km，适合自驾。早餐内容确实不丰富，如果是对早餐很挑剔的，建议另选他处。', '短评打分': 5}
{'短评内容': '条件可以，位置有点偏。硬件设施很新也很齐全，房间隔音不错，价格也很实惠\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '优点：\n房间内部宽敞，相对之前入住的5星际酒店比较，设施毫不逊色；\n如果说酒店房价的一半是是住房/一半是配套环境的话，丽景的房间绝对值得。\n电视频道丰富，LG的液晶电视。\n\n不足：\n由于酒店刚开业不久，周边还是工地，实在没有什么景色可言！\n酒店地处相对偏僻，自驾没有问题。\n没有泳池/健身房等附属设施，不过本人住酒店从来没有时间享受这些，哈。', '短评打分': 5}
{'短评内容': '这是一家硬件设施很不错的酒店，可能是刚开业的原因吧，很多软件和服务上还有待提高。', '短评打分': 5}
{'短评内容': '房间里没有纸袋，房间里点餐不知所谓，环境不错，大堂有点小', '短评打分': 5}
{'短评内容': ' 位置有些偏 设施不错 房间大  我推荐', '短评打分': 3}
{'短评内容': '＋2豪华间，1标间\r\n\r\n[星展银行  胡滨]', '短评打分': 3}
{'短评内容': '位置虽有点偏僻,但里面环境很好 服务也不错的', '短评打分': 5}
{'短评内容': '离市区比较远，不过整体的环境还是不错的，离办事的地点很近的话可以选择。', '短评打分': 1}
{'短评内容': '总体不错！据说酒店开业不足一年，设施很新。清明节入住三天，满意！但却有提高的可能。建议：每个房间放置镇江、扬州的介绍资料，旅游线路等游览信息，介绍宾馆的大册子也应该有。消费类的内裤、安全套等也应该有。', '短评打分': 5}
{'短评内容': '酒店装修比较新，房间也还可以，但实在太偏了。而且缺乏设施，电视是坏的，餐厅没东西吃，价格也不便宜。下次不住了', '短评打分': 3}
{'短评内容': '设施好，位置有点偏，周边购物不太方便，新酒店', '短评打分': 5}
{'短评内容': '酒店也是新开业的环境还是很不错，但是位置离市区还是很远打车出行都很不方便，服务还不错，性价比还是可以接受的。', '短评打分': 5}
{'短评内容': '很好的酒店，非常的不错，位置较偏僻，但问题不大，前台可以帮忙叫车。', '短评打分': 5}
{'短评内容': '很不错的四星级酒店，除了周边环境一般外，酒店的设施、装修、服务都挺好的，算得上五星级的性价比了。', '短评打分': 5}
{'短评内容': '位置较偏，但离开润扬大桥下口很近，是去扬州前不错的入住场所。\n酒店较新，设施不错，也挺干净。\n总体还不错。', '短评打分': 5}
{'短评内容': '是个比较新的酒店，硬件设施很好。整体性价比较高。就是位置有点偏，适合开车去的朋友，如果没车那地方不是太方便。整体评价：推荐入住。', '短评打分': 5}
{'短评内容': '设施和服务还是很不错的！', '短评打分': 3}
{'短评内容': '设施卫生都很不错的，自己开车过去没什么影响但是要是自己坐公交打车都不是太方便离市区还是有段距离，价格还好，就是可能因为也是新酒店有些方面还是需要慢慢完善比如餐饮之类的。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '室内的消费品没有明确标注出来.硬件设施蛮新的,住着比较舒服一些.位置好一些靠近高速路,不过离市中心有些偏,自驾更好一些.', '短评打分': 5}
{'短评内容': ' 酒店硬件很不错。服务也好。房间很大。早餐品种太少，但可以带一份回房间。真好。总体评价很棒。', '短评打分': 3}
{'短评内容': '位置太偏设施比较新但刚开张明显不全', '短评打分': 3}
{'短评内容': '酒店比较新，但位置确实比较偏，客人不多，显得冷清，餐厅等设施也没有完全开放，早餐是点餐式的，没有自助，不过也还不错。另外打车比较困难。除此之外，房间设施不错，很舒服，服务员也彬彬有礼。如果位置不是这么偏的话，那么这家酒店绝对是在镇江住宿的不二选择', '短评打分': 5}
{'短评内容': '酒店装修豪华 所有的石材等级相当高 真的很有钱 享受。。。', '短评打分': 5}
{'短评内容': '新酒店，设施不错，就是位置有点偏。如果出差在附近的话推荐入住。', '短评打分': 5}
{'短评内容': '离市区有点远,如果晚上去有点难找,其它一切都OK,强力推荐', '短评打分': 5}
{'短评内容': '新开的酒店，还在试营业，有些设施不到位。不能因为入住的顾客少，就降低了早餐的准备要求。其他方面还不错。', '短评打分': 5}
{'短评内容': '房间和环境很好,比较舒适豪华,就是早餐不行啊,菜太少', '短评打分': 3}
{'短评内容': '很不错，离市内稍远点，不过我是自己开车，住着很舒服', '短评打分': 5}
{'短评内容': '酒店的位置里城区比较远了点， 出行不是很方便。设施比较新，服务员态度都比较好，停车场比较大，安全可靠。', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
