{'短评内容': '很好，很好✌✌✌前台的帅哥美女都很好。✌✌✌✌✌', '短评打分': 5}
{'短评内容': '环境不错，性价比高，距离市中心很近，交通也很方便', '短评打分': 5}
{'短评内容': '房间干净整洁，性价比高，距离市中心很近。。。', '短评打分': 3}
{'短评内容': '第一次住，感觉很好，很干净，服务也不错！', '短评打分': 3}
{'短评内容': '开业时间不长，房间卫生很好，很安静，餐厅就餐环境也不错，！', '短评打分': 5}
{'短评内容': '酒店环境很好，交通也比较方便，满意。', '短评打分': 3}
{'短评内容': '不错  不错   快捷商务酒店里不错的了  如果价格还可以稍优惠些就更好了\n', '短评打分': 5}
{'短评内容': '出行方便，房间干净！有中央空调，会客沙发，床被很洁净！', '短评打分': 5}
{'短评内容': '比较新，较安静，卫生不错，房间较大，总体可以', '短评打分': 5}
{'短评内容': '位置不错，机场巴士路过，周边游清真小吃城，但是都是一些饭店，感觉就像个餐饮一条街。', '短评打分': 5}
{'短评内容': '   这个酒店服务很好，客气礼貌，感觉很好，特别是住的房间宽敞舒适非常干净，不象有的连锁酒店虽然口碑也不错但是房间偏小，感觉就差点。\r\n   如果这家酒店的淋浴热水水压再高一些，就很完美了。', '短评打分': 5}
{'短评内容': '由于是家新店，设施很新很干净，前台服务很周到，就是打扫不是很及时，地理位置有些偏，不太好打车，不过总体来说还是很舒服的，下次还会去这里~~', '短评打分': 5}
{'短评内容': '就带你房间很大，订的是标准间，有一个红色的沙发，网速也还可以，推荐', '短评打分': 5}
{'短评内容': '服务很周到，位置不错，旁边就是清真美食城，对面还有小吃城。', '短评打分': 5}
{'短评内容': '卫生条件不错，第一次入住快捷型的酒店，感觉不错！', '短评打分': 5}
{'短评内容': '很新很干净.可免费停车.但车位不多', '短评打分': 5}
{'短评内容': '位置不在闹区离旅游线路很近 酒店干净但房间较小', '短评打分': 5}
{'短评内容': '酒店干净整洁，早餐也不错。适合出差旅游，', '短评打分': 5}
{'短评内容': '   其实就旅游者而言，新月广场店的位置很好，新月广场为游1，游2路车的始发站。并且酒店门口打车，公交均很方便，打车至鼓楼步行街只需5元，公交车也可直达。唯一稍有不足就是卫生间面盆下有漏水情况，其他设施良好，酒店服务态度也较好。', '短评打分': 5}
{'短评内容': '不首信用，很生气，没有给我们留房间，害我们人生地不熟的住了别家', '短评打分': 3}
{'短评内容': '不首信用，我到了那里酒店已经没有房间，让我们自己打车去了离市区远的酒店，很生气', '短评打分': 1}
{'短评内容': '我到店后告诉没有预定记录，后经查询总部说是有预定的，酒店前台先给我安排入住了，不知道酒店是怎么个情况。', '短评打分': 5}
{'短评内容': '   前台服务很好  房间设施尚可', '短评打分': 5}
{'短评内容': '这个价位是一个很不错的酒店，房间很干净，服务也很好', '短评打分': 3}
{'短评内容': '总体不错，，有机会来，继续住！', '短评打分': 3}
{'短评内容': '锦江之星 这类连锁酒店最大的好处是配套设施、服务等全国较为统一 这次发现就是西部地区的锦江之星也是非常的舒适 特别一提的是他的双床房  一大一小 一家三口都能很舒适的睡下 这点比其它的一些连锁要好 如果是三个人出行 是非常舒适和节约的选择', '短评打分': 5}
{'短评内容': '总体感觉不错，有停车场较大，院门大开，可惜没看见保安或门卫。', '短评打分': 5}
{'短评内容': '後面有清真美食街，燒烤店很多，食物還可以', '短评打分': 5}
{'短评内容': '房间干净整洁，配置硬件都很达标，重要的是服务很好，很用心。', '短评打分': 5}
{'短评内容': '位置挺好找，房间的卫生设施都还行。价格还行。和其他的锦江之星都差不多感觉还不错。环境也是挺好的。', '短评打分': 5}
{'短评内容': '环境还可以，房间的卫生设施都不错，位置也很好找挺方便，价格服务都差不多。', '短评打分': 5}
{'短评内容': '卫生设施还可以，位置还是挺好找的，价格服务都还可以。', '短评打分': 5}
{'短评内容': '位置稍有些偏，距离市中心有点远，我入住的房间感觉条件也挺一般的，不过总体感觉还过得去.', '短评打分': 5}
{'短评内容': '房间干净整洁，配置硬件都很达标，重要的是服务很好，很用心。', '短评打分': 5}
{'短评内容': '还可以吧，就是饭菜贵了点，停车挺方便的', '短评打分': 3}
{'短评内容': '快捷酒店吗，总的来说还是可以，', '短评打分': 5}
{'短评内容': '酒店的服务非常好，很贴心。每个员工都面带微笑。', '短评打分': 5}
{'短评内容': '酒店的配置齐全达标， 卫生也很好，打扫很干净，服务也很好，感觉管理挺不错的。', '短评打分': 5}
{'短评内容': '餐饮的价格略高,西红柿炒蛋要18元，超出了对银川消费水平的想象。\r\n土豆牛肉里的土豆没有熟，不过也习惯了，别的锦江之星里土豆牛肉也是这个样子的。\r\n早餐还是不错的。\r\n', '短评打分': 5}
{'短评内容': '就是有点远，紧邻国道，来往的大型车辆比较多，千万别要临街的房子。', '短评打分': 5}
{'短评内容': '酒店的位置非常好，新月广场有很多去旅游景点的车，', '短评打分': 5}
{'短评内容': '          意外的惊喜，没想到银川也有服务这么好的酒店\r\n    多次住过银川的酒店，期望值一直不高，这次经过朋友介绍入住感觉特好，房间非常干净，床也舒服，卫生间漂亮，我住的是无烟房，一点烟味都没有，每一个服务员见到我都会微笑问好，特别是前台的服务态度非常好，还特别提醒我无烟房临街可能有点吵，如果不满意可以将内侧的房间给我做无烟处理，这点特别让我感到温馨，银川酒店的服务于管理也跟上了发达城', '短评打分': 5}
