{'descr': '态度好。酒店有点旧', 'star': 5}
{'descr': '这个价位，这个地段，还不错，环境还不错，比较干净，工作人员服务态度也很好。就是靠近路边早上时有点吵，毛巾也有点破了！', 'star': 5}
{'descr': '这个价位，这个地段，还不错，环境还不错，比较干净，工作人员服务态度也很好。就是靠近路边早上时有点吵，毛巾也有点破了！', 'star': 5}
{'descr': '这酒店还是很不错的，交通比较方便，门口就公车站，旁边有KFC,屈臣氏和沃尔玛，走10分钟就可以到夫子庙和地铁站了...房间和厕所还是有点异味，不过喷点香水就好了..呵呵', 'star': 5}
{'descr': '这酒店还是很不错的，交通比较方便，门口就公车站，旁边有KFC,屈臣氏和沃尔玛，走10分钟就可以到夫子庙和地铁站了...房间和厕所还是有点异味，不过喷点香水就好了..呵呵', 'star': 5}
{'descr': '位置靠近夫子庙景区   房间宽敞明亮   卫生设施齐全   服务态度也蛮好   有机会还选这家酒店  ', 'star': 5}
{'descr': '位置靠近夫子庙景区   房间宽敞明亮   卫生设施齐全   服务态度也蛮好   有机会还选这家酒店  ', 'star': 5}
{'descr': '酒店中间层类似避风塘，可以打牌、下棋，打台球等休闲娱乐，按位收费。可以单点饭菜，味道还不错！顶层为住宿，类似快捷酒店，有窗子的房间不是临街太吵，就是窗户很高，向监狱一样（家庭房，一大一小床）。所以从住宿环境的角度来考虑不建议。一层服务员的服务态度还是不错的！', 'star': 1}
{'descr': '酒店中间层类似避风塘，可以打牌、下棋，打台球等休闲娱乐，按位收费。可以单点饭菜，味道还不错！顶层为住宿，类似快捷酒店，有窗子的房间不是临街太吵，就是窗户很高，向监狱一样（家庭房，一大一小床）。所以从住宿环境的角度来考虑不建议。一层服务员的服务态度还是不错的！', 'star': 1}
{'descr': '去夫子庙很方便，走一下就行了，门口有个公交站，车很多，旁边就有个沃尔玛。酒店卫生一般，马马虎虎！如果晚上去夫子庙，可以住那里', 'star': 5}
{'descr': '去夫子庙很方便，走一下就行了，门口有个公交站，车很多，旁边就有个沃尔玛。酒店卫生一般，马马虎虎！如果晚上去夫子庙，可以住那里', 'star': 5}
{'descr': '就在夫子庙附近，出行很方便，门口就是公交车站，站名--琵琶巷。离地铁三山街有3站路的距离，附近吃东西购物都很方便，特别是酒店出来右手百米处有家百年老店的小笼汤包超级好吃。', 'star': 5}
{'descr': '就在夫子庙附近，出行很方便，门口就是公交车站，站名--琵琶巷。离地铁三山街有3站路的距离，附近吃东西购物都很方便，特别是酒店出来右手百米处有家百年老店的小笼汤包超级好吃。', 'star': 5}
{'descr': '交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情，交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情', 'star': 5}
{'descr': '交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情，交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情交通方便，干净卫生，价格合理。里夫子庙很近，到旅游景点的公交车很多，服务员和热情', 'star': 5}
{'descr': '还有一点，旁边就是一家超市（好又多？）\n服务态度也好。\n。。。。。。。。。。。。。。。。。。。。\n170 一晚， 床也大。', 'star': 5}
{'descr': '还有一点，旁边就是一家超市（好又多？）\n服务态度也好。\n。。。。。。。。。。。。。。。。。。。。\n170 一晚， 床也大。', 'star': 5}
{'descr': '价格合理。位置相当不错，走路到夫子庙大概10分钟（穿过对面的琵琶小区）。\n住了几天，就是自己晾衣服不方便。\n交通也很方便，门口就是公交站，到各个景点都方便。\n对面的琵琶小区的早餐不错，牛杂粉丝汤，煎饺。。。', 'star': 5}
{'descr': '价格合理。位置相当不错，走路到夫子庙大概10分钟（穿过对面的琵琶小区）。\n住了几天，就是自己晾衣服不方便。\n交通也很方便，门口就是公交站，到各个景点都方便。\n对面的琵琶小区的早餐不错，牛杂粉丝汤，煎饺。。。', 'star': 5}
{'descr': '酒店干净、服务不错。离夫子庙近，价钱还可以。就是离三山街地铁站稍微有些距离，走过去大概15到20分钟的样子，如果行李不多走过去也无妨，顺便熟悉一下周围的环境，一路上大小旅馆招待所还是挺多的。', 'star': 5}
{'descr': '酒店干净、服务不错。离夫子庙近，价钱还可以。就是离三山街地铁站稍微有些距离，走过去大概15到20分钟的样子，如果行李不多走过去也无妨，顺便熟悉一下周围的环境，一路上大小旅馆招待所还是挺多的。', 'star': 5}
{'descr': ' 门面很小，房内还过得去', 'star': 3}
{'descr': '位置不错。，边上有沃尔码超市，离秦淮河夫子庙很近，走着6分钟的样子，和汉廷有点象，服务态度比较好，设施一般吧，说不出太好，也不算差', 'star': 5}
{'descr': '位置不错。，边上有沃尔码超市，离秦淮河夫子庙很近，走着6分钟的样子，和汉廷有点象，服务态度比较好，设施一般吧，说不出太好，也不算差', 'star': 5}
{'descr': '环境还不错，被套都是淡淡的花纹，比全白色好多了，离夫子庙还要走点路，离地铁要走几条街，就是南京的美食都不好吃。', 'star': 5}
{'descr': '环境还不错，被套都是淡淡的花纹，比全白色好多了，离夫子庙还要走点路，离地铁要走几条街，就是南京的美食都不好吃。', 'star': 5}
{'descr': '酒店干净,交通方便,电脑的网速也更快', 'star': 3}
{'descr': '酒店干净,交通方便,电脑的网速也更快', 'star': 3}
{'descr': '位置不错，生活很方便，旁边就是屈臣氏和沃尔玛，家庭间比较宽敞，只是这次住的房间窗户有点小，整体感觉还不错', 'star': 5}
{'descr': '位置不错，生活很方便，旁边就是屈臣氏和沃尔玛，家庭间比较宽敞，只是这次住的房间窗户有点小，整体感觉还不错', 'star': 5}
{'descr': '便宜，不错。之前看到评论有说这家酒店晚上会有臭味，有点担心，实际入住后发现厕所挺干净的，晚上也没有恶臭。', 'star': 5}
{'descr': '便宜，不错。之前看到评论有说这家酒店晚上会有臭味，有点担心，实际入住后发现厕所挺干净的，晚上也没有恶臭。', 'star': 5}
{'descr': '挺卫生的，服务挺好的，关键是离夫子庙近，出门就是沃尔玛，购物方便，价格实惠', 'star': 5}
{'descr': '挺卫生的，服务挺好的，关键是离夫子庙近，出门就是沃尔玛，购物方便，价格实惠', 'star': 5}
{'descr': '太吵了，另房间有异味，希望改变！', 'star': 3}
{'descr': '太吵了，另房间有异味，希望改变！', 'star': 3}
{'descr': '这个价格在夫子庙附近相比性价比还可以，但是服务意识比较差，要服务员拿几个衣架态度很差', 'star': 1}
{'descr': '这个价格在夫子庙附近相比性价比还可以，但是服务意识比较差，要服务员拿几个衣架态度很差', 'star': 1}
{'descr': '很不错的酒店 比较干净 前台也很热情  服务也不错  就是隔音效果比较差', 'star': 5}
{'descr': '很不错的酒店 比较干净 前台也很热情  服务也不错  就是隔音效果比较差', 'star': 5}
{'descr': '感觉可以，离秦淮河好近的说。房间也足够大。舒服~~', 'star': 5}
{'descr': '感觉可以，离秦淮河好近的说。房间也足够大。舒服~~', 'star': 5}
{'descr': '环境很好，很干净，也很安静，房间很大，价格真的是很物超所值了\n我住的是家庭间，所以很推荐\n店里的人服务态度也很好\n离夫子庙很近，可惜离地铁站远了一点...每次出门都要坐2站公交\n买东西很方便，旁边就是沃尔玛和屈臣氏，还有KFC', 'star': 5}
{'descr': '环境很好，很干净，也很安静，房间很大，价格真的是很物超所值了\n我住的是家庭间，所以很推荐\n店里的人服务态度也很好\n离夫子庙很近，可惜离地铁站远了一点...每次出门都要坐2站公交\n买东西很方便，旁边就是沃尔玛和屈臣氏，还有KFC', 'star': 5}
{'descr': '乾淨整潔, 不論是旅館大廳或房間, 應該都堪稱在南京市中心平價飯店當中相對優質的一家!', 'star': 5}
{'descr': '乾淨整潔, 不論是旅館大廳或房間, 應該都堪稱在南京市中心平價飯店當中相對優質的一家!', 'star': 5}
{'descr': '环境还可以，附近吃的东西也很多，交通也方便，下次还会去的', 'star': 5}
{'descr': '环境还可以，附近吃的东西也很多，交通也方便，下次还会去的', 'star': 5}
{'descr': '位置不错，房间不大，但是比较干净，性价比挺高的', 'star': 5}
{'descr': '位置不错，房间不大，但是比较干净，性价比挺高的', 'star': 5}
{'descr': '装修比较老，设备陈旧，本来是看了点评说不错才住的，结果比较失望。地段还凑合，离夫子庙近。但是从地铁三山街出来要打车过来，开始以为很近，走路走了二十分钟才到。', 'star': 1}
{'descr': '装修比较老，设备陈旧，本来是看了点评说不错才住的，结果比较失望。地段还凑合，离夫子庙近。但是从地铁三山街出来要打车过来，开始以为很近，走路走了二十分钟才到。', 'star': 1}
{'descr': '地点好，离夫子庙、瞻园比较近，交通也方便。就是旁边有个超市的后门晚上有些吵。卫生和服务态度也不错。', 'star': 5}
{'descr': '地点好，离夫子庙、瞻园比较近，交通也方便。就是旁边有个超市的后门晚上有些吵。卫生和服务态度也不错。', 'star': 5}
{'descr': '该酒店很不错，物美价廉，干净安静，交通方便，性价比很高，周边就是夫子庙。', 'star': 5}
{'descr': '该酒店很不错，物美价廉，干净安静，交通方便，性价比很高，周边就是夫子庙。', 'star': 5}
{'descr': '房间挺大的，周边交通方便，离夫子庙很近。', 'star': 5}
{'descr': '房间挺大的，周边交通方便，离夫子庙很近。', 'star': 5}
{'descr': '位置超好，城隍庙边上，吃饭也方便，门口就是KFC，就是房间的采光不是很好，卫生有待加强啊，结账时忘了要发票，呵呵，服务人员给我快递过来了，感谢！', 'star': 5}
{'descr': '位置超好，城隍庙边上，吃饭也方便，门口就是KFC，就是房间的采光不是很好，卫生有待加强啊，结账时忘了要发票，呵呵，服务人员给我快递过来了，感谢！', 'star': 5}
{'descr': '很好，很干净、实惠的家庭用房。离夫子庙很近。下次还住这里。', 'star': 5}
{'descr': '很好，很干净、实惠的家庭用房。离夫子庙很近。下次还住这里。', 'star': 5}
{'descr': '走道味道比较大。其他都不错，卫生间，床都很洁净满意', 'star': 5}
{'descr': '走道味道比较大。其他都不错，卫生间，床都很洁净满意', 'star': 5}
{'descr': '酒店不错，挺干净的，吃饭也方便，距离夫子庙也挺近的', 'star': 5}
{'descr': '酒店不错，挺干净的，吃饭也方便，距离夫子庙也挺近的', 'star': 5}
{'descr': '很好的酒店。服务好，交通很方便。周围环境也不错。\n离超市什么的都很近。唯一不太给力的是离地铁站一号线有一点距离~\n其它一切都蛮完美滴~\n强烈推荐。', 'star': 5}
{'descr': '很好的酒店。服务好，交通很方便。周围环境也不错。\n离超市什么的都很近。唯一不太给力的是离地铁站一号线有一点距离~\n其它一切都蛮完美滴~\n强烈推荐。', 'star': 5}
{'descr': '连窗户都没有，设施很差，而且这家店没有健康路那家距离夫子庙近，还是推荐汉庭，直接就在秦淮河上。', 'star': 1}
{'descr': '连窗户都没有，设施很差，而且这家店没有健康路那家距离夫子庙近，还是推荐汉庭，直接就在秦淮河上。', 'star': 1}
{'descr': '相当不错，位置离夫子庙非常近，交通也方便，酒店服务周到、房间干净。周边繁华方便。如有机会，还会去的。', 'star': 5}
{'descr': '相当不错，位置离夫子庙非常近，交通也方便，酒店服务周到、房间干净。周边繁华方便。如有机会，还会去的。', 'star': 5}
{'descr': '条件还行，出行非常方便，安静，卫生，唯一不好的是空调安装在床头，睡在空调下好冷', 'star': 5}
{'descr': '条件还行，出行非常方便，安静，卫生，唯一不好的是空调安装在床头，睡在空调下好冷', 'star': 5}
{'descr': '酒店环境还可以，只是酒店住宿是四楼，三楼是台球室，所以会有一些混混在里面，个人觉得不太安全！', 'star': 1}
{'descr': '酒店环境还可以，只是酒店住宿是四楼，三楼是台球室，所以会有一些混混在里面，个人觉得不太安全！', 'star': 1}
{'descr': '房间挺干净，出行方便。下次来南京还会住这酒店。', 'star': 5}
{'descr': '房间挺干净，出行方便。下次来南京还会住这酒店。', 'star': 5}
{'descr': '入住的家庭房，房间挺大，干净，离夫子庙较近，交通很方便。是个性价比较高的酒店，值得入住。', 'star': 5}
{'descr': '入住的家庭房，房间挺大，干净，离夫子庙较近，交通很方便。是个性价比较高的酒店，值得入住。', 'star': 5}
{'descr': '酒店很干净不错，貌似新装修的吧，周边有大卖场、理发店和KFC，很方便', 'star': 5}
{'descr': '酒店很干净不错，貌似新装修的吧，周边有大卖场、理发店和KFC，很方便', 'star': 5}
{'descr': '不错的选择', 'star': 3}
{'descr': '不错的选择', 'star': 3}
{'descr': '…不错', 'star': 3}
{'descr': '…不错', 'star': 3}
{'descr': '好像招待所，不过服务还不错！', 'star': 3}
{'descr': '   卫生很干净，离夫子庙很近，出门就有公交站台，到各个景点都很方便，值得一住的酒店。如果能陪伴吹风机就更完美了！！！！！！！！1', 'star': 5}
{'descr': '   卫生很干净，离夫子庙很近，出门就有公交站台，到各个景点都很方便，值得一住的酒店。如果能陪伴吹风机就更完美了！！！！！！！！1', 'star': 5}
{'descr': '还不错，性价比较高。家庭房很大。设施也全', 'star': 5}
{'descr': '还不错，性价比较高。家庭房很大。设施也全', 'star': 5}
{'descr': '房间舒', 'star': 3}
{'descr': '房间舒', 'star': 3}
{'descr': '，还不错，对的起这个价格吧！', 'star': 3}
{'descr': '，还不错，对的起这个价格吧！', 'star': 3}
{'descr': '卫生，整洁，下次有机会一定在入住的，希望大家有机会去住啊', 'star': 5}
{'descr': '离夫子庙还是比较近的，附近有好又多超市和KFC，还算方便。\n酒店房间整体还可以，我们入住的是大床房，后来发现标间的面积更大，而且床也很大的，早知道就预定标间了。\n酒店的停车场比较小，而且难找，再加上酒店门口和边上的道路是单行道，我绕了半天才绕道停车场，建议在网上挂个行车线路！', 'star': 5}
{'descr': '离夫子庙还是比较近的，附近有好又多超市和KFC，还算方便。\n酒店房间整体还可以，我们入住的是大床房，后来发现标间的面积更大，而且床也很大的，早知道就预定标间了。\n酒店的停车场比较小，而且难找，再加上酒店门口和边上的道路是单行道，我绕了半天才绕道停车场，建议在网上挂个行车线路！', 'star': 5}
{'descr': '性价比不错。每天会有客房打扫。环境卫生都不错的。', 'star': 5}
{'descr': '性价比不错。每天会有客房打扫。环境卫生都不错的。', 'star': 5}
{'descr': '房间一般', 'star': 3}
{'descr': '还好，就是难找', 'star': 3}
{'descr': '还好，就是难找', 'star': 3}
{'descr': '推荐，很不错的一家酒店，我们住的家庭房，床很大很舒服，地理位置好，楼下有很多小吃店，特方便，有机会来还住', 'star': 3}
{'descr': '推荐，很不错的一家酒店，我们住的家庭房，床很大很舒服，地理位置好，楼下有很多小吃店，特方便，有机会来还住', 'star': 3}
{'descr': '酒店房间很大，设施不错，挺干净的，下次还会来的', 'star': 5}
{'descr': '酒店房间很大，设施不错，挺干净的，下次还会来的', 'star': 5}
{'descr': '卫生间不干净。床套浴筋可以换好的了，都破了。别的还好', 'star': 3}
{'descr': '卫生间不干净。床套浴筋可以换好的了，都破了。别的还好', 'star': 3}
{'descr': '前台装修不错,服务员很热情,连停车场的老伯伯都很热心,房间也蛮干净,会推荐给朋友们', 'star': 3}
{'descr': '前台装修不错,服务员很热情,连停车场的老伯伯都很热心,房间也蛮干净,会推荐给朋友们', 'star': 3}
{'descr': '装修还好.比起夫子庙周围的小旅馆要好些，但卫生状况一般.建议自带毛巾', 'star': 3}
{'descr': '装修还好.比起夫子庙周围的小旅馆要好些，但卫生状况一般.建议自带毛巾', 'star': 3}
{'descr': '服务相当出色，家庭房可以四个人住！很舒服！', 'star': 3}
{'descr': '服务相当出色，家庭房可以四个人住！很舒服！', 'star': 3}
{'descr': '酒店离夫子庙很近,里面很干净,挺好的 ', 'star': 3}
{'descr': '酒店离夫子庙很近,里面很干净,挺好的 ', 'star': 3}
{'descr': '很不错····离夫子庙5分钟吧，吃的也很方便，交通很方便，44路直接倒火车站，旁边还有好又多，屈臣氏、。', 'star': 5}
{'descr': '很不错····离夫子庙5分钟吧，吃的也很方便，交通很方便，44路直接倒火车站，旁边还有好又多，屈臣氏、。', 'star': 5}
{'descr': '设施陈旧 服务态度不错 卫生状况较好 总体感觉可以', 'star': 5}
{'descr': '设施陈旧 服务态度不错 卫生状况较好 总体感觉可以', 'star': 5}
{'descr': '服务不错，里面设施还可以，也挺干净的除了杯子有点脏。', 'star': 5}
{'descr': '服务不错，里面设施还可以，也挺干净的除了杯子有点脏。', 'star': 5}
{'descr': '为了看夫子庙夜景定的这个酒店，但是离夫子庙真的不是很近，走路要走15分钟以上。不过附近店还是很多的,有空可以逛逛。话说夫子庙已经可以够我们逛的了。酒店是临街的，这点不好，太吵了！房间不大，但是够用，隔音效果不好。但是相对他的价格，这个酒店还是可以住住的。\n以后再去不会再住了，宁愿多点钱住离夫子庙更近的酒店，夫子庙附件的酒店还是很多的。', 'star': 1}
{'descr': '为了看夫子庙夜景定的这个酒店，但是离夫子庙真的不是很近，走路要走15分钟以上。不过附近店还是很多的,有空可以逛逛。话说夫子庙已经可以够我们逛的了。酒店是临街的，这点不好，太吵了！房间不大，但是够用，隔音效果不好。但是相对他的价格，这个酒店还是可以住住的。\n以后再去不会再住了，宁愿多点钱住离夫子庙更近的酒店，夫子庙附件的酒店还是很多的。', 'star': 1}
{'descr': '三楼台球厅太吵', 'star': 3}
{'descr': '三楼台球厅太吵', 'star': 3}
{'descr': '有点不能理解，刚开始还以为上海的酒店费用高，后来发现不是，和他同样的价格，地点、卫生、服务都比他要好，或许是因为北蔡有点偏吧，', 'star': 1}
{'descr': '环境不错，有窗户的大床间，很靠近夫子庙，就是离地铁有点远\n服务设施比较全，但是卫生间面积较小，显得局促，转不开身\n总体来说还是不错的，晚上可以去夫子庙散散步', 'star': 5}
{'descr': '环境不错，有窗户的大床间，很靠近夫子庙，就是离地铁有点远\n服务设施比较全，但是卫生间面积较小，显得局促，转不开身\n总体来说还是不错的，晚上可以去夫子庙散散步', 'star': 5}
{'descr': '酒店设施和环境不怎么样···  与其他快捷酒店有些差距。。', 'star': 1}
{'descr': '酒店设施和环境不怎么样···  与其他快捷酒店有些差距。。', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '.卫生条件一般其他还可以', 'star': 3}
{'descr': '房间不错，挺干净的，不过不是很大，地理位置也很好', 'star': 3}
{'descr': '房间不错，挺干净的，不过不是很大，地理位置也很好', 'star': 3}
{'descr': '地角很好，离夫子庙很近。\n下载的网速超快', 'star': 5}
{'descr': '地角很好，离夫子庙很近。\n下载的网速超快', 'star': 5}
{'descr': '酒店的厕所气味难闻，还用香水掩饰。感觉不好。不会再去。', 'star': 3}
{'descr': '酒店的厕所气味难闻，还用香水掩饰。感觉不好。不会再去。', 'star': 3}
{'descr': '就是为了离出差地较近，离夫子庙不远，其他的没什么，普通的商务酒店。', 'star': 5}
{'descr': '就是为了离出差地较近，离夫子庙不远，其他的没什么，普通的商务酒店。', 'star': 5}
{'descr': '挺好的。离夫子庙很近，晚上夜游秦淮，很美，白鹭洲公园的灯会也很不错。面朝里街的房间，不吵，大窗，舒适型。楼层服务员大姐也挺热情的。就是空调好像开了没什么效果，还好不是特别冷。毛巾比较旧了，不过出门都是自带毛巾的，反正不用。下次还会去。', 'star': 5}
{'descr': '挺好的。离夫子庙很近，晚上夜游秦淮，很美，白鹭洲公园的灯会也很不错。面朝里街的房间，不吵，大窗，舒适型。楼层服务员大姐也挺热情的。就是空调好像开了没什么效果，还好不是特别冷。毛巾比较旧了，不过出门都是自带毛巾的，反正不用。下次还会去。', 'star': 5}
{'descr': '一般性,房间没有大窗,只有一扇对着储藏室的暗窗,晚上觉得有点闷,不是很透气', 'star': 5}
{'descr': '一般性,房间没有大窗,只有一扇对着储藏室的暗窗,晚上觉得有点闷,不是很透气', 'star': 5}
{'descr': '经济型酒店，客房条件还算不错，格外的温馨舒适，服务也好.', 'star': 5}
{'descr': '价格适中，适合的人群挺多的，整体水平也非常不错.条件还好.', 'star': 5}
{'descr': '适合出差入住，有电脑网线，而且位置也好，出行挺方便的.', 'star': 5}
{'descr': '交通方便，步行至夫子庙5分钟。其他都挺好，唯一不足就是空调的暖气开了跟没开差不多，冬天比较冷。', 'star': 5}
{'descr': '交通方便，步行至夫子庙5分钟。其他都挺好，唯一不足就是空调的暖气开了跟没开差不多，冬天比较冷。', 'star': 5}
{'descr': '地理位置很好，旁邊就是好又多，屈臣氏，離夫子廟，中華門也是步行的距離！', 'star': 5}
{'descr': '地理位置很好，旁邊就是好又多，屈臣氏，離夫子廟，中華門也是步行的距離！', 'star': 5}
{'descr': '性价比比较高，地段位置都非常的好，就在夫子庙旁边。就是早上楼下叫卖声有点吵，其他都不错。值得推荐！', 'star': 5}
{'descr': '性价比比较高，地段位置都非常的好，就在夫子庙旁边。就是早上楼下叫卖声有点吵，其他都不错。值得推荐！', 'star': 5}
{'descr': '房间不算小，还蛮干净的~遗憾的是上网是有偿的，比较欠缺~位置离夫子庙很近，走走就好，三楼的桌球房实在太呛人，不然还想去玩玩，总的来说不错', 'star': 5}
{'descr': '房间不算小，还蛮干净的~遗憾的是上网是有偿的，比较欠缺~位置离夫子庙很近，走走就好，三楼的桌球房实在太呛人，不然还想去玩玩，总的来说不错', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '是帮家人订的，据说房间真的很大，进出都很方便，家人都很满意。', 'star': 5}
{'descr': '是帮家人订的，据说房间真的很大，进出都很方便，家人都很满意。', 'star': 5}
{'descr': '很好  我觉得酒店很好 住的 很舒服  以后也会住', 'star': 5}
{'descr': '很好  我觉得酒店很好 住的 很舒服  以后也会住', 'star': 5}
{'descr': '酒店有提供早餐，虽然简单，不过总比没有强些吧，能填饱肚子.服务不错.', 'star': 5}
{'descr': '这家店，性价比还不错，就是网络速度太差了点', 'star': 5}
{'descr': '这家店，性价比还不错，就是网络速度太差了点', 'star': 5}
{'descr': '很好的酒店，热门中的安静，交通方便，去夫子庙步行便可', 'star': 5}
{'descr': '很好的酒店，热门中的安静，交通方便，去夫子庙步行便可', 'star': 5}
{'descr': '还行 就是3楼吃饭挺贵 房间里还没电话，', 'star': 5}
{'descr': '还行 就是3楼吃饭挺贵 房间里还没电话，', 'star': 5}
{'descr': '酒店不错，温馨舒适，价格实惠，值得推荐。', 'star': 5}
{'descr': '空间非常的大。被子很温馨。还有装潢都 家具都非常有 风味。。离夫子庙就 几分钟路程 很 方便 ！！', 'star': 5}
{'descr': '空间非常的大。被子很温馨。还有装潢都 家具都非常有 风味。。离夫子庙就 几分钟路程 很 方便 ！！', 'star': 5}
{'descr': '服务卫生都还不错，早餐口味也挺好。', 'star': 3}
{'descr': '总体感觉还可以。无论是地理位置、服务的态度和性价比都还不错。只是房间内的空调功率不够，冬季入住感觉会冷一些。隔音的效果也差一些。', 'star': 5}
{'descr': '总体感觉还可以。无论是地理位置、服务的态度和性价比都还不错。只是房间内的空调功率不够，冬季入住感觉会冷一些。隔音的效果也差一些。', 'star': 5}
{'descr': '不错 很不错  非常不错  很强大 很给力', 'star': 5}
{'descr': '不错 很不错  非常不错  很强大 很给力', 'star': 5}
{'descr': '优点：离夫子庙教近、房间挺大的、整洁、卫生间也很干净\n缺点：1）空调力度不够、晚上很冷，而且被子很薄，睡觉冻了一夜\n      2）沿街的比较吵\n      3）离地铁比较远', 'star': 5}
{'descr': '优点：离夫子庙教近、房间挺大的、整洁、卫生间也很干净\n缺点：1）空调力度不够、晚上很冷，而且被子很薄，睡觉冻了一夜\n      2）沿街的比较吵\n      3）离地铁比较远', 'star': 5}
{'descr': '地段不错，条件也不错~\n算的上南京性价比不错的酒店吧~就是运气不太好，住的那间空调是坏的，唉~', 'star': 5}
{'descr': '地段不错，条件也不错~\n算的上南京性价比不错的酒店吧~就是运气不太好，住的那间空调是坏的，唉~', 'star': 5}
{'descr': '酒店挺经济实惠的，挺适合大众选择。', 'star': 5}
{'descr': '位置挺好，周边交通挺便利，价格挺便宜。', 'star': 5}
{'descr': '房间布置的挺温馨，有宽带能上网，整体感觉还不错。', 'star': 3}
{'descr': '非常好，环境好，服务也好，地理位置离夫子庙很近', 'star': 5}
{'descr': '非常好，环境好，服务也好，地理位置离夫子庙很近', 'star': 5}
{'descr': '非常好的酒店，地理位置好，价格也很合算，强烈推荐', 'star': 5}
{'descr': '非常好的酒店，地理位置好，价格也很合算，强烈推荐', 'star': 5}
{'descr': '设施较好，没有吹风机，满安静，可是早上有个服务员走错房间，直接闯进来了。这是我最不满意的地方', 'star': 5}
{'descr': '设施较好，没有吹风机，满安静，可是早上有个服务员走错房间，直接闯进来了。这是我最不满意的地方', 'star': 5}
{'descr': '房间挺大也干净，酒店附近交通方便，吃食也挺多', 'star': 3}
{'descr': '房间挺大也干净，酒店附近交通方便，吃食也挺多', 'star': 3}
{'descr': '就是地方偏了点，其他在这个价位算南京很不错的了', 'star': 5}
