{'短评内容': '啦啦', '短评打分': 5}
{'短评内容': '离市中心不是很近，但是环境很好，房间还蛮舒适的，住了好几次了！', '短评打分': 5}
{'短评内容': '还一般吧，周围小吃的比较方便。早点去吃早餐，晚了可就麻烦了。\n', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '本店的环境不错，而且服务态度好。交通比较方便，有多个班车去往芜湖市中心，而且紧靠着工业园区。是大家商务旅游的最佳选择', '短评打分': 5}
{'短评内容': '服务态度、硬件设施、交通环境都挺让我满意的~~', '短评打分': 5}
{'短评内容': '服务态度还可以 就是网线太少 设施一般 不过附近吃东西比较方便 ', '短评打分': 5}
{'短评内容': '去方特的话，这里距离适中~不过方特门口也有几家快捷酒店~预订的只能入住老天都，新天都不能入住~酒店房间隔音很差，卫生一般。', '短评打分': 1}
{'短评内容': '不错 不错 不错 不错 楼下小吃有特色 便宜 ！！！！！！！', '短评打分': 5}
{'短评内容': '价格合理，房间比较新，大小适中，服务很好，早餐也非常不错。缺点就是位置有点偏。', '短评打分': 5}
{'短评内容': '前台服务态度很好,还能记住客人名字,很亲切!这次房小了点,我喜欢小间,但空调要好点才行,空调还没试!', '短评打分': 5}
{'短评内容': '服务态度不错，房间也挺干净的，就是房间有点小', '短评打分': 5}
{'短评内容': '离火车站打的15块,空调制热不行,房间还行网速也不错,空调能改进一下就好了!!!', '短评打分': 5}
{'短评内容': '酒店挺好，性价比较高，下次有机会还来住 ，不过网速有待提高', '短评打分': 5}
{'短评内容': '相对于这个价格还行吧，就是硬件设施差了点，空调不暖，窗户密封性差，而且隔音效果太差。', '短评打分': 5}
{'短评内容': '房间还不错，比较干净，但交通太远，离市区太远，如果不是专程去方特，住这里不大现实', '短评打分': 5}
{'短评内容': '性价比较高，但条件有待改善.................................................', '短评打分': 5}
{'短评内容': '酒店就在芜湖职业技术学院后门，附近小吃很多，价格也公道。酒店的性价比相当不错！', '短评打分': 5}
{'短评内容': '除了隔音其它的还不错、不过要吃早餐记得要早点！、', '短评打分': 5}
{'短评内容': '位置比较偏，外面有很多小吃摊，吃夜宵方便', '短评打分': 5}
{'短评内容': '总体感觉还好，就是隔音效果较差，价格比较便宜。', '短评打分': 5}
{'短评内容': '卫生还让人满意,隔音稍差,位置较偏，周边有小吃不错。', '短评打分': 5}
{'短评内容': '还可以，性价比算较高了，周边可能学校比较多吧', '短评打分': 5}
{'短评内容': '隔音效果确实不行，6,7点钟就被地下的 打地机给弄醒了，本来就没睡好了，早上又醒那么早，痛苦', '短评打分': 1}
{'短评内容': '环境不是很好', '短评打分': 3}
{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '如果玩方特，打车起步价，还是挺方便的，晚上有夜市，很多吃的。。挺不错', '短评打分': 1}
{'短评内容': '反正就是便宜满', '短评打分': 1}
{'短评内容': '位置已经是比较偏的位置了，而且酒店前面的马路在施工，设施比较一般，卫生状况更是一般，那个窗户上面的灰尘已经很厚了，淋浴没有单独的地方，宽带速度也很是一般，下次我是不会入住这家酒店了', '短评打分': 1}
{'短评内容': '由于赶上清明 。平时住的嘉信茂和五一的汉庭已经满了。\r\n加上这个价格很便宜 打了个电话问了具体地址。\r\n从步行街去坐车那花了30分钟左右\r\n。到了后确实感觉有点偏，里面设备齐全，但有点不精致，可能平时住连锁酒店习惯了。\r\n当然也有好的地方，价格适中，附近有学校所有买小吃的非常多，晚上和朋友一起吃的一家烧烤和一路的小吃，典型的芜湖味道还是不错的。\r\n以后有机会还会光顾的。', '短评打分': 5}
{'短评内容': '噪声比较大，夜里休息不好', '短评打分': 1}
{'短评内容': '不推荐入住 虽然相对来说比较便宜 但是房间很小 设置也不人性化 住着很不舒服 ', '短评打分': 1}
{'短评内容': '位置还行，这边出行还是非常方便的，房间的卫生和设施还不错，服务也可以，就是房间没有配备电脑不太好，其他整体感觉还是不错的', '短评打分': 3}
{'短评内容': '价钱便宜，但感觉一般，房间卫生还可以，但走廊、电梯等处就不是那么干净了，临街的房间隔音效果不好，周围饭店不多不太方便，酒店早餐比较差，不过是免费的。', '短评打分': 5}
{'短评内容': '除了酒店周围在施工有点吵以外，别的还可以，环境不错，服务也挺好的 ', '短评打分': 3}
{'短评内容': '我很喜欢这家酒店,位置很好,当时我就是想到附近的森林公园玩的,住在这家酒店很方便,卫生服务方面也都不错,我很满意.', '短评打分': 3}
{'短评内容': '一般，可以考虑。', '短评打分': 5}
{'短评内容': '酒店硬件条件比较简单，卫生条件也不行，服务也不太好，价格虽然还合适，但是位置比较偏，不好找。', '短评打分': 3}
{'短评内容': '还好啦，干净便宜', '短评打分': 5}
{'短评内容': '这个酒店的价格还是不错的。位置在方特旁边。玩还是很不错的', '短评打分': 5}
{'短评内容': '干净、带早餐，性价比高。遗憾的是门前修路，对交通有些影响，总体不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，离方特比较近，打车起步价就到了。我住的是套房，一间大床房的卧室和一间棋牌室，棋牌室有自动麻将机。整体感觉还不错，不过套房的卧室显得拥挤了点，有点小。', '短评打分': 5}
{'短评内容': '很安静，很舒适，很好', '短评打分': 5}
