{'短评内容': '干净卫生，有加湿器', '短评打分': 5}
{'短评内容': '很不错的酒店，干净，舒适，早餐丰富。唯一缺点是打的不方便。', '短评打分': 5}
{'短评内容': '很好很好很好好很好很好很啊好很好henhaohenhaohenhaohenhaohenhaohenhao', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很henhaohenhaohenhaohenhaohenhao', '短评打分': 5}
{'短评内容': '新的酒店，浴室大干湿分离，可以泡澡很舒适。床品不错睡的很香。早餐还可以。', '短评打分': 5}
{'短评内容': '很温馨的一个酒店，设施新，装修细节够水准，地理位置很好。服务也不错。', '短评打分': 5}
{'短评内容': '  很温暖,好!', '短评打分': 3}
{'短评内容': '酒店客房小了些，但加湿器比较贴心。在早餐还好，西餐很难吃。总体给85分', '短评打分': 5}
{'短评内容': 'binguanhen haohua bucuo xiaci haihui ding', '短评打分': 5}
{'短评内容': '卫生不错，条件很好，酒店早点也不错卫生不错，条件很好，酒店早点也不错', '短评打分': 5}
{'短评内容': '1。硬件水平太一般.2。早餐差,主要表现为品种少,每天几乎千篇一律,少有选择性.3。大堂服务态度差,工作人员似乎从来不会微笑,也不会说您好,对不起,谢谢之类的礼貌用语,回答客人的问题十分生硬,不知这个五星级酒店是如何培训员工的?', '短评打分': 1}
{'短评内容': '哈尔滨新巴黎大酒店非常好,价格不贵,档次也不低.', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '酒店总体感觉很好，只是通风差一点，房间觉得有点闷', '短评打分': 3}
{'短评内容': '+新巴黎酒店住宿条件很好，服务很好，只是通风相对差一点', '短评打分': 5}
{'短评内容': '在哈尔滨同档次酒店里应该是性价比不错的，房内设施很好，因为没有上网，不知网速如何。大堂很气派但不实用，大堂吧太小气了。早餐一般，希望改进', '短评打分': 5}
{'短评内容': '酒店的欧洲是风格的装修还是很不错的，房间大小也比较合适。适合商务入住。服务态度还比较OK。', '短评打分': 3}
{'短评内容': '酒店设施完备，较有特色，各方面服务还不错。\r\n几点小问题:1.客服人员专业素养有待进一步提高\r\n2.酒店出门打的比较困难\r\n3.房间跟图片宣传有一点出入。', '短评打分': 5}
{'短评内容': '再次入住，感觉还是不错。这次主动帮我们叫了出租车，还挺不错的。', '短评打分': 3}
{'短评内容': '卫生间不是特别干净，感觉不到消过毒 有水印 头发！ 其他设施满舒服的 早餐很棒！', '短评打分': 5}
{'短评内容': '酒店房间大小合适，硬件还不错，感觉比较紧凑，但是满温馨的。早餐过于简单粗超，像是3星的标准。门童和前台服务不够热情，显得过于随意不够专业。我去门口等出租车，无人上前帮忙叫车，最后只好自己拖着行李去路边拦车。', '短评打分': 5}
{'短评内容': '饭店风格很美，我们住的是行政套房，很安静也很干净，早饭样式很多，材料也很新鲜。是个很不错的饭店。有机会还想住这里。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': 'Very good hotel - clean, quiet and comfortable. absolutely competitive with western 4-5 star hotels. If you do not want any bad surprises, go for this one. no bargain, but overall fair pricing.\r\n\r\nOnl', '短评打分': 5}
{'短评内容': '酒店硬件条件很好，但服务不到位，打车非常困难，是我在国内住5星际酒店服务最差的一个，不推荐。\r\n（1）打车到酒店，大门正在维修，找不到入口，没有指示牌和引导员，从楼旁边的饭店进入才找到酒店大堂；\r\n（2）室内游泳池根本不能使用，说是设备坏了；水疗（桑拿）只有淋浴，池中没有水；\r\n（3）电子模拟高尔夫等完善设施正在建设中；\r\n（4）我住2天，第一天回来后发现房间内少了个浴袍，打电话大堂副理，服务员送', '短评打分': 1}
{'短评内容': '浴室大而干净，楼下的中餐厅也算不错。', '短评打分': 5}
{'短评内容': '说实在的，酒店各方面硬件还算OK，但是服务真是有点需要改进，我也是北方人，但真的是有点为北方的服务行业汗颜，不说别的，吃早餐时没带房卡，报了房间号和入住人名字，把门的女孩子像看贼一样对了个仔细，然后竟然嘴里连个字也没有，头一甩，意思就是你进去吧，眼睛都不正眼看人的，关键说话也是硬邦邦的，所有服务行业里需要的用到的诸如“请、麻烦你、谢谢”等等一个字都没听着，这种服务真的是连南方的三星级都不如，真是太', '短评打分': 1}
{'短评内容': '整体来说符合星级标准，服务能再周到热情一些就更好了。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店硬件条件还可以，早餐不错。只是从酒店打车非常困难，基本上都要20分钟以上，而且门前的中山路剧堵，晚上车都很多。', '短评打分': 5}
{'短评内容': '价格偏高', '短评打分': 5}
{'短评内容': '这家酒店挺好的，住的挺舒适的，性价比挺不错的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较新，欧式风格的酒店，比较适合外宾，配置硬件设施都很达标，卫生服务也都还好，位置很好出行交通方便，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '我住过很多酒店，这家酒店整体感觉还可以，没有什么不好，也没有什么突出的地方，感觉各方面都能达到他的星级价位，酒店最近周边正在修路，出行不是很方便的。', '短评打分': 5}
{'短评内容': '这个酒店是哈尔滨性价比不错的五星级酒店。非常新。', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐也很好，除了略贵外，各方面都还满意', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '性价比合适', '短评打分': 5}
{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '这家酒店不推荐，居然房间里卫生间正对着床，入住后还出现电源故障，晕！', '短评打分': 1}
{'短评内容': '这个酒店各方面都不错，比较满意', '短评打分': 5}
{'短评内容': '装修的味道非常浓因为哈尔滨的城市非常冷我们没有办法又把窗户打开通风而且当时我们是两个人前面一个进去洗澡之后我在进去之后竟然就没有热水了后来又让他们来修都快修到十二点了都没有修好酒店又提出给更换房间但是当时我们已经很累了而且行李又多就没有换反正服务还是有些欠缺,房间都还蛮不错的,装修的挺漂亮的,设施还是比较不错的因为北方的天气也比较干屋里也加湿器,位置还行离市中心很近但是周围的环境不是很好而且想买一', '短评打分': 3}
{'短评内容': '酒店的设施很好！服务应加强！', '短评打分': 5}
{'短评内容': '酒店的环境硬件都很不错，卫生服务也很好，价格合理适中，出行交通方便，很好的地段，设施环境也很新值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '我住的那间房间蛮大的,感觉很舒适,价格方面也还可以,整体感觉个方面都很不错.', '短评打分': 3}
{'短评内容': '性价比合适', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及房间的设施都很一般的,酒店的位置不错,出行很方便的,但是价格有点高了,还有下调的空间', '短评打分': 5}
