{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '不错的酒店推荐下', '短评打分': 5}
{'短评内容': '是该酒店的常客了，变化不大，总体硬件和软件都达到三星酒店标准。酒店的餐饮价格实惠。\n\n', '短评打分': 5}
{'短评内容': '刚入住时，一打开抽水马桶，一股浓烈的尿臊味，发现是桶盖的连接处发出的，估计此处未打扫', '短评打分': 1}
{'短评内容': '酒店不错，信价比还可以，房间很比较干净，服务态度也很好。', '短评打分': 5}
{'短评内容': '环境还不错 早餐也可以 服务员服务态度挺有耐心', '短评打分': 5}
{'短评内容': '差，而且连水都要5块，也没有价格单，坑人', '短评打分': 1}
{'短评内容': '以前也住过所以比较熟悉，价格实惠，酒店的生意很好，离火车站也近。', '短评打分': 5}
{'短评内容': '还不错，比较实惠，离车站也近，交通还算方便，给个好评！', '短评打分': 5}
{'短评内容': '订了标准间做了免费升级，服务人员很热情，真的很不错，下次来宁波还住这里。', '短评打分': 5}
{'短评内容': '还是一如既往的好，到了这里就像到了亲戚家里，入店时的热情自不必说，就算客人离店，服务员也会送上两瓶水和纸巾以备路上之用。很贴心。我走遍大江南北，酒店能做到这个份上，真的不容易。', '短评打分': 5}
{'短评内容': '给外商订的酒店，房间不错，视野很开阔。\n\n这个位置交通也很方便，服务很到位，下次还会给外商订这间酒店', '短评打分': 5}
{'短评内容': '是出租车师傅推荐的，我们临时改变了所要入住的酒店，这个酒店位置和服务都不错，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店还可以，只是早点比较简单，交通很方便，服务还不错，下次去还会选择的', '短评打分': 5}
{'短评内容': '价格适中,交通便利,服务较好,房间干净.\n希望能够延长退房时间\n希望能够提供短柄伞\n希望能够加快入住及退房时间', '短评打分': 5}
{'短评内容': '酒店地理位置优越，早上想打车非常方便，不像宁波其他地方很难打到出租车。环境设施也非常好，一进门就有一股香味，让人心旷神怡呀。', '短评打分': 5}
{'短评内容': '还不错，挺干净的，房间也好，就是位置偏了点，没公交车', '短评打分': 5}
{'短评内容': '灰常好，酒店设施，服务态度，周边环境都是令人满意的，值得推荐。\n', '短评打分': 5}
{'短评内容': '非常不错,老顾客了，多次入住\n非常不错,老顾客了，多次入住。', '短评打分': 5}
{'短评内容': '每次入住都住这儿,真的是不错。走路出行很方便，打车错开晚饭点还行。\n', '短评打分': 5}
{'短评内容': '非常舒适的酒店，服务，设施，都不错，交通、出行、逛街更是便利.下次仍是首选！', '短评打分': 5}
{'短评内容': '离宁波东站大概2.5公里左右，交通比较便利，酒店也干净卫生，服务态度还好，房间空间很大，床也特别舒服，早餐也不错。下次还住这里', '短评打分': 5}
{'短评内容': '我们今天入住宁波金纬宾馆并在宾馆餐厅宴客，感觉房间干净大气，服务热情，饭菜价廉物美，真出乎意料。', '短评打分': 3}
{'短评内容': '这个酒店还不错，卫生间比较干净，床也比较大，比较舒服。', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，地理位置也可以，交通也非常的方便。。。。。。。', '短评打分': 5}
{'短评内容': '总体来说还是挺OK的，酒店有配套娱乐设施，因为是第一次去住，所以那些场所都没去，酒店能有对于第一次住房的客人，有发放娱乐场所的优惠券就更好了。', '短评打分': 5}
{'短评内容': '一般化，没有太大的亮点。附近吃饭和购物还是比较方便。', '短评打分': 5}
{'短评内容': '很好的酒店，离火车站比较近，有免费早餐可以吃，房间很干净，前台服务也比较热情，下次还会选择入住的。', '短评打分': 5}
{'短评内容': '周围环境差，设施太旧，很普通的酒店，餐厅的菜还行。', '短评打分': 1}
{'短评内容': '酒店马马虎虎，整体还可以，挂牌三星酒店，中规中矩，下次还会考虑入住的。', '短评打分': 5}
{'短评内容': '朋友推荐的，去了还不错，价格比较实惠，地段也还可以。', '短评打分': 5}
{'短评内容': '不错的酒店，交通还是方便的，对得起这个价格。', '短评打分': 5}
{'短评内容': '都不错，房间也很整洁，早餐也提高了不少，值得入住呢。', '短评打分': 5}
{'短评内容': '还不错，帮客户订的，还是当天的特价房，比较实惠，离车站也近，给个好评！', '短评打分': 5}
{'短评内容': '优点：早餐不错，虽然不算很奢华，但是基本的食物有了，皮蛋稀饭很好吃\n缺点：\n1.从网站上的照片比对，我住的仍然是双人标准间（我订的是双人标准间，但网站里的广告讲免费升一级房型，那就是免费升到商务双人间），且check in时，也无人跟我讲此事，这是咋回事？\n2.另外，偶然发现卫生间的装沐浴露的塑料盒子的出口处有一些深褐色的物质，不知是什么？有些恶心。洗发露的出口就没有。', '短评打分': 5}
{'短评内容': '暖气足，还是依旧好，去汽车火车站十分的便捷。只是周边的配套差一些。马路上一直是湿湿的，脏。', '短评打分': 5}
{'短评内容': '水龙头的柄竟然掉下来了，发现是螺丝松了，也不想麻烦服务员了，就再装上去了。只是在旅途劳顿后，还要干这破事，麻烦！', '短评打分': 1}
{'短评内容': '每次到宁波都会选择这家酒店，服务很好，房间很干净！\n', '短评打分': 5}
{'短评内容': '每次都一样的好，这次有些小意外，不过谁都会有疏漏的地方。\n', '短评打分': 5}
{'短评内容': '是帮家人预定的房间，家人回馈说：很满意酒店的服务态度及其他各个方面。下次还会考虑入住这间酒店。\n', '短评打分': 5}
{'短评内容': '地理位置不错，附近购物也方便。免费升级了房间，设施很新，服务也很周到。\n', '短评打分': 5}
{'短评内容': '住了很多次了，因为方便公务，所以经常住在该酒店。', '短评打分': 5}
{'短评内容': '酒店位置很好，周围环境好，方便，给个好评。\n', '短评打分': 5}
{'短评内容': '还是一如既往地好，是我在宁波到必住的酒店。\n', '短评打分': 5}
{'短评内容': '酒店不错.房间设施都蛮新.只是早餐的话,可以多一些品种,要适应更多人.\n', '短评打分': 5}
{'短评内容': '服务很好，家具略旧，交通方便，去个景点，打车，公交都方便，购物有易买得和麦德龙，吃饭也很方便。', '短评打分': 5}
{'短评内容': '交通方便、设施较新、服务可以，适合商务入住。\n', '短评打分': 5}
{'短评内容': '下次还会入住的，停车场还是比较大的，比较方便。', '短评打分': 5}
{'短评内容': '性价比还不错，服务什么的都还是不错的，旁边买东西也比较方便。', '短评打分': 5}
{'短评内容': '交通很方便，房间干净整洁。还不错吧。周边吃的也多。', '短评打分': 5}
{'短评内容': '还是一如既往地好，是我在宁波到必住的酒店。', '短评打分': 5}
{'短评内容': '环境很好，交通便利，卫生条件不错，房间格局好，服务还行', '短评打分': 5}
{'短评内容': '服务到位，地理位置好。是宁波购物旅游的好地方。\n', '短评打分': 5}
{'短评内容': '交通便利，靠近火车站，又在高速出口旁边，非常好\n', '短评打分': 5}
{'短评内容': '环境不错,附近购物超市都有.服务也很不错.值得入住.\n', '短评打分': 5}
{'短评内容': '前台服务很亲切、很热情，房间很干净也宽敞明亮，性价比较高。早餐不够好，周遍公交线路较少，但是去镇海游玩很方便，宾馆出门步行10分钟坐公交390路可直达。', '短评打分': 5}
{'短评内容': '值得推荐的酒店，性价比不错。以后还会继续选择这家酒店入住。交通也非常的方便。\n', '短评打分': 5}
{'短评内容': '酒店不错，值得入住，房间很干净，交通也比较方便，下次还会住的。', '短评打分': 5}
{'短评内容': '整体不错，交通方便，房间干净，还有免费早餐，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '第一次入住，感觉挺惊喜的。酒店不大，大堂也不大，但给我的感觉确是十分的舒适、温馨，有种虽小却精致的感觉。房间很大，卫生间干净。我想下次来宁波的话，还是会选择在此入住的，希望价格别涨就好。', '短评打分': 5}
{'短评内容': '很干净的酒店，地段也不错，关键是早上能叫得到出租车，在宁波实在太难的了，唯一的不足是早餐稍微不够丰富。', '短评打分': 5}
{'短评内容': '性价比比较高，送的餐券让人感觉很贴心~~还会入住！', '短评打分': 5}
{'短评内容': '不错里告诉真的很近，服务也非常的热情，下次继续。', '短评打分': 5}
{'短评内容': '很实惠的酒店，整体给人感觉很正规交通也比较方便。', '短评打分': 5}
{'短评内容': '很好的酒店，干净整洁，非常的实惠啊，下次还会选择入住的。', '短评打分': 5}
{'短评内容': '酒店位于火车东站和南站之间，交通比较便利，酒店设施和卫生较好.', '短评打分': 5}
{'短评内容': '酒店交通很方便，老客户了，服务也很好，值得推荐。', '短评打分': 5}
{'短评内容': '家人非常满意，淋浴水量很足，睡觉也比较舒适，10元的早餐很丰富，晚餐也不错，价廉物美。', '短评打分': 5}
{'短评内容': '酒店就在宁波火车东站附近，交通很方便，房间干净整洁。还不错吧。', '短评打分': 5}
{'短评内容': '本次入住酒店，服务员的服务很到位，帮忙查看，无法解决时，很快的给换了房间。 总之给人以很好的感觉。', '短评打分': 5}
{'短评内容': '酒店离火车站很近，旁边有很多好吃的，附近有麦德龙，购物还是比较方便的。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比不错。以后还会继续选择这家酒店入住。交通也非常的方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店好心安排住新装修的房间，交通方便。酒店可以推荐。', '短评打分': 5}
{'短评内容': '很好的酒店值得推荐的酒店，下次还会入住的', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会入住，交通挺方便的，周边小吃也很多。', '短评打分': 5}
{'短评内容': '值得推荐的酒店，比较舒适，也很实惠，下次还会入住。', '短评打分': 5}
{'短评内容': '总体感觉不错，干净实惠，交通便利，离火车站也非常的近。', '短评打分': 5}
{'短评内容': '比较安静，周边还是比较热闹，交通很方便，房间卫生还是比较干净的，总体良好。', '短评打分': 5}
{'短评内容': '酒店所处位置比较偏僻，优点是比较安静，缺点是稍晚点就觉得很冷清，大床房竟然不是1.8米的床而是1.5米的，有点失望。', '短评打分': 5}
{'短评内容': '早餐较少，停车要收停车费！我当时晕下！有车车的还是郊点的好啊', '短评打分': 1}
{'短评内容': '非常好的酒店，至少性价比方面还是比较高的，服务也很周到，下次还会选择入住这里。', '短评打分': 5}
{'短评内容': '金纬宾馆的住宿条件还可以,早餐一般。另外提醒来住宿的朋友,不要忘记带牙具。', '短评打分': 3}
{'短评内容': '酒店好心安排住新装修的房间，洗脸盆放在卫生间外，不妥当。目前应当放置一块防滑垫。这次洗衣服有水溅出来，差点滑倒。交通方便。早餐不怎么样。酒店可以推荐。', '短评打分': 5}
{'短评内容': '＋酒店太老，早餐太差。门口到了晚上都是“鸡”。', '短评打分': 5}
{'短评内容': '性价比还是比较高的，总体来说比较适合出差旅游的人来住，离天一广场万达广场还是比较近的，下次还会选择这里的', '短评打分': 5}
{'短评内容': ' 干净卫生，很贴心地备有凉开水。但浴缸下水不畅，有待改进', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店距离天一广场，万达广场都不远，出行很方便，餐饮不错，很适合我的口味，性价比也还成', '短评打分': 5}
{'短评内容': '还行吧，一切就是那样，一分钱一分货，没有什么好不好啊！呵呵  个人意见仅供参考', '短评打分': 5}
{'短评内容': '这个酒店地段比较偏僻，而且比较难找，但是信价比比较高，是商务人员的好宾馆诶', '短评打分': 5}
{'短评内容': '酒店因该是新装修的，房间配置设施都比较新。', '短评打分': 5}
{'短评内容': '位置还是很不错的，距离天一广场比较近。出行交通也很方便。', '短评打分': 5}
{'短评内容': '位置好，交通、饮食等方便，服务也行，早餐很一般，就是感觉床差，摸上去床垫上全是钢丝不太舒服', '短评打分': 1}
{'短评内容': '卫生很好，设施看起来都挺新的。比较干净舒适。', '短评打分': 5}
{'短评内容': '酒店的配置硬件还是很齐全的，像是冰箱啊 一些设施都很全。', '短评打分': 5}
{'短评内容': '市中心位置出行交通方便性价比也很合理适中。酒店的餐饮还可以早餐很是一般。', '短评打分': 5}
