{'短评内容': '很好红红火火恍恍惚惚红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '酒店挺好的,周边配套设施也很好,离福田市场很近, 坐免费观光吧士可以去任何一区', '短评打分': 3}
{'短评内容': '价格便宜啦，刚开始的时候很喜欢，但是后来房间就有点味道了。', '短评打分': 5}
{'短评内容': '因为没有双人标间就给我们换成了大床标间，正对面那家的快餐还行，价钱也不贵。地理位置挺好的，在三区对面。如果是去逛贸易城，可以考虑住这家', '短评打分': 5}
{'短评内容': '很实惠的酒店，房间很干净，早飯也可以！有机会还会去住！', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '很干净的一家酒店，洗浴休息都很舒服，离商贸城很近。', '短评打分': 5}
{'短评内容': '宾馆非常让我满意早餐比较丰富干净房间设施很新干净整洁热水很大酒店紧邻商贸城十分方便', '短评打分': 3}
{'短评内容': '还行吧，离商贸城近', '短评打分': 3}
{'短评内容': ' 看了好久的评论才订的悦嘉。总的来说还可以。有一点去前台问是否有火车票代售服务时，前台只回答要收50元手续费（确不告知酒店附近就有车票代售点，其实走过去也就5 6 分钟的时间），第二天又去问了前台附近有没有车票代售点，才告知前面转个弯就有。', '短评打分': 5}
{'短评内容': '酒店配备大尺寸液晶，装修别致，很干净，离商贸城很近，下次还会继续订', '短评打分': 5}
{'短评内容': '和朋友一起出差，第一次住悦嘉感觉挺好，最温馨的是酒店送的果盘，虽然水果一般，但这份心意却让我们很感动', '短评打分': 3}
{'短评内容': '很不错，环境好，出门就是公交站，路对面就是国际商贸城，强烈推荐', '短评打分': 5}
{'短评内容': '订的商务单人间，188元，含早餐，感觉真的是物超所值，房间舒适，干净整洁，布局温馨。自助早餐也很不错，合口味，较丰盛，周围店家林立，交通方便。下次去义乌出差，还住这家酒店，也会向亲朋及同事推荐。', '短评打分': 5}
{'短评内容': '酒店就在银海国际的背面，对面就是商贸城3区，环境很清静。走出酒店对面就是公交站台，楼下超市、饭店、围巾店齐全，很方便。酒店装修的还蛮漂亮的，很新。房间虽不大，但也不拥挤，很干净，卫生间的淋浴花洒水很大，洗澡很舒服。前台和服务员都很热情，还很耐心的给我指路。早餐丰盛，晚上还有贴心的小水果送，下次来义乌绝对还是你家。', '短评打分': 5}
{'短评内容': '一般都還可以但是我是十一月十八ㄖ入住十一月二十一ㄖ離店怎麼变成十一月十九ㄖ離店少了两天的積分请E龍再確认', '短评打分': 5}
{'短评内容': '干净,舒适,这是一家值得推荐的酒店,性价比非常高!下次还会选择入住.', '短评打分': 5}
{'短评内容': '位置很好，很适合去商贸城出差的人住，酒店也很新，服务态度也很好，唯一不足就是有宽带但是没有无线网络，下次还会住', '短评打分': 5}
{'短评内容': '房间干净，有特色', '短评打分': 3}
{'短评内容': '506  520', '短评打分': 3}
{'短评内容': '酒店非常不错。符合星级酒店的名称。', '短评打分': 3}
{'短评内容': '购物方便，地理位置优越，房间干净整洁，服务态度也很好，是个性价比很高的酒店。', '短评打分': 5}
{'短评内容': '价格适中，干净卫生是个睡好觉的地方。', '短评打分': 3}
{'短评内容': '房间精致，整洁，第一印象不错。', '短评打分': 3}
{'短评内容': '蛮干净的~ ~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '价格合理，设施也不错，唯一一点就是空调不给力，棉被又太厚，也许是新开的酒店的缘故，所有的设备都是新的。值得推荐。', '短评打分': 5}
{'短评内容': '五一住的，过了一个月又要去住点评一下。新酒店，干净、到2区，3区较方便，晚上吃饭附近挺少选择。没有火车站直达公交，做801到1区站下后要走一会。不能刷卡，电视频道较少，不知现在怎没样了', '短评打分': 5}
{'短评内容': 'LOCATION IS GOOD\nHOTEL IS NEW\nIF BATHROOM SHOW CAN SEPARATE WITH TOILET,WILL MORE COMFORTABLE', '短评打分': 5}
{'短评内容': '酒店很新，服务很好。住的舒服，酒店还送水果。', '短评打分': 5}
