{'短评内容': '可以，值得推见', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '体还不错,有免费停车, 打车也很方便  性价比还可以 会向我的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '不错，就是有点旧了。但住着还是比较安静的。欢迎大家来入住啊，晚上太晚了还是订不到房间，所以要踢球啊亲预定', '短评打分': 5}
{'短评内容': '帮同事订的，每次出差都是住这个酒店的，周边的交通，餐饮设施都很齐全，挺好的,地理位置方面比较符合工作的需要 还不错', '短评打分': 5}
{'短评内容': '酒店环境还不错，房间宽敞，卫生间超大~但老酒店设施微陈旧，不过比较有怀旧的味道\n早餐很一般，尤其中餐区东西很少', '短评打分': 5}
{'短评内容': '标准单人间面积不大。房间打扫的很干净，服务也很好， 性价比不高，去那儿特价149，所以抵用消费卷要增加\n', '短评打分': 5}
{'短评内容': '标准单人间面积不大，装修风格比较时尚。酒店服务人员服务主动热情，感觉不错。房间打扫的很干净，服务也很好，酒店很漂亮 ,价格较高\n', '短评打分': 5}
{'短评内容': '还好了，不打折，性价比不高，（其在去那儿网特价只要149元不含早)在宝山是好的酒店，早餐太西化，没有附近的新长江好，380元只能用20元消费卷太少，需增加，至少可用50元消费卷', '短评打分': 5}
{'短评内容': '房价略高', '短评打分': 3}
{'短评内容': '老住这里了，环境不错，就是希望以后退房时，查房的时间可以快点，尤其是在早上的时候。的确是个不错的酒店', '短评打分': 5}
{'短评内容': '不错蛮好的，这边交通比较方便，环境还行，挺满意的。在上海住这样的酒店性价比还是不错了！！下次去还住那。', '短评打分': 5}
{'短评内容': '比较老的酒店了，设施一般，服务一般，在宝山办事的话出行还是比较方便的。总体来说一般，这个价位在上海也算过得去了', '短评打分': 5}
{'短评内容': '标准单人间面积不大，装修风格比较时尚。酒店服务人员服务主动热情，感觉不错。房间打扫的很干净，服务也很好，酒店很漂亮', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '性价比好，服务员态度也比较热情，房间设施也比较新，推荐。', '短评打分': 5}
{'短评内容': '因去宝钢公干，唯有住这附近，的士司机方知。宝钢公干首选酒店。', '短评打分': 5}
{'短评内容': '住宿整体环境还不错，如果有机会，下次还会光顾', '短评打分': 5}
{'短评内容': '可以可以可以可以可以可以可以可以可以可以', '短评打分': 5}
{'短评内容': '，感觉尚可。', '短评打分': 3}
{'短评内容': ' 已入住', '短评打分': 3}
{'短评内容': '好久才来评，帮朋友订的，听说还不错………………………………', '短评打分': 5}
{'短评内容': '预定程序简便,互信互利', '短评打分': 3}
{'短评内容': '整体情况不错，环境、卫生均可，下次有机会还入住此酒店', '短评打分': 5}
{'短评内容': '宝山的金富门酒店一般……装修比较陈旧，但周边环境还算不错。', '短评打分': 3}
{'短评内容': '服务 设施都很好 以后还会经常带客户去住 ', '短评打分': 5}
{'短评内容': '还不错，空调很热。就是空调声音太大，房内、卫生间很干净，热水也不错。', '短评打分': 5}
{'短评内容': '本次入住金富门酒店感觉服务更好了。房间整理的很干净舒适。', '短评打分': 3}
{'短评内容': '服务人员的服务还是不错的，餐饮很好，口味也不错', '短评打分': 5}
{'短评内容': '房间的卫生设施还可以可能感觉酒店的时间挺久了设施方面还是有些陈旧，位置也离我办事地方很近周围环境还可以吃饭什么都很方便。', '短评打分': 5}
{'短评内容': '坏境还不错，服务质量过的去吧', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，住着还算舒服。', '短评打分': 5}
{'短评内容': '酒店性价比还是挺高的,而且综合水平也不错.各方面条件都很好硬件和软件服务比较到位. 我个人挺喜欢这家酒店的.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务都很达标，我当时入住的单人间没有房间了酒店给我免费升级了和豪华房，性价比也很好，位置比较一般，但是出行还是很方便的，打车也很好打，值得推荐入住。', '短评打分': 5}
{'短评内容': '服务不错，就是刚进房间空气不是很好。', '短评打分': 5}
{'短评内容': '标房是没装修过的,房间小,设施很旧但还是很干净的,总体与行政房相比相差悬殊', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店还不错,价格在上海也还算公道', '短评打分': 5}
{'短评内容': '在宝山区是不错的酒店了。', '短评打分': 5}
{'短评内容': '客户反映还不错，宝山这一块算是比较好的了。', '短评打分': 5}
{'短评内容': '设施陈旧了，服务非常好，有求必应。', '短评打分': 5}
{'短评内容': '酒店的环境很干净也很舒适价格也很合理.', '短评打分': 5}
