{'短评内容': '出差香港靠近公司每次住的酒店～', '短评打分': 5}
{'短评内容': '不错  交通方便  不过附近没好吃的  还有免费接送车  服务好  主动帮忙提行李', '短评打分': 5}
{'短评内容': '干净，宽敞，空气中有很好闻的香味。房间超大，卫生间 很大 而且 淋浴间，马桶间都有门隔开，每个空间 都很大，汉斯格雅的卫浴设备，装修豪华，露台大窗户 窗外风景很美，隔音好，很安静。旁边就是地铁很方便6站路25分钟就能到红磡。 坐2站去沙田广场也很不错。购物，美食都有。总之是让我很满意，让我流连忘返，下次去香港玩 还想住这个酒店。', '短评打分': 5}
{'短评内容': '酒店去龙华酒店品尝沙田乳鸽很方便，游泳池很赞，海景房间很美。推荐！', '短评打分': 5}
{'短评内容': '每次到香港的首选，房间大，景观好，交通方便，价格因为在沙田，也较同等酒店便宜很多。', '短评打分': 5}
{'短评内容': '此酒店環境不錯交通方便適合商務人士建議入住', '短评打分': 5}
{'短评内容': '酒店离大学站非常近，2分钟路程。还有免费的穿梭巴士可以去沙田站和尖沙咀。酒店的泳池很不错，望海房的景观非常好，只是双床房的床很小，带孩子睡太挤。', '短评打分': 3}
{'短评内容': '非常棒的酒店，舒服超值享受，我已推荐朋友下次来就住这家。', '短评打分': 5}
{'短评内容': '一家非常不错的酒店，离轻轨很近。住过3次了，尤其是自助餐很是合口。', '短评打分': 5}
{'短评内容': '房间非常舒适干净，高层的山景房风景绝佳，游泳池和健身器材都免费，很好很干净，非常满意，是香港性价比很好的5星级酒店！', '短评打分': 3}
{'短评内容': '地理位置很好，从机场过去才30分钟车程。酒店房间很大很舒服', '短评打分': 5}
{'短评内容': '酒店设施非常好，服务非常到位。自动餐也非常好。价格实惠。\n\n离购物中心很近，是一个不错的选择。', '短评打分': 5}
{'短评内容': '位置太偏离市区，离港铁太近5点50分起每5分钟就有火车过，太吵啦。卫生，服务过得去。', '短评打分': 1}
{'短评内容': '非常好的酒店，环境优雅，依山傍海，客房设施非常齐备，大到熨斗和烫衣板，小到电筒，电源转接口都应有尽有。海景套房内还具有全套的厨房设备，包括饭煲，汤锅，电灶，微波炉，烟机，和全套的惨剧等，客人只需购买食品即可想用自己烹制的美食。\n美中不足是酒店附件没有什么大型购物商场，但好在距离东铁大学站很近，可以做2站火车到沙田购物。\n总体来说，凯悦酒店绝对是物超所值的一间酒店。', '短评打分': 5}
{'短评内容': '性价比很高的五星级酒店，服务意识也配得上国际水平，房间景色很好，山景也好，海景也好，而且去港铁大学站很近，去哪里都很方便.', '短评打分': 5}
{'短评内容': '性价比很高的五星级酒店，服务意识也配得上国际水平，房间景色很好，山景也好，海景也好，而且去港铁大学站很近，去哪里都很方便，下次继续去', '短评打分': 5}
{'短评内容': '非常舒服！非常方便！周围购物商场除奢侈品牌外均有；且不定期有折扣。', '短评打分': 5}
{'短评内容': '刚入住了三晚香港沙田凯悦酒店,超给力,酒店就在地铁口,交通非常方便;房间很大,房间设施和酒店服务都很好,下次去香港一定还会入住的.', '短评打分': 3}
{'短评内容': '房间的大小还可以，环境不错，窗外就是沙田海。就是离市区远了一点。', '短评打分': 5}
{'短评内容': '地段有些偏，其它还可以，不过坐西铁很方便的。', '短评打分': 5}
{'短评内容': '房间很大，很不错，酒店旁边就是地铁站，交通很方便，价格在香港来说也很实惠', '短评打分': 5}
{'短评内容': '比较干净、服务很好，夜间隔音稍微欠缺，可以听到对面房间刷卡开门的声音，其他还好。', '短评打分': 5}
{'短评内容': '九十平米的行政套房在寸土寸金的香港实属难得，远离闹市，交通又很便利，给个好评！', '短评打分': 3}
{'短评内容': '很干净，服务态度很好，下次还住', '短评打分': 3}
{'短评内容': '凯悦酒店房间比其他酒店大,很舒适,早餐丰富', '短评打分': 5}
{'短评内容': '最大的感觉是服务非常到位，可能是高档酒店，也可能是因为在香港，理念不同。但晚上的自助真的很一般，没有感觉特别吸引人的地方。', '短评打分': 5}
{'短评内容': '离地铁站很近，升级无敌豪华海景房。生平最豪华的住处。面朝大海，真的很棒。', '短评打分': 5}
{'短评内容': '比较好', '短评打分': 3}
{'短评内容': '酒店离地铁很近，进出很方便，房间不错很干净没有想象中大但两个人住绝对够了。服务很好最值得一提的是矿泉水免费送喝完了只要电话就马上送过来，在香港喝水也省了不少钱呵呵。值得推荐！！！！！！', '短评打分': 5}
{'短评内容': '非常不错的一间酒店还免费帮小孩加了床一家人玩得很开心', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很好，下次还会再来', '短评打分': 3}
{'短评内容': '非常棒无法用语言形容', '短评打分': 3}
{'短评内容': '酒店非常好交通很方便吃饭坐一站去大埔墟感觉非常好家人很满意', '短评打分': 5}
{'短评内容': '酒店的装修很豪华，客服的态度也很好。房间比我预想的要宽敞、明亮，其中的设施也很人性化。值得推荐！', '短评打分': 5}
{'短评内容': '交通方便，大学B口出步行5分钟后到，就是排水不畅，告知后修好', '短评打分': 5}
{'短评内容': '酒店离大学站很近，两分钟就到，服务和环境都很好，房间很舒适宽敞，就是国庆期间价格较高。', '短评打分': 5}
{'短评内容': '香港的服务业还是挺不错的，就是好贵啥！早餐吃掉700多块也。', '短评打分': 5}
{'短评内容': 'nice hotel. although far from the downtown area, get convinent transport-----', '短评打分': 5}
{'短评内容': '地点离大学站很近 酒店装修很不错 就是一直觉得房间很湿湿  难怪他们把空调调到那么冻 睡觉很不舒服还冻醒了 晚上酒店旁停车场还有飞车党集合 吵死', '短评打分': 1}
{'短评内容': '少少由郊区远点儿，但香港的交通环境很好，居住着很安静，卫生方面也非常周到，虽然普通话讲的不怎么好，但服务员也非常热情。挺好的！', '短评打分': 5}
{'短评内容': '帮公司老外定的，说非常不错。机场周边的酒店都定完了才选了这家，离机场不算近但还能接受。环境优雅，早餐丰盛。价格虽然有点小贵，但是香港的酒店都是这个价位的也就没啥好说的了。', '短评打分': 5}
{'短评内容': '这个暑假，已经是二次入住这间酒店了，还是一如既往的舒适，设施好，服务也不错，是一间性价比高的酒店。', '短评打分': 5}
{'短评内容': '酒店周边坏境很好，设施齐全，非常干净，卫生间很好，游泳池超好，一切都满意，只是离商业区稍远，不过离地铁站近，还算方便。', '短评打分': 5}
{'短评内容': '酒店离地铁站近，附近香港大学旁边吃的也比较多，房间大卫生间舒服，不错的酒店!', '短评打分': 5}
{'短评内容': '住的海景房，景观很好，房间超大（在香港真是很难得的了），床很舒服，床垫绝对是品质之选，卫生间也出乎意料的大，而且功能区域划分非常人性化，总之，房间硬件是非常令人满意的。酒店的员工服务也很好，都可以用普通话交流。稍稍不便就是酒店位置距香港的几个繁华区域较远，不过个人认为，香港的地铁交通很方便快捷，花一点时间和一点交通费换来一个宽敞舒适的酒店休息，还是很值得的。', '短评打分': 5}
{'短评内容': '交通方便，位于港铁大学站出口约200米。房间面积很大，设备齐全。是一间性价比高的酒店。', '短评打分': 5}
{'短评内容': '远离市区，但是交通挺方便。不错，十分值得', '短评打分': 3}
{'短评内容': '酒店设施新，设备齐，房间大，价钱合理，服务周到，值得推荐', '短评打分': 5}
{'短评内容': '交通便利，就在地铁旁边，景色优美，一边望海，一边望香港中文大学，酒店房间宽敞，淋浴，泡澡，卫生间完全分隔，酒店本身很棒。美中不足的是周边配套不足，别说吃饭，就连卫生巾都买不到，不过坐地铁一站路即可步入繁华，所以总的来讲还是很满意，下次还会选择这间。', '短评打分': 5}
{'短评内容': '房间非常满意，交通便利，景色优美，就在香港中文大学隔离！', '短评打分': 3}
{'短评内容': '想不到香港有这么好的酒店，不仅是服务好、交通便利，更可贵的是空气新鲜，没有人潮拥挤，以后来港我都尽量住这里', '短评打分': 5}
{'短评内容': '服务员态度很不错，前台办理入住的时候人挺多的。房间住起来很舒服，卫生间很大，泳池也很漂亮，只是酒店不卖泳衣。。。', '短评打分': 5}
{'短评内容': '交通非常方便，离大学站B出口很近。环境也相当好，服务周到热情，配套设施齐全，性价比超高。就是价格波动较大，提前一个月订的，还优惠15%呢，也比现在的价格稍贵点。不过，也可以理解，这也是香港酒店特点之一嘛，毕竟是香港嘛。', '短评打分': 5}
{'短评内容': '房间很好，海景不错', '短评打分': 3}
{'短评内容': '酒店内部环境不错，是一间性价比较高的酒店。', '短评打分': 5}
{'短评内容': '酒店房间不错,很干净', '短评打分': 3}
{'短评内容': '酒店设施很新，洗手间大，环境安静，服务好。够5星级标准。离地铁步行5分钟以内。周边有嘱吃便餐的地方，无大型购物中心及餐馆。距闹市区坐地铁需30-40分钟。', '短评打分': 5}
{'短评内容': '价钱合理，不知道是不是因为旅行社订房，房间一些日用品需要打电话请服务员提供!例如梳子??但距离市中心较远，有地铁还算方便，车程最少30分钟!', '短评打分': 5}
{'短评内容': ' 房間有點小', '短评打分': 3}
{'短评内容': '酒店内部环境不错，就是地理位置离中心远一些。', '短评打分': 5}
{'短评内容': '是一间性价比较高的酒店，特别适合从深圳去香港的游客，房间设施及布局豪华合理，地铁与酒店班车方便，对度假与购物结合的人士尤其适合', '短评打分': 5}
{'短评内容': '酒店很舒适，干净，房间很大，离地铁非常近，每天有到尖沙咀的班车，交通不是问题。以后去还会再住。', '短评打分': 5}
{'短评内容': '新酒店,凯悦集团连锁,相当于国内5星+水准,大学地铁B出口及到,罗湖进出优选酒店', '短评打分': 5}
{'短评内容': '酒店在湾仔区离很多办公的地方很近，免费升了我的客房为商务客房，很大。还有免费早餐，非常满意。', '短评打分': 5}
{'短评内容': '香港沙田凯悦酒店不愧是五星级酒店，服务规范热情，硬件也很先进。距离香港中文大学很近。', '短评打分': 5}
{'短评内容': '对于香港寸土寸金的都市来说是不错的酒店：安静、有档次，不愧为凯悦的品质，房间大，浴室大，干净，整洁，明亮。服务很到位，很亲切，很有效率。位于港铁大学站旁，出行也算方便。海景就一般了，一个海湾内河景而已。去香港的话，还是值得推荐入住哦！ \n\n', '短评打分': 5}
{'短评内容': '酒店条件是相当的不错，就是位置稍微偏了点，还离地铁站很近', '短评打分': 5}
{'短评内容': '酒店方方方面面都还不错，美中不足是周围商业环境略有欠缺！', '短评打分': 5}
{'短评内容': '酒店很舒适，海景很好。各种设施都比较齐全，是比较标准的五星级。门口就有地铁，交通出行也很方便。当然，在香港来说，地段偏了一些，还有就是要收押金，让人不大舒服。前几年出国，五星级酒店没见过收押金的，现在，大概大陆团多了，不自觉的人多起来，酒店也无可奈何向大陆看起了。前一段，习近平自豪的向外国人宣言，我们不输出难民，不输出革命……可是，他忘了，我们大量输出低素质游客！', '短评打分': 5}
{'短评内容': '虽然过年酒店房价比较贵，但很舒适，服务还不错，选择没有错。', '短评打分': 3}
{'短评内容': '很好，住得舒服，干净，面积较大，酒店很新，性价比较高。不是特别要求地段的，可以首选', '短评打分': 5}
{'短评内容': '很大很新很舒服', '短评打分': 3}
{'短评内容': '房间很不错，有巴士直达尖沙咀，交通还算方便。', '短评打分': 5}
{'短评内容': '虽然离中心地区距离远，但是有地铁也很方便，很清静，有恒温游泳池，房间服务好', '短评打分': 5}
{'短评内容': '不错的酒店：安静、有档次，不愧为凯悦的品质，房间大，浴室大，干净，整洁，明亮，海景房坐在窗台上望吐露港，品茶聊天，人生一大享受。服务很到位，很亲切，很有效率。位于港铁大学站旁，出行很方便。性价比不错。值得推荐的渡假酒店。', '短评打分': 5}
{'短评内容': '酒店环境不错，管理也不错，下次换会选择入住。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '不愧是凯悦酒店，管理水平高，就是附近没有商业设施，家庭亲子不是太合适', '短评打分': 5}
{'短评内容': '位置不错就在地铁大学站上，交通便利，房间环境也非常不错，下次还会考虑这家！', '短评打分': 5}
{'短评内容': '酒店感觉还不错，洗手间宽敞。位置相对偏僻，但酒店有免费交通车，到尖沙咀。', '短评打分': 5}
{'短评内容': '很好的酒店，海景房十分的赞。交通业比较方便。\n', '短评打分': 5}
{'短评内容': '酒店房间很大，特别是洗手间超宽敞。位置相对偏僻，但酒店有免费交通车，到尖沙咀。性价比很高，毕竟是五星级啊。下次还住。', '短评打分': 5}
{'短评内容': '位置很好，等于是东铁大学站上盖的样子了，所以很方便。酒店很新，服务不错，典型的凯越风格。订的海景房，海景就一般了，不是一望无际那种，而是一个海湾内河景而已。去香港的话，还是值得推荐住哦！', '短评打分': 5}
{'短评内容': '凯悦酒店环境很好，房间很大很明亮，但烧水的水壶档次一般，过滤网还些白色的东西，总体很好，很舒服！', '短评打分': 3}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '很干净 很好的服务 设施一应俱全 沙田18味道很好 地段的偏僻也让价格亲切了很多哈哈', '短评打分': 5}
{'短评内容': '酒店不错，客房安静舒适', '短评打分': 3}
{'短评内容': '挺不错的五星级酒店，不愧是凯悦品牌，设施一流，电梯非常先进超前，需要把门卡吸在电梯上才能按楼层，酒店是新装修时尚淡雅有品位，卫生间超大，有大浴缸和冲淋房供客人多种选择，但小细节不足，挂钩太少，沐浴后毛巾没地方挂，洗后内衣更没地方挂．前台服务很好，非常热心，有问必答，提供可靠准确的旅游信息，本想周三晚上去沙田马场看赛马，前台帅哥告诉我周三赛马不在沙田，在跑马地，避免了白跑一趟，酒店位置稍偏了点，但交', '短评打分': 5}
{'短评内容': '到底是凯悦酒店，酒店的装修、设施、舒适性都是一流的。在寸土寸金的香港，凯悦的房间比其他酒店要大许多。酒店的位置稍偏，穿梭巴士也不多，好在酒店距“大学”地铁站很近，出行非常方便。但对于喜欢泡夜店的，晚上12:05的最后一班地铁，显得不太方便了。性价比很好，值得推荐！', '短评打分': 5}
{'短评内容': '不错的酒店，环境好，服务好，卫生好，离地铁站很近弥补了离市区远的不足。推荐！', '短评打分': 5}
{'短评内容': '酒店很好，服务也很好', '短评打分': 3}
{'短评内容': '沙田凯悦，值得一住的高性价比酒店！与香港中文大学为邻，乘“东铁线”到“大学”站下，非常方便。', '短评打分': 3}
{'短评内容': '這是不到二個月又入住, 因為雖然離香港繁華的地區有點距離, 但是由於距離東鐵大學站步行不到五分鐘的距離, 感覺上真的很方便.', '短评打分': 5}
{'短评内容': '對於國際級酒店來說, 這個價位 CP 值超高, 另外, 位處東鐵大學站, 走路五分鐘即可到達, 交通方面非常便利. ', '短评打分': 5}
{'短评内容': 'The locaetion is far from downtown. If you mainly do biz in Sha Tin, this is a good choice, otherwise, give up.', '短评打分': 1}
{'短评内容': '从楼上看到楼下的游泳池，很漂亮，房间卫生很棒，服务也不错，是间不错的酒店，就是离香港市区比较远，还好离地铁站很近，弥补了不足。', '短评打分': 5}
{'短评内容': '酒店有点偏，坐地铁不是很方便。总体感觉不错，特别是房间比较大，还有无敌海景可以看。但在一些小细节上还需要改进： \r\n1）拿好房卡去房间时，没有行李员帮忙拖行李，要知道一个女孩子拖着这么重的箱子，很辛苦的。 \r\n2）客房人员收拾房间的时候，忘记放梳子了，打电话要了之后才给的。 \r\n3）洗手间大理石地面太滑，好几次都差点摔跤。 \r\n\r\nPS：上网时要收费的，一小时80块，24小时150块，要是免费就好', '短评打分': 3}
{'短评内容': '酒店有点偏，坐地铁不是很方便。总体感觉不错，特别是房间比较大，还有无敌海景可以看。但在一些小细节上还需要改进：\r\n1）拿好房卡去房间时，没有行李员帮忙拖行李，要知道一个女孩子拖着这么重的箱子，很辛苦的。\r\n2）客房人员收拾房间的时候，忘记放梳子了，打电话要了之后才给的。\r\n3）洗手间大理石地面太滑，好几次都差点摔跤。\r\n\r\nPS：上网时要收费的，一小时80块，24小时150块，要是免费就好了。', '短评打分': 5}
{'短评内容': '凯悦酒店的房间很大，装修时尚，有个大飘窗台，可以坐在上面看窗外美丽的风景。酒店位于新界，虽然离港岛有些远，但远离闹市的最大好处就是安静。而且好在酒店就在东铁线大学站的旁边，从地铁站出来走几分钟就到了，非常方便。', '短评打分': 5}
{'短评内容': ' 沙田凯悦真好，离地铁近，环境好，价格也合理！要常去啊！', '短评打分': 5}
{'短评内容': '+酒店很好方便舒适 ', '短评打分': 3}
{'短评内容': '+酒店的设施和服务都很好 ', '短评打分': 5}
{'短评内容': '国庆节价格还能理解,不知平日价格会不会优惠些!?\r\n', '短评打分': 5}
{'短评内容': '房间很豪华，就是离闹市区和旅游点都远', '短评打分': 5}
{'短评内容': '到香港的选择 大学火车站出口                           ', '短评打分': 5}
{'短评内容': '第二次入住；我喜欢。我太太原先想让我住海逸酒店离她家近，后来也同意了。\r\n\r\n同女儿在泳池游泳，她第一次，很喜欢', '短评打分': 5}
{'短评内容': '酒店各方面都不错，就是位置偏了点，好在到尖沙咀就班车，不过相比尖沙咀的酒店可以买好东西放回去再出去买就差多了。性价比不错', '短评打分': 5}
{'短评内容': '很舒适，就是位置离市区远了点！但好在酒店离地铁站很近，走路3、4分钟就到了！附近吃的不方便，但可坐2站去沙田，新城市广场那里吃。', '短评打分': 5}
{'短评内容': '一出地铁就到了,非常方便,建议酒店在侧墙上写上酒店名,因为一出去地铁看到是酒店的侧面.这样可以更方便.\r\n附近有美心快餐\\美心西饼,都好方便.\r\n酒店房间一流,好中意啊,好新!游泳池等设施一流,下次还是会入住.', '短评打分': 5}
{'短评内容': '非常棒的酒店，下次去香港還會住這家酒店\r\n五星級的享受\r\n酒店房間很大，設施很新。在香港寸土寸金的地方，三十幾平米的房間真的很少啊', '短评打分': 5}
{'短评内容': '酒店本身的条件真是不错，唯一不好就是稍微远了点，但这样也就显得清静了。', '短评打分': 5}
{'短评内容': '+舒适价格偏高', '短评打分': 5}
{'短评内容': '性价比非常高的一家酒店', '短评打分': 3}
{'短评内容': '酒店条件还不错，位置距离设点中心有点远.交通有些不便，其它各方面条件不错.', '短评打分': 5}
{'短评内容': '交通很便利，离香港中文大学很近，实现了旁边在校园徘徊的愿望，呵呵', '短评打分': 5}
{'短评内容': '性价比非常高', '短评打分': 5}
{'短评内容': '酒店性价比比较高.而且硬件设施和服务也不错.综合水平很高.', '短评打分': 5}
{'短评内容': '凱悅酒店畢竟是國際級的酒店, 各項服務與設施都有一定以上的水準, 雖然在位置方面的評分我僅給好, 是因為他離熱鬧的區域有一段距離, 不過他離東鐵大學站非常近, 走路僅需要兩分鐘就可以到, 到是非常方便.', '短评打分': 5}
{'短评内容': '环境不错，地铁便利。但酒店附近除了火车站旁的便利店外，吃饭不太方便。酒店的餐饮价格不菲。', '短评打分': 5}
{'短评内容': '环境优雅、交通极其方便，性价比高。很适合到新界考试SAT的考生及家长入住。强烈推荐！', '短评打分': 3}
{'短评内容': '离中文大学很近，地铁就在旁边，性价比不错，下次还会选择。', '短评打分': 5}
{'短评内容': '非常新的酒店，09年才开业，去新城市广场等大型购物中心也非常方便', '短评打分': 5}
{'短评内容': '酒店位置很好，乘港铁大学站非常方便，环境也不错。房间舒适性很好，还有往返机场的大巴，非常方便。性价比挺好。早餐太贵，一位要2百多元，确实有些贵了。', '短评打分': 5}
