{'短评内容': '还好，不错', '短评打分': 5}
{'短评内容': '不错，地段很好，性价比也高。早餐也可口。就是没有网络不太方便，还好自己带了无限上网卡的，不碍事。还有就是建议双床的标准间应该配双份早餐才是呢。', '短评打分': 5}
{'短评内容': '位置地铁站台二站的中间，房间里没有面巾纸，大热天入住还没有冰箱，晚上还有骚扰电话，早上八点十分服务员就开门做卫生，幸好我将门反锁才没有进来，订的无烟房，却烟味十分大，根本呆不住，后经处理，还是不行，房间电视只有二个频道，用电脑还要收费，早餐一般，是部队主管，服务理念差。与星级很有差距，不推荐。', '短评打分': 1}
{'短评内容': '一楼房间潮湿,蚊子多,空调效果,差达不到4星标准,我很早就预定了,为什么是一楼呢,希望以后要说明楼层,知道一楼我是不会预定的.', '短评打分': 1}
{'短评内容': '房间大小，卫生条件都不错，早餐也挺好，就是有点贵！', '短评打分': 5}
{'短评内容': '这个酒店比较干净，整洁，服务员比较热情，整体设备还行。', '短评打分': 5}
{'短评内容': '很满意！', '短评打分': 3}
{'短评内容': '适合休息，就是吃的不太好，如果餐厅可以提供一些南京风味的食物就更好了', '短评打分': 5}
{'短评内容': '位置好，离火车站近，价格略贵，适合开会。', '短评打分': 5}
{'短评内容': '宽敞明亮人气旺，入住后服务态度不错，但饮食有待提高。', '短评打分': 5}
{'短评内容': '非常好的酒店，第一次入住，感觉好，推荐。', '短评打分': 3}
{'短评内容': '酒店的内部条件还是挺好的.而且早餐还是自助形式的.中餐西餐都有,这点还是挺不错的', '短评打分': 3}
{'短评内容': '卫生也挺好环境也可以。人的素质也挺高的。位置还行就是大马路上的标示不是很明显，价格也很合适，酒店也很安静环境真的挺不错的。唯一不好的就是标示不是太好找。', '短评打分': 5}
{'短评内容': '酒店的娱乐措施很齐全，KTV，茶楼，棋牌室都有，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '房间硬件不错，和齐全，性价比很好，应车场很大，自驾过来很方便', '短评打分': 5}
{'短评内容': '酒店门口打车很方便，早餐不错，有现煮的咖啡，住宿环境很好，住着蛮舒服的。', '短评打分': 5}
{'短评内容': '餐饮部服务员态度不好，很多菜都没有，早餐不丰富，房间还算可以。', '短评打分': 3}
{'短评内容': '餐饮部服务员态度不好，很多菜都没有，早餐不丰富，房间还算可以。', '短评打分': 5}
{'短评内容': '安全性很有保障的酒店，配置硬件齐全。', '短评打分': 5}
{'短评内容': '服务还不错，一进入酒店服务人员都会上前帮你提行李。意识很好。', '短评打分': 5}
{'短评内容': '卫生还不错，客房打扫的很干净要是价格能优惠些就更好了。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，服务也很热情，位置也还不错，距离地铁站也比较近。', '短评打分': 5}
{'短评内容': '在13-16/9連住3晚, 酒店達到4星水準, 清潔衛生, 價錢合理, $308包括二位早餐, 步行約10分鐘便到達地鐵站, 交通算方便. 唯一房間設施不足是沒有冰箱. 若在夏季會有些不便, 下次到南京會再住.', '短评打分': 5}
