{'短评内容': '服务不是很好', '短评打分': 3}
{'短评内容': '酒店各方面都可以  就是隔音稍微差了点！', '短评打分': 5}
{'短评内容': '还可以，就是房间太小了，早餐有点贵，其他还好吧', '短评打分': 3}
{'短评内容': '第一次入住。服务态度不错，房间也很卫生，以后还会继续入住\n\n', '短评打分': 5}
{'短评内容': '环境不错，现代。走廊房间，干净温馨舒服。推荐。', '短评打分': 5}
{'短评内容': ' 严重被骗的感觉！ 房间小，床小，卫生间小，就像小旅馆一样还号称数码大床房！太差了!', '短评打分': 3}
{'短评内容': '服务态度很好，房间也很卫生，以后还会继续入住', '短评打分': 5}
{'短评内容': '酒店环境还不错,客房也很好。美中不足的是房卡有时老是刷不开房门', '短评打分': 3}
{'短评内容': '环境挺干净的，不错，下次还会选择去那里住', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，就是房间有些小，不过可以接收。', '短评打分': 5}
{'短评内容': '这家店真的不错耶！', '短评打分': 3}
{'短评内容': '价格实惠，服务态度不错，周边交通业很方便，给打击推荐哦。', '短评打分': 5}
{'短评内容': '干净，房间够大、简洁，交通出行方便！服务也不错！', '短评打分': 5}
{'短评内容': '还不错，挺干净的。离市中心也比较近，出门购物方便。', '短评打分': 5}
{'短评内容': '第一次入住该酒店，房间比想象的要小，其他的都还不错，挺满意的。', '短评打分': 3}
{'短评内容': '房间不错，就是房间窗户还不够大，再大点更好！', '短评打分': 5}
{'短评内容': '酒店房间布置非常温馨，就是房间小点，哈哈！', '短评打分': 5}
{'短评内容': '酒店比较安静，很好！就是中午结账的时候前台人比较多，需要等待！', '短评打分': 5}
{'短评内容': '前台挺热情的，感觉不错，房间比较安静。', '短评打分': 3}
{'短评内容': '卫生用品采用都不错，服务态度很好！就是我所住的地方没有停车位（不知道是不是真的）', '短评打分': 5}
{'短评内容': '服务很好，干净，房间有点小，整体不错。', '短评打分': 3}
{'短评内容': '酒店设施不错，服务态度也好，就是房间较小，隔音较差。', '短评打分': 5}
{'短评内容': '虽然是特价房，但是房价的设计很年轻，很好看，服务员的服务也很好，推荐', '短评打分': 5}
{'短评内容': '没停车位出入不方便\n，房间小，服务一般。超失望！', '短评打分': 1}
{'短评内容': '房间一般，停车不方便，性价比一般般啦，没有午餐和晚餐，早餐也很差', '短评打分': 1}
{'短评内容': '每次去汕头都入住这个酒店。。周边环境比较方便，这次去还是想选择这个酒店 ', '短评打分': 5}
{'短评内容': '  服务态度很好；当有宾客进来时，前台都是带着微笑与宾客主动打招呼，使得陌生的局面在几句简短的问与答中变得轻松起来了，甚至可以说有种亲切的感觉。还有就是只要有宾客经过，前台也会主动热情的打招呼。更不用说宾客有什么需要解决的问题了，前台就是永远的答案（不过有时是需要额外付费的）。\n  地段比较便捷；距离此家homeinn不远的地方（如果不是路痴的话也就将近十五分钟左右的路程）便有可以直接到火车站，长', '短评打分': 5}
{'短评内容': '位置还好，标间比较静，干净舒适，公交车站发达，是家人出游不错的选择。', '短评打分': 5}
{'短评内容': '这次住了商务大床房，舒服。', '短评打分': 3}
{'短评内容': '感觉环境很卫生。前台服务不错，以后还会继续选择这家店', '短评打分': 5}
{'短评内容': '卫生，服务好，下次还来', '短评打分': 3}
{'短评内容': '不错，性价比高，推荐，很安静，卫生也不错，………………', '短评打分': 5}
{'短评内容': '想着房间可以大点咧，没想到大床房和特惠大床房竟然是一样的配置，还贵了20元……\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '想着房间可以大点咧，没想到大床房和特惠大床房竟然是一样的配置，还贵了20元……', '短评打分': 5}
{'短评内容': '装修不是很到位,墙壁有黑色脚印,其他设施一般般', '短评打分': 3}
{'短评内容': ' 整洁卫生～还挺舒适～', '短评打分': 3}
{'短评内容': '性价比一般般啦，没有午餐和晚餐，早餐也很差。门前交通不便，附近没有公交站，要走一段路。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '＋卫生好，服务好，很舒适', '短评打分': 3}
{'短评内容': '比较舒适，价格也便宜,下次会入住这里的\n比较舒适，价格也便宜,下次会入住这里的', '短评打分': 5}
{'短评内容': '比较舒适，价格也便宜,下次会入住这里的比较舒适，价格也便宜,下次会入住这里的', '短评打分': 5}
{'短评内容': '如酒店名一般！家的感觉。。。就是有点小！', '短评打分': 5}
{'短评内容': '卫生好，服务好，床很舒适。', '短评打分': 3}
{'短评内容': '性价比一般般啦，没有午餐和晚餐，早餐也很差。门前交通不便，附近没有公交站，要走一段路。', '短评打分': 1}
{'短评内容': '第一次去汕头，还是不错的在中旅下车直接坐车就到了，很近。', '短评打分': 5}
{'短评内容': '刚装修过，环境卫生不错，前台礼貌，交通方便，火车站2路车到国际酒店，汕头出租车宰客，不要坐啊，', '短评打分': 5}
{'短评内容': '如家服务非常一般，并没有评论那么好。潮汕酒店没有特色。前台服务冷淡，最生气的是退房时多收钱。总之下次不会定。', '短评打分': 3}
{'短评内容': '酒店地理位置好，环境不错，价位很合算，还有服务态度好', '短评打分': 5}
{'短评内容': '东厦路如家各方面都非常不错，下次会继续入住', '短评打分': 3}
{'短评内容': '环境好优雅，出电梯就是很舒服的地毯，然后进房间，整个粉红和淡黄的墙面，很干净、简洁。就是我的特价房小了点。另外，每个开关插座旁边都有温馨提示，很满意。', '短评打分': 5}
{'短评内容': '环境和服务还不错！大床也比较温馨！适合入住！如果有功夫茶具更好！', '短评打分': 5}
{'短评内容': '如家的房间一直都是比较干净。房间色调温馨。不错。', '短评打分': 3}
{'短评内容': '房间比较大。干净。住起来挺舒服周边吃饭娱乐方便', '短评打分': 3}
{'短评内容': '酒店空间比较小，但是看起来很温馨，也很干净，性价比不错~以后去汕头还是会选择这一家~', '短评打分': 5}
{'短评内容': '服务很好，清洁也非常好，附近吃的地方也多，不远处就有步行街。\n细节很周到吧，因为手机没带充电器，前台很热情的给借了2个，很感谢。', '短评打分': 5}
{'短评内容': '服务、清洁都非常好，附近不远就有步行街，吃的地方也很方便，很感谢', '短评打分': 5}
{'短评内容': '如家给我很温馨的感觉  感觉很好 而且给我比较干净的感觉 我觉得比七天好 就是房间比较小', '短评打分': 5}
{'短评内容': '＋一进门就给我清纯的感觉，装修和格局都很典雅！确实有如家feel！', '短评打分': 3}
{'短评内容': '到其他地方曾经住过如家，这次住的汕头东厦路店：房子小了点  ，价钱还可以  但是收费方面有些乱，算起来不方便。最不喜欢的是要押金-麻-烦 到最后结算。很麻烦  。到汉庭住不用这个。方便多  这方面希望可以该进   还有一个问题：每个房间不会配套吹风机（风筒）这个是第二个不是很满意的地方', '短评打分': 5}
{'短评内容': '相比汉庭，房子比较小，有一点不满意：房子没配吹风筒，结合经济店，总体可以。意见希望帮到大家', '短评打分': 3}
{'短评内容': '不错，周边交通便利，房间环境不错，服务态度良好', '短评打分': 5}
{'短评内容': '装修很新，干净，安静，整洁！…1-10分，我打9分。', '短评打分': 3}
{'短评内容': '总体还行，装修啊什么的的都很新，布置也还可以，价格也差不多，就是稍微窄了点。', '短评打分': 5}
{'短评内容': ' 地理位置很方便，前台态度很好，值得推荐。性价比也很高', '短评打分': 3}
{'短评内容': '感觉上当了，特价房才139，住花161，羊毛出在羊身上噢', '短评打分': 3}
{'短评内容': '如家是很酷的酒店，被认为我是托哦。\n在如家，我住后去退房离开的时候，遇到那里的收拾房间的阿姨，她居然对我打招呼：是去退房吧？我说是呀。\n(*^__^*) 嘻嘻，第一次在住酒店的时候遇到这种超级服务水准的酒店。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 前台服务态度超好，性价比很高', '短评打分': 3}
{'短评内容': '酒店非常干净，舒服，价格公道合理，推荐！！！！', '短评打分': 5}
{'短评内容': '房间出奇的很小，真没想到。实在是太小了。但是洗手间给人感觉还是很干净的。', '短评打分': 3}
{'短评内容': '房间设施齐全、干净，交通方便，服务态度很好，但房间面积较小，隔音一般。', '短评打分': 5}
{'短评内容': '十', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错，就是入住时手续办得慢。整体还ok。', '短评打分': 5}
{'短评内容': '不错 ', '短评打分': 3}
{'短评内容': '数码房比商务大床房小很多，好在有一部康柏的一体机上网', '短评打分': 3}
{'短评内容': '房间很干净，非常不错', '短评打分': 3}
{'短评内容': '我很驚喜，這間酒店房間需細小，但是意想不到這麼干淨，尤其洗手間很潔淨，下次去汕頭我一定會再住。', '短评打分': 5}
{'短评内容': '格局和其它住过的如家一致，但是这家店有蚊子，另外我的手机充电器落在店里了，至今无音信，真不知他们怎么查的房!', '短评打分': 3}
{'短评内容': '交通便利，房间有装修异味', '短评打分': 3}
{'短评内容': '设施不错，房间颜色也不错，很好，下次还来', '短评打分': 5}
{'短评内容': '干净舒适，果然如家一般的感觉，唯一不足是空间有点窄。\n', '短评打分': 5}
{'短评内容': '不错吖，嘿嘿', '短评打分': 3}
{'短评内容': '如家的环境众所周知，所以就不予以重点评价，反正还是让人有种回到家中的感觉，简单又舒适。重点提及下的是这家人的服务质量很高，进出门不管你有无理会都会跟你说声你好，而且这次退房后由于个人疏忽遗留下手机在房间里，后来发觉后回去拿，打扫员双手奉还这一点很让我感动，强烈推荐东厦路的如家，真的很如家。', '短评打分': 5}
