{'短评内容': '不错哦哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦(⊙o⊙)哦', '短评打分': 4}
{'短评内容': '房间大，标床也舒服，设备较新，性价比很高，交通也非常便利，还会选择。', '短评打分': 5}
{'短评内容': '酒店房间面积大，床很舒服，环境也不错，出门就是商场和N多可以吃饭的地方。值得推荐。唯一的缺点，我住的是标准双床房，要了两件浴袍，付了20元钱。', '短评打分': 5}
{'短评内容': '房间很大很干净，床也舒服，内部管理到位。确实不错', '短评打分': 3}
{'短评内容': '不错，性价比高', '短评打分': 3}
{'短评内容': '不错，绝对对得起这个价格。装修还蛮新的，还有个浴缸，房间超大', '短评打分': 5}
{'短评内容': '设施很不错，很干净~电视机效果也很好~~很推荐~~', '短评打分': 5}
{'短评内容': '在上虞的新城市中心，出门就是大通购物广场和上百万和城，房间超大，装修很新，下次来还会选这家酒店，超赞。', '短评打分': 5}
{'短评内容': '上虞金科大酒店性价比高，交通方便，餐饮不错，下次还会选择该酒店。', '短评打分': 5}
{'短评内容': '交通方便，环境整洁干净，性价比高，服务态度好！', '短评打分': 5}
{'短评内容': '酒店比较新，地段好。性价比高', '短评打分': 3}
{'短评内容': '酒店很不错，装修很时尚', '短评打分': 3}
{'短评内容': '绝对的超值，在上虞新区，不知道的话，绝对认为是四星酒店，服务，早餐，房间，都没得挑！', '短评打分': 5}
{'短评内容': '在中心区这个位置价格还可以！！！就是刚进门有点味道，大概是新装修的味道，房间里少了一点小吃，别的都可以了。', '短评打分': 5}
{'短评内容': 'Clean Room, Simple Breakfast, Suitable Price and Recommended', '短评打分': 5}
{'短评内容': '服务挺好的，房间挺大的价格也挺实惠的。早饭也不错', '短评打分': 5}
{'短评内容': '设施不错，周围餐饮也很方便，性价比很高。', '短评打分': 5}
{'短评内容': '原来住着还是可以的，但是预定的豪华房没有了给了个高级房，相差30元的价格，房间没有浴缸，没有浴袍，向客房中心要，居然要收30元一件，2件浴袍要60，这样一来比豪华房要贵30并且装修差好多的。', '短评打分': 1}
{'短评内容': '上虞金科大酒店位于上虞城东商圈中心、附近3大型商场、3超市、4电影院均在1000米内。附近购物，娱乐二相宜,近啊！客房首选豪华房，有浴缸，无论客户还是家人，选它绝对错不了\n', '短评打分': 5}
{'短评内容': '这样的地段,这样的价格.我只能用一个词来评价:实惠!', '短评打分': 5}
{'短评内容': '房间很大  比的上五星级的大小  早餐也不错  地处闹市中心   很开心  下次还要住这个宾馆', '短评打分': 5}
{'短评内容': '价位还行吧，地理位置也还好，可以推荐，是比较热闹的地方了', '短评打分': 5}
{'短评内容': '酒店周边生活环境不错，交通购物娱乐都很方便，\n缺点是房间里没有吹风机．早餐品种过于简单', '短评打分': 5}
{'短评内容': '非常舒服 非常方便  在城北  非常高档  貌似没有金卡 要不然我就办会员卡了\n', '短评打分': 5}
{'短评内容': '酒店非常好，性价比高，卫生也不错，值得入住。', '短评打分': 5}
{'短评内容': '很好!!!!很温馨。价格稍微高了点。其他都很好！', '短评打分': 5}
{'短评内容': '环境，周边的商家也很多，已经住了3次了，感觉很好，现在还有早餐了，不错', '短评打分': 5}
{'短评内容': '酒店周边有大通百货和上百万和城，购物出行方便，房间设备较好，房间大，光线很好，早餐品种丰富，值得推荐', '短评打分': 3}
{'短评内容': '可以的，性价比最高了。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '处于市中心核心商圈，周围就是两个大商场，沃尔玛和大润发也在旁边，购物很方便。', '短评打分': 5}
{'短评内容': '不错~就是电话预订不能优惠。这点希望改进', '短评打分': 3}
{'短评内容': '很不错的酒店，位置也相当不错，周边也很方便。', '短评打分': 5}
{'短评内容': ':好', '短评打分': 3}
{'短评内容': '房间依然非常整洁。在上虞同样价位，绝对质量最高。而且这次居然有早餐券，很是开心。就是房间价格由238到258再到现在的288，增幅过快！', '短评打分': 5}
{'短评内容': '不错的 各方面都不错 房间很宽敞 设施比较齐全 不错的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '÷硬件不错，早餐品种少了点，在市中心交通很方便～？值得一提的是洗手间里还有手机位，很人性化～', '短评打分': 3}
{'短评内容': '位于商业圈，交通购物吃饭很方便，娱乐看电影业很方便，房间干净舒适。', '短评打分': 5}
{'短评内容': '酒店周边生活环境不错，交通购物娱乐都很方便，\n缺点是房间里没有吹风机．早餐品种过于简单，\n不过早餐是送的，也就不算是缺点了．', '短评打分': 5}
{'短评内容': '酒店卫生很好，结账速度一般。硬件很好软件还需加强。', '短评打分': 5}
{'短评内容': '设施良好，服务到位！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '周围配套好，一百，大通都在边上，沃尔玛也在边上，说到吃的外婆家、必胜客、麦当劳都有，KTV、电影院也都很齐全，房间干净舒适，唯一觉得奇怪的是搞卫生的服务员早晨9点就来敲门问是否退房，前一天我明明挂了请勿打扰啊，为啥9点就来敲门丫？？？', '短评打分': 5}
{'短评内容': '下午赶到酒店，酒店对面有沃尔玛，购物方便，还有个很大的商城，具体叫啥名字记不得了，档次看上去很高，价格也不便宜。酒店是新装修，比较安静，房间比较宽敞，服务尚可，早餐一般。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错，值.................................................', '短评打分': 5}
{'短评内容': '房间干净，面积大，很好', '短评打分': 3}
{'短评内容': '性价比高，另外可以增加小吧台。！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间很好，面积也大，设施很新，总之很满意啦\n早饭有点不好的；\n', '短评打分': 5}
{'短评内容': '性价比是很高的,顶!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '作为一个上虞人 我觉得酒店设施什么都不错 少个冰箱  但前台工作人员态度不够热情', '短评打分': 5}
{'短评内容': '房间很大,没有早餐,服务态度一般价格偏高,除了离万和城近一点其他优势不明显.性价比不高', '短评打分': 5}
{'短评内容': '环境不错，是这里性价比最高的酒店，早餐一般了点！', '短评打分': 3}
{'短评内容': '很OK,非常喜欢。下次还会还会光临。比较干净整洁', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '很OK,比较喜欢，订房速度很快，房间很干净', '短评打分': 5}
{'短评内容': '还是不错的，新开的酒店就是比老的好，干净，舒服', '短评打分': 5}
{'短评内容': '不错,值得推荐,干净!不错,值得推荐,干净!', '短评打分': 5}
{'短评内容': '开了没多久。很干净。服务好。方便餐饮多 还有购物中心也很多。\n可以推荐', '短评打分': 5}
{'短评内容': '主要是没有电脑', '短评打分': 3}
{'短评内容': '还好 。里面条件都可以 。就是无免费早餐。', '短评打分': 5}
{'短评内容': '很不错的酒店，室内设施非常新。已多次入住，值得推荐。', '短评打分': 5}
{'短评内容': '定的豪华大床房，结果却给了一个最角落的一个房间，关键只有一扇一米左右的窗户，后来了解下来每层只有几个房间是这样的窗户。 豪华的价格却没有豪华的待遇！！酒店的入住率还没高到一房难求的地步，难道先要把差的房间推销给先定房的客人吗？？', '短评打分': 1}
{'短评内容': '酒店很干净，地理位置也不错，就是没有早餐，价格也涨了啊', '短评打分': 5}
{'短评内容': '酒店配套没有，什么都没有，早餐都不能加，前台也冷冰冰的，象欠了他们钱一样。下次不会再住了', '短评打分': 1}
{'短评内容': '除了没有早餐，其他都非常不错，性价比很高了。', '短评打分': 5}
{'短评内容': '开业不久吧 环境很干净 价格实惠。 可是不能刷国际卡麻烦。', '短评打分': 5}
{'短评内容': '酒店还是很新感觉还是非常好，服务态度还行，价格的话还是比较合理，位置的话也是挺好找的。', '短评打分': 5}
{'短评内容': '卫生不错，房间很宽敞，但美中不足的是前台的服务态度一般', '短评打分': 5}
{'短评内容': '环境不错，交通便利，楼下有个曾志伟开的火锅店，可以去试一下', '短评打分': 5}
{'短评内容': '价比还可以的，就是没早餐有点。。。。。希望以后可以加强的啊\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': 'convenient andclean,spacious', '短评打分': 5}
{'短评内容': '涨了价，服务也没以前好了，唉，生意太好了吧', '短评打分': 1}
{'短评内容': '酒店价格涨了，可是依然没有早餐的啊，不知道为什么要价，生意太好了吗', '短评打分': 5}
{'短评内容': '大环境很好,方便,房间也不错,服务不是很好在前台登记时一直跟别人说话,这样让客人感觉不太受尊重,没有早餐', '短评打分': 5}
{'短评内容': '方便，快捷，高性价比。环境好设施新，地段好，服务还算不错。', '短评打分': 5}
{'短评内容': '酒店房间整体布局还可以，服务没有到位，有待改善，最好设有早餐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店刚开业的，卫生作得很不错，但房间隔音稍差了些，还是值得一住的，住了许多次了，性价比还行', '短评打分': 5}
{'短评内容': '新装修的酒店、各方面设施都挺不错的，就是没有早餐，希望能增加！', '短评打分': 5}
{'短评内容': '第二次入住。这次在10楼，景色不如12楼看出的效果。房间很大，办公桌超长。值得推荐。但上次提的洗手间建议增加挂钩，仍未采纳。', '短评打分': 5}
{'短评内容': '性价比还可以的，就是没早餐有点。。。。。希望以后可以加强', '短评打分': 5}
{'短评内容': '性价比还可以的，就是没早餐有点。。。。。希望以后可以加强的啊', '短评打分': 5}
{'短评内容': '价格比较合理，房间也挺大的，我的朋友住了挺满意的。', '短评打分': 5}
{'短评内容': '卫生和设施都不错，位置也很方便的，但就是房间的隔间太差啊，半夜里走道有人说话都听得一清二楚的，给人没有安全感，如果不是价格还可以，是不会再住了', '短评打分': 1}
{'短评内容': '价格实惠。房间超大，网速很快。12楼看下去，上虞最漂亮的广场尽收眼底。\n卫生间建议增加挂毛巾的位置；放在洗漱台上总归不太好。\n整体上本人很满意。\n', '短评打分': 5}
{'短评内容': '房间面积大,洗手间干湿分离很好,水也很热很大.已经入住第四次了.\n但是我住过的所有房间都还有很浓的装修过的味道;建议室内放些植物吸附有害气体;另,房间内设施不够齐全,至少应该有冰箱/保险箱;电视节目还不多;最主要的是没有早餐供应,建议立即改进!', '短评打分': 5}
{'短评内容': '还不错。。各方面设施都不错，服务也好。。对得起这个价格。', '短评打分': 5}
{'短评内容': '如果能有早餐就好了，另外就是房间的隔音好象也差了点了，不过是比较干净的，还是不错的', '短评打分': 5}
