{'短评内容': '地理位置得天独厚，北方人吃饭口味重，这家早餐太淡选择太少', '短评打分': 4}
{'短评内容': '园景房对着酒店公寓游泳池，虽比海景房小，但相对安静得多，下次有机会，还会选择园景房。', '短评打分': 5}
{'短评内容': '第一天超级豪华海景房，房间没的说，但晚上太吵。不得已第二天换成园景房，房间虽小，但安静许多，连住两晚。优点：离市区近，吃饭方便。缺点：海景房离马路广场近，晚上太吵。', '短评打分': 5}
{'短评内容': '性价比可以，交通特方便是最大的优点。面对三亚湾可悠闲看日出日落', '短评打分': 5}
{'短评内容': '装修的不错，条件也不错，因为对面是广场不是很安静。', '短评打分': 5}
{'短评内容': '很好的酒店，地中海风格的装修，交通便利。', '短评打分': 5}
{'短评内容': '宾馆环境很好', '短评打分': 3}
{'短评内容': '酒店设施的确是有点老旧了，电视还是老式的CRT电视，上网速度也不是很快。不过酒店位置还好，旁边就是南国超市，买土特产挺方便的，门口公交线路挺多的，去哪里都比较方便。国情期间价格小贵，能再便宜点就更好了。', '短评打分': 5}
{'短评内容': '我老弟推荐的这个酒店，刚进入大厅就觉得很舒服，明亮，服务很亲切。房间纯白的装饰，我非常喜欢，对面过马路就是海滩，打车5快钱就能去步行街，地点非常好。造成因为飞机时间很早5点半就要出发，酒店提供的租车服务，价格很合理，司机非常有礼貌，很专业。\r\n\r\n但是非常可惜我们只在三亚呆一天，以后有机会还会去的。强烈推荐。', '短评打分': 5}
{'短评内容': '位置不错，交通方便。楼下就有公交车站，附近还有个超市。旁边就是椰梦长廊，环境很好。因下雨我们还没觉得海月广场的喧嚣。很不错的酒店。对面有个四川馆子，做的海鲜味道美极了，推荐大家去尝尝，价格也还公道。', '短评打分': 5}
{'短评内容': '入住前只是为了离机场近才住的，但入住发现酒店很不错，超过期望值。推荐入住！', '短评打分': 5}
{'短评内容': '+凤凰酒店干净舒适,', '短评打分': 5}
{'短评内容': '酒店环境不错，紧临大海，价格也合理，适合居家旅游。', '短评打分': 5}
{'短评内容': '还可以吧。。不过感觉不如一些公寓布置得好。', '短评打分': 5}
{'短评内容': '综合来说，还是不错的，我是淡季去的，价格适中，酒店靠海边，步行一分钟即可到达海滩。唯一不好的，但是又很方便的是，酒店处于中心地带，楼下的海边公园晚上真的很吵，好像是凌晨过了才恢复清净的。', '短评打分': 5}
{'短评内容': '正对椰梦长廊...还不是很贵...非常好的住处...', '短评打分': 5}
{'短评内容': '离海边只有30米，海滩不错，', '短评打分': 5}
{'短评内容': '位置很好，但服务水平欠缺，与粤海集团形象不符', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，酒店对面就是海边的椰梦长廊，坐车也相当方便，坐8路车可以直接到第一市场，如果要去亚龙湾的话可以乘坐15路直达。如果下次去我还会住这家酒店。', '短评打分': 5}
{'短评内容': '就价格和酒店的位置、服务来讲，还不错。属于性价比比较高的', '短评打分': 3}
{'短评内容': '3月31日预订酒店时反复询问是否可以免费延迟退房至15：00，回答都是肯定的，但在退房时酒店不认可，无奈只能多付了半天房费； 承诺每个房间一次性赠送的时令果篮也没有。 \r\n', '短评打分': 1}
{'短评内容': '就酒店位置以及价格而言，还算不错。缺点是晚上噪音太大，对面海滩上扭秧歌、跳舞声音太大。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置很好，马路对面就是海边，交通很便利，去步行街，第一市场都有直达车，去机场门口做8路车就行。房间的大阳台很喜欢，订的园景房在阳台上也能看到海的位置，不过酒店附近在施工，会很吵，不知道有没有别的朝向不被打扰。上网也很方便，下次来还会考虑入住。', '短评打分': 5}
{'短评内容': '地点离风景点近，价格适中，适合情侣', '短评打分': 5}
{'短评内容': '一直对这家的印象很好，也住了很多次。但是此次对于酒店的服务真的是无语。因为早晨到的很早（早晨6点多），但是前台说什么都不给办理入住。如果要入住就必须要加收一天的房费。唉、、太不人性化。以后不会再入住了。', '短评打分': 5}
{'短评内容': '酒店位置非常好，就在海月广场旁边，但也因为这样，门前总感觉熙熙攘攘的，显得酒店过分的热闹了。旁边有个很大的南国超市，绕到酒店后面的一条街上满是小吃、小炒的排挡，很方便，离大家传颂的友谊海鲜广场也非常近，10分钟的步行路程。\r\n服务员态度不好，一副不耐烦的样子，还一直跟我强调CHECK-IN住几晚就几晚，想续住都不行，很影响度假心情。\r\n我住的是园景房，房间很大，还带两个露台。外面正对着后面的小区，', '短评打分': 1}
{'短评内容': '酒店的位置不错，出行很方便，到哪里都有公交车，附近还有一个挺大的超市，设施和服务也不错，打扫卫生很及时，房间隔音效果很好', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '如果要去市内玩的话，选这个酒店出行很方便，位置很好，坐7路车就可以到第一市场。不足的是周围施工声音很大，影响休息。', '短评打分': 5}
{'短评内容': '我这是第二次住这家酒店了,住着很舒适,很干净,位置很好,就是洗澡间不是很干净.', '短评打分': 3}
{'短评内容': '酒店的硬件配备我觉得是非常不错的，环境挺好的也，而且他们酒店的位置也比较方便，我觉得挺好的。', '短评打分': 3}
{'短评内容': '房间的卫生打扫的很干净,住着非常舒适,但服务人员也比较热情,就是酒店的位置不是太好,位于交区,周围环境不好,有些吵.', '短评打分': 3}
{'短评内容': '性价比还可以，房间大', '短评打分': 5}
{'短评内容': '设施有点旧，，，但其它的都还行。什么钱什么货嘛！', '短评打分': 5}
{'短评内容': '酒店房间还是不错的.房间设施也不错.位置还好挺方便出行至海滨的.总体感觉不错', '短评打分': 3}
{'短评内容': '海水不干净，早餐很一般，整个性价比不高', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好，酒店的位置不方便的，交通不方便的，酒店的价格高了。早餐不怎么样。', '短评打分': 3}
{'短评内容': '酒店的整体感觉不错的,经常入住这家酒店,位置很好的', '短评打分': 5}
{'短评内容': '房间比较干净，酒店的位置也很好，外出方便，唯一的缺点就是下边是一个广场，而房间的隔音又不太好，有点吵', '短评打分': 5}
{'短评内容': '地段很有优惠，旅行比较的便利，设施条件一般', '短评打分': 5}
{'短评内容': '金凤凰在当地知名度还可以，酒店大堂很显档次，房间很大，我们住过豪华海景房和豪华海景蜜月房，阳台也很好，可以喝茶聊天，有免费泳池，24小时都有送餐服务，很好。但位置不好，在三亚湾，楼下白天车多，晚上跳舞的人多，很吵，环境不如大东海和亚龙湾，我们是第一次去三亚，包括三亚湾、大东海和亚龙湾我们都去了，亚龙湾最好，无论是环境还是档次，都是最高档的，如果下次再去我们去选择大东海附近的酒店，总体感觉大东海的环', '短评打分': 5}
{'短评内容': '2月份的时候，我入住了酒店的超级海景蜜月房，海景实在美极了，躺在床上就可以看大海，而且酒店的阳台也比较宽敞，站在上面感觉活动空间很大。不过楼下确实像前面的网友提过的有点吵，但都只是一些老年人在广场跳集体舞，我还去旁边看了一会，他们跳的都挺开心，原来以为是有人组织的，没想到都是自发的，看到他们那么开心、健康的跳着，我都有要把自己父母也接过来感受一下的冲动。\r\n房间的设备看上去不像前面的网友说的那么旧', '短评打分': 5}
{'短评内容': '在三亚，金凤凰酒店因为就在三亚湾的中心位置，所以非常吵闹。我就在这里住了一宿，实在是住不下去了，换了一个酒店。整个晚上有一个跑调的歌手在唱着卡拉OK，三亚湾放鞭炮的声音此起彼伏，让人有一些神经衰弱。前台的服务员态度非常差，整个饭店的装修非常旧。我住的房间淋浴间的下水是堵住的，我洗着洗着就水漫金山，顶着满头的洗发精跑了出来。饭店的楼道非常黑，鬼影憧憧的，顶子吊得非常底，很压抑。这个酒店很久没有进行翻', '短评打分': 1}
{'短评内容': '位置不错，离机场、市区较近。海景较差，只有探出脑袋才能看到。酒店后面建筑工地较吵，周边环境一般。适于对住宿要求不高的游客，酒店的性价比不错。&lt;br /&gt;\n&lt;br /&gt;\n&lt;b&gt;特别提醒：&lt;/b&gt;&lt;br /&gt;\n  别忘了问小妹要电蚊香片，蚊子实在厉害！', '短评打分': 3}
{'短评内容': '我们在金凤凰住了两天,感觉各方面都不错,地点接近市中心,购物吃饭都很方便,价格也不高,算是性价比高的.但是,如果想纯粹度假的话,就不是很合适.我们是2月初去的,后面正在盖楼,说实话,晚上有点吵.', '短评打分': 3}
{'短评内容': '无论位置还是服务都是一流的,广场的吵杂都只是傍晚的事,对休息度假应该无影响!酒店够新,设施又好,价格偏低,非常抵住!就是酒店的龟公太热情!真系......无奈', '短评打分': 3}
{'短评内容': '感觉住在该酒店，就好象是到了农贸市场，一道晚上，海月广场的东北锣鼓队有100人，敲锣打鼓。你是没有办法度假的。还是不去的好。', '短评打分': 3}
{'短评内容': '位于嘈杂的海月广场，环境不好，不适合度假', '短评打分': 3}
