{'descr': '服务很好', 'star': 5}
{'descr': '是当地最好的宾馆了，就是没有午餐和晚餐提供，电话咨询前台，没有送餐电话，当地114查询台要提供饭店全称，才能提供电话。在冰天雪地里自己出去找饭店真的很烦。', 'star': 5}
{'descr': '酒店比较新，设施还可以，就是没有送餐服务。', 'star': 5}
{'descr': '周围环境不怎么样，没有午餐和晚餐，酒店内的设施比较新，很干净，服务员服务很好。', 'star': 5}
{'descr': '位置挺好找的就在火车站边上，房间还行和快捷都一个样，服务态度挺好的，价格还行。', 'star': 5}
{'descr': '位置挺好找的就在火车站边上，房间还行和快捷都一个样，服务态度挺好的，价格还行。', 'star': 5}
{'descr': '环境挺好，而且可以上网，空调热水器都挺好用。服务也很到位。还会在去的。', 'star': 5}
{'descr': '环境挺好，而且可以上网，空调热水器都挺好用。服务也很到位。还会在去的。', 'star': 5}
{'descr': '在伊春这个城市，如家还真是算好的了，但是房间很小，只能说有地住而已', 'star': 5}
{'descr': '在伊春这个城市，如家还真是算好的了，但是房间很小，只能说有地住而已', 'star': 5}
{'descr': '伊春如家酒店，离客运站200米，离火车站1.2公里，交通非常方便，坐公交车只要1元钱。', 'star': 5}
{'descr': '伊春如家酒店，离客运站200米，离火车站1.2公里，交通非常方便，坐公交车只要1元钱。', 'star': 5}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '一如既往的好，如家的品牌做的还是不错的。因为是刚开业的新店，希望服务人员的业务以后会更熟练，比我第一次来时已经好了很多。', 'star': 5}
{'descr': '一如既往的好，如家的品牌做的还是不错的。因为是刚开业的新店，希望服务人员的业务以后会更熟练，比我第一次来时已经好了很多。', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '满意', 'star': 5}
