{'descr': '挺好的，房间很舒适 空间很大  也不吵杂  总之就是很好  又不贵~！', 'star': 5}
{'descr': '酒店非常的不错~~值得推荐~以后还会再去\n', 'star': 5}
{'descr': '房間還不錯，但床有點硬', 'star': 3}
{'descr': '地理条件便利，卫生很好，通风良好，床超级大，睡得很舒服，以后还会选择这里', 'star': 5}
{'descr': '酒店设施设备和服务中规中矩。第一次安排的房间宽带接口有问题，酒店网管和工程部员工在房间解决调试了多次网络仍然断断续续链接不上，后来致电前台，前台提出可以更换房间，但是需要我自己去前台重新办理手续。无奈，又得把行李重新打包拿上房卡去前台。虽然升级了房间，但还是耽误了两个小时。', 'star': 5}
{'descr': '还行 ', 'star': 3}
{'descr': '，酒店整体不错。', 'star': 3}
{'descr': '位置很好，很热闹。', 'star': 3}
{'descr': '已经去住过好几次了，位置房间环境都不错，满意！', 'star': 5}
{'descr': '我订的是大床房,房间很大呀!也很干净.关键是3楼还有一个咖啡厅, 对于出差和商务人士特别适合.如果到昆山来玩,下次还住这里.', 'star': 5}
{'descr': '总体来说不错  比我想象中的要好~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': '酒店优点是处于较为繁华的商业区，购物就餐非常方便，离地铁站和水立方国家会议中心只有10分钟车程，房间面积适中、干净、隔音好、电视频道丰富，有宽带、酒店服务及时迅捷。缺点是没有电梯，大堂狭窄，不适合接待重要客人，总体属于方便简朴价廉型的。', 'star': 5}
{'descr': '这个酒店不地道\r\n1，提前预定好的，到了前台说没房，弄个卫生间在外面的房间打发你，晚上上厕所还要带着房卡。\r\n2，不是真正的格林豪泰，是假盟的，招待所，服务差，能盟一个算一个。\r\n3，没有电梯，爬呀爬。', 'star': 1}
{'descr': '条件极其不附.骗人', 'star': 5}
{'descr': '还可以把。条件一般。经济型的吗，位置不错、', 'star': 3}
{'descr': '基本可以\r\n价位不低。。这么麻烦吗，我说啊啊  啊啊啊', 'star': 5}
{'descr': '+服务态度，超级不好，房间很破', 'star': 5}
{'descr': '位置相当的不错，很是方便。。就是房间的确是小啊。。。\r\n是住过和见过的所有莫泰酒店里最小的。。太迷你了。。。。', 'star': 5}
{'descr': '酒店附近都是好吃的，交通业比较便利，可惜没有早餐', 'star': 5}
{'descr': '非常不好，格林我估计是只顾着收钱了，达不达标都让加盟的，下次估计不会住格林了，更不会住这家店了。', 'star': 1}
{'descr': '秋夏北京五环的酒店200元，不能寄太大希望。类似“青年旅社”的水平，不是很规范，但服务还算热情，延时1小时退房也同意了', 'star': 1}
{'descr': '事先不知道没有电梯，要是有老人通行，建议考虑其他酒店；服务态度还挺好，离奥运场馆较近。', 'star': 3}
{'descr': '刚改造，相比低价格还是过的去', 'star': 5}
{'descr': '总体还可以，不过酒店没有电梯，应提前注明，我们这次有老人去，楼层高不方便。', 'star': 3}
{'descr': '房间显得很陈旧，也没有电梯。洗脸盆下水还很慢。\r\n如果不是特别要去那里办事，建议还是住其它家吧。', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '离公交站有一点点偏。竟然没有电梯。我的行李好重的哦。\r\n洗手间根本没有晾衣服的地方。还有啊，洗脸盆的下水好慢。', 'star': 1}
{'descr': '前提服务人员服务非常棒，很不粗，店挺好的 推荐~~', 'star': 5}
{'descr': '再接再厉吧 这个酒店的地理位置还好  然后房间的舒适程度一般 希望继续努力', 'star': 5}
{'descr': '环境还凑合,客房基本在高层,没有电梯,距地铁有一段路.下次估计不会住了.照锦江之星差好多.', 'star': 5}
{'descr': '酒店总体来说不错，价格涨了一些，很方便，周边吃饭，购物很好~位置可以~~', 'star': 5}
{'descr': '没有电梯.上下楼很不方便.综合感觉酒店的各方面都挺一般的,不过房间住起来条件感觉还成.', 'star': 5}
{'descr': '酒店的硬件条件不是很好,设施陈旧,像招待所一样,唯一可取的就是位置方便出行,我下次不会再去入住了.', 'star': 1}
{'descr': '酒店倒是很干净，位置很好，吃饭购物很方便的。', 'star': 5}
{'descr': '性价比很不错，卫生也蛮干净的，都还不错，但是服务员态度很差，爱答不理，这附近有很多这种级别的酒店，下次不会再住这家', 'star': 1}
{'descr': '环境差些，其他都蛮好，房间很干净，设施齐全，服务周到。', 'star': 5}
{'descr': '大床是两个小床拼的 中间咯得慌', 'star': 5}
{'descr': '服务很好，办事效率很高，服务也很周到。', 'star': 5}
{'descr': '总体而言，该酒店还算不错，但是没有电梯，天天都得爬楼梯，比较麻烦！', 'star': 5}
