{'短评内容': '干净卫生，服务周逼，性价比高', '短评打分': 5}
{'短评内容': '交通饭店交通便利，出门即是新南门车站，异常便利，酒店也挺干净，就是没有独立卫生间。', '短评打分': 3}
{'短评内容': '条件还可以，旁边就是旅游集散中心，很方便，离武侯祠，天府广场都很近。', '短评打分': 3}
{'短评内容': '离旅游集散中心很近，经济二人间没有电视，每层都有厕所和浴室洗衣房 环境比较干净 外国人很多。总体性价比可以', '短评打分': 3}
{'短评内容': '看的别人的攻略推荐，评论不错，索性自己也来入住，虽然离地铁站远了一点，但是酒店内部环境和设施都很错，价格也实惠', '短评打分': 5}
{'短评内容': '灭有卫生间，有点不方便。。不过环境很好，和安静。。离新南门车站很近，出行很方便', '短评打分': 5}
{'短评内容': '基于此价格，性价比高。5元的早餐很“惊艳”，没想到5元的标准能有这样OK的早餐，值。', '短评打分': 5}
{'短评内容': '还不错，虽然有点老，但还是很方便的一个酒店', '短评打分': 5}
{'短评内容': '还可以，房间不小，公共洗手间也不错，可以推荐。', '短评打分': 5}
{'短评内容': '酒店规模挺大的，环境很干净，整洁，机场大巴到终点做出租起步价就到了，很好找，旁边就是新南门汽车站，交通很便利，挺好的！', '短评打分': 3}
{'短评内容': '地理位置超级好，离新南门超级近，所以去哪个经典都方便，住的三人间，虽然公共卫浴，不过热水非常好，经济实惠。', '短评打分': 5}
{'短评内容': '环境不错，性价比一般。但是交通真是非常方便啊非常方便。对于以四川为中转站的背包族来说，不二的选择。', '短评打分': 5}
{'短评内容': '离新南门车站非常的近，很简洁。环境不错，非常方便。', '短评打分': 5}
{'短评内容': '很干净，离汽车站很近。方便的服务生很也很热心。', '短评打分': 5}
{'短评内容': '酒店很干净，也很人性话，家人入住后都说不错！', '短评打分': 5}
{'短评内容': '我在这里入住了四天，酒店服务不错，价格合理，环境也好，出行非常方便！', '短评打分': 5}
{'短评内容': '不错交通很方便', '短评打分': 3}
{'短评内容': '不错，虽然共用淋雨及卫生间但热水很好。', '短评打分': 3}
{'短评内容': '整体很干净，房间空间很大，很整洁，感觉房间挑高有3.4米，只是没有电视，没有独立卫生间餐厅的菜很好吃，人均50块吧，服务员外语很好，据说是老成都的4家涉外酒店的一家', '短评打分': 5}
{'短评内容': '酒店很干净，服务也不错，最重要的是价钱公道。下次如果去成都，还会去这家酒店的。酒店周围设施也很好，对面就可以看到成都的护城河，河水很干净，晚上还可以散步，凉风习习，很舒爽。去其他地方的话，也很方便，酒店旁边就是新南门客运中心。离春熙路，锦里，宽窄巷子都很近。总之一个字，赞！', '短评打分': 5}
{'短评内容': '在这地段这价格应该还是不错的，但房间里面没有卫生间，很不方便', '短评打分': 5}
{'短评内容': '代爸妈预定  没有不好的反馈  代爸妈预定  没有不好的反馈 ', '短评打分': 5}
{'短评内容': '酒店离新南门车站很近，交通方便，利于出行。\n酒店设施对于驴友来说，还算够用。\n如果还能提供上网服务，就更好了。', '短评打分': 5}
{'短评内容': '位置不错，服务也挺好，房间还行，挺干净的，就是靠近汽车站有点吵', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也挺好，很干净，就是靠近汽车站有点吵', '短评打分': 5}
{'短评内容': '除了位置不错，态度还行，其他没什么可推荐的', '短评打分': 1}
{'短评内容': '就在新南门客运站旁，交通便利。有的客房是公共洗漱，但是卫生做的不错。', '短评打分': 5}
{'短评内容': '安静，干净，安全，好。', '短评打分': 3}
{'短评内容': ' close to bus terminal south & airport shuttle bus pick up & drop zone. Fair rates in downtown. Recommended', '短评打分': 3}
{'短评内容': '规定太死板了，环境还是不错的……', '短评打分': 3}
{'短评内容': '比较干净，隔壁就是汽车站，方便。还有按摸服务。', '短评打分': 3}
{'短评内容': ' 位置很好，房间也挺干净，就是隔音差了点', '短评打分': 3}
{'短评内容': '房间没有独立卫生间,卫生不错,但120价格略高了点\n', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '整体环境不错，离车站很近，服务基本到位，公共卫生间和洗浴间很不错，就是有个别床铺上有一块一块的黑，好像没洗干净。', '短评打分': 5}
{'短评内容': '地理位置很好，就在新南门汽车站旁边，也很干净、安静、舒适~~', '短评打分': 5}
{'短评内容': '选择这家是因为离新南门近，住过的酒店中算最差的酒店，再也不想去了', '短评打分': 1}
{'短评内容': '＋酒店地理位置没说的 非常方便 附近配套设施也还好 酒店还比较干净 房间也很大 就是设备和装饰是老式那种了', '短评打分': 3}
{'短评内容': '楼层环境不错 但房间墙皮脱落 没有电视有点不好 离汽车站近是最大的优点', '短评打分': 5}
{'短评内容': '条件还行,很清洁,是在新南门车站赶车的人住宿的理想选择。', '短评打分': 3}
{'短评内容': '就是一个招待所啊', '短评打分': 3}
{'短评内容': '成都交通饭店我住412房一晚，房间请洁卫生有空调服务亲切就在新南门汽车站后面交通方便周围环境美超棒', '短评打分': 3}
{'短评内容': '房间不错房间不错房间不错房间不错房间不错', '短评打分': 5}
{'短评内容': '成功入住', '短评打分': 3}
{'短评内容': '   此饭店离新南门车站非常近  早上乘车方便  房间卫生较好  服务也可', '短评打分': 3}
{'短评内容': '前台的服务很好，解释很到位，总体上感觉非常专业，但楼层服务员就不怎么样了，房间太小，设置没有二星标准，我们入住是最好的商务房都像是招待所。', '短评打分': 5}
{'短评内容': '我们已成功入住.交通饭店。该饭店卫生及服务很到位。', '短评打分': 3}
{'短评内容': '非常好，很干净很安静，下次来希望也能住这里。', '短评打分': 3}
{'短评内容': '酒店房间很干净，环境不错，当时就是因为离新南门车站进才选的这个酒店，比想象中好多了！', '短评打分': 3}
{'短评内容': '位置近，很安静，也很整洁，值得推荐，就是房间节假日很紧张', '短评打分': 5}
{'短评内容': '近新南门车站，非常方便，也挺干净，价格适中，环境清静，就是床有点小。', '短评打分': 5}
{'短评内容': '酒店位置环境很不错，经济大床房的房间居然没有独立卫浴很是遗憾，好在房间还算干净，总体感觉还是不错的。', '短评打分': 3}
{'短评内容': '虽然没有独卫，但整体还是不错的。', '短评打分': 3}
{'短评内容': '作为一家二星级酒店，只能说中规中矩，内部设施一般，服务态度不冷不热。唯一的优点就是离新南路车站很近。相比同档次的旅店也没有价格优势。', '短评打分': 1}
{'短评内容': '酒店距新南门汽车站很近，交通方便。房间仅有的窗户在卫生间里，在房间的一头，这点感觉不好。其它方面还较满意。', '短评打分': 5}
{'短评内容': '酒店还不错,干净安静,交通方便。', '短评打分': 3}
{'短评内容': '住宿条件不错,就是价格能给优惠更好', '短评打分': 3}
{'短评内容': '140的三人间没有独立卫生间，环境不错，有有很多外国人住在那里...', '短评打分': 5}
{'短评内容': '屋内没有卫生间，这是我万万没想到的，因为介绍上没有说明，虽然屋内比较干净，宽敞，但没有卫生间就无性价比可言了。', '短评打分': 1}
{'短评内容': '酒店住宿一般，反正不会去第二次了', '短评打分': 3}
{'短评内容': '非常差，房间里什么都没有啊 ，最起码的厕所都没有啊 ，\n被子还漏棉花的，', '短评打分': 1}
{'短评内容': '還可以。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，硬件条件也还好，价格合理。\n缺点在于房间隔音效果非常不好，楼道里关门的声音很清楚！入住的晚上还赶上一群没有公德的无良宿客，老大不小的一群男男女女带着孩子十二点开着门大声喧哗，最后被其他房客呵斥才老实~希望酒店能够加强管理', '短评打分': 5}
{'短评内容': '经济实惠，适合精打细算的朋友', '短评打分': 3}
{'短评内容': '酒店设施有点过于陈旧，但是服务很好哦，有机会还是会去交通饭店的 ', '短评打分': 5}
{'短评内容': '环境比较糟糕~不是很喜欢~尤其是洗手间设计阳台改造的', '短评打分': 1}
{'短评内容': '给老爸老妈定的，是在自助游的书上看到推荐的，说是住的外国人很多，老爸老妈非常满意，价格便宜而且条件还不错。关键是很安静，离新南门汽车站又特别近，打车到机场大巴的地方只要8元，周围还有一个菜场，老妈去里面买了酱菜什么的带回来，说很好，所以九寨沟回来后他们把我定的酒店取消又在这里住了一晚才回的。', '短评打分': 5}
{'短评内容': '该酒店的环境不好，服务也不好，在服务台寄存贵重物品还要收取5元钱一天，搞得像在火车站寄存东西一样。', '短评打分': 1}
{'短评内容': '位置挺好，靠近南门汽车站，出行挺方便，价格还算公道。', '短评打分': 3}
{'短评内容': '服务上随叫随到，房间挺干净也挺安静，睡眠质量挺好，周边出行很方便，这样的酒店值得推荐。', '短评打分': 5}
{'短评内容': '周边交通是非常的方便，室内卫生也不错，基本设施都有，住着还算舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺合理，看着很舒适，服务态度很好，住的挺满意。', '短评打分': 5}
{'短评内容': '床铺挺干净，有电视能提供24小时热水，位置很好，价格还不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '房间挺大的，卫生很好，床单被子都挺干净，用着挺舒适，基本设施都有，总体感觉还不错。', '短评打分': 5}
{'短评内容': '酒店非常干净，服务态度很好，办事也挺快的，设施有些陈旧，但还实用，整体感觉还不错。', '短评打分': 3}
{'短评内容': '服务很热情，地理位置很优越，价格不贵，整体感觉挺物有所值的。', '短评打分': 5}
{'短评内容': '位置挺好，环境不错，价格挺合理，下次还会光顾的。', '短评打分': 5}
{'短评内容': '酒店挺中规中矩的，性价比挺好，住的还算舒适。', '短评打分': 5}
