{'短评内容': '酒店位置好，交通非常便利，老板服务热情周到，房间虽说不华丽但是非常干净,给人一种纯朴的感觉。出门旅游、度假挺适合的。', '短评打分': 5}
{'短评内容': '不错  离市区比较近 交通方便  环境还可以 房间挺干净的 ', '短评打分': 5}
{'短评内容': '酒店环境还行，就是标志不明显，不好找。房间整洁、舒适，服务给力！', '短评打分': 5}
{'短评内容': '老板很热情，服务比较周到。提供的散客团直接报给我们同行底价，赞一个！', '短评打分': 5}
{'短评内容': '酒店的位置和环境都很好，交通很方便，店家服务也不错，下次去三亚还住那里。', '短评打分': 5}
{'短评内容': '就在市区附近，很安静的一个家庭式旅馆，房间还算OK', '短评打分': 5}
{'短评内容': '服务很好，房间也很干净。最主要的是环境安静不喧闹价格也实惠~~~\n房间内商品价格与超市几乎没区别，价格公道。\n洗发水只提供了一次了（不知道是否需要主动索取），有些不方便。', '短评打分': 5}
{'短评内容': '总的来说不错，有机会还会去，店主女儿甜甜很可爱！', '短评打分': 5}
{'短评内容': '很干净安静的家庭式旅店，地点也很好，在凤凰岛桥头入口附近，出门就是三亚湾海边，很适合一家三口和情侣入住，白天游玩累了回来可以很安静的休息，而且步行一会就到三亚市中心解放路步行街。预定时没细看，他们还免费接机的，结果自己做机场大巴到市区，因为是红眼航班到了市区已经半夜凌晨一点半了，他们还来接，很感动。', '短评打分': 5}
{'短评内容': '环境和地理位置非常满意，走两步就到椰梦长廊，过条街就是三亚汽车总站，要去哪里玩坐公车，旅游专线，和长客都很方便，店主也很热情，一句话：好。', '短评打分': 5}
{'短评内容': '已入住，环境不错.但是无店招牌.不能刷卡不方便。', '短评打分': 3}
{'短评内容': '位置不错，就是找不到牌子，要不是工作人员出来就是走到跟前也找不到。', '短评打分': 3}
{'短评内容': '位置很不错，离步行街，海鲜街很近。老板也很好的说。住的是圆景房，还不错。', '短评打分': 5}
