{'短评内容': '干净整洁，服务态度好，经常住', '短评打分': 5}
{'短评内容': '很好的酒店，服务很好，就是周围都是街道，有点吵。早餐时间很好，为早起赶飞机的客人提供很大的便利。', '短评打分': 5}
{'短评内容': '还可以，就是有点吵，设备有点旧！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '市中心，出行方便，周围餐饮购物丰富。就是酒店有点老旧，需要提高。早餐丰富。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '交通很方便，感觉服务不错，以前住过就直接预定了。\n下次还会继续住', '短评打分': 5}
{'短评内容': '交通便利，房间很干净，服务周到。周边购物方便。', '短评打分': 5}
{'短评内容': '酒店太老了，设置应该要改进，不过服务真的还不错。', '短评打分': 5}
{'短评内容': '不怎么样，除了位置好。不怎么样，除了位置好。不怎么样，除了位置好。不怎么样，除了位置好。不怎么样，除了位置好。不怎么样，除了位置好。', '短评打分': 1}
{'短评内容': '算是武汉最早的四星级酒店了，位置环境都不错，定的豪华套房，床小了点儿，其他都很好，下次还去住', '短评打分': 5}
{'短评内容': '整体不错，环境、卫生及早餐可以接受,价格与服务相匹配。', '短评打分': 5}
{'短评内容': '房间很大，还可以。稍旧', '短评打分': 3}
{'短评内容': '主要是看这家酒店地理位置较好，离一些大型商场比较近，才选择这家酒店，服务态度还不错，但硬件设施已很陈旧，相对来说房价比较高，从硬件设施上来说只能算三星级水平', '短评打分': 1}
{'短评内容': '第二次住了，很不错！', '短评打分': 3}
{'短评内容': '1、地段好！在市中心繁华地段，购物什么都很方便；\n2、服务比较到位，尤其是最近早餐服务细节比较到位；\n3、近期酒店装修了，感觉设施还可以，只是要是能投入电脑收效会更佳；\n4、现在宾馆卫生间都是用马桶装备，但是现在入住客并不喜欢在外面坐马桶，感觉不卫生或不方便，要是能在走廊每层楼设置一个蹲的便池就比较人性化了；\n5、该宾馆有品味的地方是没有小姐及性服务骚扰，还比较正规。', '短评打分': 5}
{'短评内容': '位置好,交通方便,服务好,结怅快!', '短评打分': 3}
{'短评内容': '，一切顺利入住，酒店服务很好。', '短评打分': 3}
{'短评内容': '不错，房间很安静！特别是套间，布置的很合理，这次商务会洽，让我在客户面前特别有份！另外，需要提点意见，就是早餐的品种偏少，如果能再多增加些当地的风味小吃就更好了！', '短评打分': 5}
{'短评内容': '帮同事预定的酒店，这也是别的朋友推荐的酒店。\n这次同事住过后特意问过，说是还不错，酒店设施和服务都还好', '短评打分': 5}
{'短评内容': '还不错，早饭不错交通方便购物方便', '短评打分': 3}
{'短评内容': '交通方便， 老店专业， 早餐丰富。 \n周边商场， 饭店林立， 是差旅，公务之最佳选择。\n\n价格何时， 服务到位， 房间稍挤。', '短评打分': 5}
{'短评内容': '酒店服务态度好，环境好，交通便利', '短评打分': 3}
{'短评内容': '位置很好，到新世界观、武广、国贸都很近，干净卫生。但房间太小、床也小，不显豪华。价格与价值不等。总台服务员不够热情。', '短评打分': 1}
{'短评内容': '大晚上的开吸尘器吸地毯，什么意思啊？！！！大晚上的开吸尘器吸地毯，什么意思啊？！！！大晚上的开吸尘器吸地毯，什么意思啊？！！！大晚上的开吸尘器吸地毯，什么意思啊？！！！大晚上的开吸尘器吸地毯，什么意思啊？！！！大晚上的开吸尘器吸地毯，什么意思啊？！！！', '短评打分': 5}
{'短评内容': '酒店周围购物很方便，吃饭什么的都很不错\n，酒店本身的环境也很好，二楼的自助餐真不赖\n早餐也是西式自助！很喜欢           ', '短评打分': 5}
{'短评内容': '环境还不错，单人间有点小，早餐种类较少\n距离同济医院很近，走路5分钟左右\n旁边有k11，吃饭较方便\n', '短评打分': 5}
{'短评内容': '还不错的四星级老酒店了，总体来说都不错，下次还会来住的', '短评打分': 5}
{'短评内容': '老牌酒店，位置一流。房间也很舒适。热水非常大。冷气够冷。但是电视机还不是液晶屏的，老式旧电视又占地方，看着又不舒服。标间的价格比亚酒要贵40元。但是送双早，早餐品种一般。感觉比不上以前的好了。', '短评打分': 5}
{'短评内容': '尽管是一个非常老的酒店，但是它的位置非常的方便，下次还会选择这个酒店。', '短评打分': 5}
{'短评内容': '经常住长酒，虽然旧了点，房间没什么区别，服务还是不错的', '短评打分': 5}
{'短评内容': '酒店环境很好，住的很舒服。餐厅里自助餐味道也很好。', '短评打分': 5}
{'短评内容': '地理位置不错，距离机场不到30分钟的出租车程（如果不堵车的话）。酒店不是很豪华，但服务好，很温馨，感觉很舒服。', '短评打分': 5}
{'短评内容': '周围有中山公园，武汉广场，新世界，很热闹，夜景挺不错的。房间客房服务很温馨，下次还会再来。', '短评打分': 5}
{'短评内容': '比较安静,位置还好,设施有些旧,房间太小.', '短评打分': 1}
{'短评内容': '老牌酒店，位于中心区，干净整洁，出行方便，设施陈旧，性价比一般，服务尚可，早餐有待提高。', '短评打分': 5}
{'短评内容': '较武广，国广较近，装修陈旧了点，早餐一般，价格正常', '短评打分': 5}
{'短评内容': '简直太差了。\n老的不能再老了。\n陈旧。\n还是新一些的好。', '短评打分': 1}
{'短评内容': '不错，位置很好。老牌酒店。出门就是武汉商场，吃喝玩都很方便，就是服务质量还要提高。', '短评打分': 5}
{'短评内容': '价格涨了，房间感觉小了，性价比也不如以前了：（', '短评打分': 5}
{'短评内容': '房间比较小，床太小，不舒服，有待于提高，谢谢', '短评打分': 1}
{'短评内容': '房间比较小，床太小，不舒服，有待于提高，谢谢', '短评打分': 1}
{'短评内容': '其他各方面都还不错，就是单间得商务房面积比较小，房子比较矮，空间小了点', '短评打分': 5}
{'短评内容': '其他各方面都还不错，就是单间得商务房面积比较小', '短评打分': 5}
{'短评内容': '酒店位于中心区，饭店干净整洁，餐厅的饭菜也很好吃，下次还会入住！', '短评打分': 5}
{'短评内容': '地段好，出行方便。周边是武广商圈，餐饮娱乐购物均好。', '短评打分': 5}
{'短评内容': '挺不错的，交通方便，去会展中心很近，酒店服务态度也不错。', '短评打分': 5}
{'短评内容': '住的是单人间，房间很小，天花板较矮，电视是老式的，有点模糊', '短评打分': 1}
{'短评内容': '住的是单人间，房间很小，而且天花板比较矮，感觉挺压抑的。', '短评打分': 1}
{'短评内容': 'good service, but the room is a bit too small. It is also worth installing safety deposit box in each room in the next round of renovation.', '短评打分': 5}
{'短评内容': '地理位置不错，酒店服务也好，就是打车不能停在门口', '短评打分': 5}
{'短评内容': '环境不错 交通便利 周边也还可以。\n房间设施一般般吧，', '短评打分': 5}
{'短评内容': '房间比较小，最接受不了的是浴室，没有淋浴，浴盆掉漆了；空调不给力啊！很吵！本来预订两天的，第二天就退房了，去别家的试试，对比一下', '短评打分': 3}
{'短评内容': '酒店早餐不错，但价格不便宜，豪华间要四百多，换了别的城市已经住的很好了，但这家酒店内部设施较旧！', '短评打分': 5}
{'短评内容': 'taxi不能直接停到酒店门口，餐饮做得一般，但还好对面有几间档次和出品都不错的餐厅', '短评打分': 5}
{'短评内容': '房间太小了，用拥挤来形容非常恰当，卫生间的淋浴设施很旧，其它的还算可以。\n优点：很安静。', '短评打分': 1}
{'短评内容': '可以早餐很好的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '交通方便，价格适中，不过酒店的设施太陈旧了', '短评打分': 5}
{'短评内容': '酒店地理位置不错，周边购物也很方便，房间隔音效果很好，楼道声音基本听不到，早餐品种丰富，下次还会来。', '短评打分': 5}
{'短评内容': '酒店的侧对面就是新世界百货，逛商店很方便~', '短评打分': 5}
{'短评内容': '早餐不错，但酒店价格不便宜，相同的价格在其他的城市（除了上海，北京，广州），也同样是星级酒店，可以住到豪华标间了，但在这里却只能住在很小的单人间，不知道是否武汉的酒店行情就是这样？', '短评打分': 5}
{'短评内容': '普通的房间确实如大家所说太小了！普通的房间确实如大家所说太小了！', '短评打分': 1}
{'短评内容': '地理位置好。服务一般。房间有点小，设施一般。', '短评打分': 1}
{'短评内容': '好，房里很干净，但有点不值得这价格\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '住的商务单间，很小。。空调不好用。。其他都好，还算干净。', '短评打分': 5}
{'短评内容': '听说是武汉的老牌酒店，内部设施还可以，楼层有浴足，房间一般，床很软比较舒服，出租师傅都称长酒，服务很好的，在街的拐角，旁边是中国银行。', '短评打分': 5}
{'短评内容': '房间还可以，位置也不错，离机场也很近，交通很方便。早餐很丰盛', '短评打分': 5}
{'短评内容': '长住的一个酒店，性价比很高，也比较方便，就是武汉太堵车了。。。', '短评打分': 5}
{'短评内容': '多次入住，不错的老牌酒店，就是房间有点小', '短评打分': 3}
{'短评内容': '很一般的酒店，设施陈旧，地理位置好，早餐简单', '短评打分': 5}
{'短评内容': '还可以吧，酒店位置不错，但设施陈旧，也不好停车。', '短评打分': 5}
{'短评内容': '总觉酒店需要进行彻底装修，虽然更换了一些设备，希望天天进步。', '短评打分': 5}
{'短评内容': '重新装修了，比去年有进步，就是不好停车。', '短评打分': 5}
{'短评内容': '交通方便，离购物中心只需5分钟就可以了，酒店环境不错，值得像朋友推荐', '短评打分': 5}
{'短评内容': '给我的感觉或许是管理不好,还是员工换了人了,服务完全跟上一次相比不行,刷卡机也坏了,每次开门都要去前台刷门卡.唉, 服务不行.', '短评打分': 1}
{'短评内容': '住店期间遇到一件积极郁闷的事情，由于酒店的水壶漏水，把我笔记本的硬盘烧掉了，最后酒店给我买了一块硬盘，但是十多年的资料也随着硬盘报销了，心情无论如何不会爽，在处理问题期间，很多相关岗位的人员一味的推卸责任，可见酒店还需要加强管理！另外房间实在太小了。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '环境和服务很好！！房间环境很好！！但是房间外就是马路和高架有点嘈杂！！', '短评打分': 5}
{'短评内容': '房间很舒服，面积也很大，就是大堂小了点，找不到四星级的感觉。', '短评打分': 3}
{'短评内容': '1 空间较大 地段不错 隔音效果较好 空调好 网速快\n2 服务一般 电视频道不多\n\n不足的是走廊有点味道 \n', '短评打分': 5}
{'短评内容': '酒店设置有停车场，如果带车去的确很方便。服务也还好，就是房间太小了，我定的还是豪华房，设施有些陈旧，早餐一般。逛街和小吃倒是很方便。', '短评打分': 5}
{'短评内容': '挺不错的酒店，支持，支持，支持！挺不错的酒店，支持，支持，支持！', '短评打分': 5}
{'短评内容': '交便便利，位于汉口中心地带。房间较宽敞但设备较陈旧。性价比较好。', '短评打分': 5}
{'短评内容': '服务员服务太差，本人上厕所的时候，没有允许的情况下她居然能进入我的房间。\n客观评价：房间小，说是有17平米，估计也就10平米。一张小床，浴室的浴盆还漏水。\n价格是348元，号称三星级， 亏的很，', '短评打分': 1}
{'短评内容': '房间床太小了，对于4星得酒店，条件很一般。前台服务还是不错的。', '短评打分': 1}
{'短评内容': '房卡不停失效，用起来很不方便，前台处理较慢', '短评打分': 1}
{'短评内容': '位置不错，早餐很好，348元的文章显的太小了点。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '蛮不错的酒店，就是老了点，设施有点旧,服务还不错。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '位置很好，就是房间太小，卫生间还挺大的，房间里还有一点点发霉的味道', '短评打分': 5}
{'短评内容': '好 ', '短评打分': 3}
{'短评内容': '这是入住的感觉非常差,首先前台处理入住的速度很慢,之后住的房间里很冷,空调不起作用,服务员冷冰着脸说就就是中央空调,就是这样,之后要多一床被,结果给我一个薄毯,之后,几次卡开门都开不开,服务员一点没有觉得是他们的问题,再三问下,就说是刷卡机不好使,所以每次都要去前台刷一次,更郁闷的是,我一次叫他们开下门,报了房号,报了姓名,前台服务员还一定要我报生日才给我开门,说是有些人听了名字会去叫他们开门..', '短评打分': 1}
{'短评内容': '一座历史悠久的酒店， 管理和卫生都一流，处于真正的商务中心 位置极佳。', '短评打分': 5}
{'短评内容': '：酒店還不錯。', '短评打分': 3}
{'短评内容': '酒店位置比较好，卫生一般，处于武汉市中心。服务一般。', '短评打分': 5}
{'短评内容': '房间不大， 但酒店设施齐全；\n早餐很好， 周边大商场云集；', '短评打分': 5}
{'短评内容': '酒店位置极好，就是房间设施有点陈旧了。其他都还可以', '短评打分': 5}
{'短评内容': '一般般，就在高架旁边有点吵，设备陈旧，不过，交通什么的都算方便。 ', '短评打分': 5}
{'短评内容': '房间虽小，但比较干净，价格较贵，早餐不错！', '短评打分': 5}
{'短评内容': '较干净           可以入住     。', '短评打分': 5}
{'短评内容': 'dfhsjfiweifdiwfjeiosjfksdjfwidfjskfjiksjfikjseifj', '短评打分': 1}
{'短评内容': '就是房间太小了，比想象的还要小，但是附近没有更大的酒店了。', '短评打分': 5}
{'短评内容': '性价比高  我们订的豪华大床房 酒店免费升级到行政楼层啦 0 0  老公觉得还不错~~', '短评打分': 5}
{'短评内容': '一般般，就在高架旁边。不过，交通什么的都算方便。', '短评打分': 5}
{'短评内容': '服务一般，楼道里总是会有打扫卫生的服务员，再或有其他服务员敲门询问需要，价格尚可接受。', '短评打分': 5}
{'短评内容': '环境不错，虽处闹市，但隔音效果好。价格稍高。', '短评打分': 5}
{'短评内容': '武汉的老牌四星级酒店，交通方便，就是设施比较陈旧了，需改进。', '短评打分': 5}
{'短评内容': '已经住过几次，感觉很不错。性价比较高，交通方便。', '短评打分': 5}
{'短评内容': '总体感觉一般，地理位置还好，但出门后的大路上那叫一个堵，，，\n行政单人房，房间很小，床也很小，凑合用，设施比较陈旧，电视节目也少得可怜，还不太清楚，\n我的房间网络不通，服务员只是帮忙换了根网线，但还是不行，干脆就没用上，\n早餐种类较少，\n', '短评打分': 5}
{'短评内容': '酒店虽然是4星酒店，但大堂有些拥挤，服务较好，单人房间太小，性价比不高。', '短评打分': 5}
{'短评内容': '设备老旧，条件一般，可以接受。下次也会推荐朋友入住的。', '短评打分': 5}
{'短评内容': '住了几次，这次的房间靠路边有点炒，其他还好，服务态度也还行。', '短评打分': 5}
{'短评内容': '感觉还可以，感觉还可以，感觉还可以，感觉还可以，感觉还可以', '短评打分': 5}
{'短评内容': '很老的酒店，设施比较陈旧，但是位置不错，晚上比较安静', '短评打分': 3}
{'短评内容': '住的是行政单人间，面积有点小，但还算干净，相对而言，这个价位有点高，早餐还可以，服务也不错！', '短评打分': 5}
{'短评内容': '去武汉经常住这家，价格预算内、设施干净舒适。', '短评打分': 5}
{'短评内容': '住习惯了，不错的一加，价格比较合理，就是老了。事没办完，再住一天', '短评打分': 5}
{'短评内容': '住习惯了，不错的一加，价格比较合理，就是老了点', '短评打分': 5}
{'短评内容': '经常住的一家，老一点，感觉还比较舒服。自助餐就不要去了，难吃的要死', '短评打分': 5}
{'短评内容': '什么多还好，就是老了点，价格比较便宜，我认为不错 。发现斜对面很多好吃的小吃', '短评打分': 5}
{'短评内容': '什么多还好，就是老了点，价格比较便宜啦，就朋友一起来住的', '短评打分': 5}
{'短评内容': '什么多还好，就是老了点，价格比较便宜，我认为不错 \n', '短评打分': 5}
{'短评内容': '什么多还好，就是老了点，价格比较便宜，我认为不错', '短评打分': 5}
{'短评内容': '因离工作的地方比较近，所以已经第三次入住，发现458和518的房间没什么差别，呵呵，以后就住458了。', '短评打分': 5}
{'短评内容': '如果去协和同济办事，只要走5分钟即可。设施有些陈旧，这次住7楼，隔音可以，早餐需要提高', '短评打分': 5}
{'短评内容': '一般的酒店,房间里总可以听到外面的声音,不是很安静.', '短评打分': 1}
{'短评内容': '一般般吧。一直住诺富特的，去的不巧满房了才改了这家。性价比很一般', '短评打分': 5}
{'短评内容': '本来预定的是大床房，去了之后给的是豪华套房，还不错。', '短评打分': 5}
{'短评内容': '噪音，嘈杂，不干净，不如街边的小旅馆，房间狭小，冷', '短评打分': 1}
{'短评内容': '房间比较小，不过位置还不错，价格也适中，下次还会住。', '短评打分': 5}
{'短评内容': '周围比较热闹，环境还可以，我个人是行政单人房，房间不大，但是什么都有，还可以', '短评打分': 5}
{'短评内容': '還不錯，放假雖然不大，衛生還算干凈，好像有重新裝修過耶～', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置较好，在市中心，酒店较老，但内部环境很好，就是房间小了点，相对较贵。', '短评打分': 5}
{'短评内容': '服务还可以，好象是家老的酒店了，就是房间小了点，早餐还不错', '短评打分': 5}
{'短评内容': '酒店可以,有可能向朋友推薦,..........', '短评打分': 5}
{'短评内容': '位置非常方便，与价格相比，酒店设施较陈旧，性价比不高', '短评打分': 1}
{'短评内容': '位置不错，也比较干净，就是房间小聊点，有机会会再来哟', '短评打分': 5}
{'短评内容': '环境一般 内部还不错', '短评打分': 3}
{'短评内容': '位置极佳，交通方便，服务较好，卫生条件不错。只是床头没有可以随手操作的电灯开关，不太方便，建议改进。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便，是很好得选择。服务态度也好，开始房卡不好用，不知是门锁坏了还是什么原因，但工作人员很快就给换了房间，非常满意。若是早餐能改善一下就更好了！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，地处繁华地段，交通方便，但餐食即贵又差，很不理想。', '短评打分': 5}
{'短评内容': '酒店服务很好!', '短评打分': 3}
{'短评内容': ' 还不错哟！', '短评打分': 3}
{'短评内容': '还可以，就是感觉有点旧~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间很小,床也小，设施陈旧。交通很方便，房间比较干净', '短评打分': 5}
{'短评内容': '还不错，就是酒店门口靠近城市道路，不方便停车', '短评打分': 5}
{'短评内容': '一分钱一分货，勉强还行，虽然房间有些布局不合理，设施比较陈旧', '短评打分': 5}
{'短评内容': '性价比不突出,房间比较老的设施了,不过地点适合于逛街.', '短评打分': 1}
{'短评内容': '酒店设施好,干净,位置很好,吃也很方便,逛也很近', '短评打分': 5}
{'短评内容': '极挑剔的老板指定的酒店，可想而知服务硬件在武汉都是名列前茅的啦', '短评打分': 5}
{'短评内容': '帮朋友定的，早上去朋友房里坐坐，发现酒店的装修该换了', '短评打分': 1}
{'短评内容': '性价比不高。房间也很小。设施很陈旧，不推荐居住', '短评打分': 1}
{'短评内容': '十交通便利，不错', '短评打分': 3}
{'短评内容': '房间干净，实用。酒店位置是离机场近的市区，适合早上赶飞机的旅客。总之，性价比不错。', '短评打分': 5}
{'短评内容': '武汉长江大酒店交通很方便，房间比较干净，就是房间小，床也小', '短评打分': 5}
{'短评内容': '这个酒店除了位置好一切都太老了。圣诞节的早点真是太让人失望了。', '短评打分': 5}
{'短评内容': '房间比较干净，出乎意料的是行政大床房居然这么小，床也是出奇的小。', '短评打分': 5}
{'短评内容': '服务好！环境不错，硬件还可以，以后还来哈', '短评打分': 5}
{'短评内容': '酒店服务不错,位置好,但房间太小..........', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '价格适中，建议房内电视应换液晶或等离子！服务不错！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地理位置好，出行方便,酒店设施有点旧，服务不错', '短评打分': 5}
{'短评内容': '去了武汉很多次，总感觉武汉的酒店相对于武汉的消费而言，偏贵了；而且，同样比较同档次同装修的武汉和深圳的酒店，还是武汉的酒店贵。', '短评打分': 5}
{'短评内容': '位置很好 ，交通便利，服务态度也不错，推荐', '短评打分': 5}
{'短评内容': '优点：在市区比较热闹的地方，离机场也不远，打车50多元，30多分钟。\n缺点：房间小（豪华房），走廊隔音差。有些时段打车不太容易。', '短评打分': 5}
{'短评内容': '这个房间确实小，不过还很干净，酒店保安也很负责。', '短评打分': 5}
{'短评内容': '地点很不错，逛街很方便，酒店有点年纪了，总体还是可以！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
