{'短评内容': '除了网络差点，其他都挺好。', '短评打分': 5}
{'短评内容': '酒店的格局和国外的没什么差别。我很喜欢。\n但是实在太冷了。毯子很薄，空调噪音不小，但制热效果却很差。\n落在房间里的东西，查房的时候查不到。我离开后发现东西忘在酒店了，致电酒店，前台说东西在。答应快递给我，但快递费要我来出。\n我入住和离店时都留过电话号码，丢了东西没有人和我联系。半夜手机响，原来是收到了宜必思入会邀请。太搞了吧！留手机号码原来只是干这个用\n', '短评打分': 1}
{'短评内容': '经济型酒店中硬件真的很不错，很有国外连锁的感觉，只是空调太差了，卫生间有味道不好散开，挺可惜的酒店，用心经营本来可以经营很好的', '短评打分': 5}
{'短评内容': '整体的入住感觉还算可以，可能各人喜好的缘故，被子有些薄，电视台数忒少，吃饭不太方便，餐厅只提供早餐，希望酒店能稍微改进一下。', '短评打分': 5}
{'短评内容': '环境较好··就是屋子小了点·隔音效果一般', '短评打分': 5}
{'短评内容': '电梯刷卡才能进去，感觉相对安全，房间也很干净，下次还会入住，还是比较喜欢的', '短评打分': 5}
{'短评内容': '位置很好，房间很舒适，电梯很安全需要插卡，还会入住', '短评打分': 5}
{'短评内容': '电视节目太少。酒店硬件设施很好，但是管理层没有想把它办好的想法，人气没有。可惜了。', '短评打分': 1}
{'短评内容': '    我和许多同事朋友常在欧洲和其他国家住ibis。此次我去淄博，系邀请方安排住宿。原安排的酒店在3度低温下遵照“规定”不开暖气而致感冒。次日一早，偶发现ibis，前去探问，前台态度极好，告知肯定有暖空调。于是，马上从eLong订了房间入住。设施和国外见到的完全一样，干净舒适，且顿觉温暖。和世界各地ibis一样，大堂有免费上网设施。诚向不熟悉ibis的朋友推荐。 ', '短评打分': 5}
{'短评内容': '全世界都统一的房间内部装修和设施布局，让你感觉非常熟悉，插房卡才能使用电梯，保证很安全不会有任何骚扰，是性价比不错的酒店。', '短评打分': 5}
{'短评内容': '酒店很满意！', '短评打分': 5}
{'短评内容': '服务有点太差吧，还外资的呢。叫不叫的没人理。还有吃饭也不方便。哎~', '短评打分': 1}
{'短评内容': '这家客栈在淄博也算是比较便宜的，但是设置应该是最好的。比7天、如家等要好，位置还可以。唯一一点是，卫生间好像是一体设计的，稍微有些滑，但却很漂亮。', '短评打分': 5}
{'短评内容': '酒店位置很好，性价比较高，干净卫生，空间稍小，隔音不好', '短评打分': 5}
{'短评内容': '入住当晚没有冷水、电视没有信号、网络使用不通畅。', '短评打分': 5}
{'短评内容': '在这里住了9天。把它当成我们的家了。总体来说还不错，就是服务不太好。call了一个小时都没人来给我们打扫房间，而且酒店不给客人准备毛巾和梳子，只有浴巾，牙刷等洗漱用具也都不是每天给我们换，这点很糟糕。有天早上起来我们发现牙膏都不够用了。不过好处是，网速很快。中央空调噪音有点大。酒店的房卡老是莫名其妙的坏掉。下次我想不会再住这了，还是锦江之星的服务更好', '短评打分': 5}
{'短评内容': '位置好方便出行,其它各方面条件也不错,性价比挺高的.', '短评打分': 5}
{'短评内容': '房间空间还可以，布置比较整洁，硬件设施档次不低。感觉住的挺舒适的。', '短评打分': 5}
{'短评内容': '客房服务不错，每天都来整理房间，让感觉很干净。', '短评打分': 5}
{'短评内容': '我觉得这家酒店在环境上、卫生、服务、安全性都很达标，价格上也很实惠的。', '短评打分': 5}
{'短评内容': '以粉色为主的设计风格，让人感觉很温馨，打扫的也很干净。', '短评打分': 5}
{'短评内容': '位于繁华地带，购物吃饭很方便。出行也很方便，交通很便利的。', '短评打分': 5}
{'短评内容': '房间干燥 建议加个加湿器', '短评打分': 5}
