{'短评内容': '酒店有一股潮味儿，房间也是', '短评打分': 3}
{'短评内容': '酒店有三人房，适合家庭旅游，性价比比较好。', '短评打分': 5}
{'短评内容': '位置优越  性价比高   设施很不错', '短评打分': 5}
{'短评内容': '屋里比较潮，环境差', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '设备比较新，位置也比较好，九楼之间的楼梯比较简陋，晚上估计很危险，909房间的电视遥控器不能用，找了修理人员，1个小时也没修好，最后不了了之，比较扫兴，另外，房间内没有任何标记服务台的电话，建议在电话上注明是0。', '短评打分': 5}
{'短评内容': '隔音太差了', '短评打分': 5}
{'短评内容': '床太硬了 其他都很满意', '短评打分': 3}
{'短评内容': '床太硬', '短评打分': 5}
{'短评内容': '网速超慢，隔音效果太差了！！！我能清楚的听到别的房间里的说话声音~~~~', '短评打分': 5}
{'短评内容': '非常不错 就是不太隔音', '短评打分': 5}
{'短评内容': '位置很好，交通便利，楼下快餐店、超市皆有。就是有点潮，墙上有霉斑', '短评打分': 5}
{'短评内容': '除了以上都好外，房间隔音效果差，有点儿吵。', '短评打分': 5}
{'短评内容': '挺干净，设施齐全且比较新，服务较好，价格较实惠，性价比很高', '短评打分': 5}
{'短评内容': '服务周到，卫生条件优良', '短评打分': 3}
{'短评内容': '酒店优点是干净卫生，服务不错，设置也不错。', '短评打分': 3}
{'短评内容': '位置不错，交通很方便。房间和床很大，但因为是特价房没有窗户，空气不好，不太舒服。总的来说，性价比算比较高的哈。', '短评打分': 5}
{'短评内容': '酒店卫生条件好，性价比较高', '短评打分': 5}
{'短评内容': '卫生状况还可以，舒适度一般。服务不太热情。酒店空调噪音太大，一次性用品不太好，早餐非常难吃，真的非常难吃。', '短评打分': 1}
{'短评内容': '酒店的环境好，但有一条规定就是不能电话续订，必须到前台刷卡。', '短评打分': 3}
{'短评内容': '此酒店卫生一般 服务态度极差！特别是总台小姐不诚实！酒店环境不好！一晚上外面的车子特别的多 一整晚吵闹的没有睡好，白天还有装修的 根本无法正常的休息！我很不推荐山大路店 让我很是失望！', '短评打分': 1}
{'短评内容': '暖气很暖和喔。。。用具也不错', '短评打分': 5}
{'短评内容': '房间小了一些其它还不错,设施比价齐全,位置很方便,性价比还不错.', '短评打分': 3}
{'短评内容': '房间的设施和卫生还是挺不错的,酒店的位置也还是挺好找的,服务态度还不错,性价比挺好的.', '短评打分': 3}
{'短评内容': '位置还行，不过这边道路有点拥挤，靠近山大，房间的卫生和设施还不错，服务也可以，整体感觉性价比还是非常高的', '短评打分': 3}
{'短评内容': '房间很小，原价139的房间全部都是暗窗，不通风，而且觉得好热，是很闷的热，可能是因为是地暖不是水暖吧。其他的都还好，服务啊什么的都不错。打折后128的价格还不错。', '短评打分': 5}
{'短评内容': '很新的酒店，性价比高。在济南住了很多格林豪泰了，这是最好的一家。\r\n出门附近就有超市，酒店大床房很好，值得推荐。', '短评打分': 5}
{'短评内容': '房间太小了，位置还可以。', '短评打分': 5}
{'短评内容': '不错，有吹风机，就是没有富余的枕头', '短评打分': 5}
{'短评内容': '可以，对得起价格', '短评打分': 5}
