{'descr': '还是可以的&hellip;&hellip;个方面都合适', 'star': 5}
{'descr': '酒店房间很干净，服务很好，周边交通也很方便，吃的唱的都有', 'star': 5}
{'descr': '地段很好很放便', 'star': 3}
{'descr': '酒店房间很大很干净，服务很好，值得赞！推荐！', 'star': 5}
{'descr': '比较好！就是位置不太好。打车不好打！大部分司机都不知道兴胜路在哪里？', 'star': 5}
{'descr': '服务不错！周边交通也很方便，吃的唱的都有', 'star': 5}
{'descr': ' 酒店位置交通便利 环境干净整洁 比较舒适 服务态度也好', 'star': 5}
{'descr': '位置好，处于繁华地带，服务好，餐厅好，房间老，一般。', 'star': 5}
{'descr': '临近步行街，价钱较低。临环形路比较吵闹。', 'star': 5}
{'descr': '很好 很舒服', 'star': 3}
{'descr': '很干净，前台态度很好，但千万不能订临街的房间。', 'star': 5}
{'descr': '房间不错，比较宽敞，交通很方便，网络速度快', 'star': 5}
{'descr': '交通方便，酒店附近的巷子里有不错的重庆小吃。', 'star': 5}
{'descr': '不错的酒店，交通方便，周围有很多购物中心。', 'star': 5}
{'descr': '还行！', 'star': 3}
{'descr': '有点吵！虽然要了远离电梯的房间，但是还是比较少！', 'star': 5}
{'descr': '客人晚上七点到酒店他们还没收拾好！', 'star': 3}
{'descr': '还不错啦。交通比较方便，周围吃的东西也比较多。', 'star': 5}
{'descr': '总体还行，离步行街特近，就是房间有点吵。', 'star': 5}
{'descr': '临近步行街，价钱较低。临环形路比较吵闹。', 'star': 5}
{'descr': '还算干净，性价比还过得去，前台工作效率挺高的，态度还行', 'star': 5}
{'descr': '装修的还可以，很简洁。虽然住在顶楼--12楼，但噪声还是大，休息不好。事先打电话要求要安静点的房间，但去后没有。另外电视遥控不太好用。总体还可以吧', 'star': 5}
{'descr': '感觉价格高了', 'star': 3}
{'descr': '服务态度好，交通便利，房间整洁，下次还会选这家店', 'star': 5}
{'descr': '前台服务态度很好，房间面积还可以，干净整洁，一如锦江之星标准', 'star': 5}
{'descr': '位置好，处于繁华地带，服务好，餐厅好，房间老，一般。', 'star': 5}
{'descr': '不错的酒店，地点非常好，性价比高。下次还住 ', 'star': 5}
{'descr': '房间还是不错，很大，就是临路边，车流声不停，晚上休息不好！', 'star': 3}
{'descr': '酒店环境不错，设施很好，稍微难找点，交通方便，再来还住这。', 'star': 5}
{'descr': '+服务很好,以后还要订', 'star': 5}
{'descr': '房间还是可以，就是路边有点吵，早上为什么还没电了，电话也没声音', 'star': 5}
{'descr': '很好很舒适.', 'star': 5}
{'descr': '房间很大，就是卫浴不太好，水管总是发出声音', 'star': 5}
{'descr': '＋酒店服务很好，就是临街窗台隔音效果还有待加强。', 'star': 5}
{'descr': '挺好的。挺干净的。离步行街也挺近的。方便第一。', 'star': 5}
{'descr': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '干净，舒服，服务也不错，关键是对我来说位置很好，很方便\r\n唯一一点遗憾，卫生间下水声音大，太吵了点', 'star': 5}
{'descr': '服务很好,这个区域的步行街就在门口!', 'star': 5}
{'descr': '房间,卫生间很大但卫生间和锦江之星的布局不一样,浴室较差', 'star': 1}
{'descr': '很干净，很舒服', 'star': 5}
{'descr': '除了临街比较吵、酒店标识比较小，其他都还不错，是家典型的连锁型酒店。', 'star': 5}
{'descr': '交通方便，就是太吵了，十楼都能听到车流声。', 'star': 3}
{'descr': '太吵了，挨着马路，隔音不好。', 'star': 1}
{'descr': '干净卫生，性价比不错。下次去重庆，我一定还会选择锦江之星！', 'star': 5}
{'descr': '作为连锁酒店而言，性价比不错。', 'star': 5}
{'descr': '太吵了，呵呵，其它的还行。。没有浴帽哦。', 'star': 1}
{'descr': '基本都OK，有二点稍微不足，一是大马路边有些吵&#183;~~二是锦江的网络一如既往的差劲。不过我也已经有经验了，住锦江就带上自己的无线网卡。', 'star': 5}
{'descr': '位置在杨家坪商业区中间，酒店就在马路边上，一点儿也不难找。\r\n交通很方便，步行5分钟就是步行街，打车也容易。\r\n酒店服务态度挺好的，设施也全，没啥问题的话自助就挺舒服的。唯一不足，也是这种快捷酒店的通病就是隔音实在不好。\r\n总的来说性价比挺高。', 'star': 5}
{'descr': '性价比不高，花钱住的是牌子，而不是舒适！！！', 'star': 1}
{'descr': '还不错。', 'star': 5}
{'descr': '不够安静，临街!\r\n房间面积不大，但装修的很新，很卫生', 'star': 1}
{'descr': '住了四晚，感觉是物超所值的。\r\n位置很优越，就在杨家坪步行街旁，距离轻轨站大约十分钟的步行距离。\r\n房间面积不大，但装修的很新，很卫生。服务亦很到位。', 'star': 5}
{'descr': '我觉得酒店还是不错的，在那个位置公交出租都挺放的，价格也挺便宜的，酒店内的环境设施，硬件配备都还不错。', 'star': 5}
{'descr': '前台设施有些旧了,房间内设施还可以,而且也很干净,物有所值', 'star': 5}
{'descr': '酒店的服务态度非常，环境也很好，很干净，地理位置也不错，交通很方便', 'star': 5}
{'descr': '酒店就是房间的隔音效果不太好,比较吵,价格也有点偏高,不过其他方面都挺好的,房间蛮干净的', 'star': 5}
{'descr': '卫生，服务都不错，位置也挺方便的，就是酒店是挨着路边的，稍微有点吵', 'star': 5}
{'descr': '挺干净的 就是地处闹市 不是很安静', 'star': 5}
{'descr': '整体来说还是不错的,价格挺实惠的.', 'star': 5}
{'descr': '杨家坪附近的经济酒店现在装修比较多的是情侣房,适合旅游的.不太适合出差的 这家还可以灯光比较明亮.设计比较商务式.有些房间朝马路隔音不是很好', 'star': 5}
{'descr': '杨家坪附近的经济酒店现在装修比较多的是情侣房,适合旅游的.不太适合出差的 这家还可以灯光比较明亮.设计比较商务式.有些房间朝马路隔音不是很好', 'star': 5}
{'descr': '杨家坪附近的经济酒店现在装修比较多的是情侣房,适合旅游的.不太适合出差的 这家还可以灯光比较明亮.设计比较商务式.有些房间朝马路隔音不是很好', 'star': 5}
{'descr': '总体很好，只是靠马路边比较吵一点~位子距离杨家坪商业圈较近，逛街购物比较方便~价格很合理，卫生条件很好，下次还会优先选择~', 'star': 5}
{'descr': '不错，网速也很快。下次还住这里。', 'star': 5}
