{'descr': '感觉不是很新，卫生倒是干净', 'star': 4}
{'descr': '在我格广场后面，位置还算好找的。酒店前台在5楼。', 'star': 5}
{'descr': '嗯，我觉得蛮不错哦，由于单身套房满了，酒店给我升级为行政套房，很宽敞，尤其喜欢厨房和阳台（虽然只用熬了牛奶）。打扫清洁也很及时，住了几天感觉很舒服。唯一觉得有点揶揄的是，干嘛宽带还要收费啊？！另外我住的18层鬼影子都没一个，某天老公不在，我先上楼，确实感觉有点害怕。总的来说，很满意，下次来上海玩，继续住咯！', 'star': 3}
{'descr': '嗯，我觉得蛮不错哦，由于单身套房满了，酒店给我升级为行政套房，很宽敞，尤其喜欢厨房和阳台（虽然只用熬了牛奶）。打扫清洁也很及时，住了几天感觉很舒服。唯一觉得有点揶揄的是，干嘛宽带还要收费啊？！另外我住的18层鬼影子都没一个，某天老公不在，我先上楼，确实感觉有点害怕。总的来说，很满意，下次来上海玩，继续住咯！', 'star': 3}
{'descr': '前台服务人员素质低、效率低。其他还好。太费劲，以后不会住这里，美国人一般懒散，这里也是美国风格。', 'star': 1}
{'descr': '前台服务人员素质低、效率低。其他还好。太费劲，以后不会住这里，美国人一般懒散，这里也是美国风格。', 'star': 1}
{'descr': '性价比蛮好的，卫生条件不错，服务周到热情，房间硬件设施齐全，下次有出行还会再考虑入住的。', 'star': 5}
{'descr': '性价比蛮好的，卫生条件不错，服务周到热情，房间硬件设施齐全，下次有出行还会再考虑入住的。', 'star': 5}
{'descr': '非常满意，想不到在世博人多拥挤的时候还能住到这样舒适的酒店。唯一提个小小的意见，宽带还要收费还收得那么贵，有点&#183;&#183;&#183;', 'star': 5}
{'descr': '非常满意，想不到在世博人多拥挤的时候还能住到这样舒适的酒店。唯一提个小小的意见，宽带还要收费还收得那么贵，有点&#183;&#183;&#183;', 'star': 5}
{'descr': '前台服务人员素质低，效率低，酒店管理有待提高。\r\n其他方面没有问题。', 'star': 5}
{'descr': '前台服务人员素质低，效率低，酒店管理有待提高。\r\n其他方面没有问题。', 'star': 5}
{'descr': '这家酒店似乎不愿意与旅行社合作，百般设置障碍。。。\r\n另，前台工作人员管理混乱。。。\r\n硬件很好，可惜。。。\r\n', 'star': 1}
{'descr': '这家酒店似乎不愿意与旅行社合作，百般设置障碍。。。\r\n另，前台工作人员管理混乱。。。\r\n硬件很好，可惜。。。\r\n', 'star': 1}
{'descr': '酒店还可以.就是服务不太好.略显不够周到，其它各方面还不错.', 'star': 5}
{'descr': '酒店还可以.就是服务不太好.略显不够周到，其它各方面还不错.', 'star': 5}
{'descr': 'Housekeeping very good and sent item to apartment in less than 5 minute as requested\r\nNeed training to new employee at front desk\r\nGround floor security not really helpful -  did not help guests with ', 'star': 5}
{'descr': 'Housekeeping very good and sent item to apartment in less than 5 minute as requested\r\nNeed training to new employee at front desk\r\nGround floor security not really helpful -  did not help guests with ', 'star': 5}
{'descr': '这叫什么星级酒店啊,住进去的时候电梯居然是不行的,等了10 分钟才搞好,本来就累的不行想休息,还让我等这么久. 失望的还在后头: 进入房间,房间的地毯是红黑色的,看起来就觉得不卫生,真知道新地毯是红色还是红黑色. 卫生间竟然站不下2个人,我老公因为比较高大,进去以后要关了卫生间的门才能开浴室门冲澡. 脚垫放在浴室门外面,卫生间的门就开不了,因为门开过来就夹住了脚垫. 一个大厨房,设备倒是先进,但灯', 'star': 1}
{'descr': '这叫什么星级酒店啊,住进去的时候电梯居然是不行的,等了10 分钟才搞好,本来就累的不行想休息,还让我等这么久. 失望的还在后头: 进入房间,房间的地毯是红黑色的,看起来就觉得不卫生,真知道新地毯是红色还是红黑色. 卫生间竟然站不下2个人,我老公因为比较高大,进去以后要关了卫生间的门才能开浴室门冲澡. 脚垫放在浴室门外面,卫生间的门就开不了,因为门开过来就夹住了脚垫. 一个大厨房,设备倒是先进,但灯', 'star': 1}
