{'短评内容': '没在酒店吃早餐，不知道早餐如何', '短评打分': 4}
{'短评内容': '交通方便，早餐很丰盛，不错。\n住了两次，服务很热情。', '短评打分': 5}
{'短评内容': '很安静，卫生也不错。。\n睡得很舒服。。。', '短评打分': 5}
{'短评内容': '我白天待在房间里，空调一点作用都没有，询问总台回答晚上6点以后才开空调，那客人白天什么过？我看了其他客人的点评，多反映同样的问题，那么这家酒店为什么屡教不改啊？对得起客人吗？', '短评打分': 1}
{'短评内容': '感觉不错，今后如有机会到武汉，还是愿意去住。希望酒店再接再厉，让更多的客人满意。', '短评打分': 5}
{'短评内容': '还可以住住，装修有点旧，有点对不起这个价格！', '短评打分': 3}
{'短评内容': '入住时武汉当地32-34度，居然空调不开，晚上12点投诉，前台回复因投诉多了中央空调才打开，一早7电热醒，再次投诉得到回复空调关了，总之入住酒店每天都要为空调开关投诉，真是太差劲了！！', '短评打分': 1}
{'短评内容': '这么热的天，酒店的中央空调再三投诉了才开，一早又关，太差劲了！', '短评打分': 3}
{'短评内容': '给老爸订的，据说不错，比较干净，设施也较新', '短评打分': 5}
{'短评内容': '酒店一般，还算新，早餐一般，房间装修有点奇怪，感觉不舒服。', '短评打分': 1}
{'短评内容': '房间不好，要求更换不给换，空调一点用没有，开了四个小时都不热，反映给前台，说是因为房间多所以效果不行，不知道什么逻辑。。。。比你房间多的酒店多了去了，为什么人家都可以呢！', '短评打分': 1}
{'短评内容': '整体算不错…除了空调不给力，开的30度 一晚上房间里冷…', '短评打分': 3}
{'短评内容': '交通很方便，公交车站旁边\n性价比一般，无法达到四星标准。房间较小。\n服务态度较差，退房退了20分钟，像欠她钱一样。\n不推荐', '短评打分': 1}
{'短评内容': '没暖风', '短评打分': 3}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '不错！很新，房大！下次还是会入住，单人间大床房！', '短评打分': 5}
{'短评内容': '酒店位置比较好，打车挺不方便的，另外早餐也可以，值得再次尝试。', '短评打分': 5}
{'短评内容': '酒店位置有点偏，条件还可以，性价比还可以', '短评打分': 5}
{'短评内容': '整体感觉一般，大堂里经常飘荡着一股怪味；早餐说是7点开始，经常到了7:30主食还没有上齐。空调制热效果不好。别的还行吧。', '短评打分': 1}
{'短评内容': '商务、旅游均适宜的中档住宿场所，就是早餐太单薄了，不改进不行！', '短评打分': 5}
{'短评内容': '刚住进来，感觉还不错，服务态度挺好的。卫生也好，下次来还住这。', '短评打分': 5}
{'短评内容': '别的都很好，但是洗澡间地漏堵了，不漏水，下次再不漏水就不推荐了。', '短评打分': 5}
{'短评内容': '第二次入住了，空调即便设定最高温，貌似也只能达到21°c，冬天很冷。\n淋浴的水流太小，不痛快。\n酒店所在地附近正在修路，有些不便。', '短评打分': 5}
{'短评内容': '地理位置来讲，吃饭不大方便，附近吃饭的地方很少，只有少量的小馆子。\n酒店设施还算不错。', '短评打分': 5}
{'短评内容': '性价比非常高，但是房间有点冷，南方的酒店都这样，这点就不如经济型连锁酒店了。', '短评打分': 5}
{'短评内容': '房间很大，住得舒服。卫生间设施很新，也干净。\n但是，空调不热。没有大宾馆的温暖感。\n早餐很差劲的。', '短评打分': 1}
{'短评内容': '酒店大堂比较小气，房间还行，就是停车不方便。我住的那天还有大批游客到，太吵了！', '短评打分': 5}
{'短评内容': '如果晚上我在汉阳的话，这个是我的选择，很不错。虽然每次都有早餐卷，但一次都没吃过，不晓得，以后有机会试试看。呵呵！', '短评打分': 5}
{'短评内容': '性價比不錯的一家酒店.就差早餐沒咖啡喝!', '短评打分': 5}
{'短评内容': '房間設備新也乾淨,晚上酒店旁的大排檔多,早餐種類少,應該要增加.', '短评打分': 5}
{'短评内容': '總體感覺不錯,但是早上退房時,前台服務人員少,退房人一多,就等很久才完成退房手續,希望能改善。\n', '短评打分': 5}
{'短评内容': '房間設備新也乾淨,晚上酒店旁的大排檔多,可以試試。', '短评打分': 5}
{'短评内容': '酒店附件不太热闹,房间还是可以的。只是附近不太热闹，还要去市区打的去', '短评打分': 5}
{'短评内容': '酒店设施较新，08年建的。个人比较喜欢设施较新的酒店，而且过了两年基本上装潢的有害气体基本上清楚掉了。能给个85分吧。但是一楼有间卖烟酒皮包衬衣的小商铺的老板为人就不厚道，嘴脸让人恶心，进去本来打算买件衬衣，一看普通的华伦天奴标价400多就不打算买了，在很多城市的小商场这件衬衣标价最多也就是200左右，因为过了气的品牌大商场不再卖了，只有小商场卖。结果这老板和销售员说话就太不像话了，先吹牛说是大品', '短评打分': 5}
{'短评内容': '公司分厂在这个位置，以前没有住过 这次感觉无意入住。发现很多小吃的地方，超赞。酒店设施也比较新，总体来说还是可以。酒店早餐很早就会停掉，所以要入住的朋友最好是八点左右去吃早餐。', '短评打分': 5}
{'短评内容': '一间不错的酒店，最喜欢晚上在酒店旁边开出来的食店，大排档。只要你不怕在路边吃，味道一流价钱实惠。', '短评打分': 5}
{'短评内容': '非常差, 房间有异味,床上有许多毛,头发.\r\n太脏了,服务态度差,非常差', '短评打分': 1}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '除了位置有点点偏，其它的都很不错。尤其是客房服务部门。很认真负责。\n不过前台服务人员需要注意情绪控制，不要把自己不开心的事情带到工作中', '短评打分': 5}
{'短评内容': '还不错 交通方便 酒店设施也不错 大厅的吊灯很气派很好 价格也还适中', '短评打分': 5}
{'短评内容': '酒店总的还不错，房间装修都很新，一般房价就是300多，主要是离武汉经济开发区比较近，服务员也还不错，总的来说85分。2楼的餐厅中餐很不错，就是早餐简单了点！', '短评打分': 5}
{'短评内容': '酒店位置交通和方便,去汉口和武昌坐出租车都不超过20分钟,电梯里面没有空调,夏天很闷', '短评打分': 5}
{'短评内容': '酒店设施很新,就是电梯太慢,空调很好,2楼的菜做的不错', '短评打分': 5}
{'短评内容': ' \u3000\u3000单人房的房间够大，干净卫生。但早餐品种太少，且餐厅内苍蝇乱舞，告诉服务员并未见处理。', '短评打分': 3}
{'短评内容': '房间大，就是价格高了点。', '短评打分': 1}
{'短评内容': '值得推荐，下次再出差继续入住。', '短评打分': 3}
{'短评内容': 'Good', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间好', '短评打分': 3}
{'短评内容': '衣柜有点高，窗户有点小，但整体性价比不错。', '短评打分': 5}
{'短评内容': '价格合理', '短评打分': 5}
{'短评内容': '目前为止最不满意的酒店，房间空调完全没有效果，房间设施也很一般，早餐很差，什么都没有，以后肯定不会再选择。', '短评打分': 1}
{'短评内容': '一般吧   普普通通 没有什么特点', '短评打分': 5}
{'短评内容': '房间蛮大的，也很舒服', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '武汉人早餐很丰富，外面各种小吃多得一塌糊涂，许多客人都到外面去感受武汉。所以住过几个武汉的酒店，早餐的品种相对其它地方的酒店来说都比较简单一些，格瑞斯也是这样，但好歹还不算太差', '短评打分': 3}
{'短评内容': '交通很方便的酒店\r\n设施也还不错', '短评打分': 5}
{'短评内容': '空调只能调到20度，基本的一次性剃须刀都没有，需要的话收费10元，早餐也很差，肉包都是凉的', '短评打分': 1}
{'短评内容': '酒店较新，性价比较高。', '短评打分': 3}
{'短评内容': '酒店很新，性价比不错。', '短评打分': 5}
{'短评内容': '入住格瑞斯酒店非常失望，不到三星级标准，面积小，装修格差，水压低，几乎没办法洗澡！！毛巾呈黑色，再也不会入住该酒店。', '短评打分': 1}
{'短评内容': '性价比还不错，以后还可以入住这里。', '短评打分': 3}
{'短评内容': '性价比还不错，服务可以再加强点', '短评打分': 5}
{'短评内容': '位置不好', '短评打分': 5}
{'短评内容': '酒店大堂小了点，房间面积很大，设施也很新，早餐不错，不超过350元的价格入住不错啦！', '短评打分': 5}
{'短评内容': '感觉比较新，但是早餐不是很丰盛！', '短评打分': 5}
{'短评内容': '酒店非常新，客房面积也很大，硬件环境很好，空调开的太大很干燥，总体来说这个价位在汉阳是一个不错的酒店啦，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '该酒店地点比较偏，比较不方便，还有空调不足，没有热风，只能盖厚被，总之不太满意。下次不住。', '短评打分': 1}
