{'descr': '          很好      ', 'star': 5}
{'descr': '交通不太便利，但是房间条件还可以。浴室不是独立的，但还是可以接受滴~', 'star': 3}
{'descr': '酒店环境很好,价格也合理,挺满意的', 'star': 3}
{'descr': '酒店很不错，值得下次再去。环境好，热水很热，屋子里很温馨，住的是豪华大床房。就是价格能再便宜点就好了。', 'star': 5}
{'descr': '地面光滑,拖鞋沾水后容易滑倒.\n地漏返味,一定存在问题.\n床头灯不能调光.\n总服务台闲时人多,忙时人少.\n', 'star': 5}
{'descr': '感觉很好,就是房间小点', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '不错~很舒服~会再去，就是在通州这个价格有点微贵。希望多多搞活动哦', 'star': 5}
{'descr': '条件还可以，干净、安静，房间有点小，价格有点高', 'star': 5}
{'descr': '环境可以，最喜欢喷头，四季房间舒适，喜欢~', 'star': 5}
{'descr': '非常干净，清爽，很安静，就是外面在修路，外部环境不佳', 'star': 5}
{'descr': '酒店房间还是可以的，就是觉得前台人员不是很热情，有些房间还是有味道的，卫生检查也不是很好，还能在卫生间马桶里看到烟头', 'star': 5}
{'descr': '开了没多久的主题酒店，很安静也很干静。。。。。', 'star': 5}
{'descr': '出差到这里，房间还算可以。对的起这个价钱', 'star': 5}
{'descr': '房间不错，房间干净，设施齐全，就是隔音效果差点。', 'star': 5}
{'descr': '房间比较小，设施还可以，卫生也不错，价格有点高，停车场大。', 'star': 5}
{'descr': ' 房间小，其它还行', 'star': 3}
{'descr': '服务态度好，位置离果园地铁大概步行10分钟，客房隔音效果不好，床垫很硬', 'star': 5}
{'descr': '感觉还可以吧，就是窗户太小，总的说来还是不错的', 'star': 5}
{'descr': '房间不隔音，其它都还不错', 'star': 3}
{'descr': '停车方便 就是下水道有反味', 'star': 3}
{'descr': '环境很好  干净  舒适  交通还算方便  电视信号不太好', 'star': 5}
{'descr': '服务不错，房间很干净，就是浴室地漏有异味', 'star': 3}
{'descr': '房内装修很有感觉 我住的是春季 完全是绿色的', 'star': 5}
{'descr': '地点较偏僻，房间布置还不错，室内环境很好', 'star': 5}
{'descr': '\n为了草莓音乐节住了这家酒店。\n\n房间很小，阳光倒是不错，但是卫生间和里屋之间是透明的。\n卫生间有一股异味，有点脏。\n\n前台服务非常差劲，居然诬陷我和老公消费两根肠没有付款，理论半天才弄清楚是误会，真是无奈。\n反正我是不会再住了。\n\n不过酒店附近有一些饭店，值得一试。', 'star': 1}
{'descr': '  前台服务人员超级差,环境可以', 'star': 3}
{'descr': '很干净很不错', 'star': 3}
{'descr': '房间很干净，环境也很好，前台服务热情，性价比较高，就是位置有点偏，不过周围小吃很有特色', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '方便,干净,安静,舒适,性价比不错.值得入住:)', 'star': 5}
{'descr': '干净卫生，环境还可以，交通也还算方便，价格合理。来京旅游可以考虑在此住店。', 'star': 5}
{'descr': '价格在通县来看感觉还是有些偏高，位置倒是非常好找，房间住着也没什么问题，倒是我的朋友也是忘记带身份证了后来酒店也是主动带我们去附近的派出所办理证明感觉服务态度还是蛮好的。', 'star': 5}
{'descr': '很好很干净', 'star': 3}
{'descr': '房间打扫还算干净就是面积太小了，设施的话还可以，服务态度还行，价格应该可以再便宜些，位置的话还好就是前面在修路外在环境不是很好。', 'star': 3}
{'descr': '酒店是先付款的  问题在于下水道反味儿很严重  晚上排风扇的噪音很大  最好不要去了', 'star': 1}
{'descr': '环境很好，房间环保，干净整洁，宁静幽密。', 'star': 5}
{'descr': '都比较满意，就是洗澡间不干净，地漏还有痰。希望以后要注意卫生，干净卫生很重要', 'star': 3}
{'descr': '干净，舒适。网速飞快-10M。八通线果园站步行5分钟\n', 'star': 5}
{'descr': '干净，舒适。网速飞快-10M。八通线果园站步行5分钟', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '除了没有餐厅是个遗憾之外，其他都不错。特别是最新电影服务，很棒！', 'star': 5}
{'descr': '除了没有餐厅是个遗憾之外，其他都很不错。特别是最新电影服务，很棒！', 'star': 5}
{'descr': '满意谢谢', 'star': 3}
{'descr': '酒店条件还不错，位置也好挺方便出行办事的，而且性价比高.', 'star': 5}
{'descr': '房间太小了简直和照片上的一点都不符合，设施也不好比一般快捷酒店都差远了，反正就是很差。', 'star': 1}
{'descr': '位置有点偏在巷子里不太好找.其它各方面条件都挺不错的，主要还是服务好.', 'star': 5}
{'descr': '还不错，稍微一点点偏，但是挺安静的，周围购物吃饭都很方便，这个价位的酒店里性价比很高了。', 'star': 5}
{'descr': '位置好，就近选择的，比较方便外出办事，室内的硬件设施也很不错，比较新一些，不过就是没有提供早餐.', 'star': 5}
{'descr': '很干净。只是有点偏僻，在郊区。八通线附近。', 'star': 5}
{'descr': '酒店位置不错，周边超市商场，购物很方便，房间布置的简单，硬件设施齐全，舒适度很好，前台服务员很热情周到，住宿条件还是蛮好的', 'star': 5}
{'descr': '环境很好，装修不错，尤其喜欢灯饰。下次我还会去这家酒店。\n缺点就是有时候热水不太好。', 'star': 5}
{'descr': ' 酒店还不错，挺温馨的，不过房间有点小，这个价位还是蛮值的！', 'star': 5}
