{'descr': '价格还可，房间硬件设施应待完善', 'star': 3}
{'descr': '住的是一个大床+一个单人床,房间面积约30平.设备较老,洗浴的喷头开关不好用.卫生还可以.服务员热情,允许我下午2点退房.', 'star': 5}
{'descr': '太大气味了，蚊子比较多，房间灰尘较多，只信了一晚，就退了。', 'star': 1}
{'descr': '陈旧但交通很方便', 'star': 3}
{'descr': '宾馆该装修了，东西太旧了。网上订的房还没有在宾馆前台订的特价房便宜，真是的。。。', 'star': 1}
{'descr': '房间里没有电话，卫生还是可以的。如果能按上电话，会更好', 'star': 5}
{'descr': '总的情况一般吧！卫生搞得不干净，桌子上有灰尘。看上去几天没擦了，希望贵酒店要经常搞好卫生！这样客人住得更舒服些！', 'star': 3}
{'descr': '对于世博区的位置非常好，而且服务态度很好', 'star': 5}
{'descr': '房间旧,卫生间破.服务也很差.朋友上去找个送个东西给我,被酒店问的丢下就走,服务员态度恶劣', 'star': 1}
{'descr': ' VERY NEAR TO THE EXPO ', 'star': 5}
{'descr': '服务态度很好，帮我们换了一间能看到中国馆的房间，还有帮我们免费寄存行李，挺好的。', 'star': 5}
{'descr': '如果不是看世博会，我绝对不会住这家酒店，太烂了！', 'star': 1}
{'descr': '酒店离中国馆是很近，只需步行就可以到达，但该旅馆的空调很是糟糕透顶，冷不说了，那个盖的相当单薄，极容易把客人弄生病，所以我强烈建议后面想要入住的游客在三、四月份里三思而入。', 'star': 1}
{'descr': '世博会期间入住,离中国馆很近.交通很方便', 'star': 5}
{'descr': '像旅馆一样，如果不是离世博近，不会选这里.', 'star': 1}
{'descr': '不错，虽然环境差点，但是离世博很近。。。。。', 'star': 5}
{'descr': '位置很方便，就是卫生条件还有待改善!', 'star': 3}
{'descr': '房间挺大的，但设施比较古老了，地方不怎么好找。', 'star': 1}
{'descr': '很失望，条件太差了，\n地板什么的很脏，\n而且空调吹一了晚上，嘎嘎嘎的响不说，\n根本屋子里没热多少度，\n\n而且打开空调半个小时后才启动\n\n另外，热水器一个人洗完澡另一个人要半个小时之后再去洗才行，不然没热水，\n我的天，以后不能图便宜，贵个几十块钱住稍微过得去的酒店才行．\n\n不过我住的那屋子有个优点，房间挺大的．', 'star': 1}
{'descr': '＋ 离世博很近 环境也不错', 'star': 3}
{'descr': '为了去看世博而去住的，里面环境不好！设施陈旧，卫生条件不好！有点貌似私人旅馆', 'star': 1}
{'descr': '宾馆的位置相当好，步行至中国馆只需10分钟，楼下就是地铁8号线成山站，楼下还有个市场和联华超市，早餐可以在市场吃，羊肉汤才6元钱，特别便宜，味道也好！最重要的是老板服务很好，我们是下半夜的飞机到的，老板就让我们直接住在房间里，没有收押金，我们的房费也是当天才交的，而且老板提前就把房间收拾好了！我们白天要出去玩的时候，老板很热心的为我们指路，感觉到很温馨！强烈推荐！', 'star': 5}
{'descr': '这家宾馆只有招待所性质，条件相当差，但是因为它是离世博园区最近的酒店，所以在世博会期间，我还是订了这里。酒店交通便利，后面马路就是地铁站，值得推荐的是这条马路上有许许多多早点铺，附近大概都是原上钢宿舍区吧，消费非常实惠。', 'star': 1}
{'descr': '我住的豪华套房，卫生不好，硬件也不行。不想说太多不好，可能是我的期望值太高了吧，300多不值', 'star': 1}
{'descr': '好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '和同学在世博期间入住的，感觉还可以，房间很少不过世博园还真是近，可以看到中国馆，网速也还好，楼下有个卖包子的，很好吃，还有一家超市，下楼就是地铁站，交通很方便。', 'star': 5}
{'descr': '酒店教安静，房间也干净。只是早餐视乎简单了些', 'star': 5}
{'descr': '是一个招待所改的宾馆，比较陈旧，价格偏高，唯一的好处是离世博园区很近，应该很多\n人只是冲着这一点来的。', 'star': 1}
{'descr': '是一个招待所改的宾馆，比较陈旧，价格偏高，唯一的好处是离世博园区很近，应该很多\n人是冲着这一点来的。', 'star': 1}
{'descr': 'only worth t stay during shanghai expo as it is close to those zones..room and environment are pretty unclean old and improper maintained..very noisy with single thin glazed window facing the highway ', 'star': 1}
{'descr': '饭店老旧。世博期间半夜回来睡觉还行。离世博步行距离。世博关门了，就算降价也没人住了吧。', 'star': 1}
{'descr': '一般                      ', 'star': 5}
{'descr': '离世博比较近.价格太不合算了 \n.但是服务很好.', 'star': 5}
{'descr': '世博期间会推荐，世博后不会！价格不划算，但总体来说世博期间都这样！', 'star': 5}
{'descr': '离世博比较近，但总体来说不是世博期间应该不会一定住这家店', 'star': 5}
{'descr': '虽然在靠近世博的良好地段，可由于它内部的卫生环境没有很好的打理好，以至于给人的感觉就很差。不过，人家老板和服务员的服务还是非常好的，就因为这点，我还是有可能向我的朋友推荐！但是建议下，最好能把卫生环境，以及设施条件提高下，这样让住进来的客人感到舒适，也会给宾馆带来一些客源！', 'star': 5}
{'descr': '要不是为了世博，不会住这种档次的宾馆！\r\n适合40岁左右出差旅行者，不适合30岁左右的旅行者', 'star': 1}
{'descr': '如果没有世博 价格太不合算了', 'star': 5}
{'descr': '设施比较老，热水器也不太好，性价比低，好处就是离世博园比较近', 'star': 1}
{'descr': '.服务好，入住感觉不错', 'star': 3}
{'descr': '对于我来说，如果不是因为这家个人开的宾馆的位置跟世博会园区的距离很近的话，我是肯定不会选择这家的。卫生条件状况勉强算一般，2个人洗澡，第2个人洗的时候水已经很凉了，虽然现在不是很冷，但是对于我们这些第二天还要去世博会的人来说，前一天晚上能冲个热水澡是非常必要的，但是这家宾馆连这个要求也不能很好的满足。淋浴房里的毛巾架锈的一塌糊涂，上面放的2条浴巾还有不知道是谁的头发搁在上面，怕怕。喝茶的杯子也很不', 'star': 1}
{'descr': '床铺干净的，地毯脏的，看世博方便的', 'star': 5}
{'descr': '看世博，这家店的位置相当不错．过了世博交通也还很便利．', 'star': 5}
{'descr': '窗帘不遮光，挂壁空调声音大，不用闹钟一早就醒，卫生间潮湿点穿上那薄薄的拖鞋感觉像滑冰！都是世博闹的，不然真不知那酒店到了世博后怎么生存？再也买不到200元以上了吧！', 'star': 1}
{'descr': '普通的标准间，在居民楼里。房间比较干净、明亮。旁边就有个地铁站。酒店牌子不够醒目，加上又是居民住房改的，所以不太好找。如果不是离世博园很近，350一晚有些偏贵。', 'star': 3}
{'descr': '世博期间入住还可以，离的比较近，但条件很一般', 'star': 5}
{'descr': '很中肯的评价,因为宾馆很旧了,感觉有点脏,卫生间很多地方都发霉了,但是服务很好,当我要求退房换酒店的时候他们很爽快的就答应了.', 'star': 1}
{'descr': '如果去看世博，住这家宾馆十分方便，走15分钟可以到6号门。宾馆里还有世博普通优惠票门票和全价票卖！', 'star': 3}
{'descr': '如果去看世博，住这家宾馆十分方便，走15分钟可以到6号门。宾馆里还有世博普通优惠票门票和全价票卖！', 'star': 3}
{'descr': '+在一个高层居民楼里。房间还可以，就是不太好找。楼虽然就在十字路口，可招牌不明显。一不小心就错过了。房间是标准间，有窗户很明亮。', 'star': 5}
{'descr': '+满意服务', 'star': 3}
{'descr': '位置很好，离世博园比较近，可步行即到。老板很热情，服务比较周到', 'star': 3}
{'descr': '看世博，是很好的一个地方。\r\n订的是那个电脑房，感觉是很舒服的。\r\n而且服务员小伙很热心，服务很好。\r\n唯一，就是感觉入店的那个楼门口，感觉很不好。因为是饭店的后门，所以有点脏。味道不好。\r\n', 'star': 5}
{'descr': '+位置不错，不过价格偏高', 'star': 5}
{'descr': '服务挺好，休息的挺好，离世博挺进。', 'star': 5}
{'descr': '位置很好，去世博很方便的，在窗口就可以看到中国馆，即使打车到1号入口也不超过20块钱。楼下就是地铁口，还有超市。服务很好，因为在世博扭伤了，晚上回来很晚了附近也没有药店了，服务员主动把她的喷药借给我们用。建议去世博可以选择这里。', 'star': 5}
{'descr': '服务员很热情.宾馆离世博六号门很近.', 'star': 5}
{'descr': '宾馆服务人员态度不错，屋子虽然有点旧但是还算干净，而且离世博园的六号门确实很近，走路十来分钟吧。就是在城建大厦的六楼有那么点不太好找', 'star': 5}
{'descr': '设施一般,大小床一家住好,出门就是地铁,但除非世博会,通常不会住。', 'star': 1}
{'descr': ' 地方难找些，不过老板都很亲和，经济游世博比较好的选择', 'star': 5}
{'descr': '地铁8号线上，交通很方便，楼下有超市，小吃，离世博轴很近，一站地铁。但其实不是真正意义上的宾馆，就是楼房里的一层，条件普通。', 'star': 5}
{'descr': '离世博园6号入口，也就是中国馆很近，我们一家三口入住的，非常方便，虽然设施老化了些，但是老板人很好，告诉我们去火车站打车如何走，大约多少钱，走哪里最省钱，最好打上面是黄色顶子的车，那是世博会专用车，服务态度会好等等。', 'star': 3}
{'descr': '离世博园6号入口，也就是中国馆很近，我们一家三口入住的，非常方便，虽然设施老化了些，但是老板人很好，告诉我们去火车站打车如何走，大约多少钱，走哪里最省钱，最好打上面是黄色顶子的车，那是世博会专用车，服务态度会好等等', 'star': 5}
{'descr': '从距离世博园尤其6号门的远近来看很不错了，住宿条件一般，也许世博的原因显得偏贵', 'star': 5}
{'descr': '选中这家宾馆，主要是因为离世博园较近。入住后发现，果不其然，到世博六号门的话可以选择步行，到五号门和四号门打的都是起步价，并且宾馆所在大楼就在地铁站口旁边。 \r\n至于宾馆内，房间条件一般吧，不过服务不错。价格稍微高了，但是在交通费上还有睡觉时间上还是找回来一些，个人认为还是划算的。 ', 'star': 5}
{'descr': '宾馆后面有农贸市场，买吃的方便,宾馆服务员态度很好；旁边有地铁出入口，公交站交通便利；距离世博会主入口步行10分钟左右。', 'star': 5}
{'descr': '+地毯较脏，设施确实比较陈旧，房间看不到中国馆，外面有个餐馆大烟囱，营业时烟大不能开窗，声音还较大，服务员态度较好，答应改日可换房。', 'star': 5}
{'descr': '选中这家宾馆，主要是因为离世博园较近。入住后发现，果不其然，到世博六号门的话可以选择步行，到五号门和四号门打的都是起步价，并且宾馆所在大楼就在地铁站口旁边。\r\n至于宾馆内，房间条件一般吧，不过服务不错。我们订的是双人标间，但前台看到我们带着小孩，帮我们开了间三人间，没多收一分钱，这点是相当满意的。\r\n价格稍微高了，但是在交通费上还有睡觉时间上还是找回来一些，个人认为还是划算的。', 'star': 5}
{'descr': '离中国馆不是很近，走路二十分钟左右，没有住到可以看中国馆的房间，宾馆环境一般，性价比不高，对环境要求高的人慎选。', 'star': 5}
{'descr': '离世博6号门很近,前台小伙和姑娘也很热情,周围就是居民小区小吃很多.看世博值得推荐.', 'star': 3}
{'descr': '如果去看世博这里如住非常方便,前台工作人员也很热情,值得推荐.', 'star': 5}
{'descr': ' 硬件很一般，离世博园六号门很近', 'star': 5}
{'descr': '帮经理订的房间，他反应此宾馆卫生条件不好，态度也欠佳，希望有待于改善。世博期间价格也不便宜。', 'star': 1}
{'descr': '硬件设备比较陈旧', 'star': 5}
{'descr': '今天入住,感觉挺好的,三人间挺大,还有个小阳台,服务台的小伙子和姑娘们挺热情的.在阳台上就能看到世博园中国馆,总的感觉是;挺好！', 'star': 5}
{'descr': '为什么不给我10%的返还？请回电：13358060626.', 'star': 1}
{'descr': '离世博很近步行十分钟可到六号门，条件一般', 'star': 5}
{'descr': '+我已入住。', 'star': 5}
{'descr': '位置还行，卫生太他妈差了，有蟑螂...当钟点房还凑合。便宜没好货啊。', 'star': 1}
{'descr': '地点好，就在地铁口那里。服务一般。设施比较旧。', 'star': 5}
{'descr': '很好，很满意，会介绍朋友去入住的．主要是方便．', 'star': 5}
{'descr': '该宾馆距世博园6号门走路只要十分钟就到了，到5、7号门打的起步价就到，离地铁8号线出口也非常近，非常适合自由驴友住宿，美中不足的是装修已经好几年了，设施有些陈旧，房价也不低，不过床单被罩可能是今年才更新的，很干净卫生！我住的那间还可远远地看到中国馆，夜景很美。', 'star': 5}
{'descr': '离世博轴入口很近，与地铁口近在咫尺，硬件一般，卫生一般。很安静。', 'star': 3}
{'descr': '+点评', 'star': 5}
{'descr': '还可以，去世博6号门大概十几分钟，去5、7、8号门打的一个起步价，挺方便', 'star': 5}
{'descr': '若是看世博，这个旅馆是个很不错的选择。交通十分便利，旁边就是地铁站点、公交车站，早点也方便，还有个超市。总之，住这里看世博，性价比较高。', 'star': 5}
{'descr': '房间干净服务不错，离世博园一站地铁，要是房间有电话就好了', 'star': 5}
{'descr': '逛世博宾馆位置绝佳，距6号门几分钟。交通便利，楼下就是地铁口。就是设施、卫生条件等不要期望值那么高了。', 'star': 5}
{'descr': '一般吧，还行的，上海的现在也就这水平，都是SB会弄的', 'star': 5}
{'descr': '该酒店的卫生条件有待改善，应该和世博期间它的价格相对称，给广大消费者交出满意的答卷。我想世博后对它本身会有很大帮助。', 'star': 3}
{'descr': '离8号线100米吧。房间不错。就是价格贵了点。但是上海现在就是这个价。交通很方便就在路口。很好的。推荐如果去上海看世博就去住这里吧。', 'star': 3}
{'descr': '是一家没有礼貌没有资格做服务业的个体旅馆！态度冷漠，像欠他钱似的！设施破旧，下水道不通畅，洗个澡水淹到脚脖子上！还有蚊子！窗帘不遮阳，空调破烂，排风扇的声响赛过拖拉机！枕头薄而且只有一个！毛巾破旧肮脏，地毯破旧肮脏，除了位置离世博园近些外，其它一无是处！应该整顿这样的旅馆！！！！！！！！！', 'star': 1}
{'descr': '离地铁口很近。100米不到，非常方便门口也有超市，不错。就是住的不怎么样。在酒店能看到中国馆，住摩托车过去5块钱。打的就起步价就到了', 'star': 3}
{'descr': '还不错。世博期间，能住到这样的已经不错了，离世博六号口很近。1公里多，房间设施太久了。', 'star': 5}
{'descr': '酒店位置离世博6号门很近，非常方便。酒店老板还是比较热情的，服务态度很好。酒店条件一般，不过是为了世博去的，还是可以的。', 'star': 5}
{'descr': '还不错，虽然很小，服务很热情，而且离中国馆入口很近。看世博的推荐', 'star': 5}
{'descr': '该酒店看世博地理位置非常好。离世博园6号门很近，过三个红绿灯就到了。在楼上可以看到中国馆，很漂亮！上街从8号地铁站去很方便。吃的东西周边很多，价钱也不贵。宾馆的服务很好！有不懂的问她们都很耐心回答。卫生也不错。就是东西旧了点。我已经介绍朋友去那住。看世博值得推荐。', 'star': 5}
{'descr': '这是这次到上海订到的最满意的酒店，干净卫生，服务态度好，而且距离地铁口真的就是200米不到，推开窗就可以看到中国馆，走路到中国馆的入口也不过15到20分钟的样子，非常满意。', 'star': 5}
{'descr': '算是一间招待所而已，设在一幢旧式商业大夏六楼，标双房，设施较差，面积小。楼下是地铁站，离世博6号门约1公里。', 'star': 1}
{'descr': '酒店不怎么样，就是在一个居民楼里面里面东西都很陈旧其他什么服务设施都没有，大堂也没有，价格也是很贵了。', 'star': 1}
{'descr': '整体来说，这个酒店设施卫生都不怎么样，但是好就好在地理位置。看世博真的很方便，冲着这个还是推荐一下。如果你看世博，这个酒店的性价比还算可以的。', 'star': 5}
{'descr': '纯粹去世博还是很好的~~走过去是分钟就是6号门 ，旁边也就8号线的成山站', 'star': 5}
{'descr': '不错 离世博园挺近的~', 'star': 5}
{'descr': '除了地段，真是一无可取。不是世博，谁会花300多住平时100多的小旅馆。', 'star': 1}
{'descr': '看世博会那的确交通方便，周边环境也不错。', 'star': 5}
{'descr': '室内的硬件条件不是很好有些简陋.位置好距离世博园的6.7号门都很近.出行很方便.', 'star': 5}
{'descr': '酒店的环境还可以位置也还行，服务都还可以但是因为世博的原因价格还是有些高不过还能接受。总体感觉酒店还不错吧。', 'star': 5}
{'descr': '酒店的环境一般，床面还过的去但是地毯还是有些脏，价格还是比较适中。酒店整体看起来还是有些差位置倒是挺不错的。', 'star': 5}
{'descr': '比较值得表扬的是，虽然他们打扫卫生的人员在我退房时把我落下的海宝丢了，但管理人员即使给我查找 并赔偿了我的损失 ', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间不是很干净也很小感觉和小旅馆差不多，位置倒是挺好找的，酒店的环境感觉也不怎么样。', 'star': 1}
{'descr': '离世博园很近，服务态度很好，房间很干净。以后去看世博还考虑住这儿。', 'star': 5}
{'descr': '游世博住这宾馆还行，去世博园近，打的士不跳表，前台服务热情，床单干净，只是房间用品旧了些，一次性拖鞋很难用不好穿，空调遥控器有些失灵。', 'star': 3}
{'descr': '只看世博，住这家酒店算可以的，前台的服务蛮好的，只是房间的物品旧了些。', 'star': 5}
{'descr': '刚才那篇点评发错了，呵呵！这间酒店距离世博会真的很近，不过就是酒店给的香皂太小了，呵呵！不过如果是为了看世博住这家酒店还是相当方便的，下楼不到200米就有地铁站，一站地就能到世博会入口，方便得很！而且最后一天退房的时候还让我们寄存了行李，真的很感谢服务员的热情！', 'star': 3}
{'descr': '房间有点小，但是功能很齐全，除了没有电脑以外还算不错了！服务人员也很热心，帮我把行李提到房间门口。最重要的是还会到机场免费接送，只要是凌晨2点之前都会接机。以后再来还会住这家酒店的！如果拖鞋不是一次性的就最好了，更防滑了！', 'star': 5}
{'descr': '酒店服务台的态度很好,特别热情周到,环境很一般,去世博很方便,附近地铁很方便.', 'star': 5}
{'descr': '去世博园五检票口走也就十分钟，进去就是中国馆。', 'star': 5}
{'descr': '房间没有介绍的那么大 很小 很失望', 'star': 1}
{'descr': '就是一个小旅馆，卫生设施都一般，房间跟描述出入还是挺大的，价格也还是偏贵。', 'star': 1}
{'descr': '位置不错挺方便出行的，不过其它各方面硬件和软件服务相对来讲就比较一般了.不过住起来还行.', 'star': 5}
{'descr': '房间连电话都没有，卫生设施很一般环境看起来非常差，位置还可以，价格也和酒店的环境比的话很贵。根本就不像酒店。', 'star': 1}
{'descr': '总体还算满意，距5，6号门很近，交通非常方便， 眺望中国馆夜景不错', 'star': 5}
{'descr': '总体来说，还是不错的，至少对得起这个价格吧，在房间可以直接看到中国馆，但房间有点小，床有点硬', 'star': 5}
{'descr': '酒店很小，服务态度也不怎么样，价格也不值，酒店还不能刷卡，反正酒店不怎么样，价格还很贵。', 'star': 1}
{'descr': '设施比较陈旧，卫生条件也不是很到位，综合水平不是很达标.我不是很喜欢.唯一值得推荐的就是位置好距离世博中国馆比较近.', 'star': 1}
{'descr': '内外都比较脏，但离世博园很近。', 'star': 1}
{'descr': '性价比还不错，卫生，服务都很好，看世博会选择这家酒店很不错，下次在附近出行还会入住的。', 'star': 5}
{'descr': '服务态度不错', 'star': 5}
{'descr': '首先赞一个，ELONG最近挖掘世博酒店资源的效率不错，所以虽然是临时定的，但是还是找到了理想的地理位置。这家酒店离世博园6号门估计走路也就600米。地铁8号线成山路站就几步路，坐一站路就到耀华路站，然后地铁直接到6号门。超市和吃饭也都方便。\r\n\r\n酒店的设施一般，但是服务比较周到。最赞一个，洗的衣服都帮我们拿到平台去晒和收，下雨、晚归没有心理负担。', 'star': 5}
{'descr': '酒店设施一般，规模很小，性价比差', 'star': 1}
{'descr': '住的房间可以看到中国馆。。。很不错，但不能看到世博轴有点可惜。（前面一个房子挡住了）里面有电脑。。。还可以上网。。。。总的来说很不错，值得推荐。', 'star': 5}
