{'短评内容': '离马路很近有点吵！', '短评打分': 3}
{'短评内容': '酒店位置 不错，不过设施很陈旧，服务感觉也不是很跟得上！不像五星级酒店。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店房间非常不错，空间大、设施齐全。酒店内有西餐厅，饭菜味道还不错，只是我们用餐较晚，等的时间较长，早餐也算丰盛，就是加餐位的价格偏高哦；酒店交通便利，离长隆各景点也算近，适合休闲旅游入住。', '短评打分': 5}
{'短评内容': '酒店新,地方大,整潔,出入方便,服務很好!', '短评打分': 5}
{'短评内容': '酒店感觉不错，遗憾的是第二天早上就被楼上的电钻声吵醒了！并且打电话投诉后也没能停！', '短评打分': 3}
{'短评内容': '房间很好，离长隆欢乐世界很近，但是能送两人早餐就更好了', '短评打分': 5}
{'短评内容': '该酒店服务有待提高，今天入住的时候居然房间里都还没收拾好，但房间够大！', '短评打分': 3}
{'短评内容': '酒店不错。性价比高!还次还会选择！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境不错，价格合理，但并没有随时随地有楼巴可以坐。', '短评打分': 5}
{'短评内容': '\n奥园高尔夫酒店服务好服态好，早餐感觉—般。', '短评打分': 3}
{'短评内容': '在酒店住了两晚  感觉非常好  不论是硬件还是软件  印象最深的还是服务  因为我们是自助到长隆去玩的  服务员非常耐烦地告知路线  乘坐了酒店免费提供的到景区小车  最后回来的一天  也是酒店服务员打电话召来的士  总之使此次旅行增色不少  满分', '短评打分': 5}
{'短评内容': '酒店硬件设施较好，但软件需要加强，尤其是前台接待不符合四星标准。', '短评打分': 3}
{'短评内容': '酒店很舒服干净，离景点很近，吃玩都很方便，里面的配套服务很齐，员工服务态度很好，以后还选这家。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '服务很差的，餐厅吃饭，空调都没开，问服务生，那么热，为何不开呢？才去打开，这样的酒店还是中旅管的，太失水准哦，酒店连冷气都开不起，怎能期待服务？餐厅有苍蝇，服务生没培训，一问三不知。连埋单也要客人到处找人', '短评打分': 1}
{'短评内容': '高级酒店。我定了2间标间，房间很大，卫生间也比一般的大很多，服务也好。加上网上订价格便宜，可以用超值来形容。到长隆公交方便，打的也只有10元。下次来长隆一定再来。', '短评打分': 3}
{'短评内容': '酒店房间非常不错，空间大、设施齐全。酒店内也有西餐厅，足不出户也可以满足基本需求，比较适合休闲度假。', '短评打分': 5}
{'短评内容': '距离地铁3号线长隆汉溪站非常近，附近都是旅游公园，入住客人都是游客居多，气氛非常好。酒店为4星级，设施非常完备。只是大堂气味不大好。', '短评打分': 5}
{'短评内容': '环境挺好。', '短评打分': 3}
{'短评内容': '奧園酒店是到長隆玩的一個很不錯的選擇，距離長隆很近，酒店客房比較舒適。整體感覺挺好。', '短评打分': 3}
{'短评内容': '环境不错  服务周到  !!值得推荐   下次来还会再住这里', '短评打分': 5}
{'短评内容': '卫生可以，也安静，就是一个四星酒店房间没配备一个烟花缸', '短评打分': 3}
{'短评内容': '挺好的，离水上乐园、欢乐世界确实很近。', '短评打分': 3}
{'短评内容': '酒店干净，新，就是装修味道较重。', '短评打分': 3}
{'短评内容': '酒店离长隆旅游区很近 很方面 酒店服务很好 下次去的话还定这家酒店\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店是新开的有很大味道，房间还不错，但西餐服务太差，其实酒店的硬件还是很不错，软件就太差，服务员有待提高', '短评打分': 1}
{'短评内容': '非常好的酒店，去长隆住在这很方便，来回有楼巴接送，而且居住环境非常好，舒服····', '短评打分': 5}
{'短评内容': '\n房间相当不错，唯一的毛病，既然有阳台，干嘛要拿螺钉锁住，怕客人过去晾晒衣服么？这点让人觉得挺遗憾。\n\n另外，宣传的什么 游泳池，高尔夫酒店都是浮云，考虑到主要是去长隆玩，这里还是挺方便，公交态度挺差，自驾应该就好多了。', '短评打分': 5}
{'短评内容': '环境不错，离南站近。到长隆也方便。下次来还住这。', '短评打分': 3}
{'短评内容': '酒店地點到長隆都很方便，酒店很新房間設施不錯，一切都很意，不過缺乏香港三腳叉電座，但前台登記員服務要再加學習，價錢可以接受。', '短评打分': 5}
{'短评内容': '酒店离长隆旅游区很近 很方面  酒店服务很好 下次去的话还定这家酒店', '短评打分': 5}
{'短评内容': ' 酒店设施干净卫生，很不错。缺点是周边没有饭店，酒店内的餐厅贵。', '短评打分': 3}
{'短评内容': '早餐菜色很差，門口車位規劃凌亂！', '短评打分': 3}
{'短评内容': ' 环境不错，风景也挺好的…', '短评打分': 3}
{'短评内容': '周遭环境不错 楼下有餐厅 餐厅的商务套餐好吃 现在出热水很快 被单床套都很干净 有个小的冰箱这点很不错 早餐下去晚了没看见什么好吃的就不做评价 离长隆不是非常近 但总体来说性价比高 下次去长隆还会住', '短评打分': 5}
{'短评内容': '这儿环境很不错呀!', '短评打分': 3}
{'短评内容': '很值得推荐的一所酒店，很舒服，下次再去长隆还是会选择奥园！', '短评打分': 5}
{'短评内容': '酒店很不错的，应该是到了四星级标准，去长隆玩也很近，走路只要十分钟左右，到广州市内也方便，有3号线在附近，到火车南站更方便，打的十二元钱。附近有一个餐厅也不错，比网上说的好，极为方便，不过新装饰酒店，有新的装饰味道。', '短评打分': 5}
{'短评内容': '不错的酒店，房间宽敞，干净。唯一差一点的就是网速不够快，需要改进', '短评打分': 3}
{'短评内容': '酒店很不错，只不过少了娱乐设施\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '环境很安静，装修很简洁但材料很到位。唯一不满意的地方是只提供单早，自己购买价格很贵，一米二以下的小朋友收费４０元，成人６８元，但吃的东西却少得可怜，完全不值这个价格。既然要收费，希望能提供与价格相称的食物。建议去长隆玩的朋友入住，确实很方便。', '短评打分': 5}
{'短评内容': '早餐太差, 每間房送一張早餐卷, 另一張要用68元購買, 小孩要34元, 但自助早餐的品種及價值, 食下去每人連10元都不值, 怪不得餐廳沒有人食早餐, 感到被騙了.', '短评打分': 1}
{'短评内容': '房间不错，服务不错，早餐好吃！不过办理入住等待时间较长。', '短评打分': 5}
{'短评内容': '酒店设施很好，卫生间比较大，用品都挺新，服务也不错，总之是个不错的选择。离长隆度假区也不是很远，走路也就十分钟左右，或者在酒店门口坐一块钱的接驳车到汉溪长隆站下，过马路就到了，交通还算便利，价格也适中，是向朋友们推荐的首选。从广州南站有直达的巴士，或者打的也就20元，也很方便的。', '短评打分': 5}
{'短评内容': '硬件设施不错，交通便利，但软件极不完善，员工培训不到位业务不熟，房内细节如水电等有不少小毛病', '短评打分': 1}
{'短评内容': '蚊子多，入住一定关好窗 ，气味比较重，房间还是比较大', '短评打分': 5}
{'短评内容': '我们是自驾去长隆玩的，这家酒店离大马戏很近5分钟以内车程，附近也有超市便利店很方便，但傍边那家专门吃蛇的酒楼就不建议去了，不贵分量多但不好吃。奥园酒店很新，前台服务态度有礼，就是运作上还有点不流畅，但对新酒店来说是可以接受的。 我们住3楼豪华间，不对街而且住客可能相对较少，所以晚上挺安静。房间够大，感觉干净，浴缸旁的帘拉上后可以一边泡浴一边看电视。除了淋浴间去水慢需要改善，其他房间设施绝对符合4星', '短评打分': 5}
{'短评内容': '装修味道很大，空调不能调节湿度，太热', '短评打分': 3}
{'短评内容': '酒店环境不错，放车也方便。', '短评打分': 3}
{'短评内容': 'HOTEL VERY NEW AND LOCATAION TO ZOO VERY NEAR\nBUT BREAKFAST VERY POOR', '短评打分': 5}
{'短评内容': '酒店很新，主要的优点如下：\n1、设备设施很新、完备，装修的规格、房间大小很合适，算是4星级的标准吧，330的价格确实比较超值；\n2、交通还算便利，特别是去长隆景区旅游的话就非常推荐入住这里（除非住得起长隆酒店的另当别论），可以搭景区免费接送车到汉溪长隆地铁站，然后穿过地铁通道到A出口搭乘南国奥园的楼巴，10分钟左右就一班，最晚开到23:30，票价才1元（必须投币，可以在地铁站换币），楼巴的下车点就', '短评打分': 5}
{'短评内容': '是家新酒店', '短评打分': 3}
{'短评内容': '非常满意，又新又干净，服务也亲切周到，完全达到了准五星的标准，物超所值！', '短评打分': 5}
