{'短评内容': '不是三星级的  是在另一栋楼   很一般', '短评打分': 5}
{'短评内容': '这次入住的905房间是我真的没想到最次的一间啊。房间地毯十分的脏，厕所下水很次，空调也不凉，真的让我失望。。。。。。', '短评打分': 1}
{'短评内容': '还可以,新近推出的延时退房政策不错!但13点退房有些早,可否延到14点?', '短评打分': 5}
{'短评内容': '该价位的酒店就值这个价，酒店一般。但可以推荐', '短评打分': 5}
{'短评内容': '特惠间内部陈旧,网速蛮给力的,空调声音太大,但隔音可以!', '短评打分': 1}
{'短评内容': '酒店干净卫生，距离鼓楼很近，交通也方便，推荐住宿', '短评打分': 5}
{'短评内容': '交通方便，环境不错，购物，吃喝，玩乐一条龙！！', '短评打分': 5}
{'短评内容': '服务可以，环境一般。不知道为什么标间成三人间.', '短评打分': 5}
{'短评内容': '挺好的,地理位置方便，吃喝玩乐都挺方便的！', '短评打分': 5}
{'短评内容': '位置不错，条件也还行，吃喝玩乐都挺方便的！', '短评打分': 5}
{'短评内容': '挺好的，免费给升级了，经理很给力，服务员很敬业，不错，', '短评打分': 5}
{'短评内容': '这次住比原来环境没什么改变，服务更加差，卫生也没什么改变，估计以后不会在住了。。。。', '短评打分': 1}
{'短评内容': ' 酒店还算好…居家旅行很适合。干净舒适…', '短评打分': 3}
{'短评内容': '酒店条件一般，有免费纯净水提供倒是很好的', '短评打分': 5}
{'短评内容': '还行吧，，网速特快，，', '短评打分': 3}
{'短评内容': '服务一般,前台接待不够热情,大床房尚可,性价比较高,交通较方便', '短评打分': 3}
{'短评内容': '房间比较干净，就是隔音较差。', '短评打分': 3}
{'短评内容': '卫生条件差，设施老旧！前台爱搭不理', '短评打分': 3}
{'短评内容': '位置好价格适中', '短评打分': 3}
{'短评内容': ' 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 ', '短评打分': 5}
{'短评内容': '价格实惠，环境也还行，我们俩人给安排个三人间，呵呵', '短评打分': 3}
{'短评内容': '酒店的设施有些旧了，服务可以，早餐简单。', '短评打分': 1}
{'短评内容': '南开三马路位置挺好，靠近二纬路地铁口，宾馆较安静，总体来说还不错', '短评打分': 5}
{'短评内容': '有点儿吵，位置还好。', '短评打分': 3}
{'短评内容': ' 总体感觉还不错！', '短评打分': 3}
{'短评内容': '不知为什么标间变三人间了。', '短评打分': 3}
{'短评内容': '环境挺好，安静，服务较好，收费合理，性价比高。', '短评打分': 5}
{'短评内容': '酒店现在实在是太老旧了吗，前台服务真的很次，见客人也没礼貌，走到和楼道地毯都是污迹般般，酒店环境也十分脏乱差，自我认为酒店该好好装修和整改了。。。', '短评打分': 1}
{'短评内容': '房间设置不错，隔音效果很好，非常干净，整体感觉不错，上网网速也行。性价比一般，服务态度也很一般。楼下基本无购物的地方，但楼下有地铁站以及很多公交车，出行还算是挺方便的。', '短评打分': 5}
{'短评内容': '去天津一直就住这家酒店，感觉还行。尤其喜欢逛酒店后面的一条小街道。', '短评打分': 5}
{'短评内容': '房间比较大，干净整洁，位置不错，值得推荐。', '短评打分': 5}
{'短评内容': '环境好，卫生好，交通较方便，卫生间较小，可以推荐。', '短评打分': 5}
{'短评内容': '干净整齐,卫生好,推荐.', '短评打分': 3}
{'短评内容': '酒店按它的环境和条件，无论硬件软件都不好！~我住过最次的所谓3星酒店，在我们这里这最多可以算是个政府招待所。', '短评打分': 1}
{'短评内容': '比180那个房间要好点，以后就用这样的吧', '短评打分': 1}
{'短评内容': '房间倒是便宜就是晚上太冷随身携带的衣物都用上了还是冷，下次还是选择210的那个吧那个还可以', '短评打分': 1}
{'短评内容': '空调不好晚上冷换地方去了', '短评打分': 3}
{'短评内容': '交通方便 服务好 全好交通方便 服务好 全好交通方便 服务好 全好交通方便 服务好 全好交通方便 服务好 全好交通方便 服务好 全好', '短评打分': 5}
{'短评内容': '房间太陈旧了，设备也太老了，虽然是三星级酒店，但还是有差距的。第一个房间卫生间水盆、屋顶漏水，空调吵得不行，调到第二件房间，空调吹冷风，调到第三个房间，空调有点温度，因为已经夜里12点了，多要了床被子，勉强住下了，冷啊。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '服务好交通好房间好服务好交通好房间好服务好交通好房间好', '短评打分': 5}
{'短评内容': '三人间，挺宽敞，入住的时候没有看见服务员，退房的时候服务员在。热水很好。', '短评打分': 5}
{'短评内容': '空调太差，晚上睡觉的时候忽忽的响，吵得根本睡不着，而且没有暖气，关掉空调就得挨冻', '短评打分': 1}
{'短评内容': '地方不错', '短评打分': 3}
{'短评内容': '第三次入住了，这次头一次用宾馆的网线上网，速度不错的啊，对得起三颗星了！', '短评打分': 5}
{'短评内容': '比较方便，便宜，卫生也很干净，房间大，就是有点旧', '短评打分': 5}
{'短评内容': '不错哦，第二次住了,下个星期还要去，应该还住这里了', '短评打分': 5}
{'短评内容': '  现在的环境比以前好了', '短评打分': 3}
{'短评内容': '太老了，真该装修了，设备都老化了，真的不如马路对面的汉庭经济酒店呢。。。。', '短评打分': 1}
{'短评内容': '房间是在后面的北楼，房间大还较干净，设施一应俱全。前台告我们说凌晨1-5点之间停电，所幸睡着了。双鹿的早餐还不错，大厦里边还有锦绣江南饭店，生意很火的。', '短评打分': 5}
{'短评内容': '紧邻马路交通便利，服务员服务舒适，态度热诚，住的房间整洁，周围环境优美', '短评打分': 3}
{'短评内容': '不像三星级标准', '短评打分': 5}
{'短评内容': '感觉还可以，订不到如家、汉庭等酒店可以试试这家，距离市中心也比较近', '短评打分': 5}
{'短评内容': '房间比较大,挺干净,离食品街,鼓楼很近,交通比较方便,性价比较高.', '短评打分': 5}
{'短评内容': ' 服务有待提高', '短评打分': 3}
{'短评内容': '地理位置不错，停车也很方便，就是隔音效果太差，房间设施陈旧。', '短评打分': 5}
{'短评内容': '十卫生差，服务差', '短评打分': 5}
{'短评内容': '定的后楼的快捷酒店房，到了之后告知没有房，升级到商务房。\r\n但是开始给的是3层的没有装修的老房，卫生条件差。\r\n后换到6层商务房，虽然也还是有点小瑕疵，但是对得起这个价格了。', '短评打分': 5}
{'短评内容': '办理入住和退房的服务人员太少了  需要等半天\r\n交通不是很便利\r\n不过 挺干净的  价格不算贵  总体感觉还是不错的', '短评打分': 5}
{'短评内容': '太老了，跟 老头一样的酒店，。保证不会在住了，，，，。', '短评打分': 3}
{'短评内容': '该装修了，该把整个楼装饰下了，有氧酒店难道就是楼道脏脏，墙壁污迹很多，设备陈旧吗，。。。。。。。下次不住了。。。', '短评打分': 3}
{'短评内容': '酒店也不装修，卫生真的不如原来了，设施也都老化了，难道酒店就等待拆迁了吗？下次准备不住那里了，真的不如附近的汉庭呢。。。', '短评打分': 1}
{'短评内容': '位置不错，经济实惠。但室内隔音效果不太好。', '短评打分': 5}
{'短评内容': '双鹿大厦位置很好，有停车场，出入很方便', '短评打分': 5}
{'短评内容': '+感觉住宿条件还不错，设施齐全，位置还好，性价比较高', '短评打分': 5}
{'短评内容': '好。我入住2间房', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '酒店哪都挺好的给朋友丁的服务号态度好交通方便', '短评打分': 5}
{'短评内容': '服务态度很好，房间有点小，环境吵杂，似乎正在装修，但室内卫生较干净。', '短评打分': 3}
{'短评内容': '+这里的大床很舒适,环境安静,服务态度好.房间有点小', '短评打分': 5}
{'短评内容': '房间比较陈旧,  早餐是地道的北方菜, ', '短评打分': 5}
{'短评内容': '交通好价格还行', '短评打分': 5}
{'短评内容': '酒店性价比不错，干净', '短评打分': 5}
{'短评内容': '唉，实话实说真是一般般，吵死了都要，早上六点开始装修，吵到九点，然后停工了，难道不知道6点到9点我们需要睡觉么。本身房间的隔音也不好，外面小声说话都可以听见', '短评打分': 1}
{'短评内容': '服务员态度好，楼下餐厅饭菜味道好，一楼机房噪音太大影响睡眠。', '短评打分': 5}
{'短评内容': '前台服务人员素质一般，其它还行', '短评打分': 3}
{'短评内容': '酒店的地理位置不错，餐饮和出行都很方便。只是设施太旧，看起来脏兮兮的，该装修了。', '短评打分': 1}
{'短评内容': '酒店会安排专车去机场接人，，很方便实惠，，能省不少钱啊', '短评打分': 5}
{'短评内容': '其实还可以~~~有机会的话会入住', '短评打分': 3}
{'短评内容': '酒店会安排专车去机场接人，，很方便实惠，，能省不少钱啊，，免费的', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '\r\n\r\n相对来说很满意\r\n希望以后还有机会去。。~', '短评打分': 5}
{'短评内容': '前台服务人员像从国企出来的，电梯关门也忒快了。。。', '短评打分': 5}
{'短评内容': '三星酒店未免设施过于陈旧了', '短评打分': 1}
{'短评内容': '去天津出差，每次主这家酒店~~主要是因为地方还比较方便，价格也适中', '短评打分': 5}
{'短评内容': '酒店位置还可以,离海光寺地铁和家乐福较近,设施一般,', '短评打分': 5}
{'短评内容': '很一般的酒店，因为住宿的有病的人很多，并且都是化疗的病人，环境卫生很次，房间里面尘土很多，并且有很浓的臭气，等等，下次坚决不住了，，', '短评打分': 3}
{'短评内容': '很一般的酒店，应该马上整体的装修了，要不然会没人去住了，，，', '短评打分': 3}
{'短评内容': '环境现在很次了，房间味道很不好，房间的地毯很脏。等等', '短评打分': 1}
{'短评内容': 'No good', '短评打分': 1}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': 'hjgj', '短评打分': 3}
{'短评内容': 'the clark pissed me off.....no smile at all', '短评打分': 1}
{'短评内容': '位置很好，距食品街和服装街不远。设施偏旧。\r\n性能价格比不错。', '短评打分': 5}
{'短评内容': '卫生很好，很干净，设施有些陈旧，地理位置交通方便，服务热情周到，性价比很好，下次还会入住', '短评打分': 3}
{'短评内容': '酒店的环境还是不错的，设施虽说不是很高档，但也很舒适。第二次入住了。', '短评打分': 3}
{'短评内容': '酒店的地理位置不错，餐饮和出行都很方便。', '短评打分': 5}
{'短评内容': '此次入住没有上次的好，同样是8楼，屋子电视不好用，节目也不多，卫生也不是很干净', '短评打分': 3}
{'短评内容': '八月入住空调不凉快，别的一般，设施老化', '短评打分': 3}
{'短评内容': '没有地理的位置优越，估计没人选择那里。夜里小姐电话，房间潮湿，房间设备的老化等等', '短评打分': 5}
{'短评内容': '房间环境还可以，服务也不错，而且位置比较方便，整体感觉还行 ', '短评打分': 3}
{'短评内容': '设施很旧，离地铁口近，楼下有吃的\r\n住了特价房，210的。觉得不值。', '短评打分': 3}
{'短评内容': '房间的卫生是非常干净的,位置和酒店周围的环境也都不错,就是卫生间的开关有点漏水,修一下就更好了.其它的都很好.', '短评打分': 3}
{'短评内容': '地理位置还不错，饭店设备老旧、厕所漏水。', '短评打分': 1}
{'短评内容': '比较旧的酒店，卫生间反味', '短评打分': 1}
{'短评内容': '位置、服务都还不错，就是蟑螂太多。', '短评打分': 1}
{'短评内容': '住的是180的房,很一般,不过地理位置不错', '短评打分': 5}
{'短评内容': '这个酒店它有双鹿之家标间其实它和双鹿大厦是两回事,希望今后朋友门预定时问清楚.', '短评打分': 3}
{'短评内容': '酒店太老了,设施很陈旧；热水不是很好.感觉不是很舒服,位置和卫生到还不错；', '短评打分': 5}
{'短评内容': '位置很不错，挺方便的，卫生也还可以，早餐还不错，整体感觉还行', '短评打分': 5}
{'短评内容': '酒店总体来说都还不错,就是里面设施太过陈旧了,不过卫生条件还可以,价格也还可以接受,还是可以推荐的.', '短评打分': 5}
{'短评内容': '酒店的地理位置好，房间蛮大的，环境挺好的，价格也不贵', '短评打分': 5}
{'短评内容': '酒店的周边环境还可以的,但是住宿条件很差了,房间有蟑螂,卫生间不干净的,位置还可以的,价格高了', '短评打分': 1}
{'短评内容': '位置很好。房间很大。很舒适。', '短评打分': 5}
{'短评内容': '我在这住过10次了，酒店内部设施是一天比一天次，服务没有原来周到了。', '短评打分': 1}
{'短评内容': '我选择这家酒店主要是住的家庭房感觉挺好的,带孩子出来一张大床一张小床比较方便.其它也还比较不错环境卫生.', '短评打分': 5}
{'短评内容': '后面的房间位置不是很好,比较偏,整体地段都还不错,前面的房间值得推荐,后面的房间位置不是很好,走过去不是很方便,前面的地段都可以打到五分,后面就不怎么值得推荐入住了.', '短评打分': 5}
{'短评内容': '这个酒店还算是可以的，他们的地理位置还不错，算是比较方便的，至于酒店内的环境设施也还算可以，总体来说都挺好的。', '短评打分': 5}
{'短评内容': '酒店卫生比较好,周边交通比较方便,但是前台服务不太热情,问什么都不愿回答不太好.价格不是很贵住起来很舒适', '短评打分': 5}
{'短评内容': '酒店的服务环境都很好，价格也不是很贵，地理位置也不错，就在市中心，交通很方便', '短评打分': 5}
{'短评内容': '酒店的硬件比较差，服务卫生还不错，价格也算是可以。', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错,房间很干净,也挺舒适的,价格也蛮实惠的', '短评打分': 5}
{'短评内容': '早点不好', '短评打分': 5}
{'短评内容': '服务态度不错，房间设施陈旧，出行方便', '短评打分': 5}
{'短评内容': '酒店的离我办事的地方稍微有点远，不过交通还是挺方便的，价格还挺优惠', '短评打分': 5}
{'短评内容': '前台服务很差，早餐不好。门童素质很差，当时我拿着行李进酒店视而不见的感觉，酒店的位置在居民区，也不在繁华商业街，总之整体都不好', '短评打分': 1}
{'短评内容': '房间干净，舒服，而且设施很齐全。', '短评打分': 5}
{'短评内容': '卫生很干净，服务很好，性价比合适，符合自己的要求', '短评打分': 5}
{'短评内容': '各方面都满意，就是通过ELONG订房后，增订了一间房，说是给ELONG反馈并给积分，但结帐后还是没报到ELONG。', '短评打分': 3}
{'短评内容': '整体感觉都很好,客房于净整洁,服务人员热情,前台接待服务不太好,没有主动托运行礼.', '短评打分': 5}
{'短评内容': '商务住宿不错.挺干净的.', '短评打分': 5}
{'短评内容': '晚上有点吵，影响休息！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '事实总与想象有些距离,不过这不重要,期待双鹿酒店的未来会更好!', '短评打分': 3}
