{'短评内容': '都很不错，物有所值！下次来还是选择你！', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '这家酒店还不错，就是房间小了点，但是在厦门这样寸金寸银的地方，这样的价格也就是这样的房间了，其他的卫生什么的都还不错。交通，饮食什么的各方面都很方便。就是隔音效果不好。还算可以推荐的。', '短评打分': 5}
{'短评内容': '我住的是大床房，总体来说是蛮温馨的，有免费长途可以打，但有个缺点就是房间没有桌子哦，要上网都没地方放笔记本哦', '短评打分': 5}
{'短评内容': '酒店房间大小可以,服务及设施还不错,就是感觉比较潮,睡得不舒服', '短评打分': 5}
{'短评内容': '离市区有点远 但是很安静 前台给我选的房间很安静 我很喜欢\r\n', '短评打分': 5}
{'短评内容': '酒店性价比不错，但是离市中心较远。公交车很挤，来回很周折。就住了一晚。。', '短评打分': 1}
{'短评内容': '因为感觉不错 ，就又住了一天', '短评打分': 3}
{'短评内容': '就是很有家的感觉的一家酒店，出差在外有一种归属感。虽然房间不大，但是住着挺舒服！还有就是给我的这间房靠近电梯  隔音效果不好', '短评打分': 5}
{'短评内容': '酒店交通很方便，尤其值得一提酒店工作人员服务态度非常好，很喜欢，另外到走的时候才发现市内电话及长途传达室真都是免费的，真是不错啊，下次去还会选择住。', '短评打分': 3}
{'短评内容': '离机场不远，周围也很热闹KFC和MM啥都有，吃饭公交都很方便，电视还是液晶的还有机顶盒频道很多', '短评打分': 5}
{'短评内容': '家具有古色古香的感觉，周边有肯德基麦当劳和夜市，吃饭很方便，气候原因被子稍微有点潮，浴室很大，总体来说还是很不错的。', '短评打分': 5}
{'短评内容': '虽然距离有点远，但是还是比较方便的，设施不错，入住的第二天还有水果送，洗浴用品比其它酒店要好一些，总体入住的还不错。', '短评打分': 5}
{'短评内容': '这个酒店的服务给人感觉很贴心，端午节每人还发一个粽子。服务员对厦门的介绍也很到位，卫生环境也很整洁、舒适。下次还会选择这里', '短评打分': 5}
{'短评内容': '住过如家，汉庭之类，同价格档这家最优，服务态度好，周边也不吵闹，但是交通便利，周围商家也很多。房间内部的整洁度和设施都比如家、汉庭好很多，前台服务员很有耐心，一直微笑回复我的所有问题。床是榻榻米的，也好软好舒服。性价比很高。', '短评打分': 5}
{'短评内容': '第二次入住这家酒店，满意', '短评打分': 5}
{'短评内容': '一连住了五天，服务真是不错，到底是旅游城市，唯一不足的就是洗澡间没有安放隔帘，洗好澡好到处都是水，希望可以改进，下次去还会考虑的。', '短评打分': 5}
{'短评内容': '地理位置很好离机场很近打车18元，边上就有麦当劳和KFC，离市区也不远；房间挺干净，就是一楼比较潮湿被子感觉黏黏的，前台态度也不错。很适合青年人', '短评打分': 5}
{'短评内容': '这个价格的酒店 OK 下次还会选择 谢谢 希望保持', '短评打分': 5}
{'短评内容': '房间隔音非常差！隔壁说话都能听到，房间不是很大！比深圳的同价格房间小！卫生间比较滑！要是老人住不小心易摔跤！我都差点摔着！', '短评打分': 1}
{'短评内容': '三點多登記入住時房間還在做衛生，晚上十二點多才進去，準備換鞋時到處找不到拖鞋，原來是整理房間的時候沒放，半夜打電話找總臺要拖鞋；浴巾會掉“毛”，建議更換一下；最後靠近馬路邊上的房間很吵（建議最好是住\r\n第三間之後的客房），其它總體感覺還不錯。', '短评打分': 5}
{'短评内容': '个人感觉很不错，这是我第二次住这家酒店，早上如果提供早餐就更好了，毕竟在外吃早餐不卫生．', '短评打分': 5}
{'短评内容': '前台很热心，周围很安静，很舒适的3天。', '短评打分': 5}
{'短评内容': '位置很方便，性价比很高', '短评打分': 5}
{'短评内容': '性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置,交通,环境都不错,唯一缺点就是酒店没有餐厅,吃早餐比较不方便', '短评打分': 3}
{'短评内容': '就是房间小了点，隔音不太好，员工的服务还可以', '短评打分': 3}
{'短评内容': '酒店应该新建不久，设施都很新看上去明亮干净,交通方便且吃饭也方便，适合出差人士,唯一确点,酒店没有配套的餐厅!', '短评打分': 5}
{'短评内容': '精致房太小了，吓了我一跳，不过服务挺不错的', '短评打分': 3}
{'短评内容': '精致房太小了，吓了我一跳，不过服务挺不错的', '短评打分': 5}
{'短评内容': '总体感觉酒店的性价比很好，前台服务员和清洁人员态度都很好，卫生也做的不错。\r\n缺点就是房间隔音效果很差，我住的那几个晚上，对门有个房间半夜在喝酒划拳，吵的我都没睡好，哎&#183;&#183;  希望酒店对噪音这方面能有所改善。', '短评打分': 5}
{'短评内容': '在该酒店电脑大床房住宿两晚.满意!', '短评打分': 3}
{'短评内容': '厦门青年阳光酒店（湖里海天店）是一间非常令人满意的经济型酒店.', '短评打分': 3}
{'短评内容': '在经济型快捷酒店中是很不错的.', '短评打分': 5}
{'短评内容': '前台的男生很热情，服务周到。湖里是工业区，但酒店所处位置很方便。餐饮、公交都很方便。装修得也很温馨。性价比很高。', '短评打分': 3}
{'短评内容': '经济实惠。服务热情周到。楼下的东北酱骨王便宜又好吃。', '短评打分': 5}
{'短评内容': '离机场不远，我们选择他作为一个比较好的中转旅店，附近就有公交车站、KFC、麦当劳，吃早饭比较方便。', '短评打分': 5}
{'短评内容': '原本订的房间有点小了，到了酒店换了209块的房间，酒店好像没开业多久~硬软体设备都不错~斜对面就是厦门最热闹的湖里夜市~', '短评打分': 5}
{'短评内容': '床很舒服很大，但隔音不太好，尤其是一楼，卫生间下水比较慢，服务态度还不错的。但有一点疑问，订的时候及退房的时候都没有告知刷招行信用卡可以有会员优惠，而我们刷的就是招行信用卡，稍稍有点遗憾。', '短评打分': 5}
{'短评内容': '位置不错，打车的话司机一般都认识。\r\n房间很好，还有茶具，很贴心。\r\n可以看到小山，景色不错，就是隔音不是很好。\r\n浴室，房间，床上用品都很赞。\r\n出去饭店多，车业多，出行方便。\r\n门口KFC，麦当劳，银行，很方便。。', '短评打分': 5}
{'短评内容': '位置稍偏了店', '短评打分': 3}
{'短评内容': '酒店位置较偏，但设施很新，比如不断电插座等很人性化；透明玻璃的卫生间设计也很不错。\r\n不满意之处是住的人较杂，早上很吵闹。', '短评打分': 5}
{'短评内容': '位置一般，离火车站很远，离可玩的景点也远；\r\n精致大床房太小了，连桌子都没有；特色大床房还行', '短评打分': 5}
{'短评内容': '总体感觉挺好，精致大床房有点小但温馨，环境不错，服务也不错，早点还能送到房间，比较人性化，就是种类太单调，不太喜欢吃…………', '短评打分': 5}
{'短评内容': '房间布置的不错，各种用品都比较新。服务很好，服务人员态度非常好。床上铺盖比有些潮，应该改进一下。酒店一楼的东北酱骨王的味道也很好。', '短评打分': 5}
