{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '还可以了，不过不要想象的太好，就是一般招待所的标准。不过院子里很安静。还可以在学院食堂吃饭比较经济。\r\n了解一般学院的招待所的样子就知道了。', '短评打分': 5}
{'短评内容': '  环境不错,价格适中', '短评打分': 5}
{'短评内容': '总体而言还是很好的，房间布局比较合理，很安静，院子里的餐厅还算好吃。缺点在于房间有点小，附近的交通不太方便。', '短评打分': 5}
{'短评内容': '还可以，就是有点难找。留下很好的印象！但不会推荐，呵呵，保密。', '短评打分': 1}
{'短评内容': '价位比较适中，性价比比较高.比连锁酒店要好一些.整体水平还行.', '短评打分': 1}
{'短评内容': '各方面服务还不错.硬件条件和卫生条件都非常好.总体感觉还好.', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店环境不错，值得入住，酒店卫生间设施较陈旧', '短评打分': 5}
{'短评内容': '宾馆环境安静，附近商圈成熟，购物吃饭比较方便。\r\n从网上订房性价比高，只是价格有波动。', '短评打分': 3}
{'短评内容': '床稍微有点不太舒服，其他还不错。', '短评打分': 5}
{'短评内容': '宾馆环境安静，附近商圈成熟，购物吃饭比较方便。\r\n从网上订房性价比高，只是价格有波动。', '短评打分': 5}
{'短评内容': '比如家好。', '短评打分': 5}
{'短评内容': '前身好像是国营的培训中心或者招待所；服务很差；\r\n但是，院子里面环境很好。位置也不错。\r\n如果你住在望京地区，这里比7天和汉庭都好', '短评打分': 5}
