{'短评内容': '连续住了一星期，被奖励了两个苹果，受宠若惊。', '短评打分': 5}
{'短评内容': '这两年装修之后房间条件好多了，不过还是不够好，但宾馆里面的环境很赞，超喜欢，下次还会住饿！', '短评打分': 5}
{'短评内容': '酒店还好啊，会推荐给其他认得，呵呵 ，不错不错的啊。。。。。。。', '短评打分': 5}
{'短评内容': '铁山宾馆还是很不错的，环境很好，也很干净！', '短评打分': 5}
{'短评内容': '环境不错，晚上休息质量不错，而且靠近赭山风景区，是个不错的休养之处。', '短评打分': 5}
{'短评内容': '宾馆很脏，房间的墙很黄，灯也很暗，喝的水还是一壶壶送的，而且前台服务态度很差，宾馆位置不错，而且进去大门很凉爽', '短评打分': 5}
{'短评内容': '环境不错，在铁山上，空气很好的~~', '短评打分': 5}
{'短评内容': '位置很好,房间很大,需然酒店不是很新,但酒店在山坡上的感觉还不错!树木很多,空气不错喔,值得入住', '短评打分': 5}
{'短评内容': '在市中心的，出行很方便，刚开始订的是烟岚楼的标间，去看之后设施都很陈旧了，是2星标准的，后来改成住松苑楼标间，房间设施都比较好，就是价格相对要贵一些了，其实之前有住过200多的，在网上没找到，在前台得知那个楼拆了', '短评打分': 3}
{'短评内容': '位置和环境非常好 房间出奇得大 性价比很高', '短评打分': 5}
{'短评内容': '酒店的条件环境还是不错的.不过酒店外面的工地一直在施工；从早吵到晚；', '短评打分': 1}
{'短评内容': '干净舒适；价格也很合理；还是比较符合我的要求的；总体感觉性价比还可以；', '短评打分': 5}
{'短评内容': '酒店的环境很好，特别外部环境，价格很合适，酒店有一定的历史了，也因为这样内部的硬件有点陈旧了，不过位置很方便', '短评打分': 5}
{'短评内容': '设施比较陈旧了，不过是与价格相匹配的，比较便宜，服务都还不错，经常在这里住', '短评打分': 5}
{'短评内容': '宾馆在山上，出入不方便。步行要10分钟下山。设施极破。', '短评打分': 1}
{'短评内容': '环境很好，就是房间设施太差太旧了，和现在一般的招待所差不多。席梦思床垫的弹簧都不行了，窗户也关不上。', '短评打分': 1}
{'短评内容': '酒店的环境包括周边的环境比较号但是酒店的硬件设施很旧.', '短评打分': 5}
{'短评内容': '入住感觉很安静，就是进酒店是很不方便，门前是个高坡', '短评打分': 1}
{'短评内容': '送果盘需要客户催才送,这点不太好.', '短评打分': 5}
{'短评内容': '我是一个铁山人,我认为我们铁山宾馆环境各方面比芜湖任何宾馆酒店都好.就是服务员服务质量要提高.有些幢硬件要改善.', '短评打分': 3}
{'短评内容': '就是招待所，看看人家的****啊！', '短评打分': 1}
{'短评内容': '我把所有的评论都看了看，深有感慨。评价的结果不是令人十分满意，怎么搞的！铁山人要好好总结一下，尤其在软件上还是要多下点功夫才是。', '短评打分': 3}
{'短评内容': '的确浪费了好风景，幽雅的去处却实施陈旧，服务松懈。', '短评打分': 3}
{'短评内容': '设施太陈旧，环境还不错，要是能改善一下就好了。', '短评打分': 3}
{'短评内容': '紫岚楼台床很差，房间感大而空，电视机老而差，感觉像古董房间，真得不值188元。有点被欺骗的感觉，有点伤心。下次不敢住这种房间了。', '短评打分': 3}
{'短评内容': '四星级？一点感觉也没有，不过价钱倒是便宜。居然没有人提醒我交上客房钥匙！出门都叫不到出租车，服务员的态度也有问题，居然没同意就进房间。&lt;br /&gt;\n不过环境还是很好的。观念要改一改，毕竟是四星级的酒店呀。', '短评打分': 3}
{'短评内容': '纠正一下，这家酒店现在是四星了！！但说实话感觉还是一般！大堂就象个招待所，有4星酒店不全是中央空调的吗？不过价格确实便宜，也难怪，一分价格一分货呀，下次可能还会考虑的！', '短评打分': 3}
{'短评内容': '住了一晚，感觉不错，下次有机会还会住的', '短评打分': 3}
{'短评内容': '铁山宾馆很不错!&lt;br /&gt;\n我的爷爷 老师对他有好感!我自己感觉他的环境的确很好,地理位置不错!&lt;br /&gt;\n下次要去享受他的服务!', '短评打分': 3}
{'短评内容': '我没有感觉', '短评打分': 3}
{'短评内容': '环境真的不错，就是紫岚阁的服务员感觉上不怎么样', '短评打分': 3}
