{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店内部，装修有些久了。不过出门就是海滩还是很方便。出门公交站能到大部分地方', '短评打分': 5}
{'短评内容': '订错日期，不能退房！咨询酒店，酒店可以退，但是携程说承包商不给退！', '短评打分': 1}
{'短评内容': '酒店很好，设施高档。老酒店了，生意不错。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '超级划算，性价比很高的酒店，看海效果超级好，就在三亚湾。', '短评打分': 5}
{'短评内容': '一般般，一开始感觉你们很好，但是✈️很不方便，没有想象的好，早点也一般，想玩好还是住市中心最好了', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，比较实惠的', '短评打分': 5}
{'短评内容': '住了好几家，这家不算最好的，但性价比很高', '短评打分': 5}
{'短评内容': '环境不错。下次旅游还可以去', '短评打分': 5}
{'短评内容': '距离机场很近，到天涯海角和西岛也不远，性价比很高的一家酒店。', '短评打分': 5}
{'短评内容': '房间很干净，很舒服，泳池超级爽', '短评打分': 5}
{'短评内容': '酒店环境服务设施都非常好。', '短评打分': 5}
{'短评内容': '酒店环境服务设施都非常好。', '短评打分': 5}
{'短评内容': '酒店服务设施环境都挺好。', '短评打分': 5}
{'短评内容': '强烈推荐的三亚好住处，老牌酒店，屋内设施略老，但房前屋后环境太好了，庭院很有感觉，出了门就是海，门前有观光公交很方便，距机场和高铁站近，早餐也非常好！性价比非常高，去两次三亚都住这里。', '短评打分': 5}
{'短评内容': '环境好，一出门两分钟就到海边了！很干净', '短评打分': 5}
{'短评内容': '飞机声音听的很仔细', '短评打分': 4}
{'短评内容': '给爸妈订的酒店，他们说环境不错，早餐还算丰富！离海边很近，可以去海边走走。周边的饭店不太多，其他的还算可以的。', '短评打分': 4}
{'短评内容': 'Really nice room with a beautiful view!', '短评打分': 5}
{'短评内容': '非常棒，晚上还有驻唱的！', '短评打分': 5}
{'短评内容': '性价比很高，设施比较陈旧，但还行。', '短评打分': 4}
{'短评内容': '卫生一般，周围配套设施较差，环境一般', '短评打分': 3}
{'短评内容': '酒店周边环境特别好，特别适合度假居住。房间设施比较全，自助餐比较丰富，往后走500米就可以吃到海鲜，唯一的不足是不能下海游泳。', '短评打分': 5}
{'短评内容': '酒店周边环境特别好，特别适合度假居住，望后面步行500米就有海鲜吃。早餐也比较丰富，就是不能下海游泳。', '短评打分': 5}
{'短评内容': '酒店的度假package性价比很高。很不错，住得很满意。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境服务可以肯定，房间和楼道中总有股霉味，静雅中餐品种少，尤其是沙滩烧烤已经不如早几年搞的好了，98元价格真是不敢恭维，不如以前的花样品种齐全，现在居然搞了一个小火锅，一个人送两小盘肉，质量就不说了，假如能持续以前的烧烤风格，我依旧喜欢。', '短评打分': 5}
{'短评内容': '酒店外观简单，室内设施可以，游泳池不错，价格比较适中，就是早餐自费价格很贵，要大于100元，不值得！', '短评打分': 5}
{'短评内容': '环境和服务都很好忘记了电脑服务员主动和我联系了十分感谢', '短评打分': 3}
{'短评内容': '位置比较方便,离机场还算近!泳池也还可以,沙滩要穿过一条马路!总体来说虽算不上豪华,但性价比还可以!', '短评打分': 5}
{'短评内容': '已经成功入住，网上定房很方便，只是这个季节三亚的游人太多', '短评打分': 3}
{'短评内容': '酒店很不错，房间很大，很喜欢他的卫生间，很适合宝宝洗澡；而且离海滩很近，但需要过马路，不过三亚湾很多酒店的沙滩和客房之间都有马路。\n儿童设施少了些，还有就是早餐略显单调。\n', '短评打分': 5}
{'短评内容': '酒店整体还不错就是房卡取电有点麻烦,不能随便一插就通电', '短评打分': 3}
{'短评内容': '无敌海景,品茶观海正当时!', '短评打分': 3}
{'短评内容': '酒店的设施和服务都不错，有机会还会去，交通也挺方便', '短评打分': 5}
{'短评内容': '干净舒适，热情周到。', '短评打分': 3}
{'短评内容': '酒店虽然有点旧，但环境优雅，感觉不错！', '短评打分': 3}
{'短评内容': '位置绝佳，到机场很方便，性价比高，服务很好', '短评打分': 5}
{'短评内容': '位置很方便贵，总体看还不错早餐挺好，其他消费有点鬼', '短评打分': 5}
{'短评内容': '酒店环境很不错，所有女性服务员都很敬业，服务到位。两位男性服务员很死板，大厅门童说一说动一动，一点也不主动。房间设施总体来说还行，唯一要指出的是现在五星级酒店里竟然还有29寸的直角平面电视，应该更新啦。早餐不错，品种很实惠。酒店内自己的餐厅也是价廉物美，用餐环境也很好。值得推荐。', '短评打分': 5}
{'短评内容': '还不错，酒店很美，特别是从房间看海景。只是除了泳池和沙滩，好像没什么玩的了。', '短评打分': 5}
{'短评内容': '帮同事定的！她说一切都很好！最开心的是，她在那里学会了游泳！呵呵', '短评打分': 5}
{'短评内容': '性价比很高，位置也很好，海边人很少。很适合度假', '短评打分': 5}
{'短评内容': '酒店地理位置很好,性价比很好,早餐丰富一点就好了', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': '推荐的原因：\n1、在三亚价格算是属于便宜的（小的酒店除外），我选择的是180度海景房。\n2、酒店附近人比较少，我喜欢清静。\n3、风景还算比较好，有可能是选择海景房间的原因，但是我看了其他酒店的条件估计风景会更好。\n4、交通算比较方便，到三亚第一市场打车要30元左右，到机场也就26左右\n不推荐的原因：\n1、酒店房间硬件条件较差，算不上5星，以重庆标准最多也就能算上3星。\n。\n2、早餐不行，至少比亚龙', '短评打分': 5}
{'短评内容': '位置价格都说得过去，但大堂太小，象公寓酒店。', '短评打分': 1}
{'短评内容': '稍显旧了点 没有惊喜 评价是还能接受', '短评打分': 3}
{'短评内容': '是个性价比较高的选择', '短评打分': 3}
{'短评内容': '硬件和服务都不错，虽然不如上千元的一线5星级，但当作4星半还是绝对可以的，豪华海景房600-800的价位很划算。临走那天前台的男士还专门调了一辆车送我们到市区，非常热情！', '短评打分': 5}
{'短评内容': '房间很干净!入住的海景房，风景很美，服务也非常好!', '短评打分': 3}
{'短评内容': '1.位置不错：在三亚海湾边，不像亚龙湾人那么多，而且这边的沙滩也不错，喜欢安静的可以选择。\n2.酒店设施比较齐全：一楼大厅有儿童区，适合带宝宝的家庭出游。\n3. 另：我选的180度海景房，在3楼，几乎看不到海，推荐订4楼以上的，可能视野好些。', '短评打分': 5}
{'短评内容': '180度的海景房阳台非常大！性价比很好！服务态度也好！下次还会选择！', '短评打分': 5}
{'短评内容': '酒店地理位置不好，过于冷清，不好打车', '短评打分': 3}
{'短评内容': '早餐不错，沙滩的BBQ不怎么样。山景房可以看到飞机起飞，太吵了，还好关了阳台门隔音效果不错。', '短评打分': 5}
{'短评内容': '离机场很近，能看到飞机起飞降落。确实很吵，不过关了阳台的门以后还好。早餐还好。', '短评打分': 5}
{'短评内容': 'very good very good very good', '短评打分': 5}
{'短评内容': '地理位置优越，很干净，服务也非常好～～家里人一起住的时候非常的高兴～档次很高，就是价格高，有点儿负担～', '短评打分': 5}
{'短评内容': '优缺点同样明显，先说说优点吧：\n优点\n1、房间设施还行，基本介于标准的5星与4星之间，连锁的品牌酒店感觉服务很到位，也很细心，基本上住酒店该有的东西，包括吹风，手电，保险柜之类都有了。\n2、早餐算是不错的。\n3、泳池挺漂亮，也很大，儿童泳池是我住过的三亚酒店里比较靠前漂亮的，酒店的设计颇具热带风情。\n4、距离海滩挺近，步行可达。\n缺点：\n1、山景房距离机场太近了。吵得根本没法休息，如果不是住海景房', '短评打分': 5}
{'短评内容': '吃饭的选择比较少，打车也不方便，房间设施新，离机场近。', '短评打分': 3}
{'短评内容': '房间不错，就是床有点硬。门很有特色，和墙是一体式的。也够大，沙发也蛮舒服，就是竟然没有杯子和烧开水的。表示遗憾下。\n\n广州东站地铁站F出口出来左拐2分钟不到就是旅馆，非常方便。 早餐也很不错。以后去广州的话还会住的。', '短评打分': 5}
{'短评内容': ' 性价比很高的酒店，环境好，海景好，房间很新。', '短评打分': 3}
{'短评内容': '环境很好，服务也很不错，最喜欢戴斯的床，软软的好舒服', '短评打分': 5}
{'短评内容': '酒店的位置其实很好,去西岛和天涯海角及南山都很近,又远离交通的烦杂,海滩人也不多是度假的好地方.但早餐真不敢恭维,面包的口味很奇怪,果酱和饮料都像是掺过水似的,3楼的180度海景房应该改为椰景房,能看到的海最多也就是15度左右吧,当然不在乎的话,到也自在.附近小区有餐厅和超市,还有酒吧.酒店的落日吧只能吃自助餐,却不能去喝一杯,一点都不像是美国人开的酒店.', '短评打分': 5}
{'短评内容': '服务和管理还有设施都很好的酒店，虽然交通有点不方便，还是值得的', '短评打分': 5}
{'短评内容': '性价比很高，值得一住，今后还会住这个酒店', '短评打分': 5}
{'短评内容': '沒想像中的好,整體來說是還可以,不過不會想要再去住.', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '酒店很干净，俄罗斯客人较多，沙滩烧烤歌手很敬业，唱的认真，只是全是英文歌曲，中国游客不太熟悉，希望以后加点中文歌曲，毕竟是在中国吗', '短评打分': 5}
{'短评内容': '适合带小孩的家庭，可以吃在酒店，不用到处乱跑。就是沙子和亚龙湾的有差距', '短评打分': 5}
{'短评内容': '不错，吃的东西很多，适合带小孩子的。接机的态度不错', '短评打分': 3}
{'短评内容': ' 设施还可以，服务一般。', '短评打分': 5}
{'短评内容': '宝贝计划送的餐不错，酒店游泳池不错，很多老外', '短评打分': 5}
{'短评内容': '住店客人很多,早上自助餐还比较丰富,服务员较有礼貌.宝贝计划套餐应该说性价比较高.', '短评打分': 5}
{'短评内容': ' 很好！', '短评打分': 5}
{'短评内容': '房间还不错，位置还行。性价比来说还是蛮不错本身就是五星级的酒店设施服务各方面做的都还是比较不错。', '短评打分': 5}
{'短评内容': '超值的酒店，真后悔没多订几天，泳池的水很干净，服务态度很好。', '短评打分': 5}
{'短评内容': '住的园景大床房,设施不错,只是房间内看到的景色很一般,基本没有(楼层\r\n低,阳台外是一摊水,什么也看不到),但参加的宝贝计划套餐,很超值,有吃有玩小孩还有礼物,哈哈,关键价格不高,性价比超高.绝对比后面我住的亚龙湾酒店高.\r\n特别要提下酒店的服务和海边的BBQ,很有感觉.', '短评打分': 5}
{'短评内容': '  属于度假性价比很高的酒店，和亚龙湾的酒店设计类似，就是占地不大。房间舒适，双床1.35米，带孩子睡很宽敞的，。有三个泳池，不算大，但设计和分布都不错，娃娃池0.5米；另两个1.25米和1.5米。早餐品种虽说没有亚龙湾的多，但是味道都不错，撤盆补菜也很及时。订了宝贝计划，感觉很值。接机是6人座的商务车，送的东西都没有偷工减料，譬如；宝贝礼物是一套沙滩玩具；家庭正餐，从例汤，冷盘，正菜到点心，甜品', '短评打分': 5}
{'短评内容': '酒店卫生和设备都还可以,交通有点不太方便,这次来开会,时间太冲忙,个人感觉来这酒店度假比较合适.', '短评打分': 5}
{'短评内容': '住的挺舒服的，看得出酒店在努力把服务做好。就是电视频道有点少。', '短评打分': 5}
{'短评内容': '   酒店处于三亚湾，环境比较优美。出行至市区有酒店免费班车，比较方便。\r\n   去海鲜一条街也很方便，不用担心被宰（推荐去友谊路）。\r\n   ', '短评打分': 5}
{'短评内容': '老婆很喜欢，希望以后可以找个更宽裕的时间，多住一段时间。前提是，价格再低一些。健身房忘记去体验了。', '短评打分': 3}
{'短评内容': '很休闲，设施很好，沙滩很好，很适宜度假！', '短评打分': 5}
{'短评内容': '酒店很安静，沙滩人少，所以空旷祥和，很美。可惜那几天风大水凉，没有下海。前台的待客态度急须改进。早上返程飞机，用车不方便，只能靠酒店联系，没有其它更好更优惠的选择余地。', '短评打分': 5}
{'短评内容': '本人认为是三亚性价比与舒适度方面应优先选择一家度假酒店，很不错；前台稍显拖延、生硬有改进提高之处，沙滩BBQ与乐队让人在夕阳西下中体验难得的休假氛围，几款景点套餐适合纯粹度假客人，酒店整体竞争力还是较强的。', '短评打分': 5}
{'短评内容': '希望改进早餐', '短评打分': 5}
{'短评内容': '酒店前面就是海滩，很美，这次住的房间就能看到海，每天清晨坐在阳台上静静的看着太阳出来，听着海浪声，整个人都沉浸在一种幸福的感觉中。', '短评打分': 3}
{'短评内容': '还有一个问题：酒店设施被旁边小区居民免费享用，缺乏管理。亲眼看到旁边小区三个孩子和一个大人在泳池畅游了一下午，还有儿童沙区也是相同情况。久而久之下去，你们要成为最受周边居民欢迎的娱乐中心了！', '短评打分': 3}
{'短评内容': '酒店的硬件算中上水平，但是软件有待提高。前台男接待员（戴眼镜）态度生硬，没有微笑，给人第一印象不好。皇朝食府的男服务员不错，女服务员服务很一般。另外最大的问题是上网非常不稳定，一会儿快一会儿慢，一会儿根本上不了，这在同价位的酒店里是最差的！！！\n总体感觉一般，性价比较好。', '短评打分': 5}
{'短评内容': '所谓的园景房根本没有园景，从客户看出去就是个大平台。订的房间也没有安排到一起，而且隔的非常远，服务和为客人的考虑度可见一般。房前完全没有隔音，隔壁的人说话聊天听的一清二楚，不得以凌晨还换了房间。最重要的是入住的第二天小腿上就开始起大包，自己没经验以为是过敏，等回到北京后同事们才告诉我是被跳骚给咬的，整整痒了一个多月，非常痛苦。之前写过一次点评了，不知道是不是因为差评的原因没有发表，希望能实事求是，', '短评打分': 1}
{'短评内容': '除了三亚湾的水不好外，这个酒店是度假的不错选择，下次就该还会选择。', '短评打分': 5}
{'短评内容': '环境不错,房间空间也比较大,卫生条件和人员服务方面也做得挺到位的,比较满意.', '短评打分': 3}
{'短评内容': '房间还不错卫生和设施都挺好的,服务态度也不错,位置还可以,性价比挺好的.', '短评打分': 3}
{'短评内容': '酒店设施，周围环境和服务不错，基本达到要求。但早餐品种略少，不能满足各个年龄层次的需求，建议增加品种，如西点等。', '短评打分': 5}
{'短评内容': '房间很舒适，外面的花园也很不错。沙滩的自助晚餐还行，早餐挺丰盛的。服务有一点乱，联系好的接机没有来，害得我们要自己打车去，不过后来给报销了车费，态度挺好的。', '短评打分': 5}
{'短评内容': '酒店在机场的对面，起降有点噪音比较大，硬件环境不够四五星，房间内有霉味', '短评打分': 3}
{'短评内容': '酒店比较远，服务一般，硬件一般，相当于三星水平，比我想象的要差不少。高尔夫景房面对机场，噪音比较大，房间地毯有股霉味。卫生间面积还可以，清洁度不错', '短评打分': 1}
{'短评内容': '酒店除了位置不是特别理想以外，他的硬件条件和服务都还不错的，而且在亚龙湾景区里面，又是十一期间，这个价格我觉得还是比较实惠的，挺不错。', '短评打分': 3}
{'短评内容': '酒店整体非常不错，但是房间的隔音效果很差。第一天入住的房型能听到隔壁房间的一举一动！', '短评打分': 5}
{'短评内容': '酒店环境设备都不错，性价比不错！\r\n特别是要求延时到下午3点没有问题！', '短评打分': 5}
{'短评内容': '先住了一间,出去回来臭不可闻,说是地漏有问题,换了一间.但前台服务态度相当的冷谈,房间大小与经济型酒店无甚区别.早餐不错.但周围缺乏较好的正餐提供.严重缺乏服务感,适合社会底层和/或无需服务人士入住.', '短评打分': 1}
{'短评内容': '总体评价是十分不错的五星级酒店，为之比预想的要好，十分清静，海滩的人很少，虽然还比不上亚龙湾，但已经和大东海不相上下，可比起大东海的人山人海，这里好得多。虽然离机场太紧，喜欢夜晚安静睡觉的不适合这里，可孩子很喜欢看飞机起落的景象。\r\n服务还不错，顾客的要求基本可以满足。\r\n性价比是最好的。\r\n餐厅价格太贵了。\r\n房间的隔音不太好。\r\n电梯太热了。', '短评打分': 5}
{'短评内容': '总的来说挺不错的酒店！早餐丰富，到10点半才结束，酒店整体非常安静，泳池永远都是三两个人在玩。前台服务员态度一般，倒是康乐部的人挺热情帮忙搬送行李！', '短评打分': 5}
{'短评内容': '很不错的酒店.我住的是豪华海景房(在此住了四个晚上),不管是早中晚只要拉开窗帘或站在凉台上,进入眼帘的海滩泳池及酒店特有的海南风景给人不一样的感觉,泳池干净管理不错.卫生间够大设施齐备干净(浴巾毛巾手巾够一定的厚度),房间布置也比较讲究,床也舒适.酒店不足是商店太小(只占一个脚落)再有中餐做的很一般没有特色.', '短评打分': 5}
{'短评内容': '酒店的服务卫生都挺不错的，价格也比较实惠，位置非常看海景挺不错的。', '短评打分': 5}
{'短评内容': '酒店很赞哦~~，早餐还算比较丰富。酒店的泳池很漂亮，虽然我住的是高尔夫景房，但是听前台服务员说酒店里的所有海景房都是180度看海的，很期待下次入住时能订到那种房间：）对了……顺便与大家分享一下，酒店马路边现在都有公交车和旅游巴士经过咯：）嘿嘿，可以去市区和南山呢^^', '短评打分': 5}
{'短评内容': '符合五星级标准', '短评打分': 5}
