{'短评内容': '非常温馨', '短评打分': 5}
{'短评内容': '从机场过来很方便，机场大巴直接到萧山汽车站，走路几分钟就到了，环境也不错', '短评打分': 5}
{'短评内容': '已入住，酒店不错。', '短评打分': 3}
{'短评内容': '条件还好，卫生状况不好', '短评打分': 3}
{'短评内容': '环境一般,设施陈旧,有点名不附实(三星)', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店环境不错，地理位置也很好，价格算中档吧！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': 'the hotel is nice will go back again\n', '短评打分': 5}
{'短评内容': '装修什么的满老的\n但是感觉还不错\n门口服务员还会指挥停车\n就是早饭很一般\n我们去的晚一点，基本上就没啥吃的了。。。', '短评打分': 5}
{'短评内容': 'good!good!good!good!good!', '短评打分': 5}
{'短评内容': '还可以,但是位置稍偏,卫生一般,早餐可以', '短评打分': 5}
{'短评内容': '地段不好，很郊区，服务很好，泊车小弟满热情的，前台也很热情，房间设施有点旧，有水果送，房费还包括早餐，性价比挺高的，下次去杭州还住这家', '短评打分': 5}
{'短评内容': '+不错的酒店', '短评打分': 5}
{'短评内容': '住了一晚标准套房，被酒店的装修雷到了，房间地毯比过道地毯都差很多，地毯很旧，纯色的地毯上面还有很多很色的油渍，房间整体装修应该是80年代水平，设计很不合理，套房空间挺大，基本都没利用好，有点荒凉的感觉，另外房间隔音效果很差，房间内有异味，酒店很偏僻，晚上外面街上灯都很少，因为担心安全都不敢出门，总之一言难尽，相当失望，所谓的休闲山庄一点都不休闲，不会再去了', '短评打分': 1}
{'短评内容': '环境，空气，很好，服务态度也好，就是该装修了。', '短评打分': 3}
{'短评内容': '这是我第四次入住了。这次非常不错。各方面都让人特别满意！！！非常感谢！没想到1号楼的5楼条件比2号楼的还要好很多！！！下次来还住你们这里面！', '短评打分': 5}
{'短评内容': '红酒开瓶器连总台都没有呢，这个是3星级酒店大的缺点，性价比还 是比较实惠，早餐不怎么丰富', '短评打分': 3}
{'短评内容': '三星级酒店也就这样了，靠老顾客来住住，比不来新的酒店', '短评打分': 5}
{'短评内容': '房间里有电脑，使用还要交30元钱，但是电脑的配置实在是太低了，上网卡死了，简直就是一个摆设。', '短评打分': 3}
{'短评内容': '服务员很热情，只是入住的时候正值炎热的夏季，电梯里没有空调，房间外面的走廊窗户是开着的，还是有点热的感觉，不过进房间后就不一样了。', '短评打分': 5}
{'短评内容': '这次我不得不给你们差评了！没办法。还是那个店，还是那个房间。却：烧水的壶还是不能跳。茶叶还是那种袋装茶叶。同时还让我火冒三丈有：\r\n1：桌子上有油，叫服务员来擦时。一直沉着脸。连我说话也不理。\r\n2：床单上有脚印（或者说黑乎乎的东西），叫服务员来换时。服务员说：“所有的床单都这样子的，你到底换不换？”\r\n我就纳了闷了，我欠你钱没还？还是怎么着了？？最后床单还是没有给我换！\r\n强烈希望酒店相关人员一', '短评打分': 1}
{'短评内容': '前台服务热情，环境很好，安静，空气清新，设施能装修一下就更好了', '短评打分': 5}
{'短评内容': '这是第二次住。上周住过一晚。这次给我的感觉不是很好。4件事情：\r\n1。保安叫了半小时，没给我叫我出租车。跑出去一看。原来保安没了。在什么地方，不知道。最后保安过来解释说今天车子很难叫。\r\n2。寄存的东西，我想拿一下里面的东西出来。因为当时和客户谈点东西。可是等了20分钟。见不到人。东西也拿不到。\r\n3。退房花了我足足半小时。中间还有很多人插队，服务员见我没吱声。先给人家续房费，后给我退房。气我！！', '短评打分': 3}
{'短评内容': '杭州开元阳光休闲山庄（萧山）。还不错，推荐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我是看网上评价才过去的，果然不错，我住的房间很舒服，很安静，性价比比较高，早餐也不错，强烈推荐！不过酒店有待必进的地方有：\r\n1、烧水的壶，不会自动跳，应该换新的或维修一下；\r\n2、绿茶最好不要用这种袋子包装的。我更喜欢喝散装的那种。\r\n', '短评打分': 5}
{'短评内容': '由于路上堵车，我是八点才到的酒店，但他们房间还是给我保留，谢谢了，祝生意兴隆！', '短评打分': 5}
{'短评内容': '酒店走廊霉味太重～', '短评打分': 1}
{'短评内容': '第一次住，环境不错，服务也不错，下次还会入住', '短评打分': 5}
{'短评内容': '还可以啦', '短评打分': 5}
{'短评内容': '房间里比较脏', '短评打分': 1}
{'短评内容': '酒店离萧山的汽车站和闹市挺近，打的方便，早餐也算丰富，房间有点小。如果不是前台服务太差，下次我们应该还会入住的。因为我们是第一次订酒店，有些程序不熟悉。退房的时候我特地问了2次退房需要什么，前台人员说只需要房卡，但是结账的时候却被告知需要登记时给我们的预付收据（办理入住的时候也没提醒要保管好收据），态度还不好。我们加了一晚的床，早上就让撤床，酒店没交接好，结账的时候说我们加了2晚的床。本来我们就赶', '短评打分': 1}
{'短评内容': '价钱算便宜了，但是服务和硬件一般', '短评打分': 3}
{'短评内容': '酒店位置还可以 就是面积小了点', '短评打分': 3}
{'短评内容': '酒店位置还可以，价格也适中，就是房间小了点', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '开的250的房间，里面没面纸，要去厕所去拿那种不好的纸张，红酒开瓶器也没，住的没什么情调，价钱还是比较实惠的', '短评打分': 1}
{'短评内容': '房间的隔音效果不太好,隔壁卫生间放水的声音能清楚听到.', '短评打分': 1}
{'短评内容': '服务不错，也比较干净，下次还会光顾的。', '短评打分': 5}
{'短评内容': '非常不错，服务很好！', '短评打分': 3}
{'短评内容': '比较安静，设施稍微有点陈旧，性欲比不错。', '短评打分': 5}
{'短评内容': '服务非常好，当知道我要赶半夜三点多的火车，特别提醒我可以使用电话叫醒服务，也因为我来不及吃早餐，还送了份小点心来，最后因为退房匆忙忘记拿发票，到了上海打电话过去拜托快递过来，第二天就收到了！\r\n\r\n下次如果需要还会再来~', '短评打分': 5}
{'短评内容': '总体上还是不错的，尤其是服务很好，有什么需要的时候酒店服务人员很积极，位置也还不错，交通很方便。因为离开得比较早，没有吃到那的早餐，不知道怎么样。', '短评打分': 5}
{'短评内容': '性价比较高的酒店', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店的位置不太好找，设施稍微有一点点旧，不过还是挺干净的，服务也还不错，价格我觉得挺合适的，如果我在去那边，可能还是会住这里。', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '唯一美中不足的就是规定了退房时间。必须在12点前退房，让人觉得不是很方便。', '短评打分': 5}
{'短评内容': '除了设施方面陈旧了些,其它方面还是不错的,价格方面整体感觉还是比较合适的.', '短评打分': 3}
{'短评内容': '交通方便，离汽车总站很近，前台服务也很不错。\r\n缺点：房间内没有电吹风，数字电视遥控使用指南没有，使用方法要摸索好一阵子。', '短评打分': 5}
{'短评内容': '酒店服务态度不错， 硬件设施也很舒适、整洁很满意的酒店', '短评打分': 5}
{'短评内容': '餐厅口味好，价格低便宜，服务也很好，不管你消费多少！免费早餐也不错！房间装修太老了，有十几年了。房间面积过小，不过还干净。', '短评打分': 5}
{'短评内容': '感觉酒店还不错，干净卫生，性价比还是挺高的', '短评打分': 5}
{'短评内容': '整体来说性价比还算可以了.', '短评打分': 5}
