{'descr': '还好吧，设施一般', 'star': 4}
{'descr': '房间隔音比较差，太吵了！通风也不好。需要改进一下。', 'star': 1}
{'descr': '窗子小，通风不行，隔音差，其它倒是全国一样的风格', 'star': 1}
{'descr': '＋满意', 'star': 3}
{'descr': '房间隔音效果很差，夜里2点被隔壁夫妻XX的声音弄醒\n\n床单不是一客一换', 'star': 1}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '什么都挺好，就是房间之间的板子太TM的薄了，隔音效果太差，本来出去玩就困，听了一宿！', 'star': 5}
{'descr': '非常不好！！隔音差', 'star': 5}
{'descr': '很好,位置好，乘车方便；服务好，能热情帮助；挺不错的。', 'star': 5}
{'descr': '卫生情况不错，环境算是闹中取静，但是睡觉的时候收到了陌生人打给房间的骚扰电话。有点郁闷。', 'star': 5}
{'descr': '总的来说还行，就是房间小了点，稍微贵了一点。离地铁站步行大约15分钟。', 'star': 5}
{'descr': '  隔音太差了  不过服务还凑合入住退房速度都还可以', 'star': 5}
{'descr': '酒店位置很好，临近中央电视台新址，附近交通很方便，适合出差人士入住。', 'star': 5}
{'descr': '很好 很干净以后有机会还回来这里，很好 很干净以后有机会还回来这里，', 'star': 5}
{'descr': '挺好的，在社区里很安静，房间卫生很干净，价格也不高', 'star': 5}
{'descr': '在小胡同里，比较难找；早餐太差，是在不敢恭维。', 'star': 5}
{'descr': '酒店隔音效果差，房间是半窗，采光不好，位置有点偏。性价比不高', 'star': 1}
{'descr': '住宿很干净,是我一直的选择', 'star': 5}
{'descr': '房间卫生好，服务好，位置难找，房间隔音差，性价比一般。', 'star': 1}
{'descr': '房间挺干净，就是不隔音 。早餐15元/人有点贵。', 'star': 3}
{'descr': '+ 酒店尚可', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '交通方便，在央视大楼后面。到地铁站大概十分钟的路程', 'star': 3}
{'descr': '房间隔音太差，另外以后短信提示应该把路名说清楚，而不是只说朝阳区京广桥店，应该强调“朝阳路”，因为在这附近有好几家如家，找得很辛苦。', 'star': 5}
{'descr': '房间不大，都是内窗，周围环境就是外来人聚集地', 'star': 1}
{'descr': '这家虽然是有窗间，这个窗户和对面的窗户距离最多也就1米远，对面房间有什么声音这边听的很清楚。。。。很讨厌这种酒店', 'star': 1}
{'descr': '地点适中, 就是附近的环境不怎么好,  交通方便, 离地铁很近, 离国贸商业区也很近', 'star': 5}
{'descr': '还是如家的感觉温馨', 'star': 5}
{'descr': '+满意', 'star': 5}
{'descr': '隔音不好，隔壁说话声音听的很清楚。还有就是浴房地漏下水下的很慢，冲完凉出来都可以养鱼了。\r\n因为没有在路边，所以比较安静，但是晚上外边有“嗡嗡”的声音，好像是什么机器声，不过没有太大的影响。\r\n总的来说，卫生条件都还算可以，交通也比较便利，离地铁站步行要10-15分钟。', 'star': 5}
{'descr': '+酒店性价比不错，不足的是有的房间没有窗户。', 'star': 5}
{'descr': '离呼家楼地铁站大概十分钟的路程。要是在国贸的话，可以坐9路公交，三站的距离。', 'star': 5}
{'descr': '地点很好，但服务人员素质有待进一步提高！', 'star': 5}
{'descr': '交通便利，办事方便，经济实惠，标准如一，较卫生。', 'star': 5}
{'descr': '新开的店，一如既往的如家标准，算是比较卫生的。', 'star': 5}
{'descr': '位置不错，就在朝阳路上，店也是刚刚建成，其他设施都过的去。但房间的隔音效果着实太差了，初定的房间隔壁一男一女的好事听的一清二楚，无奈重新换了个房间，但告之所有房间都不隔音。投了那么多钱搞了宾馆，却不舍得再投点钱搞隔音墙，建议不要入住，隔音实在太差。', 'star': 1}
{'descr': ' 環境挺好 鬧中求靜', 'star': 5}
{'descr': '位置还行，房间小了点，隔音太差，似乎没有加隔音板。别的还行。', 'star': 5}
{'descr': '良好\n晶晶', 'star': 5}
{'descr': '干净，有停车场；\r\n广告多，隔音比较差。', 'star': 3}
{'descr': '很干净，有停车位；\r\n广告多了点儿，隔音比较差。', 'star': 5}
{'descr': '卫生和设施条件还不错,不过服务方面略有不足.综合性价比还行. 因为是连锁酒店各方面还算达标吧.', 'star': 5}
{'descr': '位置不错，交通很方便。房间里味道有点重。其他还OK。', 'star': 5}
{'descr': '总的来说中规中矩 地理位置相当的大隐于市 房屋的隔音不是非常的好', 'star': 1}
{'descr': '位置不太好找，吃饭也不是很方便，房间隔音不好，没有挂衣橱', 'star': 3}
{'descr': '性价比可以，隔音一般，', 'star': 3}
{'descr': '离国贸地铁站位置较远，初次去不易找到位置，其它尚可', 'star': 5}
{'descr': '卫生设施都可以基本和别的如家都一样的，不过酒店的位置不是很好找，服务和价格都还行。整体都还不错。', 'star': 5}
{'descr': '整体还可以，交通不如团结湖店方便', 'star': 5}
{'descr': '总体来讲各方面还是不错的，只是设施稍微有点少，比如没有挂衣橱，有些需要挂的衣服不太好打理。', 'star': 5}
{'descr': '宽带不上速度不快.不过位置很好很方便出行.硬件和软件条件也不错.整体水平很好.', 'star': 5}
{'descr': '房間地板有些翹起,房間內的各個照明燈光線都太亮.', 'star': 5}
{'descr': '房间的隔音效果相当的差！快捷酒店，其他还行，北京就是贵。', 'star': 3}
{'descr': '地点还不算特别偏，但是经理的态度让人不能接受！面目表情地和我们交流，让人情何以堪？请问你懂不懂什么叫&ldquo;微笑服务&rdquo;？给我分配的房间在2楼半，要过两个防火门；走廊的小风嗖嗖的，屋里也不暖和；窗户几乎起不到采光的作用。这我都忍了，最可气的是隔音太差了！隔壁的谈话内容可以清楚地听见，晚上我居然被隔壁的呼噜声给吵醒了！', 'star': 2}
