{'descr': '走去车站很方便，设施和想象的差太多，总的来说还可以吧', 'star': 4}
{'descr': '这家汉庭让我很失望的，和上次苏州住过的不好比，酒店位置还可以，但是房间也忒小了，而且进去感觉不好，还有好多好多蚊子，第一晚消灭好多个才敢睡觉，不然就变成喂蚊子了。', 'star': 1}
{'descr': '酒店位置还可以，但是拿到的房间很小，还是暗的。', 'star': 1}
{'descr': '离火车站有点距离，门面太小，对面莫泰168气派，总体可以啦！', 'star': 5}
{'descr': '房间很干净，不过靠近大马路，噪音较大～', 'star': 3}
{'descr': '环境安静，服务热情，交通便利。但是洗手间的设置有些让人看不懂，上厕所的时候感觉很尴尬。', 'star': 5}
{'descr': '还不错  服务态度很好 也很干净 比较实惠的价格', 'star': 5}
{'descr': '性价比和位置都不错，就是早餐时间有点晚，要到7点才开始，不方便。', 'star': 5}
{'descr': '蠻好', 'star': 3}
{'descr': '门面有点小，不是很好找。房间还是不错的，下次还会去。', 'star': 5}
{'descr': '纯粹考虑位置去火车站方便，否则不推荐！卫生状况、环境设施都很一般！', 'star': 5}
{'descr': '房间破，老，差，地点也不好找，价格在南京也不算便宜。下次不住了。第二天我就搬家了\n', 'star': 1}
{'descr': '干净卫生，交通方便，离火车站和汽车站都很近，走路5分钟就能到,地段确实方便,位置好。 \n', 'star': 5}
{'descr': '干净卫生，交通方便，就是小卡片多了点，向好友推荐', 'star': 5}
{'descr': '总的来说还是挺好的,但是被子感觉有点潮.早餐不够丰富.', 'star': 5}
{'descr': '酒店内的电视节目太少，而且电视机也不是很好，用遥控器选台有点毛病。\n卫生间内，房顶有潮湿的痕迹，可能是楼上漏水。', 'star': 5}
{'descr': '离火车站和汽车站都很近，走路5分钟就能到。房间有点偏小，而且走路里面结构复杂。绕半天再找到房间。不过地段确实方便。', 'star': 5}
{'descr': ',房间宽敞整洁，满意', 'star': 3}
{'descr': '位置好，出行方便，如果对房间条件要求不是很高只为出差方便。卡片太多', 'star': 5}
{'descr': '在火车站附近比较方便，酒店里房间很多，不是非常容易找到自己的房间。服务态度很好。房间里有两根网线，方便两个人一起上网。', 'star': 5}
{'descr': '位置好，出行方便，如果对房间条件要求不是很高只为出差方便，不妨选择这里。', 'star': 5}
{'descr': '还好吧…就是会有塞卡片的人', 'star': 3}
{'descr': '挺好的一个酒店,离火车站近，交通方便，房间干净', 'star': 5}
{'descr': '酒店离南京火车站和地铁站很近，位置较好，交通方便，卫生、服务及酒店硬件设施尚可。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '很不错，设施很合理，特别适合商旅。早餐另加15元，也挺实惠的。', 'star': 5}
{'descr': '非常满意！', 'star': 3}
{'descr': '地理位置不错', 'star': 3}
{'descr': '第一次住此酒店，总体感觉良好，酒店临近南京火车站，交通便利，性价比较高。', 'star': 5}
{'descr': '简陋，，太旧了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '在火车站对面的马路上，不是很好找，其余的都不错，值得推荐', 'star': 5}
{'descr': '火车站旁边，交通非常方便。遗憾的是里面的空调很脏，会吹下像烟灰一样的东西，不太干净。如果只住一天还凑合。', 'star': 5}
{'descr': '酒店除了位置距火车站很近、价格较低外，软件硬件都差。', 'star': 1}
{'descr': '还可以，离南京火车站较方便，便于旅客乘车的需要.', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '入住汉庭酒店特价房', 'star': 3}
{'descr': '还不错 房间太小了》。。就是隔音太差了....走廊脚步声....', 'star': 5}
{'descr': '没想象中的好、、、刚进去还一股烟味，没有窗户 空调还不能用', 'star': 1}
{'descr': '离火车站很近，住宿房间干净，也不是很吵。整体条件还好', 'star': 5}
{'descr': '离火车站比较进 还不错啊 就是房间太小了》。。。。。', 'star': 5}
{'descr': '总的来说还不错，就是空调的位置有点不得当，还有隔音效果不怎么好。', 'star': 5}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '整洁，服务很好下次还住这里！值得推荐！离火车站最近的快捷酒店', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '酒店很好找，房间很干净，服务态度不错，离火车站很近。', 'star': 5}
{'descr': '房间和床都很大很好，落地镜的设计很独到。若有梳子提供，再将洗发和沐浴用品分开更好', 'star': 3}
{'descr': '房间还行 但说了是有窗户的！结果到时候 但打开窗户啥也看不见！形同虚设！', 'star': 1}
{'descr': ',隔音效果较差。', 'star': 3}
{'descr': '酒店地点很好，离火车站和汽车站都很近，交通很方便', 'star': 5}
{'descr': '位置优越，环境还行，就是晚上有点吵，性价比高。', 'star': 5}
{'descr': '睡得很舒服，服务很周到!', 'star': 3}
{'descr': '虽然住的是特价房，没窗，但房间很大，床也很大，还不错', 'star': 5}
{'descr': '还行吧 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置和环境还可以。我住的是特价房没窗户进来时有点小异味。总体还可以。', 'star': 5}
{'descr': '环境不错，住的的舒服的', 'star': 3}
{'descr': '交通很方便，下火车站就到，房间还蛮干净的，很汉庭化', 'star': 5}
{'descr': '卫生条件堪忧 设施有些陈旧  临近马路有些吵闹', 'star': 1}
{'descr': '已经住了好多次了，就靠市中心的房间太小了，其他都很好。', 'star': 5}
{'descr': '房间进去时有点味道，洗手间有味道，其它还可以，如果图方便还可以。', 'star': 3}
{'descr': '还不错了，', 'star': 5}
{'descr': '还不错，各方面还比较规范，性价比也可以，只是靠马路，比较吵', 'star': 5}
{'descr': '这家酒店的位置实在是一般，本来我以为在火车站边上，应该很方便，但实际上出行是很麻烦的，到公交站和地铁都要走好远，到各个景点都挺远的。除此以外，服务、卫生各方面也还是不错。', 'star': 5}
{'descr': '特价房没窗还是有点受不了那味道的，其他的不知道。总的还行', 'star': 5}
{'descr': '酒店交通便利', 'star': 5}
{'descr': '服务员服务态度超好，交通方便，下次有机会还会入住。', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', 'star': 1}
{'descr': '卫生不是很好，床上看到一根长头发。被子潮乎乎的。位置对于下火车的人还是比较好的', 'star': 5}
{'descr': '住店时间时间保留到下午3点不方便，应该保留在下午6点左右。不然太不方便。', 'star': 5}
{'descr': '总体来说还算好，离火车站也比较近，去景区比较方便。', 'star': 5}
{'descr': '价格比前台高.还要20个字,凑字数,凑字数.', 'star': 5}
{'descr': '还不错的地理位置 但是房间一进去就有一股怪味。。', 'star': 5}
{'descr': '不错的酒店，就是结账的时候人多要等待，结账还是挺方便的', 'star': 5}
{'descr': '房间较大,卫生间较窄,地板颜色太暗.', 'star': 5}
{'descr': '酒店的服务、卫生、位置什么的都还不错，就是设施有点老', 'star': 1}
{'descr': '位置确实不错，离火车站很近，坐公交车地铁都很方便，就是价格有点偏高，房间面积有点小', 'star': 5}
{'descr': '在此种配置上，特价房的价格也算是有点贵了。服务还成，可是半夜发烧，酒店连体温计和药品都没有预备。', 'star': 5}
{'descr': '离火车站很近，价格也不便宜。住的房间是在楼层的中间，感觉有窗和没窗也没什么两样。性价比感觉不算很高。', 'star': 5}
{'descr': '对于出行者而言位置不错，但性价比不是太高', 'star': 5}
{'descr': '我不知道我订的商务大床房整个酒店都是这样的，反正我那房间真的不好，墙体都在点灰。卧室小，洗澡地方小，房间布局不好。', 'star': 1}
{'descr': '还好，就是有些小贵，不过挺好找的位置不错~', 'star': 3}
{'descr': '不错，交通方便', 'star': 5}
{'descr': '酒店设施都不错，就是隔音效果太差。交通也比较方便。', 'star': 3}
{'descr': '还不错，就是感觉有点小贵！！呵呵', 'star': 5}
{'descr': '很好。。', 'star': 5}
{'descr': '总的来说还可以吧', 'star': 5}
{'descr': '设施不错，房间也挺大，交通比较方便，就是酒店隔音效果不是很好，大堂有WIFI，很方便。', 'star': 5}
{'descr': '位置离景区和火车站都很近，如果是下车就需要休息的朋友，这里很适合。', 'star': 5}
{'descr': '各方面都可以', 'star': 5}
{'descr': '服务很好，服务员的笑容很打动人。交通方便，还不算太吵。', 'star': 5}
{'descr': '位置不错', 'star': 5}
{'descr': '酒店位置好,但设施一般,特别是洗澡时热水突然停掉,让人很尴尬,需改进.', 'star': 5}
{'descr': '值得一去', 'star': 5}
{'descr': '一般，还行', 'star': 5}
{'descr': '各方面不错', 'star': 3}
{'descr': '真的不错', 'star': 5}
{'descr': '房间很干净，住着很舒适，距离火车站很近，很方便，是个不错的选择，下次还会入住，', 'star': 5}
{'descr': '推荐', 'star': 5}
{'descr': '卫生不错，服务也不错，就是噪声大了一些。', 'star': 3}
{'descr': '酒店交通便利,价格适中,清洁做得不错,服务态度也不错,早餐挺丰富.美中不足的是邻近马路,有点吵.', 'star': 5}
{'descr': '不错，不错，离火车站很近，很近', 'star': 3}
{'descr': '前台给的房型还不错，所以性价比不错~', 'star': 5}
{'descr': '离火车站较近的快捷酒店，走路大概10分钟，相比对面的莫泰房间大一些。早餐还行，不靠马路的房间睡觉还比较安静。', 'star': 5}
{'descr': '总体很好，性价比高，无停留服务方便快捷，有的房间空气不好，建议客人退房后进行空气清洁，特别是无窗的房间。', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '就是位置还不错，服务态度一般', 'star': 5}
{'descr': '条件不错，前台MM很好很强大。不过如果房间靠路的话，窗户隔音效果不是很佳，如须安静，请慎重。', 'star': 5}
{'descr': '卫生间太小了，只能放下一个马桶，坐在里面很难受。居然和淋浴房共用一扇门，卫生间关了淋浴房就开着，沐浴房开着卫生间就关了，而且进出非常不方便，要侧身才进得去，稍微胖点的人都进不去。总体来说，一般。价格也不算便宜。', 'star': 1}
{'descr': '高级大床房还是很小。。房间内吹风机没有。。隔音很差。。', 'star': 1}
{'descr': '特价房卫生间面积比例太大。。没这个必要', 'star': 5}
{'descr': '我觉得很一般 又吵 也有点脏 对不起这个价格', 'star': 1}
{'descr': '离火车站很近，但又不乱。很多房间虽然有窗户，但不通风透光（等于没有）。', 'star': 5}
{'descr': '早上6点就到南京，位置在火车站不远处。从火车站到酒店可以经过玄武湖的风光。到酒店没有预定好的特价百元的大床房，自动升级了高级大床房，房间不大，窗户没有用。不过只是短暂停留，还是非常合适的。服务也很好。去总统府、夫子庙等地都有直达的公交车。', 'star': 5}
{'descr': '位置挺好的，离火车站很近。\r\n交通方便，附近有车站地铁，到哪儿都很方便。\r\n但有一点不太满意，住了2天，都没借到吹风机。\r\n现在是冬天，洗好头不吹风容易感冒。\r\n但酒店准备的吹风机也太少了吧？\r\n这点希望能改进。', 'star': 5}
{'descr': '暗房，有点压抑，不过一百元的价钱相对其他酒店还是比较低的', 'star': 1}
{'descr': '门的隔音效果太差。特价房8320太小，卫生间的们都不能完全向外开。', 'star': 5}
{'descr': '适合商旅', 'star': 5}
{'descr': '靠马路很吵，空调制冷差，其他都好。', 'star': 1}
{'descr': '当时安排房间的窗户是打不开的,不过通风还可以,房间里面也挺干净的,位置也比较方便,打扫人员态度也很好.', 'star': 3}
{'descr': '对于外地游玩的朋友来说 选择汉庭是最佳的  不仅地理位置优越 服务也很到位', 'star': 5}
{'descr': '逛街也方便，交通也发达，酒店设施还成。服务很好', 'star': 3}
{'descr': '位置不错，交通比较方便', 'star': 5}
{'descr': '卫生不错很干净，就是房间面积小了些，服务一般，办理入住时还等了会，酒店位置不错很方便，价格也能接受', 'star': 3}
{'descr': '不错，元旦这么紧张的时候还能当天订到酒店。就是貌似比同等的快捷酒店贵了一些', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '感觉不错，挺温心的，\r\n隔音太差，可以听到旁边房间里的声音', 'star': 3}
{'descr': '酒店的位置很不错，就在火车站对面，挺方便的，环境还好', 'star': 3}
{'descr': '经常入住这种经济型的酒店，这个汉庭感觉也还可以，卫生服务都很到位，酒店的地理位置交通也很方便了，很满意的酒店，值得推荐给出差入住商务型的朋友们。', 'star': 3}
{'descr': '房间明显潮湿 墙壁被水浸泡过 涂料起鼓 地板潮湿 有映水 ', 'star': 1}
{'descr': '我很喜欢这家酒店,卫生服务方面都很不错,住着很设施,而且位置也非常好,离火车站很近,出行都很方便,性价比也很高的.', 'star': 3}
{'descr': '我订的是标间，和前台说最好安静点的，服务员说标间都是朝马路的，我住的房间是出了电梯第一间，房间隔音效果不好，大清早被服务员的嚷嚷吓醒，房间的纱窗关不上，由于那天下雨，直接把窗户关上了，没和总台反映此事。总体来说，服务、卫生还行。', 'star': 5}
{'descr': '押金没收足，结果要在第二晚重新交房费', 'star': 5}
{'descr': '酒店就是房间里的洗手间卫生不是很好,其他方面都挺好的,环境也比较舒适,价格也可以接受.', 'star': 3}
{'descr': '住的是周日特价大床房。房间很干净，装修也很新。房间略小。我是女生，自己一个人住，空间够了，块头大一些的男生住可能会比较郁闷，因为卫生间淋浴间都不大。前台服务人员态度也不错。有些设施还是有待改进。比如我住的270的淋浴头出水不够大，但是管子却哗哗的淌水，水量远大于淋浴头的花洒出来的水。淋浴间的地漏下水不够快，会间歇性忽然很快的下水，然后再很慢，这个比较奇怪。然后洗脸池的水龙头一直晃晃的。其他都很好。', 'star': 5}
{'descr': '特价房那个味道 闻着真让人头疼,二手烟混合着一种发霉的味道.', 'star': 5}
{'descr': '新建的酒店，位置好，服务好，干净，还可以提供租电脑服务，超好，就20元，价格超便宜，是我这次出去租电脑最便宜的，也是我所住的酒店最满意的，非常推荐。', 'star': 5}
{'descr': '离火车站比较近，房子有点小', 'star': 1}
{'descr': '离火车站很近比较方便，设施一般，房间里有个台阶不小心会摔倒。', 'star': 5}
{'descr': '房间小了点', 'star': 5}
{'descr': '要能再便宜点就更好了~~可能是新装修了，有一点味道', 'star': 5}
{'descr': '服务和卫生方面还可以,就是房间太小了,空气不太好,通风效果差,自阿财再来不好入住这家酒店了.', 'star': 3}
{'descr': '房间小一些,卫生挺干净.价格还是很便宜的,服务方面还是非常好的,酒店感觉不错.', 'star': 3}
{'descr': '还可以，都一般。', 'star': 5}
