{'短评内容': '位置好，离武侯祠和锦里特别近', '短评打分': 5}
{'短评内容': '锦里客栈除了大堂装修有点特色，其实房间内部的硬件条件一般。房间是一个大楼里的几层楼改的，由于楼下是麻辣风暴，楼道里都是火锅味道。热水器是电的，基本不能支持两个人接着洗澡。相比较同样的经济型酒店，锦江之星的性价比更高啦，起码很干净。', '短评打分': 1}
{'短评内容': '交通很OK  房間也可以 有特色  就是燈光不夠 老感覺暈暗', '短评打分': 5}
{'短评内容': '卫生安全，服务周到，房间很有特色!推荐!', '短评打分': 5}
{'短评内容': '\n就是个           公寓！\n不能算是酒店的\n位置还可以', '短评打分': 1}
{'短评内容': '总的来说物超所值了，处在那个地段。服务态度也好！', '短评打分': 5}
{'短评内容': '酒店干净，网速有点慢，服务态度挺好，就是标准间只能一个人的电脑联上网。', '短评打分': 5}
{'短评内容': '房间干净整洁，装修不错，就是网速太慢了，标准间只能一个人上网。', '短评打分': 5}
{'短评内容': '帮朋友订的，据说地理位置还不错，周围很热闹，房间设施还可以，性价比还算高。', '短评打分': 5}
{'短评内容': '房间非常特色的一家酒店，还算干净，卫生间有点小', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '自己出钱旅游住这里我看还是不错的，在成都这高消费城市、、、、、', '短评打分': 5}
{'短评内容': '地理位置有点偏，给出租司机不太好描述，早饭不错；内部装修一般', '短评打分': 5}
{'短评内容': '+酒店太旧，房间简陋，288元不值', '短评打分': 5}
{'短评内容': '我觉得值不了这么多钱，位子倒是很不错，但是   酒店的环境 和设施  不像照片所描述的那样  被美化过了', '短评打分': 1}
{'短评内容': '很好，完全符合它有文化的主题酒店的名字。地理位置也很优越，下次还来。', '短评打分': 5}
{'短评内容': '很有特色！', '短评打分': 5}
{'短评内容': '卫生间的味道太难闻了，通知客房部之后来了个女孩，用檀香熏了一下，告诉她没有用，她还坚持用空气清新剂狂喷。附近除了火锅没有吃的，位置在居民区。', '短评打分': 5}
{'短评内容': '虽然装饰得很有特色，但是相对于其价格而言，舒适度还远未达到。比如：床睡上去会有异响声;房间灯光也不够明亮，如果晚上想看会儿书都不行；另外，洗手盆和淋浴间的下水道好像都有点堵塞，在淋浴间里洗澡5分钟不到，积水都漫过脚背了！唯一比较满意的是早餐还可以。', '短评打分': 1}
{'短评内容': '不错的房间', '短评打分': 5}
{'短评内容': '这家酒店房间布置还可以，但外部的配套和环境一般。', '短评打分': 5}
{'短评内容': '酒店房间挺漂亮的，设施也不错，就是卫生间太小了。', '短评打分': 5}
{'短评内容': '不错，干净、整洁、礼貌！', '短评打分': 3}
{'短评内容': '不错，离耍都近。', '短评打分': 3}
{'短评内容': '干净、清爽！', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '酒店很干净，服务生也很好，我们要指定的房间号，他们也能满足，不错', '短评打分': 5}
{'短评内容': '地点还不错，服务也比较满意，距离武侯祠和锦里非常近。旁边就是火锅店。', '短评打分': 5}
{'短评内容': '酒店房间温馨，面积很大，有露台，空气很好。干净是最重要的，价格合理，交通在特别热闹的武侯祠，方便逛街购物，很人性化的房间摆设，特别适合情侣夫妻入住。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 3}
{'短评内容': '还是不错的。', '短评打分': 3}
{'短评内容': '还是不错的。', '短评打分': 5}
{'短评内容': '我订的是情侣主题房，不错，满意。', '短评打分': 5}
{'短评内容': '位置很方便对面就是“耍都”，到锦里也很方便.但房间有股潮湿味，卫生间的洗手盆下面居然漏水，最受不了的是太不隔音，过道走路、说话的声音听得清清楚楚，下次不会在入住了.', '短评打分': 1}
{'短评内容': '地理位置很好，卫生也还可以，房间装饰也不错，没有笔和信笺', '短评打分': 5}
{'短评内容': '我是糖酒会期间入住该酒店的。酒店房间内有个小阳台，通风特别好。酒店周围餐饮店很多，吃饭很方便。值得改进的是洗澡是用热水器，容量较小，两个人洗要生省着点用才够。', '短评打分': 5}
{'短评内容': '房间比较满意，有阳台\r\n早餐不是太满意，品种少的可怜，只有粥、油条和包子', '短评打分': 5}
{'短评内容': '地理位置不错，走到锦里、武侯祠只需几分钟，到新南门汽车站打车大概七八块就够了。客寨环境很好，老板娘很热情，前台的美女也态度也不错。下次去还会住那的', '短评打分': 5}
{'短评内容': '热水是一个酒店最基本的设施，但是这个酒店是用了廉价电热水器，洗超过5分钟自动变冷水，在严寒的冬天，实在是不敢恭维！', '短评打分': 1}
{'短评内容': '装修非常糟糕，就是位置还不错。', '短评打分': 1}
{'短评内容': '住了两晚，感觉都不错，价格合理，出行也还比较方便', '短评打分': 3}
{'短评内容': '卫生不错很干净,设施比较完善,地理位置交通方便,服务热情周到,就是房间面积有些小,其他都不错的', '短评打分': 3}
{'短评内容': '地理位置很好,出去玩都很方便,房间的设施也很齐全,但卫生很差,房间里的蟑螂非常多,呆着很难受,下次不好选择这家酒店了.', '短评打分': 3}
{'短评内容': '交通很方便，就在锦里旁边，公路对面就是耍都，吃饭娱乐都很方便。大厅和房间布置很有特色，特别是房间，我们一进房间，女朋友就把我赶出来了，她说她要给房间照相。房间比较大，感觉很温馨，床很舒服。因为我安排的行程只在这里住一天，第二天早上女朋友还埋怨我，为什么不在这里多住几天，所以下次来成都我们还住这里', '短评打分': 5}
{'短评内容': '该酒店进大厅感觉还不是很差，结果从大厅到房间，没哪儿不觉得差劲的，而且该酒店挂牌价就是我们网上订房的价格，这可是我从来没见过的，就是一样迈也该物有所值吧，却全不如人意。', '短评打分': 1}
{'短评内容': '这是我第二次入住，感觉没有第一次入住时舒适。服务、卫生各方面都差了很多：房间光线依旧太暗；楼下又多了几家酒楼，所以，也就有越来越多的小强（蟑螂）来光顾。如果不是因为交通便利，真不愿意再来这里。', '短评打分': 1}
{'短评内容': '房间比较宽敞，设施配备一般，卫生欠佳。也许是因为与餐饮共处一栋建筑物，我订的两个房间都有“小强”。性价比一般。', '短评打分': 5}
{'短评内容': '整体来讲是一家很不错的酒店,位置也很还,交通比较方便,卫生服务也都可以,下次再来的话我还会选择这家酒店.', '短评打分': 3}
{'短评内容': '一家由单身公寓改建的商住酒店，价格便宜。对旅游休闲者而言，位置很好，商住就未必，房间小，入住当天居然不能上网，被告知是外网有问题，还不能解决，要找电信，那就得第二天了，误事。', '短评打分': 5}
{'短评内容': '酒店宣传照片和真实完全不一样！ 要不是下了飞机很累不想动，我真想立刻马上走人!床小得我的脚都放不下，卫生间洗漱用品，卫生一点都不好，下水道堵水渗不下去！这个酒店所有的硬件设施完全违背“主题酒店”这么文化的名字！除了地理位置好周围全是成都特色小吃，酒店服务人员态度还可以，别的简直.......反正第2天早上7点我就走了, 一分钟都不想多待~ 太让我失望了！', '短评打分': 1}
{'短评内容': '地理位置不错，交通便利，紧邻耍都。好吃好玩，建议吃重庆火锅，玩到外滩一号夜场靓妹较多。卫生不错，就是卫生间比较小，洗澡不痛快。房间的隔音不好。总的说性价比不错，关键是房费便宜。', '短评打分': 5}
{'短评内容': '酒店硬件一般，卫生间有点小，特别是冲凉房超小，几乎都不能转身;房门好像不能反锁，没有安全感;客房部的工作人员服务态度很差，我问她房门能否反锁，竟然回答我不知道转身就走;地理位置挺好，离锦里、武侯祠步行只需十分钟。\r\n\r\n', '短评打分': 1}
{'短评内容': '位置比较方便，也比较干净，但房间楼层和一些居民的房间混用，安全性要差些，感觉价格可以再低些。', '短评打分': 5}
{'短评内容': '这个酒店非常有家的感觉，是还不错，但是他一楼的房间布局不是很好，要穿过大堂走一段路才到房间，那个楼梯的位置和灯光感觉有点害怕，而且晚上卫生间会有味道，方便酒店还是哪里的火锅味道很重，有点受不了；但是他们酒店的位置是非常好的，如果只是考虑位置的话，这里很好，去哪都很方便，价格也比较优惠。', '短评打分': 5}
{'短评内容': '酒店硬件豪华程度一般 卫生间有点小 电梯只有1部  但位置较好 价格还可以接受 总体来说 性价比还凑合', '短评打分': 5}
{'短评内容': '酒店的大门出去之后,感觉很有特色,但是走到楼的里面的时候,灯光会比较暗,感觉不是特别安全,不过卫生条件还是不错的,房间里会有蟑螂,可能是天气潮的原因,不过房间里各种书籍啊和被褥的色彩花式搭配感觉很协调,给人一种耳目一新的感觉,挺喜欢的,而且它的位置非常好,离锦里很近,也有很多吃饭的地方面', '短评打分': 5}
{'短评内容': '交通便捷，装修主题鲜明，早餐温馨，服务尚可，房间大，有单独衣帽间，设施齐全，甚至还有“老头乐”！推荐入住带阳台的房间 阳台可以喝茶！爽！', '短评打分': 5}
{'短评内容': '看了网上评论订的，确实性价比非常高。在成都说363医院都知道，位置优越。唯一的遗憾就是楼下的“麻辣空间”厨房出现的麻辣味道，仿佛睡在餐厅里。', '短评打分': 5}
{'短评内容': '不错，不错，就是灯光有点暗！如果能改进就更好了。', '短评打分': 5}
{'短评内容': '酒店位置环境都很好,服务卫生也很不错出行交通也很方便,价格也很合适.', '短评打分': 5}
{'短评内容': '经济型酒店,价格一般,我住的时间(1月10-12日)空调有问题,冻得够呛。的士司机对倒桑树街不熟，你要提彩虹桥边363医院对面既可。早餐尚可。因在医院对面，故打车方便（很重要）。', '短评打分': 5}
{'短评内容': '地理位置优越，服务还需改进。', '短评打分': 5}
{'短评内容': '该酒店交通便捷，附近有武侯祠、锦里、耍都等景点及娱乐场所，酒店的装修有特色，主题鲜明，但是唯一的缺点就是部分房间不能上网，希望能改进！', '短评打分': 5}
{'短评内容': '很不错的酒店 住的位置也很好 回成都 我还是会选择这里', '短评打分': 1}
{'短评内容': '对于成都而言，如果想住的离锦里近一些，这里是个不错的选择。价格不算很便宜吧，不过位置不错，比较方便', '短评打分': 5}
{'短评内容': '设施一般，但环境很好，对面就是耍都－－美食一条街耶，成都各式各样的小吃美食都有，领略成都休闲，体味川菜潮流，去市中心春熙路打的不足10元，离武侯祠很近（著名的锦里街就挨着武侯祠）。我住了两晚，房间的布局很特别，情侣房有个小小的阳台间，令人有回到家的感觉，很不错。假如我还到成都的话，肯定再住这里。', '短评打分': 5}
{'短评内容': '8.22-8.24住在这，感觉挺不错的。房间蛮舒适的，服务挺不错，有免费电脑可以借用，很方便导照片。一楼有茶座，方便朋友会面。就是刚进房间空气比较差，一会通气后就好了。走廊讲话也是能听到，不过还好，挺安静的。感觉被子有些潮，不知道是不是与成都下雨有关？地理位置挺好的，锦里武侯祠耍都就在附近，打车出去也都挺方便的，下次来应该还住这里。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '设施较差，服务一般。', '短评打分': 3}
{'短评内容': '宾馆还是很安静的,可能因为我们的窗户是对着旁边的小区.房间的装潢也是有一定的特点的.复古的灯,独立的衣帽间.不足之处也有1地板是地砖,如果换成地板或者地毯应该会感觉更好.2墙上的画太难看,有点象农家乐.3卫生间光线不足,且有点小.4马桶可以刷得更干净些,也许由于光线不足,所以看起来黄黄的. 不过,总的来说,还是不错的,以后应该还会选择这里.', '短评打分': 3}
{'短评内容': '我于3月10日与11晚入住锦里人家，宾馆设置等等一切正常，但是到了第二天的凌晨三四点钟开始，楼下就一直有公鸡叫，声音超级洪亮。。。。。反馈到前台，给的答复是不知道，还莫名其妙的说没有公鸡叫，接着又自圆其说，别人养的鸡他们管不着。导致我连着两晚基本没睡好觉，第二天都没有办法好好游览成都。重视睡眠的朋友们，千万不要订他们家了。', '短评打分': 3}
{'短评内容': '服务很不错，很有特色，地理位置很方便，性价比高！就是浴室实在是太小了点～', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '位置不是那么现眼,不过周围还是挺多吃的,价格也适中', '短评打分': 5}
{'短评内容': '我在那住了四天的情侣房，优点前面住的人基本都说了，我就说说缺点吧！&lt;br /&gt;\n1：灯光太暗。&lt;br /&gt;\n2：热水太少了，晚点都供应不上来，这点最郁闷了，住四天，三天受到热水的限制。&lt;br /&gt;\n3：早餐基本等于没有。&lt;br /&gt;\n4：我带着手提，但在房间上网经常断线。&lt;br /&gt;\n5：打的说“倒桑树街”基本没人知道，反而说“雷剑”大家', '短评打分': 3}
{'短评内容': '交通比较方便，去绵里或是琴台路，春熙路都很近。在边上有一家“味取名”的火锅店，超好吃，但晚上去了要排队。房间总体还不错，不隔音，比较吵，走廊上有人说话都听的很清楚。房间的灯光太暗，或许是酒店特意安排的。', '短评打分': 3}
{'短评内容': '国庆后,和老公去九寨度蜜月,看了别人发的评论于是选择了该酒店的主题伴侣房.&lt;br /&gt;\n房间的确很不错,卧室很大,还有小阳台和放衣间.装饰很有特色,很喜欢.尤其赞扬的是洗澡的喷头水量特别大,洗起来好爽~&lt;br /&gt;\n他们大厅提供2小时的免费上网和5元的免费市话费,老公用电脑查查邮件也没耽误工作,想的真的很周到.&lt;br /&gt;\n非常推荐情侣们去住,因为他们还提供免费', '短评打分': 3}
{'短评内容': '很有特点的酒店，让人觉得温馨、舒适，十分注重细节，服务也很有效率。推荐！', '短评打分': 3}
{'短评内容': '值得推荐的宾馆！无论是提供的服务，还是他们的经营理念都值得赞扬', '短评打分': 5}
{'短评内容': '住了四天,感觉不错:&lt;br /&gt;\n1.位置:&lt;br /&gt;\n 锦江边,武侯祠周边,很休闲的区域,对街就是耍都,有钟水饺龙抄手之类的小吃,晚上的啤酒烧烤放送到深夜,不同于路边摊,很有情调.离春熙商圈八块TAXI.向前走二十分钟到锦里.BTW,隔壁的麻辣空间很好吃.&lt;br /&gt;\n2.设施:&lt;br /&gt;\n 高度赞赏客栈的很多细节处理:马桶中的玫瑰花瓣,金鱼缸', '短评打分': 3}
{'短评内容': '&lt;b&gt;&lt;font color=&quot;Green&quot;&gt;刚打开房间察看时，总体感觉不错，别致，有特色。晚上睡觉时，却没那么舒服。墙壁不隔音，隔壁的电视响到2点多。床垫太硬。但总体来讲，跟价钱比起来，这家店还凑合吧。&lt;/font&gt;&lt;/b&gt;', '短评打分': 3}
{'短评内容': '不错的酒店.算是经济形酒店中较超值的了.强烈推荐这里的主题伴侣房.下次来成都还住这里.', '短评打分': 3}
{'短评内容': '我是搞销售的。天南地北到处跑，经朋友介绍来到成都，入住锦里人家客栈。当听到这个店名的时候就有种特别的感觉，好多年没有听到客栈这个名字了，入住了一天，客栈独特的装饰风格，大堂墙上还有画家拿手画的工笔画几十副，让我认识了老成都。客栈的每个细节，员工独特的服饰与客栈的风格很匹配。没想到这么低的房价能住上这么有文化的客栈，推荐给大家，可以去感受一下。我想这个老板一定是文化人，甚至是艺术家，可惜呆的时间太短', '短评打分': 3}
{'短评内容': '无意中在网上看到了这家客栈，抱着试一试的心态订了一间房，入住后感觉太好了。卫生间的装饰很特别，还有康乃馨的花瓣放在马桶里，房间里的小鱼缸很有生机，感觉不到孤独。地理位置离武侯祠很近，几分钟就到了。锦里也在旁边，锦里古街的感觉很古老。锦里人家客栈也很古老，感觉玩在锦里，住在锦里人家很有意思。晚上还有夜宵汤圆吃，也很有意思。', '短评打分': 3}
{'短评内容': '“锦里人家，我的家”。当通过朋友来到这家客栈时被门上这几个字所吸引。到了客栈所看到的是家的温暖。房间里有鱼缸养着小鱼，床上有温馨的花环，马桶里还有玫瑰花瓣。大堂墙上挂着老成都的手绘工笔画。我是一个喜欢旅游的人，第一次体验到了在外还能享受家的温暖，只可惜是一个人独自外出。这样的酒店很适合一对小夫妻享受二人世界，很有小资情调。酒店门外是成都的母亲河“锦江”。如果是两个人在河边散散步，那就更有诗意了。自', '短评打分': 3}
{'短评内容': '“锦里人家，我的家”。当通过朋友来到这家客栈时被门上这几个字所吸引。到了客栈所看到的是家的温暖。房间里有鱼缸养着小鱼，床上有温馨的花环，马桶里还有玫瑰花瓣。大堂墙上挂着老成都的手绘工笔画。我是一个喜欢旅游的人，第一次体验到了在外还能享受家的温暖，只可惜是一个人独自外出。这样的酒店很适合一对小夫妻享受二人世界，很有小资情调。酒店门外是成都的母亲河“锦江”。如果是两个人在河边散散步，那就更有诗意了。自', '短评打分': 3}
{'短评内容': '酒店位置较好,出行比较方便.但是该酒店是和三家同类型的快捷酒店同用一栋楼,所以让人觉得总是怪怪的,安全方面也让人不由的有些担心.而且168的房价确实不低,我们去的当时就在同一栋楼的鑫满楼和自由时两个酒店的价格一晚只需98元.顿时觉得不爽有被欺骗的感觉.而且房间的隔音太差.房内也不够温馨,尤其是穿着一次性的拖鞋走在地砖上的感觉非常不好.以后应该不会再住.', '短评打分': 3}
{'短评内容': '&lt;font face=&quot;宋体&quot;&gt;Sample Text&lt;/font&gt;&lt;font size=&quot;1&quot;&gt;Sample Text&lt;/font&gt;&lt;font color=&quot;Black&quot;&gt;Sample Text&lt;/font&gt;20日入住21曰早离店信用卡不能解冻，室内空调大冷天不热而', '短评打分': 3}
{'短评内容': '不错的酒店，位置很好，周围餐饮，娱乐，游玩都很方便。房间很大，舒适，安静，卫生也不错。主题伴侣间很漂亮，浪漫，可惜没有铺地毯，哪怕是一般的酒店地毯也好啊，冬天入住，感觉缺了点温馨。总的来说没有什么可以挑剔的地方，希望酒店方面坚持下去，以后来成都，会继续选择这里住的。', '短评打分': 5}
{'短评内容': '去过住过很多地方，此地是我第一次向大家推荐。值得一住！很温馨，是喜欢安逸清净之人的好住处，五一准备携家人到成都旅游，就这里了!img_f101', '短评打分': 3}
{'短评内容': '去过住过很多地方，此地是我第一次向大家推荐。值得一住！很温馨，是喜欢安逸清净之人的好住处，五一准备携家人到成都旅游，就这里了!img_f101', '短评打分': 3}
{'短评内容': '去过住过很多地方，此地是我第一次向大家推荐。值得一住！很温馨，是喜欢安逸清净之人的好住处，五一准备携家人到成都旅游，就这里了!img_f101', '短评打分': 3}
{'短评内容': '挺好的，又便宜，又舒服。 &lt;br /&gt;\n只有，他们的早餐还不能叫早餐。东西特少，我们就去外面吃早餐了。如果我能建议他们，最少应该提供茶水。&lt;br /&gt;\n&lt;br /&gt;\n&lt;br /&gt;\nThis hotel is really nice, small, cute set up. Rooms are confortable and cheap.&lt;br ', '短评打分': 3}
