{'短评内容': '干净整洁，位置不错，交通便利，尤其是前台服务态度很好', '短评打分': 5}
{'短评内容': '比较方便，只是房间太小', '短评打分': 3}
{'短评内容': '酒店地点还可以，酒店很简单，但是交通比较方便，走到火车站大概就几分钟', '短评打分': 5}
{'短评内容': '什么都很好，来过下次就会再来，出差一定住汉庭（没有汉庭的城市除外），一个建议，给床前面的大镜子挂个帘子，很简单的用衣架挂个帘子就可以了，民俗说床前的大镜子不好，想想半夜醒来，模模糊糊看见镜子里有个没穿衣服的家伙。', '短评打分': 5}
{'短评内容': '这家汉庭酒店距离青岛火车站还是比较近的。就是暖气没有，听说刚装完还没有供暖。', '短评打分': 5}
{'短评内容': '前台态度很好，卫生还行！', '短评打分': 3}
{'短评内容': '房间小，隔音差，就是离火车站方便，途方便的话，可以住', '短评打分': 5}
{'短评内容': '酒店还不错 离火车站确实挺近 离栈桥也挺进的 很方便 很干净。', '短评打分': 5}
{'短评内容': '服务好！', '短评打分': 3}
{'短评内容': '酒店位置还算好，离火车站、栈桥步行10分钟。内部环境陈旧，284一晚的标间连窗户都没有，闷死了。却一点不给我打折扣，不值，不值。', '短评打分': 1}
{'短评内容': '据说早餐不咋样，床又大又软又舒服。离火车站近，还不错。住的特价房，便宜，推荐入住。离客运站也近，去威海，烟台都很方便。', '短评打分': 5}
{'短评内容': '便宜实惠！替顾客省钱。\n就是床单要铺整齐一些就更好了', '短评打分': 5}
{'短评内容': '环境、卫生、服务都还可以，唯一不足的就是小了点', '短评打分': 5}
{'短评内容': '交通便利，就是特价房有点小，设施卫生，还可以，以后去的话还会入住', '短评打分': 5}
{'短评内容': '小！真的很小！空调不好用。屋里一张大床，没柜子。', '短评打分': 1}
{'短评内容': '还不错，挺干净，很方便，离火车站很，离劈柴院很近，可以去尝尝海鲜', '短评打分': 5}
{'短评内容': '没有电梯', '短评打分': 3}
{'短评内容': '离劈柴院很近，可以去尝尝海鲜，不少小吃。', '短评打分': 5}
{'短评内容': '十位置挺方便,还不错', '短评打分': 3}
{'短评内容': '房间太小，卫生不错，没有电梯，住着一般', '短评打分': 3}
{'短评内容': '交通便利，环境设置整洁，服务人员也比较热情，最主要是离劈柴院比较近想吃了就过去。。。嘿嘿', '短评打分': 5}
{'短评内容': '挺干净，很方便，离火车站很近', '短评打分': 3}
{'短评内容': '酒店所为的高级大床间也没什么区别', '短评打分': 3}
{'短评内容': '在汉庭住着舒服，这里很干净，出行也很方便', '短评打分': 5}
{'短评内容': '房间不错，离火车站是相当的近，但是不吵，走着5分钟吧。我喜欢青岛，也喜欢汉庭。', '短评打分': 5}
{'短评内容': '酒店的高级大床房很舒适，很干净，虽然卫浴有点小但是设施齐全很干净，大厅还能上网', '短评打分': 3}
{'短评内容': '非常好，除了房间的确有点小啊，离火车站非常近，很方便', '短评打分': 5}
{'短评内容': '离火车站不远，酒店没电梯，宽带不知道为什么上不去', '短评打分': 5}
{'短评内容': '除了离火车站近之外 ，其它的地理优势都没有，', '短评打分': 5}
{'短评内容': '好评!房间很卫生 性价比很高 就是房间小了点 但总体满意', '短评打分': 3}
{'短评内容': '新春百元房，还可以，就是房间小了点，但是性价比很好，干净安静整洁。', '短评打分': 5}
{'短评内容': '酒店很干净。前台服务人员比较热情。\n就是酒店没有电梯。还有南边的客房靠近铁路，如果睡觉很轻，呵呵，希望不会搅了你的好梦！', '短评打分': 5}
{'短评内容': '位置真的很不错，下了火车步行10分钟就到了，在老城区，当然离火车站近，周边环境相对就差一些，但不影响。房间小，没有电梯，只有楼梯，大堂可以免费上网。整体一般般把。离劈柴院挺近的，步行就可以到。', '短评打分': 5}
{'短评内容': '服务细致值得入住', '短评打分': 3}
{'短评内容': '环境不错，地理位置也非常好，距离火车站和栈桥很近，非常便捷。但是房间内洗漱用品较简单，适合一个人住。', '短评打分': 5}
{'短评内容': '靠近火车站，交通、位置度比较好，但是房间比较小，也没有电梯，建议改造。', '短评打分': 5}
{'短评内容': '青岛北京路上的汉庭总体来说还是不错的，距离教堂中山路都挺进的，几分钟就到火车站了，非常方便，就是房间有点儿小，不过还是很好的', '短评打分': 3}
{'短评内容': '离海边很近，床很舒适，睡眠质量很好，很安静。不错！！', '短评打分': 5}
{'短评内容': '到火车站很近，很方便，酒店还行，属于汉庭连锁中等水平，距离马路近有点吵', '短评打分': 5}
{'短评内容': '房间小了点，不过离火车站近，又是特价房，不错了', '短评打分': 5}
{'短评内容': '还不错哦 非常喜欢啊 下次一定还来住这家  真的是非常喜欢', '短评打分': 1}
{'短评内容': '离机场大巴起始点不远，没有电梯，房间很小，床很大，只是睡觉的话算合格。', '短评打分': 5}
{'短评内容': '房间小，周围环境偏差。没有楼梯，整体楼道布局感觉乱\n不过早点还行。', '短评打分': 1}
{'短评内容': '离火车站很近，步行就可到达，乘车方便。离购物街也很近。房间有点小，不过因为处在闹市区，还可接受，周边饭店很多，就餐比较方便。', '短评打分': 5}
{'短评内容': '+房间很干净，离火车站走路五分钟，下次来还要住这家店', '短评打分': 5}
{'短评内容': '高级大床房的床有两米宽，卧具很舒适，就是房间面积太小了，行李箱都没地方展开。', '短评打分': 1}
{'短评内容': '一进前台就感觉不大气，没电梯，前台服务人员态度一般，承诺的免费停车位也没有，最后只能停在马路旁。房间更是糟糕，比较小，卫生间明显是后加的，有台阶，非常容易摔跤。房间窗户更是夸张，竟然开在走廊一侧，打开窗户就是玻璃墙，根本不能通风，但房价却是按有窗的算，明显带有欺骗性质。', '短评打分': 1}
{'短评内容': '订的是特价房，所以房间无窗，令人崩溃的是酒店没有电梯，房间空间超小，只能说是地址方便，下次估计不会再住了。', '短评打分': 1}
{'短评内容': '+方便', '短评打分': 5}
{'短评内容': '位置很好,服务也不错', '短评打分': 5}
{'短评内容': '  房间已般没有想像中的好，好在房间很干净', '短评打分': 5}
{'短评内容': '就房间稍挤还好吧', '短评打分': 5}
{'短评内容': '地处火车站——交通便利，\r\n服务员解释周到——服务好，\r\n房间小，没有电梯——设施一般。', '短评打分': 5}
{'短评内容': '离火车站很近，距中山路也挺近，可以逛街，总的来说还可以。旁边有莫泰168看起来比汉庭要好', '短评打分': 5}
{'短评内容': '价格合理,入住舒适,环境不错,就是没电梯,但可以克服.', '短评打分': 5}
{'短评内容': '总体还可以，性价比较高，主要离火车站近。', '短评打分': 5}
{'短评内容': '各项基本都还行，比周边同档次酒店价格稍贵', '短评打分': 5}
{'短评内容': '离中山路都很近的', '短评打分': 3}
{'短评内容': '交通还方便，就在火车站旁边', '短评打分': 3}
{'短评内容': '还可以，交通方便', '短评打分': 5}
{'短评内容': '位置很好，离栈桥只有不到十分钟距离，性价比很高~', '短评打分': 5}
{'短评内容': '总体上来说还可以', '短评打分': 5}
{'短评内容': '房间比较大，价格稍贵了一点儿', '短评打分': 5}
{'短评内容': '服务很好，房间有点小，不过很安静 卫生', '短评打分': 5}
{'短评内容': '交通很方便，到火车站和栈桥走路很近，离劈柴院小吃街也非常近。酒店前台服务态度很好', '短评打分': 5}
{'短评内容': '不错，干净卫生', '短评打分': 3}
{'短评内容': '其他都差不多，但服务比较不错，前台人员非常nice,比起如家酒店的前台，真是好了不知多少倍！', '短评打分': 5}
{'短评内容': '离火车站比较近，离栈桥也挺近，位置不错。', '短评打分': 5}
{'短评内容': '交通非常便利，性价比高！', '短评打分': 5}
{'短评内容': '酒店位于火车站旁边, 交通很方便,步行能够到达劈柴院,性价比还行.适合商旅人士.', '短评打分': 5}
{'短评内容': '总体还可以，就是早上有点吵', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 1}
{'短评内容': '位置很好，住的二楼特价大床房，没有想象中的拥挤，服务很不错，值得推荐', '短评打分': 5}
{'短评内容': '前台的服务非常好，很重视顾客的感受，只是特价房没有窗户，有点闷，要求舒适的朋友可考虑别的房间', '短评打分': 5}
{'短评内容': '空间太小', '短评打分': 1}
{'短评内容': '酒店环境和地理位置都不错，价格也比较合理，值得推荐', '短评打分': 3}
{'短评内容': '还行嗯', '短评打分': 5}
{'短评内容': '房间整体环境不错，价格也比较合理，值得推荐', '短评打分': 5}
{'短评内容': '挺方便的', '短评打分': 3}
{'短评内容': '总体还是可以，隔音不好。', '短评打分': 5}
{'短评内容': '总体来说还挺不错，要是房间再大一点就好啦', '短评打分': 5}
{'短评内容': '地段非常方便！！！方圆500米内有许多公交车站……想去哪里都有公交车坐。。服务人员也非常热情，服务态度很好！！比周围那些几十元一晚的旅店住起来安心非常多，而且更舒适，我住的是特价房，价格也很便宜。', '短评打分': 5}
{'短评内容': '没有电梯，行李要自己搬上楼。', '短评打分': 3}
{'短评内容': '挺不错的酒店,交通便利,设施完善~', '短评打分': 3}
{'短评内容': '特价房太小，不过性价比还算好了', '短评打分': 3}
{'短评内容': '这家酒店还是不错的，附近就餐也比较方便', '短评打分': 5}
{'短评内容': '服务一流 对顾客很在意，我很满意！有机会我还会选择！', '短评打分': 3}
{'短评内容': '位置还是真的不错的 不过大床房确实也像大家说的连放行李的地方都没有啊~', '短评打分': 5}
{'短评内容': '酒店很不错,离火车站近.非常方便.', '短评打分': 5}
{'短评内容': '很满意，服务一流', '短评打分': 5}
{'短评内容': '交通非常方便，服务业非常好，可能是特价房的原因，房间有点小', '短评打分': 5}
{'短评内容': '服务还可以，不过酒店没有电梯，大件行李要自己搬上楼梯。房间的洗脸盆设计不好，洗脸时头很容易碰到镜子下方的玻璃板（放水杯的架子）', '短评打分': 1}
{'短评内容': '离火车站很近，网络还可以，只是房间太小，布局也很一般', '短评打分': 5}
{'短评内容': '空调制热效果不好，热水器的水一直不是很热', '短评打分': 5}
{'短评内容': '入住和退房的手续很快，前台服务人员能记得客人的姓名，感觉非常亲切。15元的早餐中西合璧，有热粥热菜，咖啡点心和水果，挺实惠。', '短评打分': 3}
{'短评内容': '这个汉庭就是位置还可以，服务也还行，但是价格太贵了，硬件条件也一般，而且卫生环境很不错，我住这里之前住的锦江之星，这里没有锦江好，还比锦江贵不少呢。', '短评打分': 3}
{'短评内容': '很新的汉庭酒店，无电梯，价格稍低一点就好了。', '短评打分': 3}
{'短评内容': '设施什么的都非常超值。就是唯一的一个缺点。这个店提供的免费宽带基本等于没有。什么网站都打不开。实在太扯淡了！！！', '短评打分': 5}
{'短评内容': '标准汉庭连锁酒店配置，房间里的设施还比较新，大堂有咖啡奶茶等饮料。缺点是没有电梯，提着行李上下有点麻烦，还有就是火车声比较扰人。', '短评打分': 5}
{'短评内容': '前台服务人员服务很一般,不是那么的好.房间比较小,也没有衣柜,设施也不是很齐全,价格还是有些贵了,挺一般的卫生还可以,就是硬件设施还不是很好.', '短评打分': 3}
{'短评内容': '该酒店快捷、方便，卫生很好，但设施一般，希望加以改善，汉庭快捷酒店会更好。', '短评打分': 5}
{'短评内容': '酒店位置相当好，去火车站、栈桥、劈柴院都可以步行。卫生、服务、设施都可以。就是窗外就是火车道，不过住了两个晚上感觉还好，没有想象中的那么吵。对睡觉的安静度要求不是特别高的朋友可以考虑一下。虽然房价贵了点，可赶上十一黄金周，没办法', '短评打分': 5}
{'短评内容': '人员服务挺好的,很热情,也很热情的,就是酒店里没有电梯,提着行李的话就是太方便了,不过其他方面都还是挺不错的,性价比很好.', '短评打分': 5}
{'短评内容': '特价房很不错，服务态度和品牌也很好。', '短评打分': 5}
{'短评内容': '酒店空间有些小,不过很干净,位置也不错,就是当时到店时间比较早,等了很长时间才有房.', '短评打分': 5}
{'短评内容': '位置还可以，房间太小了，其他的都还行', '短评打分': 1}
{'短评内容': '预定的是高级大床房，结果住进去才发现，房间面积小的可怕，走路不是碰桌子就是碰床，窗户外面就是铁路，噪音比较大。', '短评打分': 1}
