{'短评内容': '早餐好吃，前台服务员漂亮。', '短评打分': 5}
{'短评内容': '周围交通生活都方便，就是酒店门面不行，客房和服务都还不错。', '短评打分': 5}
{'短评内容': '插座充电地方不合理还得接电板', '短评打分': 5}
{'短评内容': '房间空间大，卫生干净，公寓房间。', '短评打分': 5}
{'短评内容': '虚有其表，外观上很豪华。房间里网线插座盒桌子距离太远，网络很慢。卫生间，感觉是临时加出来的下水道的管和墙壁的接口，都没有做好，很大窟窿。1035房间洗手间 不晓得为什么有个很大的水表挂在半空。', '短评打分': 1}
{'短评内容': '还是不错的酒店，只是酒店房间布置有点不够人性化。电脑接口在烧水壶处，不方便。另一点不足就是早餐过于简单。', '短评打分': 5}
{'短评内容': '挺不错的一家酒店，干净、舒适，信价比高。服务也不错。早餐品种太少，时间也短，果汁和咖啡都没有。', '短评打分': 5}
{'短评内容': '中央空调，床较硬，房间有烟味，应分出吸烟层房间。', '短评打分': 3}
{'短评内容': '酒店环境很好，还有赠送水果早餐也还不错，就是办理入住和退房的时候等待的时间太太长了希望可以改进！', '短评打分': 5}
{'短评内容': '硬件还成吧。前台服务很差，不伦态度还是结账速度都很差。', '短评打分': 5}
{'短评内容': '性价比比较高，标间宽敞舒适，床也很舒服，比较安静', '短评打分': 5}
{'短评内容': '马可波罗假日饭店硬件不错，很干净，服务也好。只是夜总会隔音不好，影响休息。', '短评打分': 3}
{'短评内容': '其他都比较好，就是刚好博览会期间，价钱比较贵，所以觉得不值了。', '短评打分': 5}
{'短评内容': '服务很还，面带微笑，服务很主动，感觉很亲切。', '短评打分': 5}
{'短评内容': '房间颜色搭配的很好，床也很大，卫生打扫的很干净，住的很舒适。', '短评打分': 5}
{'短评内容': '服务感觉很亲切，见面主动问好，房间里也很干净舒适，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '酒店很好，服务很热情，房间很干净，有的还配备电脑，感觉很方便。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，卫生条件不错，房间硬件设施较齐全，还会考虑入住的。', '短评打分': 5}
{'短评内容': '房间很大，很舒适，服务也很好，价格也比较实惠，住的很满意。', '短评打分': 5}
{'短评内容': '这家酒店的服务不错，很热情，工作人员会主动跟我打招呼，感觉很好。', '短评打分': 5}
{'短评内容': '客房装修很时尚，感觉很温馨，服务也很周到，总体感觉不错。', '短评打分': 5}
{'短评内容': '位置还可以，附近公交车、出租车都很好找，交通便利。', '短评打分': 5}
{'短评内容': '酒店的服务环境硬件都还可以，但是位置有点远，不是很方便，而且价格也比较贵，所以我旧住了一天，其他四星级酒店也有比这个价格便宜的。', '短评打分': 1}
{'短评内容': '房间隔音比较差', '短评打分': 3}
{'短评内容': '酒店不大，但比较新，设施较新，干净，周围环境好，距离南湖公园近，周围有挺多饭馆，都不错的。', '短评打分': 5}
